date,close,high,low,mts,open,volume
2024-02-28,104.03,105.94,103.78,1709078400000,104.94,12.59552272
2024-02-27,104.79,105.58,101.01,1708992000000,102.97,1037.79250439
2024-02-26,102.64,103.81,97.922,1708905600000,100.49,712.70803573
2024-02-25,100.4,101.64,97.72,1708819200000,101.41,1452.8868714
2024-02-24,101.48,103.96,94.484,1708732800000,94.484,3788.02511295
2024-02-23,95.148,101.7,89.51,1708646400000,92.179,2092.80497847
2024-02-22,91.902,93.801,90.228,1708560000000,91.247,301.13161001000003
2024-02-21,91.755,93.9,88.128,1708473600000,93.79,419.15015646
2024-02-20,93.695,96.906,90.01,1708387200000,96.602,800.75917769
2024-02-19,96.255,97.9,94.365,1708300800000,94.558,861.17330894
2024-02-18,94.405,95.376,92.657,1708214400000,93.812,387.09232328
2024-02-17,93.719,94.639,91.175,1708128000000,93.96,272.577427
2024-02-16,94.536,94.799,90.501,1708041600000,91.778,972.72026898
2024-02-15,92.331,93.44,90.285,1707955200000,91.635,667.48202626
2024-02-14,91.052,92.7,89.247,1707868800000,89.72,746.40285213
2024-02-13,89.679,91.239,88.289,1707782400000,90.985,437.24441199
2024-02-12,90.862,91.0,85.188,1707696000000,87.335,471.92493219
2024-02-11,87.157,89.71,86.867,1707609600000,88.264,114.12872571
2024-02-10,88.442,89.199,86.244,1707523200000,87.774,95.92647354
2024-02-09,87.66,89.7,85.353,1707436800000,85.353,336.56495636
2024-02-08,85.231,86.611,84.128,1707350400000,84.339,409.56044554
2024-02-07,83.991,85.005,82.495,1707264000000,84.52,318.50455879
2024-02-06,84.638,85.343,82.68,1707177600000,84.253,329.71881889
2024-02-05,84.118,85.9,81.613,1707091200000,83.197,288.46169896
2024-02-04,83.297,85.695,83.001,1707004800000,85.381,126.9813435
2024-02-03,85.534,86.8,85.003,1706918400000,85.964,149.37582286
2024-02-02,85.795,86.468,82.369,1706832000000,83.635,1623.7688742999999
2024-02-01,83.94,86.048,83.02,1706745600000,85.908,855.34927211
2024-01-31,85.908,93.049,85.253,1706659200000,93.049,1784.14907878
2024-01-30,92.999,95.347,92.343,1706572800000,93.656,354.48696787
2024-01-29,93.631,93.9,90.42,1706486400000,90.93,127.97327857
2024-01-28,91.148,93.465,90.208,1706400000000,91.733,56.4747602
2024-01-27,91.561,92.121,90.451,1706313600000,91.625,20.83557139
2024-01-26,91.28,91.67,87.6,1706227200000,88.661,141.04609528
2024-01-25,88.943,89.768,86.991,1706140800000,89.768,200.30700238
2024-01-24,90.074,90.754,88.501,1706054400000,89.377,379.53098913
2024-01-23,89.628,93.632,84.42,1705968000000,91.885,292.83405719
2024-01-22,91.637,97.034,90.816,1705881600000,96.938,406.8043625
2024-01-21,96.63,98.819,96.63,1705795200000,97.446,95.9863761
2024-01-20,97.397,98.53,96.22,1705708800000,96.794,341.67752637
2024-01-19,96.96,97.913,91.807,1705622400000,97.157,567.24998597
2024-01-18,96.877,101.76,95.51,1705536000000,101.47,342.54724656
2024-01-17,101.25,103.99,100.0,1705449600000,103.66,531.19196062
2024-01-16,103.38,110.96,101.96,1705363200000,102.03,3184.33740685
2024-01-15,101.82,103.13,99.452,1705276800000,99.452,257.56590405
2024-01-14,99.701,105.74,99.51,1705190400000,105.74,180.98478913
2024-01-13,106.11,107.49,100.74,1705104000000,103.02,192.33607956
2024-01-12,103.07,113.79,100.01,1705017600000,109.59,716.9853811
2024-01-11,109.77,117.7,106.85,1704931200000,107.0,709.775086
2024-01-10,106.74,110.03,96.159,1704844800000,96.159,999.4376501200001
2024-01-09,96.522,98.826,92.578,1704758400000,98.673,303.84827594
2024-01-08,98.781,99.9,88.592,1704672000000,94.83,554.47714452
2024-01-07,94.617,100.49,93.935,1704585600000,99.443,495.28049095
2024-01-06,99.146,103.39,97.055,1704499200000,103.35,236.58208472
2024-01-05,103.01,108.7,100.01,1704412800000,104.27,613.19390119
2024-01-04,104.05,105.5,101.51,1704326400000,103.26,461.82414486
2024-01-03,102.73,113.16,92.279,1704240000000,110.28,1733.51988128
2024-01-02,110.38,119.97,108.67,1704153600000,116.4,330.97278847
2024-01-01,115.98,115.98,108.25,1704067200000,109.63,192.53894593
2023-12-31,109.0,118.9,106.51,1703980800000,110.76,737.6037356100001
2023-12-30,111.29,117.49,111.0,1703894400000,111.96,374.60498185
2023-12-29,112.23,121.9,108.92,1703808000000,121.9,535.79393713
