date,close,high,low,mts,open,volume
2024-02-28,1.4224,1.4964,1.4224,1709078400000,1.4578,8055.15225092
2024-02-27,1.4659,1.5117,1.311,1708992000000,1.3371,40275.13482252
2024-02-26,1.3371,1.3577,1.2442,1708905600000,1.2668,37858.61020345
2024-02-25,1.2661,1.2664,1.1946,1708819200000,1.2376,10894.73651104
2024-02-24,1.2352,1.2352,1.1514,1708732800000,1.1717,2309.95873434
2024-02-23,1.1732,1.2185,1.1717,1708646400000,1.2145,5864.7141922
2024-02-22,1.2151,1.2597,1.188,1708560000000,1.2568,18629.22459694
2024-02-21,1.257,1.2857,1.2296,1708473600000,1.2798,7757.42954338
2024-02-20,1.2793,1.2802,1.2115,1708387200000,1.2315,8881.68594475
2024-02-19,1.2319,1.3339,1.2277,1708300800000,1.3262,5708.16133395
2024-02-18,1.3254,1.3279,1.2722,1708214400000,1.2833,16720.22974
2024-02-17,1.2828,1.3145,1.2442,1708128000000,1.2974,24601.07910534
2024-02-16,1.2996,1.4407,0.012,1708041600000,1.4361,23346.4903885
2024-02-15,1.437,1.5541,1.4085,1707955200000,1.5193,13348.35018888
2024-02-14,1.5172,1.5172,1.2873,1707868800000,1.3147,14347.48056428
2024-02-13,1.31,1.3703,1.2953,1707782400000,1.331,10374.39526627
2024-02-12,1.3257,1.3393,1.2507,1707696000000,1.2816,7479.77289258
2024-02-11,1.2846,1.37,1.2725,1707609600000,1.3462,9198.18075911
2024-02-10,1.3431,1.3506,1.2822,1707523200000,1.31,11021.40452175
2024-02-09,1.3177,1.4075,1.2366,1707436800000,1.2375,35899.71809131
2024-02-08,1.2358,1.2866,1.1497,1707350400000,1.1527,12718.25487586
2024-02-07,1.1495,1.1529,1.1149,1707264000000,1.1474,4476.13976766
2024-02-06,1.148,1.1603,1.0657,1707177600000,1.0678,4558.96112806
2024-02-05,1.069,1.088,1.0306,1707091200000,1.0726,3709.11902134
2024-02-04,1.0751,1.1059,1.0638,1707004800000,1.1059,823.96372174
2024-02-03,1.1066,1.177,1.1066,1706918400000,1.1119,7907.65502166
2024-02-02,1.1119,1.1418,1.0878,1706832000000,1.0914,11995.28932289
2024-02-01,1.0938,1.095,0.95451,1706745600000,0.9747,18685.30970245
2024-01-31,0.9687,1.0358,0.91231,1706659200000,1.0346,12317.29018932
2024-01-30,1.0333,1.053,0.98837,1706572800000,1.05,8710.4166203
2024-01-29,1.0524,1.0911,0.99162,1706486400000,1.0816,22956.04516315
2024-01-28,1.083,1.1601,1.083,1706400000000,1.1601,20587.250748129998
2024-01-27,1.1604,1.265,1.1378,1706313600000,1.2441,25010.70103235
2024-01-26,1.2443,1.3555,1.1902,1706227200000,1.3068,17423.34162193
2024-01-25,1.3095,1.452,1.2352,1706140800000,1.2352,27725.40093331
2024-01-24,1.2241,1.2958,0.97021,1706054400000,0.97417,33960.29571401
2024-01-23,0.97267,0.976,0.9009,1705968000000,0.95677,7775.52502778
2024-01-22,0.95641,1.0404,0.9491,1705881600000,1.0404,25941.64156076
2024-01-21,1.0397,1.0571,1.0199,1705795200000,1.0412,1944.62436071
2024-01-20,1.0439,1.0452,0.99776,1705708800000,1.0006,20473.98237237
2024-01-19,1.0026,1.0869,0.99462,1705622400000,1.0869,19554.16062863
2024-01-18,1.0858,1.129,1.0839,1705536000000,1.1235,4375.98731514
2024-01-17,1.1251,1.1433,1.1129,1705449600000,1.1325,1804.96633259
2024-01-16,1.1359,1.1477,1.1313,1705363200000,1.1373,2074.46419265
2024-01-15,1.1375,1.1478,1.1309,1705276800000,1.1312,4616.54470092
2024-01-14,1.1314,1.1569,1.007,1705190400000,1.1466,31890.83328347
2024-01-13,1.164,1.164,1.0356,1705104000000,1.0457,21307.30255456
2024-01-12,1.0428,1.0567,0.99069,1705017600000,0.99332,33885.77038727
2024-01-11,0.99785,1.0111,0.96776,1704931200000,0.97283,13392.56661962
2024-01-10,0.97282,0.97283,0.93793,1704844800000,0.95623,29221.21523091
2024-01-09,0.95139,0.9803,0.9012,1704758400000,0.9666,43320.96140387
