date,close,high,low,mts,open,volume
2024-02-28,39.185,39.553,39.081,1709078400000,39.282,581.57020576
2024-02-27,39.266,39.85,38.35,1708992000000,39.325,5728.44764889
2024-02-26,39.287,39.287,36.356,1708905600000,37.328,6091.35438779
2024-02-25,37.467,37.472,36.509,1708819200000,36.82,11896.84039529
2024-02-24,36.737,36.954,35.209,1708732800000,35.905,5257.57004756
2024-02-23,35.967,36.932,35.2,1708646400000,36.819,5982.68221053
2024-02-22,36.768,38.134,36.553,1708560000000,37.554,4857.84711128
2024-02-21,37.601,38.443,35.875,1708473600000,38.443,3414.68906339
2024-02-20,38.531,39.621,36.831,1708387200000,39.492,7427.86360814
2024-02-19,39.426,40.587,39.112,1708300800000,40.205,2431.0617191
2024-02-18,40.162,40.711,39.02,1708214400000,39.764,2503.54195727
2024-02-17,39.807,40.411,38.4,1708128000000,40.245,4514.47858522
2024-02-16,40.301,41.71,39.471,1708041600000,41.53,2660.56739809
2024-02-15,41.556,43.585,40.987,1707955200000,42.388,3481.70964563
2024-02-14,42.174,42.391,39.225,1707868800000,39.651,10236.20621973
2024-02-13,39.791,41.663,38.939,1707782400000,40.99,10408.77582543
2024-02-12,41.179,41.179,38.438,1707696000000,39.647,3982.31523535
2024-02-11,39.747,41.207,39.447,1707609600000,40.325,1726.05948389
2024-02-10,40.253,41.246,38.18,1707523200000,38.23,5300.4203372
2024-02-09,38.04,38.618,35.446,1707436800000,35.446,4423.28722088
2024-02-08,35.407,36.094,35.111,1707350400000,35.377,3288.32279577
2024-02-07,35.266,35.469,33.727,1707264000000,34.077,6041.20972818
2024-02-06,34.136,34.736,33.764,1707177600000,34.429,3686.7203738499998
2024-02-05,34.486,35.855,34.147,1707091200000,34.902,2384.47846749
2024-02-04,34.847,36.506,34.728,1707004800000,36.004,1589.54790815
2024-02-03,35.888,37.58,35.436,1706918400000,36.787,2925.37663849
2024-02-02,36.754,36.919,33.902,1706832000000,33.902,4809.51726476
2024-02-01,33.848,33.928,32.337,1706745600000,33.185,3760.44480687
2024-01-31,33.19,35.455,33.171,1706659200000,35.224,3151.64805911
2024-01-30,35.141,37.112,35.031,1706572800000,36.095,7788.23849335
2024-01-29,36.101,36.505,34.404,1706486400000,34.741,12657.59387117
2024-01-28,34.821,36.672,33.295,1706400000000,33.296,8467.32386799
2024-01-27,33.257,33.288,31.859,1706313600000,32.212,1358.20915386
2024-01-26,32.253,33.096,30.179,1706227200000,30.526,5167.91861596
2024-01-25,30.51,31.374,29.641,1706140800000,31.219,2676.29031791
2024-01-24,31.295,31.898,29.573,1706054400000,30.659,7268.99958847
2024-01-23,30.674,30.712,27.299,1705968000000,29.553,26403.36643385
2024-01-22,29.513,32.745,29.421,1705881600000,32.574,4902.20942608
2024-01-21,32.565,33.503,32.565,1705795200000,32.822,2618.91965981
2024-01-20,32.872,32.99,32.1,1705708800000,32.76,1673.07537614
2024-01-19,32.747,33.736,31.252,1705622400000,33.689,14723.57183567
2024-01-18,33.6,35.987,32.725,1705536000000,35.987,2452.88250569
2024-01-17,36.095,36.447,35.379,1705449600000,35.626,2542.63446226
2024-01-16,35.601,36.458,34.8,1705363200000,35.786,4177.37857829
2024-01-15,35.637,36.736,35.2,1705276800000,35.499,2091.9877181800002
2024-01-14,35.36,37.8,35.33,1705190400000,36.562,1902.00905394
2024-01-13,36.393,36.58,34.827,1705104000000,35.947,2342.47808113
2024-01-12,35.949,39.37,34.429,1705017600000,39.269,6966.30108855
2024-01-11,39.419,41.686,37.568,1704931200000,38.532,12062.31687247
2024-01-10,38.36,39.467,33.384,1704844800000,34.56,6639.97849602
2024-01-09,34.69,37.597,33.81,1704758400000,36.024,9395.11696867
2024-01-08,36.074,36.407,31.224,1704672000000,33.812,15505.41936403
2024-01-07,33.668,35.788,33.19,1704585600000,34.567,7673.77671777
2024-01-06,34.631,36.478,33.497,1704499200000,36.351,3343.18807284
2024-01-05,36.45,38.856,35.054,1704412800000,38.839,4993.08958364
2024-01-04,38.768,39.474,36.184,1704326400000,36.866,6707.71249668
2024-01-03,36.794,41.458,31.99,1704240000000,40.814,49011.672458709996
2024-01-02,40.667,43.413,40.412,1704153600000,41.917,2854.36960767
2024-01-01,41.902,42.0,38.134,1704067200000,38.548,3571.33439248
2023-12-31,38.586,40.542,37.556,1703980800000,39.38,1903.0392102
2023-12-30,39.36,40.39,38.24,1703894400000,40.033,8040.89894854
2023-12-29,40.229,42.151,38.581,1703808000000,39.975,9398.20898941
2023-12-28,39.873,43.321,39.235,1703721600000,42.217,18631.4433813
2023-12-27,42.346,44.941,42.0,1703635200000,44.697,6548.35530237
2023-12-26,44.32,48.416,40.618,1703548800000,48.416,10736.21136832
2023-12-25,48.264,48.89,46.0,1703462400000,47.725,3001.36784729
2023-12-24,47.834,49.969,46.51,1703376000000,48.323,8648.79291696
2023-12-23,48.131,48.326,43.46,1703289600000,45.36,8830.87575685
2023-12-22,45.37,48.989,43.753,1703203200000,46.09,19278.42478033
2023-12-21,45.96,47.382,43.159,1703116800000,43.54,15474.688929939999
2023-12-20,43.5,44.561,39.16,1703030400000,39.71,16148.65343551
2023-12-19,39.85,42.056,38.811,1702944000000,41.01,9760.31072469
2023-12-18,41.175,41.436,36.519,1702857600000,40.619,21678.38789055
2023-12-17,40.757,43.958,40.404,1702771200000,42.309,7752.84536046
2023-12-16,42.305,45.459,38.532,1702684800000,39.79,21851.63462927
2023-12-15,39.748,42.334,38.61,1702598400000,39.39,25575.63505228
2023-12-14,39.34,40.341,36.71,1702512000000,39.109,30900.53727445
2023-12-13,39.01,41.46,34.196,1702425600000,37.316,47680.53444641
2023-12-12,37.476,42.931,36.068,1702339200000,38.282,29778.68862424
2023-12-11,38.072,39.403,31.866,1702252800000,37.223,44420.16143205
2023-12-10,37.171,38.0,31.601,1702166400000,31.903,25900.12629212
2023-12-09,31.839,34.262,30.461,1702080000000,30.461,30295.88416396
2023-12-08,30.398,30.76,26.083,1701993600000,26.292,19799.89497826
2023-12-07,26.251,27.893,25.833,1701907200000,26.372,31691.5662412
2023-12-06,26.209,27.733,24.517,1701820800000,24.696,24029.02239163
2023-12-05,24.513,24.798,21.854,1701734400000,22.655,22018.4332189
2023-12-04,22.695,23.177,19.5,1701648000000,21.973,31344.42717615
2023-12-03,21.927,22.717,21.595,1701561600000,22.2,7584.51226097
2023-12-02,22.216,22.406,21.752,1701475200000,21.867,4588.8846089
2023-12-01,21.856,22.597,21.121,1701388800000,21.408,14785.68706635
2023-11-30,21.372,21.496,20.84,1701302400000,21.063,8939.72473485
2023-11-29,21.033,21.533,20.595,1701216000000,20.695,14637.5662517
2023-11-28,20.612,20.837,19.516,1701129600000,20.355,13329.9903987
2023-11-27,20.361,21.226,19.854,1701043200000,21.084,7597.2531846599995
2023-11-26,21.057,21.489,20.129,1700956800000,21.35,3596.24356528
2023-11-25,21.35,21.448,20.743,1700870400000,20.787,2838.07094502
2023-11-24,20.895,21.877,20.505,1700784000000,20.653,23921.19788646
2023-11-23,20.7,21.459,20.478,1700697600000,20.838,15018.2366509
2023-11-22,20.871,21.23,18.996,1700611200000,18.996,15259.28624085
2023-11-21,19.091,22.258,18.95,1700524800000,20.797,50601.59846043
2023-11-20,20.846,23.22,20.718,1700438400000,22.947,30291.75815543
2023-11-19,22.834,23.0,20.773,1700352000000,21.687,7361.82293648
2023-11-18,22.07,22.699,20.214,1700265600000,21.922,16345.74489334
2023-11-17,21.923,24.67,20.053,1700179200000,21.745,28002.21886427
2023-11-16,21.32,24.0,20.321,1700092800000,20.624,51996.60186627
2023-11-15,20.749,21.079,17.066,1700006400000,17.086,43170.44504539
2023-11-14,17.152,18.07,15.628,1699920000000,16.12,15190.1610635
2023-11-13,16.141,19.597,16.141,1699833600000,18.839,40095.41712161
