date,close,high,low,mts,open,volume
2024-02-28,2.1895,2.219,2.1716,1709078400000,2.1882,42.28173405
2024-02-27,2.1899,2.2655,2.1318,1708992000000,2.1345,1429.02699007
2024-02-26,2.1343,2.1521,2.0447,1708905600000,2.0751,554.46677912
2024-02-25,2.0784,2.1587,2.0463,1708819200000,2.0778,1447.32099945
2024-02-24,2.0685,2.1617,1.9695,1708732800000,1.9897,576.28705386
2024-02-23,1.9854,2.0916,1.9652,1708646400000,1.9838,475.41354071
2024-02-22,1.9802,2.1047,1.9769,1708560000000,2.0061,645.87187278
2024-02-21,2.0216,2.1282,1.9432,1708473600000,2.1001,573.42699622
2024-02-20,2.0898,2.1856,1.9683,1708387200000,2.1647,862.87538888
2024-02-19,2.1334,2.1723,2.0568,1708300800000,2.0619,1472.52896998
2024-02-18,2.0816,2.2648,2.0342,1708214400000,2.0425,1393.91477858
2024-02-17,2.0421,2.0796,1.979,1708128000000,2.0736,402.26086371
2024-02-16,2.0744,2.0996,2.0093,1708041600000,2.0458,1220.10146717
2024-02-15,2.0409,2.0584,1.9925,1707955200000,2.0001,1761.32531589
2024-02-14,2.0175,2.0225,1.8675,1707868800000,1.8972,662.60620453
2024-02-13,1.8885,1.9617,1.857,1707782400000,1.9566,797.68291831
2024-02-12,1.9527,2.0469,1.8721,1707696000000,1.9267,1367.43111156
2024-02-11,1.9061,1.9807,1.8938,1707609600000,1.9014,355.70170405
2024-02-10,1.8988,1.9489,1.8666,1707523200000,1.919,558.59768961
2024-02-09,1.9239,2.0,1.8822,1707436800000,1.8986,1631.7376524200001
2024-02-08,1.8962,2.0317,1.8642,1707350400000,1.8804,3547.41623689
2024-02-07,1.8843,1.9064,1.8269,1707264000000,1.8373,422.00093276
2024-02-06,1.8288,1.8821,1.8066,1707177600000,1.8227,1200.45830908
2024-02-05,1.8229,1.9095,1.7916,1707091200000,1.8365,1082.23684092
2024-02-04,1.8412,1.9137,1.783,1707004800000,1.8248,969.81738205
2024-02-03,1.8172,1.8512,1.7817,1706918400000,1.8083,463.39470022
2024-02-02,1.8056,1.8369,1.7076,1706832000000,1.7076,5499.88991468
2024-02-01,1.7237,1.7303,1.6311,1706745600000,1.6486,4082.83862521
2024-01-31,1.6428,1.71,1.6321,1706659200000,1.6875,3496.26661906
2024-01-30,1.6862,1.744,1.68,1706572800000,1.7048,798.27248824
2024-01-29,1.7116,1.7269,1.664,1706486400000,1.664,491.78833904
2024-01-28,1.679,1.7594,1.6591,1706400000000,1.7517,767.51192893
2024-01-27,1.7486,1.7743,1.6379,1706313600000,1.6608,4346.97209127
2024-01-26,1.6623,1.6839,1.5864,1706227200000,1.5907,638.21941425
2024-01-25,1.5966,1.6301,1.5566,1706140800000,1.6193,1488.18320343
2024-01-24,1.624,1.6342,1.5892,1706054400000,1.6127,446.20065076
2024-01-23,1.6063,1.6986,1.5042,1705968000000,1.6314,7134.6439702
2024-01-22,1.6258,1.7375,1.5906,1705881600000,1.6847,8091.19013319
2024-01-21,1.6682,1.8451,1.6589,1705795200000,1.7331,7979.00529635
2024-01-20,1.6968,2.0,1.5611,1705708800000,1.5682,54177.56744091
2024-01-19,1.5779,1.5993,1.4646,1705622400000,1.5675,11510.37799415
2024-01-18,1.564,1.71,1.5438,1705536000000,1.6763,2298.94360055
2024-01-17,1.683,1.7215,1.6654,1705449600000,1.6984,5436.38912583
2024-01-16,1.6951,1.7111,1.6692,1705363200000,1.6755,1336.35227825
2024-01-15,1.6679,1.7023,1.6447,1705276800000,1.6447,307.12853525
2024-01-14,1.6613,1.7338,1.66,1705190400000,1.7156,3392.77957562
2024-01-13,1.7196,1.7454,1.6718,1705104000000,1.6771,933.4340757599999
2024-01-12,1.6953,1.8425,1.6547,1705017600000,1.8078,3649.56605465
2024-01-11,1.7946,1.8195,1.6472,1704931200000,1.7538,4496.25873344
2024-01-10,1.7396,1.7775,1.5878,1704844800000,1.6151,4344.97017706
2024-01-09,1.6055,1.7409,1.5526,1704758400000,1.7402,9143.40136926
2024-01-08,1.7471,1.7653,1.5791,1704672000000,1.7277,6495.39514717
2024-01-07,1.7157,1.8933,1.7057,1704585600000,1.8315,4388.88232923
2024-01-06,1.8346,1.9477,1.8024,1704499200000,1.9477,11384.91943282
2024-01-05,1.9511,2.0774,1.9053,1704412800000,2.0774,23595.46368662
2024-01-04,2.0784,2.2722,2.0615,1704326400000,2.1961,6883.61476548
2024-01-03,2.1595,2.3484,1.6364,1704240000000,2.2153,30086.24611199
2024-01-02,2.2114,2.4151,2.0804,1704153600000,2.0804,9286.13483818
2024-01-01,2.0952,2.188,2.0,1704067200000,2.1642,23905.31090991
2023-12-31,2.2026,2.4801,1.9441,1703980800000,1.9478,36978.76853166
2023-12-30,1.9413,1.9907,1.888,1703894400000,1.9651,7413.89540648
2023-12-29,1.9555,2.1712,1.8231,1703808000000,1.8474,9420.082379
2023-12-28,1.8588,1.9745,1.8077,1703721600000,1.8969,898.13440928
2023-12-27,1.8858,1.9506,1.8776,1703635200000,1.948,2379.13088348
2023-12-26,1.9515,1.9745,1.7422,1703548800000,1.9182,6279.61447305
2023-12-25,1.9099,1.9395,1.7579,1703462400000,1.7579,10568.99266526
2023-12-24,1.7654,1.8751,1.7355,1703376000000,1.8563,4353.66958351
2023-12-23,1.8616,1.913,1.7208,1703289600000,1.7514,4860.87140777
2023-12-22,1.7511,1.7676,1.674,1703203200000,1.674,2215.29998815
2023-12-21,1.6709,1.691,1.6334,1703116800000,1.6645,821.186227
2023-12-20,1.6682,1.7216,1.6468,1703030400000,1.6932,2847.13887105
2023-12-19,1.7042,1.7749,1.6447,1702944000000,1.6447,13044.66089364
2023-12-18,1.6362,1.6932,1.5271,1702857600000,1.6916,8223.07409039
2023-12-17,1.6819,1.7427,1.5933,1702771200000,1.6433,4695.80758678
2023-12-16,1.6348,1.6713,1.6211,1702684800000,1.6461,4443.1308491
2023-12-15,1.6448,1.7426,1.6104,1702598400000,1.7426,21865.09567924
2023-12-14,1.7557,1.9115,1.6022,1702512000000,1.6089,32905.25010116
2023-12-13,1.6065,1.6175,1.4888,1702425600000,1.5792,5984.41048296
2023-12-12,1.5814,1.6291,1.5343,1702339200000,1.5372,4854.20132376
2023-12-11,1.5358,1.7119,1.4279,1702252800000,1.7119,8106.35209435
2023-12-10,1.7079,1.7079,1.6132,1702166400000,1.6706,3941.85867252
2023-12-09,1.6664,1.7435,1.6428,1702080000000,1.6687,8419.97333653
2023-12-08,1.6628,1.6759,1.5644,1701993600000,1.5779,19774.06751458
2023-12-07,1.571,1.6322,1.51,1701907200000,1.51,13399.72502496
2023-12-06,1.5039,1.5825,1.5031,1701820800000,1.5661,3108.57785402
2023-12-05,1.5592,1.5828,1.4944,1701734400000,1.5169,7568.38171048
2023-12-04,1.5131,1.5156,1.4073,1701648000000,1.4931,2189.00854415
2023-12-03,1.4849,1.5126,1.4404,1701561600000,1.4778,2259.75799729
2023-12-02,1.4809,1.4931,1.4424,1701475200000,1.4481,2552.92643605
2023-12-01,1.4439,1.4537,1.4081,1701388800000,1.4092,1355.63672101
2023-11-30,1.3934,1.518,1.3274,1701302400000,1.4388,8276.72222574
2023-11-29,1.4206,1.4316,1.4033,1701216000000,1.4086,2029.44087879
2023-11-28,1.4029,1.4262,1.3696,1701129600000,1.4009,5137.55029009
2023-11-27,1.4005,1.453,1.3751,1701043200000,1.4473,7594.27876733
2023-11-26,1.4412,1.4722,1.4361,1700956800000,1.4644,13249.41030734
2023-11-25,1.4545,1.458,1.4269,1700870400000,1.4458,10316.23006437
2023-11-24,1.429,1.4407,1.4021,1700784000000,1.4021,10704.30579711
2023-11-23,1.4027,1.4224,1.3751,1700697600000,1.403,11272.59020038
2023-11-22,1.4051,1.4158,1.3432,1700611200000,1.3447,8235.22774435
2023-11-21,1.3543,1.5384,1.3362,1700524800000,1.5217,10123.397156340001
2023-11-20,1.502,1.5501,1.4966,1700438400000,1.4966,5779.18998838
2023-11-19,1.4713,1.4813,1.4086,1700352000000,1.4086,3040.44055316
2023-11-18,1.4427,1.5083,1.3828,1700265600000,1.5083,4398.8759245
2023-11-17,1.5067,1.5599,1.4571,1700179200000,1.533,1541.4123428799999
2023-11-16,1.4864,1.586,1.469,1700092800000,1.5279,3396.10331355
2023-11-15,1.535,1.535,1.4572,1700006400000,1.4572,5233.90264523
2023-11-14,1.4484,1.4932,1.4336,1699920000000,1.445,6503.57416417
2023-11-13,1.4751,1.62,1.4579,1699833600000,1.5606,7688.51521064
2023-11-12,1.5773,1.5785,1.4934,1699747200000,1.4958,13833.00912936
2023-11-11,1.5651,1.6133,1.5372,1699660800000,1.5751,8940.35347445
2023-11-10,1.5625,1.5637,1.4735,1699574400000,1.5276,10689.761789440001
2023-11-09,1.5089,1.6717,1.3709,1699488000000,1.6114,24281.43045562
2023-11-08,1.6166,1.6207,1.5182,1699401600000,1.5262,12380.36879587
2023-11-07,1.5205,1.5854,1.4572,1699315200000,1.5156,14979.35014307
2023-11-06,1.5465,1.5564,1.4957,1699228800000,1.5241,14645.23849551
2023-11-05,1.5309,1.5803,1.4304,1699142400000,1.4304,20246.00508109
2023-11-04,1.4221,1.4353,1.4024,1699056000000,1.4117,15504.03993426
2023-11-03,1.3994,1.4063,1.3644,1698969600000,1.4063,12495.78745814
2023-11-02,1.4076,1.4847,1.4037,1698883200000,1.4501,5666.73375105
2023-11-01,1.455,1.4688,1.3673,1698796800000,1.4269,12443.59370684
2023-10-31,1.4166,1.5742,1.389,1698710400000,1.485,21771.08335193
2023-10-30,1.5048,1.5048,1.4517,1698624000000,1.477,12116.90240696
2023-10-29,1.483,1.4985,1.4763,1698537600000,1.4909,8375.54555851
2023-10-28,1.4902,1.5577,1.4866,1698451200000,1.5375,11232.00965642
2023-10-27,1.5426,1.6262,1.5345,1698364800000,1.6125,15300.20959526
2023-10-26,1.6063,1.665,1.5237,1698278400000,1.6095,22860.52930119
2023-10-25,1.6159,1.6215,1.4935,1698192000000,1.5125,30315.25422569
2023-10-24,1.517,1.6123,1.3825,1698105600000,1.3862,20140.5324924
2023-10-23,1.3821,1.4207,1.315,1698019200000,1.369,16755.27115546
2023-10-22,1.362,1.4016,1.3245,1697932800000,1.3819,26228.21352795
2023-10-21,1.3842,1.4624,1.3721,1697846400000,1.4624,25317.37396489
2023-10-20,1.4593,1.481,1.3657,1697760000000,1.4125,27420.37599237
2023-10-19,1.4228,1.4733,1.3686,1697673600000,1.4121,36576.33891589
2023-10-18,1.4215,1.536,1.3222,1697587200000,1.3347,40592.86214567
2023-10-17,1.3376,1.4474,1.2688,1697500800000,1.4085,38280.37684193
2023-10-16,1.3995,1.5304,1.3094,1697414400000,1.459,100470.44832294
