date,close,high,low,mts,open,volume
2024-02-28,290.36,294.74,288.02,1709078400000,292.47,40.12872444
2024-02-27,291.02,312.97,274.42,1708992000000,276.31,880.82584767
2024-02-26,274.38,276.17,262.33,1708905600000,267.27,102.25309925
2024-02-25,267.69,271.72,265.79,1708819200000,267.25,62.18608902
2024-02-24,267.78,270.3,263.53,1708732800000,265.38,28.13477721
2024-02-23,264.86,266.88,259.64,1708646400000,260.83,119.9210854
2024-02-22,260.0,265.54,259.1,1708560000000,262.71,120.68524704000001
2024-02-21,263.2,266.14,255.48,1708473600000,265.2,101.82605391
2024-02-20,265.14,274.0,254.9,1708387200000,272.81,365.49403126
2024-02-19,272.61,272.65,266.84,1708300800000,269.5,86.85949137
2024-02-18,269.93,271.2,264.08,1708214400000,267.11,181.00713064
2024-02-17,267.56,273.56,258.9,1708128000000,273.19,199.02063376
2024-02-16,274.37,274.81,265.02,1708041600000,269.94,301.95281725
2024-02-15,270.53,281.68,266.02,1707955200000,280.26,266.02628039
2024-02-14,280.98,293.3,265.0,1707868800000,269.53,595.38377547
2024-02-13,270.9,287.29,267.25,1707782400000,280.08,2574.38545328
2024-02-12,280.73,290.82,267.43,1707696000000,278.2,1634.29886267
2024-02-11,277.76,283.55,247.07,1707609600000,247.35,1216.3511747
2024-02-10,247.81,251.54,244.0,1707523200000,250.49,30.91434045
2024-02-09,250.32,253.01,244.57,1707436800000,244.57,289.24065891
2024-02-08,244.14,244.91,240.37,1707350400000,240.82,146.99403853
2024-02-07,240.43,240.63,234.73,1707264000000,235.44,32.40886776
2024-02-06,235.24,238.16,234.76,1707177600000,235.74,170.0505578
2024-02-05,235.57,237.77,234.56,1707091200000,234.91,10.97667524
2024-02-04,235.31,243.97,233.0,1707004800000,239.99,204.34342033
2024-02-03,240.99,241.97,236.39,1706918400000,236.71,124.26486124
2024-02-02,236.42,237.86,234.85,1706832000000,236.79,7.08374148
2024-02-01,236.56,236.97,230.82,1706745600000,234.6,58.99826469
2024-01-31,234.23,238.87,233.02,1706659200000,237.87,110.74803134
2024-01-30,237.48,243.62,237.0,1706572800000,241.04,57.51011667
2024-01-29,241.27,241.79,234.48,1706486400000,236.25,147.43689973
2024-01-28,237.11,246.03,235.0,1706400000000,243.8,212.00039384
2024-01-27,243.73,245.0,239.22,1706313600000,242.97,97.4355174
2024-01-26,241.86,242.6,234.81,1706227200000,236.05,41.45587952
2024-01-25,236.74,238.28,234.93,1706140800000,235.96,80.22150042
2024-01-24,236.38,238.11,229.23,1706054400000,229.23,42.82194798
2024-01-23,229.62,237.22,219.06,1705968000000,236.02,286.4903715
2024-01-22,234.43,242.97,231.02,1705881600000,237.71,312.57680421
2024-01-21,238.32,242.97,237.97,1705795200000,240.08,21.4136376
