date,close,high,low,mts,open,volume
2023-11-13,270000,272000,270000,1699833600000,272000,0.02
2023-10-25,200000,200000,200000,1698192000000,200000,0.01
2023-07-04,203000,203000,202000,1688428800000,202000,0.02
2023-06-12,199000,200000,199000,1686528000000,200000,0.02
2022-08-10,157990,157990,157990,1660089600000,157990,0.01
2022-07-15,144980,144980,144980,1657843200000,144980,0.01
2022-06-29,150000,150010,150000,1656460800000,150010,0.45
2022-06-26,162310,162310,150000,1656201600000,160010,0.9068
2022-05-04,309190,309190,309190,1651622400000,309190,7.0
2022-04-07,315000,315000,315000,1649289600000,315000,0.3176
2022-03-31,310000,310000,310000,1648684800000,310000,1.0
2022-03-28,314990,314990,314990,1648425600000,314990,0.031
2022-03-27,314990,314990,314910,1648339200000,314910,0.2742
2022-03-17,290000,290000,290000,1647475200000,290000,0.011
2022-03-01,320000,320000,320000,1646092800000,320000,0.05
