date,close,high,low,mts,open,volume
2024-02-28,82.064,85.2,81.473,1709078400000,83.593,189.86180245
2024-02-27,83.882,84.436,74.316,1708992000000,74.886,1695.69294083
2024-02-26,74.888,77.604,69.047,1708905600000,69.047,685.59579914
2024-02-25,69.189,70.796,66.625,1708819200000,67.149,149.2795039
2024-02-24,67.486,73.353,65.01,1708732800000,65.829,868.85065352
2024-02-23,65.857,74.881,57.892,1708646400000,59.638,960.0309962700001
2024-02-22,59.256,60.539,56.434,1708560000000,57.176,15.90579604
2024-02-21,57.406,59.933,55.57,1708473600000,59.67,43.677876680000004
2024-02-20,59.57,61.747,57.657,1708387200000,61.747,32.3823163
2024-02-19,61.565,62.711,60.006,1708300800000,60.46,80.08979621
2024-02-18,60.482,60.895,57.72,1708214400000,58.438,81.59269831
2024-02-17,58.217,58.927,56.177,1708128000000,58.756,39.97626892
2024-02-16,58.888,60.041,56.913,1708041600000,58.189,20.179294549999998
2024-02-15,58.297,58.504,55.413,1707955200000,58.12,478.60267273
2024-02-14,57.712,58.686,56.541,1707868800000,56.776,189.51195955
2024-02-13,57.094,58.229,56.332,1707782400000,56.96,333.04454443000003
2024-02-12,56.96,56.96,53.983,1707696000000,55.079,97.06574472
2024-02-11,54.982,56.652,54.698,1707609600000,54.698,978.04090107
2024-02-10,54.861,56.175,53.958,1707523200000,55.044,32.12152345
2024-02-09,55.162,55.225,53.661,1707436800000,53.998,18.94666829
2024-02-08,53.903,54.15,53.134,1707350400000,53.384,13.25608454
2024-02-07,53.044,53.624,52.005,1707264000000,52.439,18.71027103
2024-02-06,52.568,53.102,52.112,1707177600000,52.186,34.44610492
2024-02-05,52.288,53.53,52.0,1707091200000,52.955,27.512837660000002
2024-02-04,53.399,54.742,53.336,1707004800000,54.515,5.84905305
2024-02-03,55.003,55.994,54.522,1706918400000,54.669,20.465215620000002
2024-02-02,54.583,54.757,53.396,1706832000000,53.649,20.15127434
2024-02-01,53.397,54.642,52.569,1706745600000,54.34,22.07030444
2024-01-31,54.332,55.839,53.258,1706659200000,55.506,18.77912077
2024-01-30,54.768,56.461,54.768,1706572800000,55.867,205.63686547
2024-01-29,56.039,56.041,53.116,1706486400000,54.533,7.13680508
2024-01-28,54.395,56.14,53.93,1706400000000,55.645,67.20544677000001
2024-01-27,55.695,56.05,54.378,1706313600000,54.676,13.74915903
2024-01-26,54.654,54.745,53.232,1706227200000,53.831,15.28396579
2024-01-25,53.615,53.615,51.922,1706140800000,53.08,10.03909508
2024-01-24,52.956,53.765,51.329,1706054400000,51.898,133.37433533
2024-01-23,51.983,53.248,50.068,1705968000000,52.543,103.43624018
2024-01-22,52.386,55.506,52.076,1705881600000,54.509,38.09793107
