date,close,high,low,mts,open,volume
2024-02-27,0.99837,0.99837,0.99521,1708992000000,0.997,553.8752333
2024-02-26,0.99823,1.0,0.9952,1708905600000,1.0,6890.8561264400005
2024-02-25,0.99945,1.0,0.99702,1708819200000,0.9988,1541.73186529
2024-02-24,0.9988,0.9988,0.99557,1708732800000,0.9988,8049.99489951
2024-02-23,0.99557,0.99969,0.99557,1708646400000,0.99969,8884.5406581
2024-02-22,0.99915,0.99959,0.99521,1708560000000,0.99521,98.85461344
2024-02-21,0.99954,0.9999,0.995,1708473600000,0.99501,729.47761196
2024-02-20,0.99912,0.9999,0.9936,1708387200000,0.9936,10437.48842512
2024-02-19,0.99859,0.99902,0.9932,1708300800000,0.99614,15753.318719539999
2024-02-18,0.9997,0.9999,0.99567,1708214400000,0.99567,543.16314123
2024-02-17,0.99974,0.99974,0.99974,1708128000000,0.99974,3.17772028
2024-02-16,0.99924,0.99924,0.99924,1708041600000,0.99924,100.0
2024-02-15,0.99886,1.0,0.9952,1707955200000,0.99803,8232.01836829
2024-02-14,0.99956,0.9997,0.996,1707868800000,0.9997,159.51995297
2024-02-13,0.9997,0.9997,0.99168,1707782400000,0.99168,158.34780759
2024-02-12,0.99999,1.0,0.9913,1707696000000,0.99994,2548.80163261
2024-02-11,0.99975,0.99994,0.99536,1707609600000,0.99537,4735.02306452
2024-02-10,0.99994,1.0,0.99133,1707523200000,0.99133,696.83658485
2024-02-09,0.99982,0.99989,0.9913,1707436800000,0.999,5469.39809822
2024-02-08,0.99926,1.0039,0.9959,1707350400000,0.99907,25829.14858206
2024-02-07,0.99907,0.99907,0.9959,1707264000000,0.99906,290.9335182
2024-02-06,1.0,1.0,0.99901,1707177600000,0.99901,13223.82013885
2024-02-05,0.99901,0.99905,0.9803,1707091200000,0.99099,319857.62584634
2024-02-04,0.99099,0.991,0.98507,1707004800000,0.991,12988.381772249999
2024-02-03,0.991,0.9959,0.9831,1706918400000,0.995,28352.52395382
2024-02-02,0.9831,0.996,0.98269,1706832000000,0.99598,839109.71157229
2024-02-01,0.996,0.996,0.97974,1706745600000,0.992,845013.82440289
2024-01-31,0.992,0.996,0.9768,1706659200000,0.994,884146.34491777
