date,close,high,low,mts,open,volume
2024-02-28,32.026,32.281,31.881,1709078400000,32.112,294.44112902
2024-02-27,32.063,32.401,31.358,1708992000000,31.783,2576.92404269
2024-02-26,31.813,31.853,29.98,1708905600000,30.898,1024.44431373
2024-02-25,30.96,31.016,29.776,1708819200000,30.431,1377.68888113
2024-02-24,30.487,30.78,29.147,1708732800000,29.492,2238.58123617
2024-02-23,29.517,29.81,28.7,1708646400000,29.665,660.52183138
2024-02-22,29.676,30.932,28.788,1708560000000,29.303,1718.14175462
2024-02-21,29.396,30.02,28.265,1708473600000,29.784,720.08913527
2024-02-20,29.729,30.854,28.679,1708387200000,30.114,2887.63497804
2024-02-19,30.085,30.336,29.324,1708300800000,29.826,1998.81958475
2024-02-18,29.67,30.58,29.511,1708214400000,30.244,4131.72728914
2024-02-17,30.224,30.265,28.311,1708128000000,29.091,4767.09164106
2024-02-16,29.072,29.372,28.2,1708041600000,29.064,1678.82816243
2024-02-15,29.022,29.326,28.056,1707955200000,28.13,8545.80984433
2024-02-14,28.08,28.5,27.51,1707868800000,27.972,1175.00134489
2024-02-13,27.897,28.543,27.348,1707782400000,28.3,637.66505016
2024-02-12,28.257,28.43,27.043,1707696000000,27.486,3137.3890482
2024-02-11,27.542,28.403,27.323,1707609600000,27.493,1546.59255773
2024-02-10,27.468,27.635,26.95,1707523200000,27.524,1199.0354752599999
2024-02-09,27.518,27.717,26.836,1707436800000,26.836,483.25994914
2024-02-08,26.892,27.076,26.529,1707350400000,27.028,410.71683219
2024-02-07,26.974,26.999,26.0,1707264000000,26.29,770.51454341
2024-02-06,26.312,27.468,26.289,1707177600000,27.196,1493.06904728
2024-02-05,27.282,27.513,26.524,1707091200000,26.825,142.54395787
2024-02-04,26.752,27.738,26.722,1707004800000,27.608,179.0105714
2024-02-03,27.691,27.9,27.253,1706918400000,27.6,400.40164148
2024-02-02,27.573,27.591,26.952,1706832000000,27.236,325.74532068
2024-02-01,27.261,27.336,26.224,1706745600000,26.651,671.63640488
2024-01-31,26.632,27.654,26.303,1706659200000,27.356,609.41272034
2024-01-30,27.503,28.667,27.357,1706572800000,28.056,513.15867894
2024-01-29,28.109,28.216,27.177,1706486400000,27.562,384.41160191
2024-01-28,27.64,28.607,27.354,1706400000000,28.106,430.52267554
2024-01-27,28.077,28.12,27.521,1706313600000,27.766,253.62211947
2024-01-26,27.716,28.1,26.831,1706227200000,26.88,883.2423473
2024-01-25,27.01,27.172,26.407,1706140800000,27.06,609.39777226
2024-01-24,27.182,27.657,26.552,1706054400000,26.947,1109.27972154
2024-01-23,26.968,28.084,25.792,1705968000000,27.669,1319.10985402
2024-01-22,27.526,28.82,27.3,1705881600000,28.715,805.01547232
2024-01-21,28.527,29.853,28.527,1705795200000,28.75,1305.71310054
2024-01-20,28.827,28.983,27.359,1705708800000,27.651,1572.29053372
2024-01-19,27.614,28.014,25.793,1705622400000,27.971,1526.27617154
2024-01-18,27.927,29.143,27.384,1705536000000,28.807,758.41276822
2024-01-17,28.87,29.634,28.667,1705449600000,29.48,1354.25588864
2024-01-16,29.448,29.752,28.829,1705363200000,29.19,672.61692726
