date,close,high,low,mts,open,volume
2024-02-27,0.675,0.675,0.64501,1708992000000,0.64501,5842.17560764
2024-02-24,0.66137,0.66137,0.65909,1708732800000,0.65909,579.23
2024-02-21,0.645,0.65909,0.645,1708473600000,0.65909,7.0
2024-02-18,0.645,0.64501,0.645,1708214400000,0.64501,619.7008120600001
2024-02-16,0.64501,0.65682,0.64501,1708041600000,0.646,2774.16081156
2024-02-14,0.59,0.59001,0.59,1707868800000,0.59001,39.404842
2024-02-13,0.65,0.65,0.594,1707782400000,0.594,22.05938497
2024-02-12,0.594,0.594,0.594,1707696000000,0.594,13.721109
2024-02-11,0.594,0.594,0.594,1707609600000,0.594,16.878382
2024-02-09,0.59001,0.59001,0.59001,1707436800000,0.59001,26.714151
2024-02-05,0.59001,0.594,0.59001,1707091200000,0.594,79.51145500000001
2024-01-30,0.594,0.594,0.591,1706572800000,0.591,11900.0
2024-01-29,0.591,0.591,0.59049,1706486400000,0.59049,5086.117045
2024-01-28,0.59049,0.59049,0.59,1706400000000,0.59,9.225919000000001
2024-01-25,0.59,0.598,0.59,1706140800000,0.598,1742.8872000000001
2024-01-23,0.598,0.63522,0.598,1705968000000,0.63522,12415.741758
2024-01-21,0.63522,0.65228,0.63522,1705795200000,0.65228,1599.86333981
2024-01-20,0.65228,0.65228,0.65228,1705708800000,0.65228,1.330667
2024-01-18,0.67844,0.67845,0.65227,1705536000000,0.666,10362.15929326
2024-01-17,0.68303,0.68303,0.66605,1705449600000,0.66605,4100.0
2024-01-16,0.66605,0.66605,0.602,1705363200000,0.602,37174.4665353
2024-01-10,0.602,0.602,0.6,1704844800000,0.6,10000.0
2024-01-06,0.598,0.6,0.598,1704499200000,0.6,43.54454
2024-01-04,0.625,0.625,0.598,1704326400000,0.604,5475.17678607
2024-01-02,0.604,0.61,0.604,1704153600000,0.61,8069.92220813
2023-12-30,0.61,0.61,0.61,1703894400000,0.61,78.166748
2023-12-28,0.65,0.65,0.649,1703721600000,0.649,40.9
2023-12-27,0.65,0.65,0.65,1703635200000,0.65,5.0
2023-12-25,0.645,0.645,0.6025,1703462400000,0.60251,17133.65847252
2023-12-24,0.615,0.615,0.60499,1703376000000,0.60499,3000.0
2023-12-18,0.6025,0.63751,0.6025,1702857600000,0.63751,4134.591412
2023-12-16,0.64,0.66,0.64,1702684800000,0.66,1257.62330067
2023-12-15,0.661,0.661,0.661,1702598400000,0.661,1.0
2023-12-13,0.60002,0.68837,0.60002,1702425600000,0.68837,35.017452320000004
2023-12-12,0.68837,0.68839,0.60001,1702339200000,0.67446,15412.977556329999
2023-12-11,0.67446,0.67446,0.67446,1702252800000,0.67446,40.190452
2023-12-09,0.67446,0.67446,0.66053,1702080000000,0.66053,15458.16737973
2023-12-08,0.66053,0.66053,0.63499,1701993600000,0.63499,22142.07025
2023-12-07,0.63499,0.63499,0.62802,1701907200000,0.62802,5000.0
2023-12-06,0.62802,0.62802,0.59384,1701820800000,0.59384,25700.48165029
2023-12-05,0.59384,0.59384,0.58767,1701734400000,0.58767,5081.32508392
2023-12-02,0.58767,0.58767,0.58459,1701475200000,0.58459,3835.0876279999998
2023-11-25,0.58459,0.58459,0.58459,1700870400000,0.58459,150.0
2023-11-24,0.582,0.582,0.582,1700784000000,0.582,26.596301
2023-11-19,0.58458,0.58458,0.58458,1700352000000,0.58458,26.6496
2023-11-15,0.56801,0.58458,0.56801,1700006400000,0.58458,9.0
2023-11-13,0.56801,0.56801,0.56801,1699833600000,0.56801,48.129884
2023-11-11,0.58459,0.58459,0.57,1699660800000,0.57,6905.4507501
2023-10-25,0.57229,0.57229,0.57225,1698192000000,0.57225,123.92494681000001
2023-10-24,0.57225,0.57225,0.563,1698105600000,0.563,2400.0
2023-10-23,0.52717,0.56,0.52717,1698019200000,0.56,5000.0
2023-10-10,0.56605,0.56703,0.56605,1696896000000,0.56703,3564.311164
2023-10-06,0.56849,0.56849,0.56849,1696550400000,0.56849,40.920824
2023-09-22,0.56957,0.56957,0.56957,1695340800000,0.56957,13.3194558
2023-09-21,0.56957,0.56957,0.56955,1695254400000,0.56955,27.683374
2023-09-14,0.57113,0.57113,0.57113,1694649600000,0.57113,50.0
2023-09-12,0.57212,0.57259,0.57212,1694476800000,0.57259,745.911947
2023-09-09,0.57568,0.57568,0.57523,1694217600000,0.57523,747.40676094
2023-09-08,0.5742,0.57618,0.54795,1694131200000,0.54815,76049.790906
2023-09-07,0.54795,0.54814,0.54795,1694044800000,0.54814,26.94098
2023-09-01,0.55623,0.56951,0.55623,1693526400000,0.56951,14620.498573
2023-08-29,0.57738,0.58053,0.57738,1693267200000,0.58053,5254.952294
2023-08-28,0.58004,0.61276,0.58004,1693180800000,0.61276,41284.73519823
2023-08-27,0.61276,0.63334,0.61276,1693094400000,0.63334,62310.6815571
2023-08-26,0.63335,0.63335,0.63335,1693008000000,0.63335,8.77197
2023-08-25,0.63408,0.63475,0.63408,1692921600000,0.63475,998.21
2023-08-23,0.63503,0.63503,0.63429,1692748800000,0.63436,171.48108000000002
2023-08-22,0.63418,0.68296,0.63418,1692662400000,0.68296,41475.798649
2023-08-21,0.68588,0.69278,0.68588,1692576000000,0.69278,7316.80149
2023-08-20,0.69674,0.70073,0.69674,1692489600000,0.70073,5805.7107049999995
2023-08-19,0.701,0.701,0.70073,1692403200000,0.70073,20.012659149999998
2023-08-18,0.70325,0.70517,0.70325,1692316800000,0.70517,2888.88953
2023-08-17,0.71463,0.72588,0.71463,1692230400000,0.72588,8434.151204
2023-08-15,0.72779,0.72779,0.72779,1692057600000,0.72779,31.459101
2023-08-14,0.72806,0.72806,0.72804,1691971200000,0.72804,31.522146
2023-08-11,0.73019,0.73387,0.73019,1691712000000,0.73387,4146.577378
2023-08-10,0.73153,0.73153,0.725,1691625600000,0.725,6860.291308
2023-08-08,0.72512,0.73986,0.72512,1691452800000,0.73986,11805.314038999999
2023-08-03,0.74114,0.74144,0.74114,1691020800000,0.74139,50.54233716
2023-07-30,0.74788,0.74788,0.74788,1690675200000,0.74788,41.247077
2023-07-29,0.74817,0.75334,0.74787,1690588800000,0.75304,3408.788449
2023-07-28,0.7531,0.75341,0.75307,1690502400000,0.75337,64.00352
2023-07-26,0.75338,0.75371,0.71638,1690329600000,0.71638,27485.83004676
2023-07-25,0.71608,0.71658,0.71608,1690243200000,0.71658,68.72325000000001
