date,close,high,low,mts,open,volume
2024-02-28,6.2822,6.3131,6.1819,1709078400000,6.1939,2229.56676919
2024-02-27,6.206,6.6534,6.1396,1708992000000,6.2548,11395.31513671
2024-02-26,6.2484,6.4685,6.0941,1708905600000,6.4256,6899.54580827
2024-02-25,6.4036,6.4931,6.2429,1708819200000,6.3,2821.89438142
2024-02-24,6.3283,6.4439,5.9535,1708732800000,6.262,5792.78144926
2024-02-23,6.2809,7.2316,6.1964,1708646400000,7.1488,10819.597243
2024-02-22,7.1089,7.4845,6.923,1708560000000,7.1849,5499.74279168
2024-02-21,7.209,7.4812,6.7477,1708473600000,7.2521,7638.12319232
2024-02-20,7.2486,7.6498,6.8397,1708387200000,7.6309,6209.53427561
2024-02-19,7.5911,7.8318,7.3716,1708300800000,7.4781,2222.12530939
2024-02-18,7.3629,7.8149,7.2259,1708214400000,7.41,9122.16049888
2024-02-17,7.2288,7.6669,7.0536,1708128000000,7.5005,6796.63775244
2024-02-16,7.6045,8.0,7.4861,1708041600000,7.7114,13454.91680845
2024-02-15,7.7461,8.4897,7.7424,1707955200000,8.3,7408.96069755
2024-02-14,8.2075,8.6205,6.9968,1707868800000,6.9968,10195.40909476
2024-02-13,7.0148,7.4059,6.9251,1707782400000,7.1421,6079.01779299
2024-02-12,7.1316,7.4066,6.9548,1707696000000,7.1062,12096.91860855
2024-02-11,7.1229,7.8,7.1229,1707609600000,7.7,6624.47656729
2024-02-10,7.5,7.686,7.1,1707523200000,7.2,4679.37078246
2024-02-09,7.3,8.2,6.8828,1707436800000,7.3,39563.97064914
2024-02-08,7.359,8.0381,5.1163,1707350400000,5.45,109819.79179077
2024-02-07,5.1988,6.3,0.5,1707264000000,0.5,30236.8888605
