date,close,high,low,mts,open,volume
2024-02-28,3.2965,3.3511,3.2666,1709078400000,3.3022,142.27475382
2024-02-27,3.3013,3.332,3.078,1708992000000,3.1839,14940.36692678
2024-02-26,3.1639,3.2984,2.9101,1708905600000,3.0069,3652.59595086
2024-02-25,2.9941,3.0211,2.9207,1708819200000,2.9207,2687.82900833
2024-02-24,2.933,2.95,2.797,1708732800000,2.8978,1564.32554071
2024-02-23,2.8787,2.9521,2.8458,1708646400000,2.9254,1539.7673372900001
2024-02-22,2.9329,3.0045,2.8898,1708560000000,2.9916,2669.47820854
2024-02-21,3.0007,3.121,2.8118,1708473600000,2.9192,10258.01579094
2024-02-20,2.8746,2.96,2.754,1708387200000,2.9403,2043.05517373
2024-02-19,2.9552,2.9694,2.878,1708300800000,2.9214,1032.88885321
2024-02-18,2.8967,2.9311,2.8415,1708214400000,2.873,3281.25264338
2024-02-17,2.8948,2.9215,2.7566,1708128000000,2.8685,5144.39196271
2024-02-16,2.8756,2.9747,2.7952,1708041600000,2.9174,2977.77123658
2024-02-15,2.9043,2.9331,2.8457,1707955200000,2.8869,2214.77257245
2024-02-14,2.9038,2.9243,2.8046,1707868800000,2.83,3404.57131914
2024-02-13,2.8377,2.9001,2.7704,1707782400000,2.8807,942.70608496
2024-02-12,2.868,2.8933,2.6767,1707696000000,2.7459,3264.64335462
2024-02-11,2.7437,2.8101,2.7272,1707609600000,2.7556,473.51171653
2024-02-10,2.7486,2.8356,2.74,1707523200000,2.7931,1376.68008955
2024-02-09,2.7785,2.8107,2.6761,1707436800000,2.6836,682.11924542
2024-02-08,2.6822,2.7313,2.676,1707350400000,2.7128,469.08800638
2024-02-07,2.7005,2.7147,2.5924,1707264000000,2.629,470.25569113
2024-02-06,2.6385,2.6566,2.5419,1707177600000,2.5605,2524.55469995
2024-02-05,2.5595,2.6089,2.4711,1707091200000,2.5744,2238.24564807
2024-02-04,2.576,2.6211,2.5732,1707004800000,2.6111,54.6161922
2024-02-03,2.6171,2.6464,2.601,1706918400000,2.6392,5067.36666334
2024-02-02,2.6292,2.6481,2.5884,1706832000000,2.599,2029.0655106899999
2024-02-01,2.6028,2.6074,2.524,1706745600000,2.5895,498.033103
2024-01-31,2.5849,2.7106,2.5505,1706659200000,2.7106,1803.27573227
2024-01-30,2.6727,2.7773,2.6727,1706572800000,2.7173,2795.3811476
2024-01-29,2.7194,2.7434,2.621,1706486400000,2.6226,1177.18577379
2024-01-28,2.6273,2.7435,2.6059,1706400000000,2.6766,525.57343208
2024-01-27,2.6698,2.6909,2.6299,1706313600000,2.6628,216.01536073
2024-01-26,2.6491,2.6787,2.5418,1706227200000,2.5607,1291.82411647
2024-01-25,2.5701,2.6344,2.5028,1706140800000,2.6192,3302.17247183
2024-01-24,2.6216,2.6396,2.557,1706054400000,2.585,1413.52840688
2024-01-23,2.595,2.7034,2.4632,1705968000000,2.6044,8824.30832441
2024-01-22,2.6178,2.8118,2.5977,1705881600000,2.8055,7843.45312755
2024-01-21,2.793,2.8614,2.7853,1705795200000,2.7899,4554.71759876
2024-01-20,2.7954,2.8395,2.7159,1705708800000,2.8395,3326.78654512
2024-01-19,2.8503,2.8815,2.5871,1705622400000,2.7578,7054.64222039
2024-01-18,2.7554,2.9099,2.7187,1705536000000,2.9088,13840.05611256
2024-01-17,2.8985,3.0678,2.8484,1705449600000,3.0557,3443.46948126
2024-01-16,3.0357,3.1201,2.79,1705363200000,2.9294,13305.66835125
2024-01-15,2.9164,3.0266,2.9033,1705276800000,2.9296,9395.01227847
2024-01-14,2.9418,3.1412,2.9135,1705190400000,3.1304,9111.99859186
2024-01-13,3.1349,3.4881,3.0769,1705104000000,3.3382,12851.30640737
2024-01-12,3.319,3.6993,3.1669,1705017600000,3.3769,17705.79722975
2024-01-11,3.3951,3.6454,3.0514,1704931200000,3.184,25885.05497777
2024-01-10,3.1669,3.3045,2.7795,1704844800000,2.9079,44461.64900353
2024-01-09,2.8899,2.9472,2.6124,1704758400000,2.8077,24952.90326089
2024-01-08,2.8068,2.88,2.4388,1704672000000,2.5312,30084.94078719
2024-01-07,2.55,2.8048,2.5148,1704585600000,2.7642,5614.96695416
2024-01-06,2.7674,2.8989,2.6306,1704499200000,2.8989,2294.74982723
2024-01-05,2.9117,2.9965,2.7454,1704412800000,2.9367,14364.43334801
2024-01-04,2.9284,3.0439,2.8732,1704326400000,2.9804,5140.06836823
2024-01-03,2.9931,3.5203,1.9061,1704240000000,3.3069,32288.60128554
2024-01-02,3.3045,3.6285,3.2537,1704153600000,3.5002,57728.82835697
2024-01-01,3.4942,3.5096,3.2318,1704067200000,3.3291,11243.3617913
2023-12-31,3.3269,3.6703,3.2537,1703980800000,3.6454,5531.78642037
2023-12-30,3.6285,3.888,3.495,1703894400000,3.751,13614.91928252
2023-12-29,3.7637,3.9567,3.577,1703808000000,3.6507,9064.30032573
2023-12-28,3.6454,4.35,3.6136,1703721600000,4.0709,41751.45727454
2023-12-27,4.0828,4.2206,3.0825,1703635200000,3.135,75622.30008523
2023-12-26,3.1532,3.3382,2.83,1703548800000,3.2868,22718.66810843
2023-12-25,3.298,3.3836,3.0929,1703462400000,3.2934,17846.17919557
2023-12-24,3.2685,3.888,3.1669,1703376000000,3.7968,25568.51400397
2023-12-23,3.788,4.0177,3.0284,1703289600000,3.0991,83358.23544299
2023-12-22,3.0825,3.1096,2.5511,1703203200000,2.5917,27671.70123775
2023-12-21,2.5991,2.653,2.5425,1703116800000,2.5816,2471.73516532
2023-12-20,2.5822,2.6855,2.534,1703030400000,2.6086,9759.94188582
2023-12-19,2.6027,2.8577,2.541,1702944000000,2.8137,15528.64878536
2023-12-18,2.8202,2.8771,2.534,1702857600000,2.7909,13884.55750684
2023-12-17,2.7815,2.8577,2.708,1702771200000,2.7853,7244.95881483
2023-12-16,2.7666,2.8788,2.7387,1702684800000,2.7628,8649.3619337
2023-12-15,2.748,2.9035,2.748,1702598400000,2.8577,13082.97062658
2023-12-14,2.8478,2.8966,2.6388,1702512000000,2.8416,4841.12226952
2023-12-13,2.8389,2.8591,2.5,1702425600000,2.6508,36084.0708882
2023-12-12,2.6544,2.7429,2.5616,1702339200000,2.6754,4610.90440771
