date,close,high,low,mts,open,volume
2024-02-27,0.01689,0.016998,0.016789,1708992000000,0.016847,9930.917439589999
2024-02-26,0.016849,0.017168,0.0168,1708905600000,0.017077,7240.19185954
2024-02-25,0.017168,0.017208,0.017005,1708819200000,0.017166,2227.05781524
2024-02-24,0.017189,0.018159,0.017128,1708732800000,0.018117,7085.42627275
2024-02-23,0.018151,0.018282,0.018037,1708646400000,0.018282,112990.04544429
2024-02-22,0.018316,0.018496,0.018206,1708560000000,0.018309,93917.93873953
2024-02-21,0.018328,0.021592,0.018174,1708473600000,0.021592,260389.12821989
2024-02-20,0.021612,0.02162,0.021568,1708387200000,0.02162,55689.52625251
2024-02-19,0.021659,0.021659,0.021659,1708300800000,0.021659,70.21776193
2024-02-15,0.021675,0.021675,0.021651,1707955200000,0.021651,409.47123709
2024-02-14,0.021668,0.021751,0.021668,1707868800000,0.021751,2617.04951384
2024-02-13,0.021781,0.021845,0.02175,1707782400000,0.021782,51506.42444669
2024-02-12,0.021765,0.021765,0.021746,1707696000000,0.021746,186.72790579000002
2024-02-11,0.021738,0.021838,0.021675,1707609600000,0.021691,98298.14525926
2024-02-10,0.021708,0.02176,0.021684,1707523200000,0.02169,1087.6274259
2024-02-07,0.021732,0.021776,0.021681,1707264000000,0.021731,225392.99717174
2024-02-06,0.021738,0.022278,0.02059,1707177600000,0.02059,860.58059796
2024-02-03,0.021745,0.021788,0.021745,1706918400000,0.021777,126686.1448143
2024-02-02,0.021802,0.021802,0.021802,1706832000000,0.021802,114.98748268
2024-02-01,0.021831,0.021831,0.021745,1706745600000,0.021803,42881.928126470004
2024-01-31,0.021746,0.021862,0.021746,1706659200000,0.021785,162192.22996486002
2024-01-30,0.02181,0.021911,0.021752,1706572800000,0.021827,56089.18008247
2024-01-29,0.021815,0.021889,0.02116,1706486400000,0.021345,196466.40229229
2024-01-28,0.021978,0.022038,0.021934,1706400000000,0.021988,5540.48173226
2024-01-27,0.02201,0.02201,0.021978,1706313600000,0.021978,215.5072231
2024-01-26,0.021968,0.021998,0.021934,1706227200000,0.021988,125889.08559523
2024-01-25,0.021978,0.02203,0.021934,1706140800000,0.022008,3905.1789329900002
2024-01-24,0.02202,0.022059,0.021319,1706054400000,0.021938,3615.77209236
2024-01-23,0.02194,0.022239,0.021799,1705968000000,0.022178,132693.40333770998
2024-01-22,0.022178,0.022329,0.021907,1705881600000,0.022287,148039.40895766
2024-01-21,0.022349,0.022489,0.022307,1705795200000,0.022429,26520.8912544
2024-01-20,0.022448,0.023999,0.021826,1705708800000,0.02369,23737.01337709
2024-01-19,0.02369,0.024785,0.020618,1705622400000,0.023527,34066.64086572
2024-01-18,0.025116,0.025508,0.018871,1705536000000,0.020049,532051.01039984
2024-01-17,0.020304,0.020676,0.012973,1705449600000,0.013542,1120049.96769068
