date,close,high,low,mts,open,volume
2024-02-28,1.0956,1.1001,1.0734,1709078400000,1.0737,1149.78228925
2024-02-27,1.0746,1.163,1.0612,1708992000000,1.1131,60478.38381869
2024-02-26,1.1151,1.15,1.0402,1708905600000,1.1094,496239.56773537
2024-02-25,1.1051,1.155,1.0775,1708819200000,1.0775,102672.5057216
2024-02-24,1.0807,1.17,0.98163,1708732800000,1.0563,124023.07983553
2024-02-23,1.0602,1.23,1.0075,1708646400000,1.1114,353063.2579355
2024-02-22,1.1039,1.2045,1.0351,1708560000000,1.1362,271867.7164346
2024-02-21,1.1476,1.1572,0.93941,1708473600000,1.0539,340111.89793019
2024-02-20,1.0459,1.0892,0.87759,1708387200000,0.98559,166159.36487808
2024-02-19,0.97458,0.99,0.82486,1708300800000,0.82486,111390.47035778
2024-02-18,0.81651,0.88,0.73123,1708214400000,0.78731,170622.75265332
2024-02-17,0.78489,0.785,0.68843,1708128000000,0.70599,69889.95937876
2024-02-16,0.70641,0.72724,0.64877,1708041600000,0.6523,138457.34203674
2024-02-15,0.653,0.6847,0.64456,1707955200000,0.68187,25154.20663486
2024-02-14,0.68121,0.72894,0.65626,1707868800000,0.66572,32508.84519506
2024-02-13,0.669,0.71703,0.65034,1707782400000,0.67135,61850.28688488
2024-02-12,0.66915,0.71143,0.62326,1707696000000,0.633,50005.68484684
2024-02-11,0.63076,0.64832,0.6238,1707609600000,0.62856,33707.46725819
2024-02-10,0.62659,0.63515,0.60665,1707523200000,0.60926,60881.28475434
2024-02-09,0.60872,0.61668,0.55693,1707436800000,0.56024,99126.05731354
2024-02-08,0.55855,0.56308,0.54736,1707350400000,0.55709,14562.89846026
2024-02-07,0.55805,0.56433,0.52794,1707264000000,0.52993,8260.61936691
2024-02-06,0.52838,0.54097,0.521,1707177600000,0.52694,24906.5538494
2024-02-05,0.52569,0.54081,0.48363,1707091200000,0.5231,59642.71293217
2024-02-04,0.52394,0.56172,0.52224,1707004800000,0.5606,32591.79692826
2024-02-03,0.56152,0.61616,0.55427,1706918400000,0.57159,52906.417569209996
2024-02-02,0.56924,0.57605,0.54048,1706832000000,0.5447,17229.01547537
2024-02-01,0.54115,0.57335,0.53955,1706745600000,0.56855,28801.51623405
2024-01-31,0.56616,0.5956,0.55003,1706659200000,0.5956,37906.75509045
2024-01-30,0.60119,0.63896,0.59854,1706572800000,0.62769,15601.02785816
2024-01-29,0.62845,0.63052,0.59437,1706486400000,0.59786,8393.67875228
2024-01-28,0.60193,0.63286,0.59644,1706400000000,0.62381,11447.56624478
2024-01-27,0.624,0.6241,0.60553,1706313600000,0.60871,9238.31670663
2024-01-26,0.6119,0.61936,0.57616,1706227200000,0.57907,18929.43891432
2024-01-25,0.57989,0.60234,0.54478,1706140800000,0.59749,45319.57222211
2024-01-24,0.60235,0.60235,0.5602,1706054400000,0.571,19677.13937246
2024-01-23,0.56767,0.57436,0.53,1705968000000,0.56286,229280.68582821
2024-01-22,0.5595,0.6242,0.55285,1705881600000,0.5957,65123.27196382
2024-01-21,0.59458,0.62124,0.59458,1705795200000,0.61089,9882.03369521
2024-01-20,0.61318,0.61961,0.59905,1705708800000,0.61438,5838.63050721
2024-01-19,0.61989,0.63542,0.58428,1705622400000,0.61622,24949.89101317
2024-01-18,0.61864,0.67836,0.61,1705536000000,0.67836,28562.71172295
2024-01-17,0.6775,0.69962,0.67109,1705449600000,0.68959,11697.342358849999
2024-01-16,0.69097,0.70369,0.6658,1705363200000,0.68658,14847.89056177
