date,close,high,low,mts,open,volume
2024-02-28,8.0603,8.09,7.6583,1709078400000,7.6618,3817.07897142
2024-02-27,7.6501,8.2952,7.4964,1708992000000,8.0996,44612.19055219
2024-02-26,8.1314,8.3103,7.8162,1708905600000,8.1709,46422.19979615
2024-02-25,8.1118,8.6181,7.9872,1708819200000,8.09,108591.8368524
2024-02-24,8.1097,8.2098,7.7019,1708732800000,8.0702,52224.59517753
2024-02-23,8.0251,8.6,7.811,1708646400000,8.1636,121255.05628799
2024-02-22,8.0967,8.4709,7.08,1708560000000,7.2336,148611.55374392
2024-02-21,7.2322,7.7252,6.8186,1708473600000,7.6988,71398.0255582
2024-02-20,7.7279,7.991,7.0753,1708387200000,7.3896,230565.07778335
2024-02-19,7.4154,7.7956,6.2213,1708300800000,6.2739,134734.60654891
2024-02-18,6.2382,6.42,6.0709,1708214400000,6.1697,65630.1937002
2024-02-17,6.2094,6.3823,5.7063,1708128000000,5.7798,76623.08371669
2024-02-16,5.8088,5.9813,5.6512,1708041600000,5.8551,27383.10878019
2024-02-15,5.8623,5.93,5.6003,1707955200000,5.6003,19322.85104628
2024-02-14,5.5878,5.6677,5.4581,1707868800000,5.4833,9324.36667037
2024-02-13,5.4933,5.5442,5.3444,1707782400000,5.4609,26524.02867829
2024-02-12,5.4597,5.4951,5.2108,1707696000000,5.3139,15846.02864045
2024-02-11,5.3133,5.4352,5.2684,1707609600000,5.3546,5314.68126975
2024-02-10,5.358,5.5005,5.3006,1707523200000,5.4904,10081.68718002
2024-02-09,5.4871,5.5409,5.2204,1707436800000,5.2261,25725.33347752
2024-02-08,5.2207,5.2632,5.1425,1707350400000,5.175,9445.48082063
2024-02-07,5.1812,5.1911,4.9871,1707264000000,5.0744,24342.0085903
2024-02-06,5.064,5.1385,4.9451,1707177600000,4.9914,11084.27236656
2024-02-05,4.9895,5.0429,4.8654,1707091200000,4.9355,14299.03880334
2024-02-04,4.9298,5.0544,4.9126,1707004800000,5.0544,12628.53555934
