date,close,high,low,mts,open,volume
2024-02-28,4.2033,4.2264,4.193,1709078400000,4.2064,144.45921725
2024-02-27,4.1719,4.3292,4.0912,1708992000000,4.2428,3353.23962942
2024-02-26,4.2328,4.815,4.0681,1708905600000,4.134,17340.72962115
2024-02-25,4.1512,4.4015,4.1308,1708819200000,4.2128,3531.64542912
2024-02-24,4.2251,4.2694,3.8924,1708732800000,3.9365,9163.89893824
2024-02-23,3.9103,4.06,3.7808,1708646400000,3.7808,7515.86067025
2024-02-22,3.7611,3.9102,3.6315,1708560000000,3.656,3199.88792659
2024-02-21,3.6491,3.7063,3.532,1708473600000,3.6881,2273.16280676
2024-02-20,3.7001,3.815,3.6069,1708387200000,3.7247,3466.87672596
2024-02-19,3.7491,3.8259,3.701,1708300800000,3.7931,6122.68737879
2024-02-18,3.7941,3.8328,3.7471,1708214400000,3.7513,2414.80656612
2024-02-17,3.766,4.0899,3.5622,1708128000000,3.6898,28190.38964787
2024-02-16,3.6932,4.4214,3.2961,1708041600000,3.5009,60308.13940913
2024-02-15,3.509,3.5098,3.3318,1707955200000,3.3602,2670.98562613
2024-02-14,3.3639,3.3862,3.2442,1707868800000,3.2748,3096.62633341
2024-02-13,3.2741,3.38,3.2283,1707782400000,3.3179,3231.31138724
2024-02-12,3.305,3.3302,3.1862,1707696000000,3.2483,3698.77282219
2024-02-11,3.232,3.4277,3.2218,1707609600000,3.299,5411.31765636
2024-02-10,3.3102,3.3557,3.2391,1707523200000,3.2789,2071.83304037
2024-02-09,3.2511,3.2511,3.1876,1707436800000,3.1876,1844.02160386
2024-02-08,3.1693,3.1898,3.1687,1707350400000,3.1838,382.61446967
2024-02-07,3.1857,3.1857,3.12,1707264000000,3.1456,726.3433085199999
2024-02-06,3.1329,3.2011,3.1295,1707177600000,3.1512,3175.24633001
2024-02-05,3.1375,3.2265,3.1254,1707091200000,3.1708,1874.70642851
2024-02-04,3.1691,3.2151,3.1416,1707004800000,3.1633,1546.22915046
2024-02-03,3.1468,3.1916,3.1307,1706918400000,3.1702,1554.20304006
2024-02-02,3.1509,3.1708,3.1254,1706832000000,3.1562,1118.41749141
2024-02-01,3.1234,3.1234,3.0303,1706745600000,3.0905,1049.29813175
2024-01-31,3.1031,3.3276,3.0794,1706659200000,3.1959,5452.93527414
2024-01-30,3.1942,3.3714,3.1942,1706572800000,3.2331,4660.59296837
2024-01-29,3.2434,3.2815,3.1573,1706486400000,3.1925,5405.48504329
2024-01-28,3.1905,3.353,3.1871,1706400000000,3.2724,2685.24735857
2024-01-27,3.2743,3.3292,3.2579,1706313600000,3.3137,1108.94332052
2024-01-26,3.3189,3.3574,3.2115,1706227200000,3.2565,4053.1674183200003
2024-01-25,3.265,3.4324,3.1816,1706140800000,3.2364,19812.37158831
2024-01-24,3.2307,3.4829,3.1643,1706054400000,3.3159,9950.39228614
2024-01-23,3.318,3.9359,2.9456,1705968000000,3.0962,47484.63414072
2024-01-22,3.1008,3.46,3.0962,1705881600000,3.2645,5379.76338536
2024-01-21,3.2646,3.57,3.2425,1705795200000,3.3062,7261.53341511
2024-01-20,3.3017,3.743,3.2306,1705708800000,3.4455,19661.19539165
2024-01-19,3.4545,3.85,3.0859,1705622400000,3.1788,88920.78061322
2024-01-18,3.1849,3.454,3.1253,1705536000000,3.4358,5279.5695612399995
2024-01-17,3.4367,3.4756,3.4197,1705449600000,3.4275,929.27415526
2024-01-16,3.416,3.435,3.2038,1705363200000,3.4007,1546.6739111
2024-01-15,3.3961,3.6857,3.1968,1705276800000,3.296,9792.50421657
2024-01-14,3.3122,3.5735,3.1968,1705190400000,3.4177,8703.02285292
2024-01-13,3.42,3.4612,3.3172,1705104000000,3.3371,3077.91109762
2024-01-12,3.3197,4.178,3.1532,1705017600000,3.5261,30126.43802077
2024-01-11,3.5232,3.5719,3.3689,1704931200000,3.3689,2529.09199769
2024-01-10,3.3703,3.5134,3.1311,1704844800000,3.2036,5713.47886838
2024-01-09,3.1893,3.2897,3.1171,1704758400000,3.2733,3588.45168592
2024-01-08,3.2904,3.6,2.9864,1704672000000,3.1821,5624.03014864
2024-01-07,3.1912,3.3712,3.1143,1704585600000,3.3221,1699.93083741
2024-01-06,3.3117,3.4073,3.2172,1704499200000,3.4073,1300.02687618
2024-01-05,3.412,3.5313,3.3494,1704412800000,3.5313,2248.16879758
2024-01-04,3.5313,3.7673,3.4622,1704326400000,3.5331,7741.44053479
2024-01-03,3.5331,3.9933,3.35,1704240000000,3.7217,12392.43298248
2024-01-02,3.6909,3.9162,3.6909,1704153600000,3.7977,2357.78936699
2024-01-01,3.7768,3.95,3.5516,1704067200000,3.5757,3995.50315902
2023-12-31,3.55,4.197,3.2439,1703980800000,3.648,16763.5852427
2023-12-30,3.6735,3.707,3.5696,1703894400000,3.643,1931.34139728
2023-12-29,3.6431,4.778,3.5235,1703808000000,3.6902,21633.17928043
2023-12-28,3.7099,4.3543,3.631,1703721600000,3.9505,1869.78833158
2023-12-27,3.9816,5.8288,3.9013,1703635200000,4.2046,8593.36783262
2023-12-26,4.2046,5.1794,4.014,1703548800000,4.332,9901.20833272
2023-12-25,4.3544,5.8185,3.7989,1703462400000,3.7989,9645.95264847
2023-12-24,3.8279,4.1431,3.6283,1703376000000,3.6283,18513.75598423
2023-12-23,3.6259,3.6767,3.3345,1703289600000,3.5102,3014.61810899
2023-12-22,3.554,3.554,3.3285,1703203200000,3.5232,2611.7684294
2023-12-21,3.534,3.5756,3.4793,1703116800000,3.5756,478.94870731000003
2023-12-20,3.5756,4.1504,3.1904,1703030400000,3.4972,6351.71250754
2023-12-19,3.4788,3.6794,3.3613,1702944000000,3.3613,9439.13760075
2023-12-18,3.3752,3.9205,3.3366,1702857600000,3.6153,9427.85482609
2023-12-17,3.6176,3.6302,3.5167,1702771200000,3.5253,2600.85870317
2023-12-16,3.5501,3.6965,3.472,1702684800000,3.4817,1026.23406589
2023-12-15,3.4636,3.9895,3.385,1702598400000,3.5946,5978.70770483
2023-12-14,3.6066,3.6992,3.6066,1702512000000,3.6183,1776.18722219
2023-12-13,3.6037,3.6103,3.4618,1702425600000,3.5956,1591.5951209
2023-12-12,3.5557,3.7384,3.4339,1702339200000,3.4339,6448.48205389
2023-12-11,3.4415,3.6835,3.3697,1702252800000,3.6835,2930.33325326
2023-12-10,3.6835,3.7158,3.6054,1702166400000,3.6585,540.10967399
2023-12-09,3.6569,3.7834,3.3079,1702080000000,3.7479,1291.7143189399999
2023-12-08,3.7479,3.7623,3.5495,1701993600000,3.5495,2083.70329543
2023-12-07,3.5704,3.6987,3.2539,1701907200000,3.6307,8145.78789015
2023-12-06,3.6531,3.7505,3.2228,1701820800000,3.4381,15424.3281044
2023-12-05,3.4368,3.642,3.3614,1701734400000,3.4253,6829.43758995
