date,close,high,low,mts,open,volume
2024-02-28,0.44185,0.45245,0.44099,1709078400000,0.44735,4950.46057251
2024-02-27,0.44673,0.45466,0.43087,1708992000000,0.43634,186988.1196815
2024-02-26,0.43431,0.43587,0.41121,1708905600000,0.41652,143718.50798677
2024-02-25,0.41814,0.42478,0.41188,1708819200000,0.4224,221314.64802154
2024-02-24,0.42059,0.4232,0.38791,1708732800000,0.39712,89188.49230361
2024-02-23,0.39642,0.40636,0.3853,1708646400000,0.4023,87975.90522531
2024-02-22,0.40283,0.42,0.39437,1708560000000,0.40355,52777.70461273
2024-02-21,0.40576,0.42251,0.3899,1708473600000,0.42224,121609.26651441
2024-02-20,0.42447,0.43924,0.402,1708387200000,0.43164,193331.68962037
2024-02-19,0.42999,0.44041,0.42322,1708300800000,0.42473,168639.26015153
2024-02-18,0.4218,0.42446,0.39635,1708214400000,0.39946,87991.48041489
2024-02-17,0.40079,0.40999,0.38683,1708128000000,0.40898,98609.48714497
2024-02-16,0.40784,0.4247,0.39867,1708041600000,0.41614,97036.11396056
2024-02-15,0.41505,0.41939,0.40163,1707955200000,0.41397,107220.73537839
2024-02-14,0.4106,0.4177,0.39235,1707868800000,0.39279,284140.50142557
2024-02-13,0.3951,0.40342,0.38285,1707782400000,0.4018,170487.66658837
2024-02-12,0.40182,0.40572,0.37469,1707696000000,0.38659,552772.76940515
2024-02-11,0.38663,0.40112,0.38387,1707609600000,0.39984,226281.3381637
2024-02-10,0.39845,0.40356,0.38629,1707523200000,0.39784,56907.1115649
2024-02-09,0.39715,0.40453,0.3748,1707436800000,0.37669,963784.80622505
2024-02-08,0.37486,0.37654,0.36656,1707350400000,0.36693,164276.78712722
2024-02-07,0.36693,0.36845,0.34884,1707264000000,0.35638,92269.76351897
2024-02-06,0.35698,0.3636,0.35406,1707177600000,0.35804,263160.05786435
2024-02-05,0.35979,0.36374,0.34252,1707091200000,0.34874,43786.20957091
2024-02-04,0.34817,0.36023,0.34597,1707004800000,0.35401,88307.8597903
2024-02-03,0.35555,0.36541,0.35407,1706918400000,0.36194,23038.78910101
2024-02-02,0.36089,0.3653,0.35465,1706832000000,0.35465,64250.476139
2024-02-01,0.35479,0.35499,0.34379,1706745600000,0.35376,90390.11355784
