date,close,high,low,mts,open,volume
2024-02-28,4.9855,4.9861,4.965,1709078400000,4.9776,27.8365
2024-02-27,4.9776,4.9796,4.8938,1708992000000,4.9092,225.60014453
2024-02-26,4.9018,4.9301,4.7608,1708905600000,4.9217,1306.01802506
2024-02-25,4.9244,4.9339,4.7916,1708819200000,4.8364,994.4278169300001
2024-02-24,4.8364,4.9275,4.7034,1708732800000,4.7132,2130.4595640899997
2024-02-23,4.7132,4.7406,4.7028,1708646400000,4.7101,120.8835
2024-02-22,4.7025,4.7595,4.6813,1708560000000,4.7332,132.202
2024-02-21,4.7332,4.7719,4.6778,1708473600000,4.7616,215.8914964
2024-02-20,4.7616,4.791,4.7261,1708387200000,4.7445,164.70094033
2024-02-19,4.7394,4.7984,4.7325,1708300800000,4.7728,170.1554
2024-02-18,4.7728,4.7743,4.7109,1708214400000,4.7109,126.589446
2024-02-17,4.7099,4.7246,4.6745,1708128000000,4.7222,99.7983
2024-02-16,4.72,4.763,4.661,1708041600000,4.7237,144.5767
2024-02-15,4.7237,4.737,4.6839,1707955200000,4.713,132.6251
2024-02-14,4.713,4.713,4.6372,1707868800000,4.6676,187.9948
2024-02-13,4.6646,4.6969,4.5906,1707782400000,4.5906,330.59194083
2024-02-12,4.5869,4.7353,4.5668,1707696000000,4.7133,437.58561825
2024-02-11,4.6953,4.7834,4.6947,1707609600000,4.7508,82.2632
2024-02-10,4.7498,4.8388,4.7478,1707523200000,4.8083,259.34628443
2024-02-09,4.8083,4.8269,4.742,1707436800000,4.7761,274.10318588
2024-02-08,4.7761,4.8165,4.7271,1707350400000,4.8009,188.14966409
2024-02-07,4.8009,4.8009,4.7283,1707264000000,4.7556,144.55272031
2024-02-06,4.7556,4.781,4.6811,1707177600000,4.6963,94.543
2024-02-05,4.6913,4.7757,4.6529,1707091200000,4.7757,184.00266555
2024-02-04,4.7757,4.8228,4.7367,1707004800000,4.8184,129.0551
2024-02-03,4.8185,4.8518,4.5068,1706918400000,4.6351,265.83308822
2024-02-02,4.6231,4.8134,4.5618,1706832000000,4.8049,548.47255678
2024-02-01,4.8039,4.8039,4.674,1706745600000,4.7142,195.45218338
2024-01-31,4.698,4.8027,4.6844,1706659200000,4.744,105.84431809
2024-01-30,4.7525,4.804,4.6628,1706572800000,4.804,245.22575582
2024-01-29,4.804,4.8769,4.7562,1706486400000,4.8067,259.06969838
2024-01-28,4.8046,4.8046,4.7412,1706400000000,4.7412,99.17826901
2024-01-27,4.7412,4.7412,4.6679,1706313600000,4.677,75.48432042
