date,close,high,low,mts,open,volume
2024-02-28,12.823,13.166,12.823,1709078400000,12.997,51.4314392
2024-02-27,12.997,13.242,12.696,1708992000000,12.944,5350.03517104
2024-02-26,12.948,13.012,12.126,1708905600000,12.493,5225.35921608
2024-02-25,12.466,13.043,12.315,1708819200000,12.479,4249.93802154
2024-02-24,12.505,12.654,12.055,1708732800000,12.413,5915.17283261
2024-02-23,12.36,13.174,12.039,1708646400000,12.793,8296.71664636
2024-02-22,12.745,13.272,12.601,1708560000000,13.142,8341.24905797
2024-02-21,13.166,13.745,12.623,1708473600000,13.707,8878.177024390001
2024-02-20,13.756,14.666,13.141,1708387200000,14.6,7107.23366632
2024-02-19,14.578,14.859,13.502,1708300800000,13.626,4480.0551662200005
2024-02-18,13.66,13.946,13.195,1708214400000,13.242,2595.01321421
2024-02-17,13.224,13.472,12.696,1708128000000,13.097,2173.42486638
2024-02-16,13.123,13.635,12.907,1708041600000,13.55,4060.71682167
2024-02-15,13.483,14.025,13.014,1707955200000,13.638,7912.45011988
2024-02-14,13.56,14.182,12.876,1707868800000,12.887,7367.10214099
2024-02-13,12.917,13.445,12.696,1707782400000,13.359,4587.75224392
2024-02-12,13.28,13.472,12.589,1707696000000,12.976,6171.31730444
2024-02-11,12.988,13.596,12.904,1707609600000,13.191,8980.69790725
2024-02-10,13.141,13.668,12.622,1707523200000,12.902,3843.73562408
2024-02-09,12.871,13.026,12.179,1707436800000,12.179,6334.37976309
2024-02-08,12.208,12.587,12.126,1707350400000,12.329,4859.99492845
2024-02-07,12.291,12.363,11.783,1707264000000,12.188,3427.42333231
2024-02-06,12.143,12.411,10.931,1707177600000,12.289,4807.87403034
2024-02-05,12.26,13.017,12.122,1707091200000,12.788,4406.44623473
2024-02-04,12.744,13.875,12.479,1707004800000,12.696,5038.2596376
2024-02-03,12.75,14.269,12.498,1706918400000,12.793,5612.6714516600005
2024-02-02,12.73,12.936,11.648,1706832000000,11.648,5423.92641186
2024-02-01,11.662,11.824,11.253,1706745600000,11.485,3049.0343675999998
2024-01-31,11.453,11.942,11.278,1706659200000,11.76,5377.05820855
2024-01-30,11.7,12.618,11.7,1706572800000,12.529,2918.44063367
2024-01-29,12.604,12.812,11.954,1706486400000,12.342,5747.38708704
