date,close,high,low,mts,open,volume
2024-02-28,0.50308,0.50896,0.50095,1709078400000,0.50221,125.41249415
2024-02-27,0.50225,0.53014,0.47706,1708992000000,0.48428,79663.94725936
2024-02-26,0.50011,0.504,0.47301,1708905600000,0.49257,594.22817083
2024-02-25,0.49768,0.49908,0.48841,1708819200000,0.4904,1068.15274301
2024-02-24,0.49161,0.52401,0.47083,1708732800000,0.48238,25407.16474123
2024-02-23,0.48205,0.53877,0.46402,1708646400000,0.4689,27979.88084267
2024-02-22,0.46846,0.48578,0.45602,1708560000000,0.472,43419.62505029
2024-02-21,0.47587,0.50308,0.45396,1708473600000,0.50235,39436.88696365
2024-02-20,0.50337,0.52626,0.45563,1708387200000,0.52491,59007.98667795
2024-02-19,0.52714,0.54631,0.52144,1708300800000,0.53507,3474.35524234
2024-02-18,0.53115,0.548,0.5202,1708214400000,0.5202,1178.62131203
2024-02-17,0.50417,0.5202,0.48,1708128000000,0.51944,18764.98312237
2024-02-16,0.51944,0.527,0.49507,1708041600000,0.51781,41831.27606943
2024-02-15,0.52626,0.583,0.50714,1707955200000,0.52989,86236.06176361
2024-02-14,0.52973,0.548,0.49331,1707868800000,0.49331,58126.02488184
2024-02-13,0.5043,0.524,0.48,1707782400000,0.50549,1205.35818582
2024-02-12,0.50675,0.524,0.42981,1707696000000,0.50734,123020.72773038001
2024-02-11,0.50499,0.52127,0.49799,1707609600000,0.49799,2983.18494322
2024-02-10,0.50454,0.52261,0.49991,1707523200000,0.51333,17278.20398429
2024-02-09,0.5192,0.5192,0.461,1707436800000,0.50759,108254.78674617
2024-02-08,0.51699,0.56186,0.51699,1707350400000,0.56075,13971.41773466
2024-02-07,0.55556,0.59391,0.51591,1707264000000,0.53242,19904.49198432
2024-02-06,0.52673,0.55565,0.51023,1707177600000,0.53951,19632.84352482
2024-02-05,0.53801,0.56576,0.5254,1707091200000,0.5254,3698.11467705
2024-02-04,0.52856,0.57123,0.52856,1707004800000,0.564,8083.52596566
2024-02-03,0.56556,0.60001,0.56556,1706918400000,0.60001,646.16566061
2024-02-02,0.61332,0.63433,0.5822,1706832000000,0.60441,10277.09257627
2024-02-01,0.59711,5005.0,0.262,1706745600000,5005.0,5469.42145516
