date,close,high,low,mts,open,volume
2024-02-28,3.4489,3.4749,3.4489,1709078400000,3.4749,73.16270177999999
2024-02-27,3.4596,3.6242,3.215,1708992000000,3.5943,4188.96939263
2024-02-26,3.6328,3.7574,3.2956,1708905600000,3.3926,11565.96773465
2024-02-25,3.3913,3.4203,3.2608,1708819200000,3.2791,10120.52123919
2024-02-24,3.2921,3.3157,3.024,1708732800000,3.0882,12242.25820617
2024-02-23,3.0652,3.2178,2.9481,1708646400000,2.9686,13295.16772722
2024-02-22,2.9555,3.1485,2.9543,1708560000000,3.0129,6208.02659984
2024-02-21,3.0638,3.3437,2.946,1708473600000,3.246,12054.12289494
2024-02-20,3.2343,3.4096,3.05,1708387200000,3.4096,14523.5825868
2024-02-19,3.4015,3.4711,3.2872,1708300800000,3.3326,6497.0419777
2024-02-18,3.3101,3.3389,3.086,1708214400000,3.0965,5408.59065843
2024-02-17,3.1296,3.25,3.0902,1708128000000,3.239,3961.42932074
2024-02-16,3.2433,3.35,3.1318,1708041600000,3.2535,16138.75386864
2024-02-15,3.2246,3.3499,2.9028,1707955200000,3.2955,7125.02127477
2024-02-14,3.2666,3.3244,3.1151,1707868800000,3.1151,7926.39975829
2024-02-13,3.0906,3.1871,3.0678,1707782400000,3.1265,4861.00471598
2024-02-12,3.1193,3.1357,2.8373,1707696000000,2.8962,6695.26503097
2024-02-11,2.8843,3.0238,2.8827,1707609600000,2.9772,3950.39621858
2024-02-10,2.9694,3.0167,2.919,1707523200000,2.9892,2352.68905066
2024-02-09,2.9692,3.0044,2.903,1707436800000,2.9041,5237.98927084
2024-02-08,2.8814,2.964,2.8334,1707350400000,2.89,6201.06035591
2024-02-07,2.8994,3.1153,2.78,1707264000000,2.807,62496.18757402
2024-02-06,2.7985,2.824,2.6782,1707177600000,2.6994,6685.35916093
2024-02-05,2.6898,2.8417,2.6365,1707091200000,2.6481,4053.53207566
2024-02-04,2.6859,2.773,2.6859,1707004800000,2.745,721.10140367
2024-02-03,2.7869,2.8468,2.7469,1706918400000,2.8468,1501.18845485
2024-02-02,2.8292,2.8614,2.7866,1706832000000,2.8136,550.0624986500001
2024-02-01,2.8234,2.9621,2.7568,1706745600000,2.8372,2424.4904041
2024-01-31,2.8082,3.0219,2.806,1706659200000,3.0219,4189.5567287
2024-01-30,3.0135,3.2463,2.9769,1706572800000,3.1236,9723.50273375
2024-01-29,3.1529,3.2674,3.0287,1706486400000,3.2674,2723.13197605
2024-01-28,3.1577,3.2097,3.0734,1706400000000,3.0813,2624.23096269
2024-01-27,3.0675,3.2674,2.9926,1706313600000,3.0993,266.85303937
2024-01-26,3.0762,3.0904,2.9788,1706227200000,3.0519,13959.33233701
2024-01-25,2.9858,3.0,2.7842,1706140800000,2.8652,4981.80555082
2024-01-24,2.8796,2.8878,2.6375,1706054400000,2.6887,9231.02594657
2024-01-23,2.6245,2.8416,2.5656,1705968000000,2.7247,27054.14797949
2024-01-22,2.7322,3.0055,2.7229,1705881600000,2.9075,13456.07048934
2024-01-21,2.8719,2.9701,2.8691,1705795200000,2.883,1485.98868511
2024-01-20,2.9036,2.95,2.8592,1705708800000,2.95,12014.66346879
2024-01-19,2.956,3.1699,2.8319,1705622400000,2.9943,6689.37356981
2024-01-18,3.0046,3.3481,2.9537,1705536000000,3.196,6277.7610433400005
2024-01-17,3.1823,3.6054,3.1604,1705449600000,3.4432,9691.23379099
2024-01-16,3.4533,3.5424,3.2549,1705363200000,3.2788,4699.41052437
2024-01-15,3.2659,3.4206,3.2268,1705276800000,3.2372,1924.65857519
2024-01-14,3.325,3.5396,3.2384,1705190400000,3.4037,4834.83533749
2024-01-13,3.8119,3.8119,3.2867,1705104000000,3.4382,4047.67784911
2024-01-12,3.4933,3.8353,3.3775,1705017600000,3.498,10686.89085155
2024-01-11,3.738,4.0246,3.3801,1704931200000,3.7935,26126.67650993
2024-01-10,3.7825,4.0106,3.2401,1704844800000,3.6342,416082.10585236
2024-01-09,3.6284,3.674,2.743,1704758400000,2.9924,39092.52173504
