date,close,high,low,mts,open,volume
2024-02-28,4.372,4.372,4.372,1709078400000,4.372,396.13277347
2024-02-27,4.372,4.3721,4.3519,1708992000000,4.3619,63896.77498038
2024-02-26,4.3619,4.362,4.0951,1708905600000,4.2573,34588.50109742
2024-02-25,4.2429,4.2802,4.1246,1708819200000,4.223,23773.44106397
2024-02-24,4.223,4.223,4.1024,1708732800000,4.1356,11586.9187545
2024-02-23,4.1356,4.213,4.09,1708646400000,4.1645,20069.71316302
2024-02-22,4.1592,4.2307,4.1,1708560000000,4.1212,20878.69462867
2024-02-21,4.1212,4.372,4.0592,1708473600000,4.292,96598.02572442
2024-02-20,4.292,4.3037,4.11,1708387200000,4.15,28276.75974567
2024-02-19,4.15,4.15,4.1041,1708300800000,4.1498,9777.31085298
2024-02-18,4.1498,4.184,4.0939,1708214400000,4.1428,15252.17270501
2024-02-17,4.1428,4.1661,4.0737,1708128000000,4.1009,15967.6957131
2024-02-16,4.1004,4.1878,4.07,1708041600000,4.1811,42375.66308039
2024-02-15,4.1811,4.1831,4.0803,1707955200000,4.164,21864.32840146
2024-02-14,4.164,4.1696,4.1246,1707868800000,4.1539,18733.30874119
2024-02-13,4.1539,4.1664,4.0622,1707782400000,4.1656,30267.99928497
2024-02-12,4.1656,4.166,4.065,1707696000000,4.1142,36896.88855808
2024-02-11,4.1135,4.1662,4.0803,1707609600000,4.1593,27958.03756661
2024-02-10,4.1573,4.166,4.0606,1707523200000,4.1051,13950.42202064
2024-02-09,4.109,4.1098,4.0603,1707436800000,4.0603,35124.96290044
2024-02-08,4.0603,4.099,4.0601,1707350400000,4.0894,15459.89097101
2024-02-07,4.0894,4.0992,4.0125,1707264000000,4.0992,28739.66535527
2024-02-06,4.0992,4.0993,4.0492,1707177600000,4.088,12797.49944848
2024-02-05,4.088,4.1035,3.9932,1707091200000,4.0346,42061.54858034
2024-02-04,4.0346,4.0444,3.976,1707004800000,4.0117,14377.16679995
2024-02-03,4.0118,4.05,3.99,1706918400000,4.03,782789.09266836
2024-02-02,4.03,4.0444,3.9975,1706832000000,3.9989,27082.40604715
2024-02-01,3.9989,4.0,3.92,1706745600000,3.9898,37486.91254549
2024-01-31,3.9912,4.0008,3.8953,1706659200000,3.8985,38839.13136383
2024-01-30,3.8985,4.0091,3.76,1706572800000,3.988,308185.32295525
2024-01-29,3.988,4.087,3.91,1706486400000,4.0042,180713.21642904
2024-01-28,4.0042,4.0944,3.9832,1706400000000,4.0225,48212.19613954
