date,close,high,low,mts,open,volume
2024-02-28,1.0282,1.0366,1.0237,1709078400000,1.0282,6404.78202685
2024-02-27,1.0274,1.0756,1.0149,1708992000000,1.061,1451148.34819785
2024-02-26,1.0582,1.0699,0.97179,1708905600000,0.99344,1514525.00988349
2024-02-25,0.9977,1.0037,0.96447,1708819200000,0.99322,103673.96154840999
2024-02-24,0.99596,1.0278,0.97293,1708732800000,0.98491,770621.50573555
2024-02-23,0.99037,1.0073,0.94337,1708646400000,0.99257,432605.57735677
2024-02-22,0.99198,1.0533,0.92228,1708560000000,0.94516,909529.49153167
2024-02-21,0.95,1.0333,0.9084,1708473600000,1.0215,406823.85270821
2024-02-20,1.0208,1.0304,0.94203,1708387200000,0.99737,787185.3754695
2024-02-19,0.99506,1.0092,0.97445,1708300800000,0.99775,433424.25250081
2024-02-18,0.99781,0.99858,0.91979,1708214400000,0.92797,619775.42866636
2024-02-17,0.92878,0.95679,0.90441,1708128000000,0.9511,208764.52690879
2024-02-16,0.95175,0.955,0.88717,1708041600000,0.89029,2727394.9882966
2024-02-15,0.8893,0.90758,0.87363,1707955200000,0.88987,1062724.6838034
2024-02-14,0.89012,0.89344,0.84537,1707868800000,0.84897,988893.91781177
2024-02-13,0.85223,0.8844,0.8454,1707782400000,0.88339,339874.19227917
2024-02-12,0.88132,0.88483,0.82035,1707696000000,0.83644,339721.82710284
2024-02-11,0.836,0.86484,0.83176,1707609600000,0.84844,73229.63227929
2024-02-10,0.84897,0.8688,0.83934,1707523200000,0.85391,108804.89032337
2024-02-09,0.85293,0.85899,0.83143,1707436800000,0.83578,217702.9747895
2024-02-08,0.83555,0.84768,0.8246,1707350400000,0.83515,326228.14140277
2024-02-07,0.83327,0.83701,0.78829,1707264000000,0.8056,138760.36298436
2024-02-06,0.80543,0.81579,0.77849,1707177600000,0.78075,109687.03014778
2024-02-05,0.77955,0.79494,0.7642,1707091200000,0.7734,236577.36599256
2024-02-04,0.77467,0.78761,0.77099,1707004800000,0.78156,22708.07848124
2024-02-03,0.78487,0.80514,0.78173,1706918400000,0.79839,36106.80941222
2024-02-02,0.79911,0.8225,0.79607,1706832000000,0.81205,65594.92331277
2024-02-01,0.8109,0.81688,0.76564,1706745600000,0.78948,307962.26936737
2024-01-31,0.78711,0.8338,0.77935,1706659200000,0.80007,186842.43292675
2024-01-30,0.79962,0.8213,0.79595,1706572800000,0.81374,141710.19746435
2024-01-29,0.81299,0.8164,0.77452,1706486400000,0.78716,268505.4301716
2024-01-28,0.78943,0.80988,0.78144,1706400000000,0.78584,100316.49247807
2024-01-27,0.78807,0.78823,0.75603,1706313600000,0.75879,44268.41472313
2024-01-26,0.75807,0.76142,0.7285,1706227200000,0.73118,44087.941702179996
2024-01-25,0.73306,0.73938,0.71784,1706140800000,0.73842,45298.04007125
2024-01-24,0.73933,0.74559,0.71678,1706054400000,0.72566,89211.64132095
2024-01-23,0.72457,0.76539,0.69264,1705968000000,0.7469,222380.30637666
2024-01-22,0.74737,0.79186,0.73348,1705881600000,0.78568,221567.12328874
2024-01-21,0.78264,0.80822,0.78247,1705795200000,0.78739,60580.049077
2024-01-20,0.78897,0.78904,0.75251,1705708800000,0.76287,92533.07577043
2024-01-19,0.76282,0.7973,0.74432,1705622400000,0.78829,223476.43392245
2024-01-18,0.7863,0.82069,0.77293,1705536000000,0.8126,69489.32489288
2024-01-17,0.81095,0.85248,0.80304,1705449600000,0.84603,280346.63868588
2024-01-16,0.84482,0.85746,0.82831,1705363200000,0.84688,51340.39815897
2024-01-15,0.84473,0.86738,0.83644,1705276800000,0.83776,392898.45227761
2024-01-14,0.83691,0.88293,0.83691,1705190400000,0.88007,208262.94664973
2024-01-13,0.88209,0.88816,0.84447,1705104000000,0.8662,59769.16328651
2024-01-12,0.86707,0.94326,0.83599,1705017600000,0.91948,472259.05767258
2024-01-11,0.92743,0.95419,0.88311,1704931200000,0.89966,569327.58114986
2024-01-10,0.89855,0.91033,0.80471,1704844800000,0.80471,753758.69193792
2024-01-09,0.80204,0.84438,0.78255,1704758400000,0.84031,513140.27581307
2024-01-08,0.84268,0.84306,0.73563,1704672000000,0.79926,488424.29850814
2024-01-07,0.80019,0.84425,0.79413,1704585600000,0.82751,169241.02928003
2024-01-06,0.8286,0.85169,0.79738,1704499200000,0.85169,209926.14516737
2024-01-05,0.85282,0.88677,0.82,1704412800000,0.88544,249032.44261031
2024-01-04,0.88259,0.89119,0.83921,1704326400000,0.85396,369015.98277276
2024-01-03,0.85453,0.98879,0.73434,1704240000000,0.97118,905095.60286525
2024-01-02,0.97029,1.033,0.96455,1704153600000,1.0146,268981.23303973
2024-01-01,1.0167,1.0196,0.95728,1704067200000,0.97653,276168.36492773
2023-12-31,0.971,1.0124,0.94605,1703980800000,0.95046,430270.69411487
2023-12-30,0.95122,0.98963,0.94276,1703894400000,0.97137,133478.34969573
2023-12-29,0.97274,1.0181,0.94298,1703808000000,1.0064,495506.58288077
2023-12-28,1.0013,1.0702,0.98824,1703721600000,1.0348,633872.10720222
2023-12-27,1.0368,1.0942,0.9853,1703635200000,1.0206,1258156.84702779
2023-12-26,1.0189,1.031,0.86227,1703548800000,0.91367,3946992.87017153
2023-12-25,0.91317,0.9226,0.83652,1703462400000,0.85196,1175809.04800914
2023-12-24,0.848,0.88424,0.8321,1703376000000,0.85987,571557.65339794
2023-12-23,0.86002,0.88149,0.83005,1703289600000,0.87851,190474.23945294
2023-12-22,0.8776,0.8776,0.81372,1703203200000,0.82,584204.29331949
2023-12-21,0.81732,0.81965,0.77318,1703116800000,0.77372,273486.2260107
2023-12-20,0.77541,0.79808,0.755,1703030400000,0.76756,850817.89655131
2023-12-19,0.76595,0.82235,0.75096,1702944000000,0.79946,642751.54226485
2023-12-18,0.80129,0.82542,0.75622,1702857600000,0.8192,356734.14007669
2023-12-17,0.81722,0.85356,0.81422,1702771200000,0.85264,55518.6388114
2023-12-16,0.85,0.86706,0.83262,1702684800000,0.84219,78494.32172084
2023-12-15,0.83855,0.88438,0.83759,1702598400000,0.88438,373103.0249951
2023-12-14,0.88346,0.90193,0.85995,1702512000000,0.88937,360182.91329287
2023-12-13,0.88878,0.89811,0.83,1702425600000,0.88841,437379.74958676
2023-12-12,0.88528,0.9,0.84405,1702339200000,0.84804,695020.46998372
2023-12-11,0.84239,0.94009,0.81448,1702252800000,0.92548,885482.56878251
2023-12-10,0.923,0.9328,0.87944,1702166400000,0.8881,171367.86833466
2023-12-09,0.88352,0.94493,0.87754,1702080000000,0.9097,838015.46343018
2023-12-08,0.90625,0.91076,0.84454,1701993600000,0.84454,752362.1620081
2023-12-07,0.84189,0.85974,0.81162,1701907200000,0.822,678196.16547029
2023-12-06,0.82019,0.848,0.80334,1701820800000,0.81651,380748.32579868
2023-12-05,0.81489,0.81941,0.78465,1701734400000,0.8089,394101.80203702
2023-12-04,0.8083,0.8379,0.78349,1701648000000,0.81355,780496.7400362
2023-12-03,0.81411,0.82264,0.79937,1701561600000,0.81483,272370.38050525
2023-12-02,0.81608,0.82492,0.79688,1701475200000,0.79899,213852.66593285
2023-12-01,0.79799,0.79921,0.75504,1701388800000,0.76127,291626.03179552
2023-11-30,0.76227,0.78137,0.75473,1701302400000,0.75804,207567.02327076
2023-11-29,0.75706,0.77147,0.74298,1701216000000,0.74779,110746.56351299
2023-11-28,0.74703,0.75711,0.72886,1701129600000,0.74263,215315.22316084
2023-11-27,0.7435,0.76701,0.72882,1701043200000,0.7652,130862.77767352
