date,close,high,low,mts,open,volume
2024-02-28,0.57507,0.57507,0.56283,1709078400000,0.56394,355.67829373
2024-02-27,0.5632,0.57182,0.52862,1708992000000,0.53715,66168.75615754
2024-02-26,0.53715,0.54,0.50796,1708905600000,0.51492,25714.34562613
2024-02-25,0.51045,0.51282,0.49349,1708819200000,0.50027,8830.65443886
2024-02-24,0.50164,0.50561,0.47684,1708732800000,0.47919,6778.3510861
2024-02-23,0.48165,0.49117,0.47355,1708646400000,0.49117,6378.59146674
2024-02-22,0.48747,0.49524,0.47025,1708560000000,0.47928,22378.60219089
2024-02-21,0.48069,0.49953,0.46204,1708473600000,0.49636,16790.55472843
2024-02-20,0.49933,0.51751,0.48,1708387200000,0.51425,127348.98183718
2024-02-19,0.51568,0.51892,0.49781,1708300800000,0.50329,510439.06638752
2024-02-18,0.50373,0.5105,0.48577,1708214400000,0.48809,248813.38690517
2024-02-17,0.4864,0.51823,0.4275,1708128000000,0.49877,74488.5453685
2024-02-16,0.49781,0.51069,0.48834,1708041600000,0.50413,7343.19180004
2024-02-15,0.50372,0.5063,0.48392,1707955200000,0.48761,10957.10678693
2024-02-14,0.48661,0.48869,0.46609,1707868800000,0.46954,5255.63007791
2024-02-13,0.46848,0.48591,0.45956,1707782400000,0.4859,9039.54311856
2024-02-12,0.48435,0.49055,0.46187,1707696000000,0.47085,22308.13930147
2024-02-11,0.47008,0.47253,0.46043,1707609600000,0.46172,26562.40266553
2024-02-10,0.46151,0.47566,0.4612,1707523200000,0.46802,2888.4612344399998
2024-02-09,0.46716,0.46881,0.45056,1707436800000,0.45056,17020.870615390002
2024-02-08,0.4491,0.45341,0.44173,1707350400000,0.44688,101898.39295632
2024-02-07,0.44538,0.44776,0.42457,1707264000000,0.4328,4259.95470244
2024-02-06,0.4318,0.43895,0.42946,1707177600000,0.43481,2045.17177032
2024-02-05,0.43445,0.44067,0.42731,1707091200000,0.4312,8879.33206236
2024-02-04,0.43099,0.43961,0.42986,1707004800000,0.43728,3032.2340635699998
2024-02-03,0.43932,0.44495,0.43563,1706918400000,0.44141,631.44723241
2024-02-02,0.4404,0.44517,0.43368,1706832000000,0.43595,6356.3744923
2024-02-01,0.4348,0.43618,0.42487,1706745600000,0.43394,1967.13854217
2024-01-31,0.43142,0.44397,0.42898,1706659200000,0.44397,7769.82146624
2024-01-30,0.4453,0.4604,0.44251,1706572800000,0.45705,1273.20192073
2024-01-29,0.45859,0.46049,0.44,1706486400000,0.44363,8038.43501138
2024-01-28,0.44573,0.46235,0.44302,1706400000000,0.45625,6133.76515817
2024-01-27,0.45419,0.45554,0.44321,1706313600000,0.45479,5601.20856997
2024-01-26,0.45108,0.45169,0.42915,1706227200000,0.43345,26379.388379519998
2024-01-25,0.43344,0.43999,0.42703,1706140800000,0.43999,13501.5193204
2024-01-24,0.43951,0.44528,0.42233,1706054400000,0.4237,16495.977929650002
2024-01-23,0.42677,0.44881,0.40857,1705968000000,0.44514,22339.5687642
2024-01-22,0.4436,0.4776,0.43869,1705881600000,0.47709,6372.17545352
2024-01-21,0.47635,0.49273,0.47091,1705795200000,0.47292,3316.54841734
2024-01-20,0.47447,0.48006,0.46033,1705708800000,0.46919,9009.6782473
2024-01-19,0.46908,0.47429,0.42877,1705622400000,0.44081,15699.10550562
2024-01-18,0.44033,0.47117,0.43061,1705536000000,0.46207,28338.36878698
2024-01-17,0.46323,0.4685,0.45273,1705449600000,0.46429,6345.20685006
2024-01-16,0.46453,0.46722,0.4514,1705363200000,0.45291,6618.33063807
2024-01-15,0.45202,0.46019,0.44611,1705276800000,0.44611,3855.3621122199997
2024-01-14,0.44715,0.46795,0.44602,1705190400000,0.46734,11637.33080215
2024-01-13,0.46875,0.4791,0.45724,1705104000000,0.46323,5324.3466176599995
2024-01-12,0.46265,0.49428,0.44346,1705017600000,0.48459,31859.63493085
2024-01-11,0.48525,0.49006,0.43776,1704931200000,0.46681,29031.26258375
2024-01-10,0.46373,0.47141,0.42129,1704844800000,0.43264,12365.19692903
2024-01-09,0.4313,0.45445,0.41642,1704758400000,0.4516,24614.27722035
2024-01-08,0.45279,0.45518,0.4,1704672000000,0.42809,26070.55986061
2024-01-07,0.42536,0.46358,0.42377,1704585600000,0.45248,6573.92152481
2024-01-06,0.45349,0.48,0.42918,1704499200000,0.45943,15336.51487995
2024-01-05,0.46148,0.48045,0.44,1704412800000,0.47545,32275.7854339
2024-01-04,0.47815,0.50768,0.45981,1704326400000,0.46775,16995.63821543
2024-01-03,0.46713,0.53776,0.39517,1704240000000,0.53184,36081.91777012
2024-01-02,0.52992,0.54965,0.52582,1704153600000,0.54039,14282.80898989
2024-01-01,0.54092,0.54092,0.51715,1704067200000,0.52315,10866.2988088
2023-12-31,0.52188,0.53102,0.50567,1703980800000,0.51679,11736.07953216
2023-12-30,0.51658,0.52102,0.50767,1703894400000,0.51326,12086.37919519
2023-12-29,0.5153,0.53879,0.50035,1703808000000,0.52993,28739.81262347
2023-12-28,0.53011,0.56359,0.525,1703721600000,0.5574,14729.69678728
2023-12-27,0.55462,0.56195,0.53421,1703635200000,0.55744,62465.29433236
2023-12-26,0.56151,0.60383,0.52,1703548800000,0.56079,112221.60093517
