date,close,high,low,mts,open,volume
2024-02-28,13.268,13.344,13.236,1709078400000,13.236,7.94310754
2024-02-27,13.224,13.554,12.909,1708992000000,13.16,11365.30034395
2024-02-26,13.118,13.157,12.416,1708905600000,12.827,2014.4836229
2024-02-25,12.827,12.957,12.568,1708819200000,12.739,2547.98001723
2024-02-24,12.748,12.793,12.254,1708732800000,12.434,2778.35410966
2024-02-23,12.488,12.74,12.115,1708646400000,12.543,1113.28452376
2024-02-22,12.504,12.725,12.081,1708560000000,12.342,724.94732047
2024-02-21,12.335,12.738,11.889,1708473600000,12.738,1867.25121754
2024-02-20,12.697,13.012,12.092,1708387200000,13.012,2883.5346995
2024-02-19,12.93,13.04,12.711,1708300800000,12.939,1237.28793881
2024-02-18,12.88,13.053,12.673,1708214400000,12.713,2270.61720781
2024-02-17,12.722,12.995,12.252,1708128000000,12.995,2083.48880965
2024-02-16,12.989,13.335,12.71,1708041600000,13.05,2424.93944205
2024-02-15,13.08,13.619,12.108,1707955200000,12.153,24272.19784475
2024-02-14,12.198,12.263,11.913,1707868800000,11.913,2976.88616866
2024-02-13,11.943,12.219,11.604,1707782400000,12.191,3924.27245045
2024-02-12,12.152,12.185,11.582,1707696000000,11.719,2997.83534421
2024-02-11,11.748,11.974,11.649,1707609600000,11.812,807.1034919900001
2024-02-10,11.803,11.936,11.562,1707523200000,11.86,5829.46703263
2024-02-09,11.848,11.87,11.561,1707436800000,11.628,8498.40560705
2024-02-08,11.59,11.638,11.444,1707350400000,11.468,1382.70171498
2024-02-07,11.458,11.551,11.115,1707264000000,11.185,2395.98719589
2024-02-06,11.175,11.249,10.904,1707177600000,10.911,2704.06165264
2024-02-05,10.947,11.072,10.642,1707091200000,10.842,1876.25977539
2024-02-04,10.848,11.205,10.818,1707004800000,11.2,3494.40787124
2024-02-03,11.204,11.287,11.012,1706918400000,11.097,9015.62260633
2024-02-02,11.089,11.233,10.923,1706832000000,11.132,707.26321141
2024-02-01,11.13,11.302,10.758,1706745600000,10.844,5500.04944377
2024-01-31,10.818,12.106,10.736,1706659200000,11.04,46358.66837235
2024-01-30,11.123,11.4,11.098,1706572800000,11.192,757.1593921
2024-01-29,11.24,11.253,10.755,1706486400000,10.755,1670.15187412
2024-01-28,10.841,11.135,10.737,1706400000000,11.02,1023.50049245
2024-01-27,10.992,11.03,10.81,1706313600000,10.956,815.91836759
2024-01-26,10.889,11.0,10.484,1706227200000,10.579,2794.65284969
2024-01-25,10.59,10.712,10.327,1706140800000,10.61,6046.44806503
2024-01-24,10.596,10.596,10.243,1706054400000,10.444,1597.25706274
2024-01-23,10.415,10.745,9.85,1705968000000,10.656,23790.30198609
2024-01-22,10.625,11.743,10.578,1705881600000,11.724,8435.937399
2024-01-21,11.624,11.907,11.624,1705795200000,11.701,728.61670294
2024-01-20,11.695,11.726,11.356,1705708800000,11.457,1217.51262277
2024-01-19,11.486,11.615,10.83,1705622400000,11.507,3622.30988963
2024-01-18,11.535,12.287,11.35,1705536000000,11.945,4525.53779219
2024-01-17,11.861,12.633,11.749,1705449600000,12.221,1876.4352773800001
2024-01-16,12.159,12.266,11.862,1705363200000,11.995,13573.59710286
2024-01-15,11.975,12.207,11.863,1705276800000,11.899,2104.31466301
2024-01-14,11.943,12.504,11.89,1705190400000,12.315,714.7742957
2024-01-13,12.328,12.422,11.89,1705104000000,12.329,389.42002597
2024-01-12,12.331,13.28,11.993,1705017600000,13.093,8978.59250075
