date,close,high,low,mts,open,volume
2024-02-28,1.2191,1.223,1.2118,1709078400000,1.2206,23.20443738
2024-02-27,1.2213,1.2331,1.1975,1708992000000,1.202,3000.15035067
2024-02-26,1.2029,1.2147,1.1348,1708905600000,1.1542,7205.37399898
2024-02-25,1.1494,1.1784,1.1406,1708819200000,1.1419,633.12919174
2024-02-24,1.1455,1.1527,1.1251,1708732800000,1.1354,461.96847875000003
2024-02-23,1.1298,1.1687,1.1298,1708646400000,1.1472,538.11512431
2024-02-22,1.1544,1.1823,1.1114,1708560000000,1.1339,903.89705406
2024-02-21,1.1312,1.1659,1.0833,1708473600000,1.153,2471.67880012
2024-02-20,1.1561,1.184,1.1268,1708387200000,1.1595,2411.40054542
2024-02-19,1.1588,1.2167,1.147,1708300800000,1.1621,2404.60070233
2024-02-18,1.1667,1.18,1.0728,1708214400000,1.0913,5258.25668546
2024-02-17,1.0936,1.1148,1.0716,1708128000000,1.0751,5632.78918136
2024-02-16,1.0739,1.075,1.0325,1708041600000,1.0544,2844.79782122
2024-02-15,1.0495,1.0859,1.0326,1707955200000,1.0366,9451.73524373
2024-02-14,1.0436,1.0665,1.007,1707868800000,1.0126,1355.7457842000001
2024-02-13,1.0109,1.0118,0.97551,1707782400000,1.0018,1217.11599007
2024-02-12,0.99245,1.0118,0.93605,1707696000000,0.9568,1074.18289857
2024-02-11,0.95737,0.96901,0.9429,1707609600000,0.9429,880.68550538
2024-02-10,0.94736,0.95577,0.93203,1707523200000,0.95353,682.85016897
2024-02-09,0.94983,0.96366,0.91325,1707436800000,0.92051,2204.11190142
2024-02-08,0.92273,0.93948,0.89899,1707350400000,0.91425,2686.880107
2024-02-07,0.92472,0.92472,0.86836,1707264000000,0.88602,2621.32616874
2024-02-06,0.87882,0.90278,0.86724,1707177600000,0.87429,600.41378837
2024-02-05,0.86769,0.90263,0.86122,1707091200000,0.87058,438.06758062
2024-02-04,0.88091,0.89354,0.86751,1707004800000,0.87656,452.03307685
2024-02-03,0.88287,0.89826,0.87734,1706918400000,0.88481,450.76079915
2024-02-02,0.88028,0.90405,0.86478,1706832000000,0.89232,1358.70206477
2024-02-01,0.88669,0.89576,0.85663,1706745600000,0.88478,2266.00428985
2024-01-31,0.88478,0.90897,0.86113,1706659200000,0.89324,709.54392357
2024-01-30,0.88549,0.90974,0.88051,1706572800000,0.88594,1108.12167611
2024-01-29,0.88812,0.89965,0.84775,1706486400000,0.8681,1009.4424649599999
2024-01-28,0.86569,0.88937,0.85775,1706400000000,0.86521,721.9339771
2024-01-27,0.86572,0.87328,0.8386,1706313600000,0.8563,1506.04397884
2024-01-26,0.8558,0.87383,0.81418,1706227200000,0.81914,2093.26225264
2024-01-25,0.8146,0.83454,0.80532,1706140800000,0.81548,530.13579978
2024-01-24,0.81263,0.81826,0.76845,1706054400000,0.78292,2457.19496093
2024-01-23,0.78231,0.82246,0.76798,1705968000000,0.80448,8984.88085473
2024-01-22,0.80836,0.85618,0.79929,1705881600000,0.85618,2691.60423123
2024-01-21,0.85619,0.87513,0.85372,1705795200000,0.86488,1896.38102461
2024-01-20,0.86589,0.87016,0.8563,1705708800000,0.86944,540.74204965
2024-01-19,0.86906,0.86933,0.83854,1705622400000,0.85449,2553.2826577
2024-01-18,0.85231,0.89144,0.84585,1705536000000,0.88134,1600.98576897
2024-01-17,0.88189,0.90241,0.87736,1705449600000,0.90233,497.82370053
2024-01-16,0.90342,0.90903,0.88367,1705363200000,0.88753,1310.93888898
2024-01-15,0.88661,0.90196,0.88062,1705276800000,0.88268,438.61933903
2024-01-14,0.88459,0.90408,0.88117,1705190400000,0.89848,408.88389924
2024-01-13,0.89383,0.9039,0.87261,1705104000000,0.89051,1073.52326246
2024-01-12,0.89788,0.9695,0.86676,1705017600000,0.96112,5678.1605852
2024-01-11,0.9697,0.99193,0.94617,1704931200000,0.96577,818.06429812
2024-01-10,0.96168,0.97518,0.91784,1704844800000,0.94011,13497.158111839999
2024-01-09,0.94167,0.97,0.92025,1704758400000,0.95515,19096.95963659
2024-01-08,0.94957,0.97145,0.87625,1704672000000,0.89907,4676.1544076
2024-01-07,0.89986,0.91793,0.89736,1704585600000,0.90657,552.01243895
2024-01-06,0.90186,0.93441,0.89653,1704499200000,0.93441,504.7487338
2024-01-05,0.93285,0.941,0.90025,1704412800000,0.93008,2507.15129292
2024-01-04,0.93042,0.94645,0.86512,1704326400000,0.87811,7704.90450555
2024-01-03,0.87807,0.91473,0.83612,1704240000000,0.9004,10776.89620297
