date,close,high,low,mts,open,volume
2024-02-28,0.12694,0.12694,0.12694,1709078400000,0.12694,8.0
2024-02-27,0.12835,0.12931,0.11475,1708992000000,0.11475,36108.80369869
2024-02-26,0.11827,0.11827,0.11282,1708905600000,0.11282,17342.37956542
2024-02-25,0.11799,0.118,0.11576,1708819200000,0.11576,14144.158239710001
2024-02-24,0.10927,0.11066,0.10594,1708732800000,0.10978,60897.85940229
2024-02-23,0.1136,0.1171,0.10654,1708646400000,0.1161,26164.44285554
2024-02-22,0.11727,0.12158,0.11055,1708560000000,0.11302,48255.46137734
2024-02-21,0.11333,0.11333,0.1132,1708473600000,0.11321,3991.02581542
2024-02-20,0.12008,0.12196,0.12008,1708387200000,0.12196,2623.8070920500004
2024-02-19,0.12282,0.1267,0.12198,1708300800000,0.12637,13722.63362041
2024-02-18,0.12626,0.12791,0.12626,1708214400000,0.12747,6702.20518721
2024-02-16,0.1252,0.13023,0.1252,1708041600000,0.12944,13301.60090015
2024-02-15,0.12689,0.13312,0.12686,1707955200000,0.13312,26887.99597706
2024-02-14,0.13192,0.13192,0.12676,1707868800000,0.12676,15964.86385055
2024-02-13,0.13112,0.13701,0.12929,1707782400000,0.13551,57113.74234192
2024-02-12,0.13404,0.1361,0.12831,1707696000000,0.13044,69332.97545151
2024-02-11,0.13351,0.13492,0.13229,1707609600000,0.13385,40975.29080953
2024-02-10,0.13196,0.13196,0.12266,1707523200000,0.12301,34457.16555398
2024-02-09,0.12129,0.12227,0.11914,1707436800000,0.11914,6614.86108038
2024-02-07,0.116,0.11672,0.11369,1707264000000,0.11579,12143.73071493
2024-02-06,0.12133,0.12133,0.11753,1707177600000,0.119,6103.6824223
2024-02-05,0.11696,0.12287,0.11655,1707091200000,0.12287,39122.42904687
2024-02-04,0.11859,0.11859,0.1184,1707004800000,0.1184,1157.6119219999998
2024-02-03,0.11733,0.11866,0.11715,1706918400000,0.11866,4012.9016601499998
2024-02-01,0.11923,0.12161,0.11833,1706745600000,0.12161,9808.98087791
2024-01-31,0.11985,0.12957,0.11978,1706659200000,0.12515,74088.86202234
2024-01-30,0.12521,0.12941,0.12436,1706572800000,0.1254,57391.10393055
2024-01-29,0.12011,0.12119,0.11781,1706486400000,0.11781,13241.44045811
2024-01-28,0.11867,0.12178,0.11837,1706400000000,0.11837,14006.46215175
2024-01-27,0.11929,0.12428,0.11519,1706313600000,0.12428,26247.77066998
2024-01-26,0.12332,0.12398,0.11143,1706227200000,0.11143,29837.46694571
2024-01-25,0.11676,0.11941,0.11229,1706140800000,0.11614,25656.90135041
2024-01-24,0.11823,0.1196,0.11602,1706054400000,0.11865,33136.935162940004
2024-01-23,0.1184,0.11983,0.11593,1705968000000,0.11983,21385.893246
2024-01-22,0.1219,0.13273,0.12108,1705881600000,0.1325,44799.9901747
2024-01-21,0.13068,0.13068,0.12697,1705795200000,0.12884,58075.33810648
2024-01-20,0.12628,0.13076,0.12628,1705708800000,0.13017,34020.68795195
2024-01-19,0.12961,0.13209,0.12437,1705622400000,0.12938,193794.40287546
2024-01-18,0.13297,0.14351,0.13238,1705536000000,0.14244,36149.06253229
2024-01-17,0.14407,0.14479,0.14407,1705449600000,0.14479,2785.5981516499996
2024-01-16,0.14718,0.15367,0.14718,1705363200000,0.15367,30152.16951576
2024-01-15,0.15042,0.15245,0.14553,1705276800000,0.14553,24517.65215119
2024-01-14,0.14763,0.15263,0.14659,1705190400000,0.14983,110491.74269011
2024-01-13,0.14712,0.14712,0.14114,1705104000000,0.14114,26635.249858619998
2024-01-12,0.13176,0.14266,0.13176,1705017600000,0.14266,338.59711948
2024-01-11,0.13922,0.15096,0.1371,1704931200000,0.1383,59955.66036136
2024-01-10,0.14222,0.14222,0.12398,1704844800000,0.13085,76462.75678062
2024-01-09,0.12815,0.14076,0.12815,1704758400000,0.14076,5502.48790722
2024-01-08,0.13901,0.14099,0.13381,1704672000000,0.13499,10538.87604393
2024-01-07,0.13078,0.13301,0.13069,1704585600000,0.131,5872.46925294
2024-01-06,0.14281,0.1501,0.14267,1704499200000,0.14979,11357.3974609
2024-01-05,0.14782,0.16869,0.14027,1704412800000,0.16735,143452.22846392
2024-01-04,0.16516,0.17094,0.14997,1704326400000,0.1554,80567.59723685
2024-01-03,0.15334,0.16666,0.14065,1704240000000,0.16608,163865.73407003
2024-01-02,0.16759,0.18072,0.16026,1704153600000,0.18072,48833.41097156
2024-01-01,0.16436,0.2,0.14185,1704067200000,0.14185,18041.33368408
2023-12-31,0.14143,0.14143,0.1346,1703980800000,0.1346,854.638
2023-12-30,0.12762,0.12863,0.12443,1703894400000,0.12846,2916.51167996
2023-12-29,0.12634,0.132,0.125,1703808000000,0.1282,86415.66924417
2023-12-28,0.12925,0.13826,0.12675,1703721600000,0.13342,193517.61685723
2023-12-27,0.11938,0.1209,0.11938,1703635200000,0.1209,2280.599983
2023-12-26,0.1209,0.12259,0.11822,1703548800000,0.12259,41724.88181971
2023-12-25,0.12264,0.12264,0.11848,1703462400000,0.11848,19931.94810259
2023-12-24,0.11848,0.1227,0.11848,1703376000000,0.1188,43021.9779395
