date,close,high,low,mts,open,volume
2024-02-27,0.18303,0.18905,0.18178,1708992000000,0.18366,441.18732335
2024-02-24,0.1753,0.1753,0.1728,1708732800000,0.1728,696.55024604
2024-02-22,0.17369,0.17369,0.16645,1708560000000,0.16896,112.72716008
2024-02-21,0.16598,0.16764,0.16508,1708473600000,0.16668,155.85250868
2024-02-20,0.17369,0.18359,0.17037,1708387200000,0.18359,1305.04806896
2024-02-18,0.16864,0.17068,0.16781,1708214400000,0.1698,2409.51636836
2024-02-12,0.15919,0.15949,0.15844,1707696000000,0.15844,32.371134070000004
2024-02-11,0.16118,0.1619,0.16089,1707609600000,0.1619,230.62696851
2024-02-10,0.16161,0.16255,0.16161,1707523200000,0.16184,49.135229030000005
2024-02-08,0.15958,0.16048,0.15844,1707350400000,0.15963,317.87091777
2024-02-07,0.15998,0.16095,0.15532,1707264000000,0.15532,302.29172063
2024-02-06,0.15833,0.15934,0.15762,1707177600000,0.15762,484.97569011
2024-02-05,0.15772,0.15876,0.15473,1707091200000,0.15558,206.77362348
2024-02-01,0.15606,0.15741,0.15363,1706745600000,0.15741,824.6949529000001
2024-01-31,0.15676,0.16545,0.15623,1706659200000,0.16545,12521.26461401
2024-01-30,0.16623,0.17408,0.16467,1706572800000,0.16778,3460.44135902
2024-01-29,0.16399,0.16489,0.16232,1706486400000,0.16285,3628.4973341
2024-01-28,0.16149,0.16666,0.16006,1706400000000,0.16396,3834.90351964
2024-01-27,0.16413,0.16545,0.15952,1706313600000,0.16514,7412.99441521
2024-01-26,0.16295,0.1675,0.14899,1706227200000,0.14976,8239.37059277
2024-01-25,0.15228,0.15274,0.14811,1706140800000,0.15005,6390.63373381
2024-01-24,0.14969,0.15189,0.14844,1706054400000,0.15113,4763.33622
2024-01-23,0.14551,0.15604,0.14119,1705968000000,0.15515,5318.52731113
2024-01-22,0.15958,0.1682,0.15836,1705881600000,0.16761,2909.55782479
2024-01-21,0.17031,0.18121,0.16525,1705795200000,0.16525,30380.98531325
2024-01-20,0.16245,0.16245,0.16245,1705708800000,0.16245,24.8341015
2024-01-19,0.15544,0.15585,0.15538,1705622400000,0.15585,319.70043115
2024-01-18,0.15725,0.16534,0.156,1705536000000,0.16494,12405.70677219
2024-01-17,0.16639,0.16652,0.16445,1705449600000,0.1646,2939.9377117500003
2024-01-16,0.17322,0.17352,0.16363,1705363200000,0.16806,34576.14825288
2024-01-15,0.16926,0.17319,0.16711,1705276800000,0.17319,14168.93580821
2024-01-14,0.16662,0.16894,0.16289,1705190400000,0.16894,4871.1346131
2024-01-13,0.17059,0.18182,0.17,1705104000000,0.17838,22335.80331513
2024-01-12,0.17899,0.1947,0.17513,1705017600000,0.18579,26147.979317999998
2024-01-11,0.18836,0.19209,0.16854,1704931200000,0.17136,29770.36380003
2024-01-10,0.17025,0.17216,0.15532,1704844800000,0.16514,22910.87915645
2024-01-09,0.15846,0.17601,0.15555,1704758400000,0.16963,48952.00073163
2024-01-08,0.17162,0.17337,0.14547,1704672000000,0.15119,51699.84955114
2024-01-07,0.15217,0.17659,0.15217,1704585600000,0.17316,33893.21595
2024-01-06,0.16383,0.17425,0.15659,1704499200000,0.15659,7588.01834709
2024-01-04,0.16829,0.16902,0.15697,1704326400000,0.16,211.39747623
2024-01-03,0.15673,0.15959,0.14952,1704240000000,0.14952,104.94897888999999
2024-01-02,0.14715,0.14729,0.14715,1704153600000,0.14729,3464.240793
2024-01-01,0.14782,0.14782,0.14472,1704067200000,0.14472,21994.19743884
2023-12-31,0.14258,0.1431,0.14156,1703980800000,0.14156,19.2328996
2023-12-30,0.14266,0.14482,0.14124,1703894400000,0.14441,1501.34871634
2023-12-29,0.1463,0.1463,0.1463,1703808000000,0.1463,19.5768547
2023-12-28,0.14892,0.14892,0.14892,1703721600000,0.14892,15428.02165998
2023-12-27,0.15922,0.15922,0.15922,1703635200000,0.15922,518.96
2023-12-26,0.14868,0.15451,0.14707,1703548800000,0.15451,251.98852433
2023-12-25,0.16459,0.16459,0.15437,1703462400000,0.15437,1927.5886241199998
2023-12-24,0.15843,0.15843,0.14934,1703376000000,0.15001,8288.810614600001
2023-12-23,0.15167,0.15167,0.15167,1703289600000,0.15167,100.0
2023-12-22,0.1488,0.1488,0.14626,1703203200000,0.14626,6099.5781971100005
2023-12-21,0.14479,0.14571,0.1437,1703116800000,0.1437,849.5523369699999
2023-12-20,0.14864,0.14864,0.14354,1703030400000,0.14421,2249.57462721
2023-12-19,0.14005,0.14008,0.13917,1702944000000,0.14008,141.85122501
2023-12-18,0.13454,0.13544,0.13263,1702857600000,0.13412,34100.53465906
2023-12-17,0.14103,0.14163,0.13946,1702771200000,0.14162,6140.91472
2023-12-16,0.15606,0.16047,0.14381,1702684800000,0.14704,20284.52252101
2023-12-15,0.14308,0.15408,0.13597,1702598400000,0.13597,2319.33811595
2023-12-13,0.13026,0.13183,0.1286,1702425600000,0.1286,272.06918066
2023-12-11,0.1289,0.129,0.12804,1702252800000,0.12805,590.02446286
2023-12-09,0.13877,0.14737,0.13868,1702080000000,0.14252,81276.75140207
2023-12-08,0.14197,0.14197,0.13755,1701993600000,0.13755,6587.19829518
2023-12-07,0.1354,0.13893,0.13459,1701907200000,0.13556,9907.75344801
2023-12-05,0.13766,0.13766,0.13762,1701734400000,0.13762,4000.0
2023-12-04,0.13165,0.13165,0.1313,1701648000000,0.13144,10277.082554980001
2023-12-03,0.1286,0.1286,0.1286,1701561600000,0.1286,400.0
2023-12-02,0.13197,0.13219,0.12995,1701475200000,0.13093,5261.79455251
2023-11-29,0.12968,0.12968,0.12968,1701216000000,0.12968,24.189634
2023-11-27,0.12797,0.12935,0.12797,1701043200000,0.12852,321.70120404000005
2023-11-25,0.12681,0.12717,0.12681,1700870400000,0.12717,42.37036938
2023-11-22,0.11436,0.11438,0.11183,1700611200000,0.11183,126.13166559
2023-11-21,0.11905,0.1225,0.11568,1700524800000,0.12113,516.77707089
2023-11-20,0.12374,0.12374,0.12361,1700438400000,0.12361,549.03817774
2023-11-19,0.12048,0.12113,0.11984,1700352000000,0.12087,95.95465333
2023-11-18,0.11855,0.1221,0.11742,1700265600000,0.12202,37.24948931
2023-11-17,0.12185,0.12258,0.1216,1700179200000,0.12258,36.10218082
2023-11-16,0.12,0.12958,0.12,1700092800000,0.12849,477.42312536
2023-11-15,0.12999,0.13026,0.12456,1700006400000,0.12456,149.66323983
2023-11-14,0.12082,0.12511,0.11973,1699920000000,0.12159,131.39555092
2023-11-13,0.12945,0.1309,0.1291,1699833600000,0.12967,110.43919817
2023-11-12,0.13329,0.13329,0.12651,1699747200000,0.12739,505.1114813
2023-11-10,0.13249,0.13968,0.13249,1699574400000,0.13968,12637.03917725
2023-11-09,0.13234,0.13234,0.13234,1699488000000,0.13234,37.47789377
2023-11-08,0.13405,0.13405,0.13018,1699401600000,0.13018,251.1236696
2023-11-07,0.1242,0.13026,0.1242,1699315200000,0.12647,210.11322379
2023-11-06,0.12746,0.13134,0.12584,1699228800000,0.13134,9633.26345309
2023-11-05,0.12071,0.12179,0.11894,1699142400000,0.12179,855.24162236
2023-11-04,0.12262,0.12385,0.11996,1699056000000,0.12031,130707.54033974001
2023-11-03,0.11784,0.11987,0.11784,1698969600000,0.11987,569.1791847
2023-11-02,0.12336,0.12336,0.12311,1698883200000,0.12311,9800.0
2023-11-01,0.11606,0.11607,0.11606,1698796800000,0.11607,1452.17220407
2023-10-31,0.11709,0.12243,0.11709,1698710400000,0.12201,84.69245992
2023-10-30,0.12131,0.12292,0.12051,1698624000000,0.12159,294.53054892
2023-10-29,0.12111,0.12197,0.11722,1698537600000,0.11808,198.23134038999999
2023-10-26,0.12073,0.12073,0.12073,1698278400000,0.12073,226.4
2023-10-24,0.11553,0.11881,0.11553,1698105600000,0.11881,23546.70407559
2023-10-23,0.1137,0.11411,0.11121,1698019200000,0.11121,368.72336412
2023-10-22,0.11176,0.11176,0.10987,1697932800000,0.10987,204.73860073999998
2023-10-20,0.109,0.109,0.109,1697760000000,0.109,27032.54805428
2023-10-17,0.11889,0.12036,0.1187,1697500800000,0.1187,96.32087798
2023-10-13,0.11674,0.11697,0.11586,1697155200000,0.11591,2320.74922697
2023-10-11,0.11674,0.11843,0.1162,1696982400000,0.1162,240.15320106000001
2023-10-10,0.12365,0.12912,0.12175,1696896000000,0.12827,1443.0029697
2023-10-09,0.12696,0.12941,0.12696,1696809600000,0.12803,3008.05364888
2023-10-06,0.13062,0.13619,0.13062,1696550400000,0.13337,27254.832040089997
2023-10-04,0.12283,0.12433,0.121,1696377600000,0.121,5885.1975797899995
2023-10-03,0.12817,0.12853,0.12642,1696291200000,0.12853,33364.64774193
2023-10-02,0.14988,0.15512,0.14104,1696204800000,0.14258,285.94838946
2023-10-01,0.14086,0.14332,0.12973,1696118400000,0.14026,4028.33787115
2023-09-30,0.13695,0.17,0.10594,1696032000000,0.10734,19553.65715608
2023-09-29,0.1055,0.1055,0.09679,1695945600000,0.0977,29535.100128140002
2023-09-28,0.092086,0.092268,0.090804,1695859200000,0.091025,1478.77432023
2023-09-27,0.088486,0.088486,0.088486,1695772800000,0.088486,322.758086
2023-09-25,0.093225,0.093225,0.088721,1695600000000,0.089701,2045.4760046
2023-09-24,0.090622,0.090622,0.090067,1695513600000,0.090216,6017.84858484
2023-09-22,0.091765,0.092162,0.091698,1695340800000,0.091864,819.24621254
2023-09-21,0.092178,0.09363,0.091586,1695254400000,0.09363,751.86496504
2023-09-19,0.097012,0.097811,0.093108,1695081600000,0.093108,1458.6512866100002
2023-09-18,0.094391,0.10126,0.094102,1694995200000,0.10126,4337.895753430001
2023-09-17,0.089078,0.090287,0.088734,1694908800000,0.090287,83.77710318
2023-09-16,0.093492,0.094488,0.092729,1694822400000,0.093911,887.22169799
2023-09-15,0.094098,0.094342,0.093647,1694736000000,0.094133,937.4105793800001
2023-09-14,0.097202,0.1008,0.086595,1694649600000,0.087354,233.82224791
2023-09-13,0.085894,0.087118,0.085894,1694563200000,0.087118,124.78714088
2023-09-12,0.090757,0.090757,0.088112,1694476800000,0.089685,35768.68874274
2023-09-11,0.08904,0.094062,0.085017,1694390400000,0.088487,80440.73523936
2023-09-10,0.089665,0.096138,0.088098,1694304000000,0.096138,12147.525200409998
2023-09-09,0.094779,0.10169,0.094779,1694217600000,0.10169,22034.72289864
2023-09-08,0.099522,0.12317,0.081936,1694131200000,0.081936,47761.70923463
2023-09-07,0.080122,0.080602,0.077393,1694044800000,0.08043,33580.29349099
2023-09-06,0.077338,0.078029,0.075773,1693958400000,0.077568,684.7759622
2023-09-05,0.07609,0.0764,0.075198,1693872000000,0.076236,1159.28582471
2023-09-04,0.07454,0.075713,0.074135,1693785600000,0.074885,21357.52450824
2023-09-03,0.073568,0.074969,0.073568,1693699200000,0.074215,540.55477365
2023-08-31,0.075372,0.078024,0.074838,1693440000000,0.078024,842.2878161200001
2023-08-30,0.078852,0.081977,0.077944,1693353600000,0.078532,36838.53468621
2023-08-29,0.07581,0.076768,0.071863,1693267200000,0.071863,1444.05612429
2023-08-28,0.072694,0.073685,0.072468,1693180800000,0.073498,36.921209520000005
2023-08-27,0.073749,0.074489,0.072532,1693094400000,0.074444,34896.00820008
2023-08-26,0.075238,0.07693,0.075077,1693008000000,0.076627,39495.9857496
2023-08-25,0.076222,0.076494,0.07571,1692921600000,0.07571,428.24779804
2023-08-24,0.077913,0.080074,0.06896,1692835200000,0.079788,1124.9710978
2023-08-23,0.079463,0.080055,0.078439,1692748800000,0.078732,11900.11271913
2023-08-22,0.077429,0.079273,0.074801,1692662400000,0.079273,76425.03750341
2023-08-21,0.078478,0.079933,0.076016,1692576000000,0.079501,63652.32439219
2023-08-20,0.079655,0.080253,0.07943,1692489600000,0.080249,2818.68087495
2023-08-19,0.080862,0.080862,0.078402,1692403200000,0.079298,6220.10118466
2023-08-18,0.076971,0.077207,0.074243,1692316800000,0.074243,60808.19782503
2023-08-17,0.074228,0.085841,0.072163,1692230400000,0.082422,491231.53589397
2023-08-16,0.083732,0.088304,0.082189,1692144000000,0.086965,554439.90876155
2023-08-15,0.087133,0.09259,0.085874,1692057600000,0.09259,116853.16177143001
2023-08-14,0.094399,0.095046,0.094083,1691971200000,0.094083,20359.00336261
2023-08-13,0.093965,0.097291,0.093965,1691884800000,0.097291,11130.0492772
2023-08-12,0.095831,0.097724,0.095831,1691798400000,0.097724,33946.98410239
2023-08-11,0.09382,0.095701,0.092572,1691712000000,0.093951,51806.45740384
2023-08-10,0.094379,0.095344,0.09349,1691625600000,0.09428,76822.27765679
2023-08-08,0.095876,0.097272,0.094611,1691452800000,0.095275,42725.51574537
2023-08-07,0.094259,0.099048,0.09265,1691366400000,0.098061,94582.36066396
2023-08-06,0.098321,0.09882,0.096969,1691280000000,0.096969,107914.34224319
2023-08-05,0.096001,0.10072,0.09571,1691193600000,0.097526,56795.93869892
2023-08-04,0.09899,0.10171,0.09794,1691107200000,0.10171,20156.3773366
2023-08-03,0.10053,0.10736,0.10044,1691020800000,0.10736,602.30520695
2023-08-02,0.10551,0.11171,0.10551,1690934400000,0.10606,194682.70842238
