date,close,high,low,mts,open,volume
2024-02-28,0.80045,0.80577,0.7907,1709078400000,0.79713,1053.7072722
2024-02-27,0.79643,0.81416,0.76158,1708992000000,0.76798,58523.64967072
2024-02-26,0.76735,0.77745,0.72584,1708905600000,0.76986,289194.75252757
2024-02-25,0.77187,0.77187,0.73692,1708819200000,0.74874,70784.56713315
2024-02-24,0.75003,0.84,0.69518,1708732800000,0.71016,115748.20036889
2024-02-23,0.71255,0.72198,0.68236,1708646400000,0.69712,32703.84647127
2024-02-22,0.69647,0.71098,0.67389,1708560000000,0.6904,26905.76641741
2024-02-21,0.69196,0.71965,0.66194,1708473600000,0.71965,26995.81547492
2024-02-20,0.71819,0.72723,0.66935,1708387200000,0.72203,61765.66106626
2024-02-19,0.71998,0.73488,0.70585,1708300800000,0.70733,50364.4957726
2024-02-18,0.70497,0.71147,0.68716,1708214400000,0.69021,40176.61715871
2024-02-17,0.6904,0.69804,0.6701,1708128000000,0.69487,34659.28068372
2024-02-16,0.69519,0.70998,0.6797,1708041600000,0.69693,42747.09071727
2024-02-15,0.69419,0.71,0.67727,1707955200000,0.68332,48546.21478581
2024-02-14,0.68186,0.68684,0.65446,1707868800000,0.66181,50050.1477749
2024-02-13,0.66268,0.67277,0.64816,1707782400000,0.66984,50632.82802103
2024-02-12,0.66728,0.67141,0.63633,1707696000000,0.6466,17842.96383346
2024-02-11,0.64648,0.6596,0.64223,1707609600000,0.65145,64983.47956465
2024-02-10,0.65212,0.65994,0.64137,1707523200000,0.65327,11765.08175222
2024-02-09,0.65303,0.65725,0.63084,1707436800000,0.63178,29164.30953002
2024-02-08,0.62846,0.6357,0.62065,1707350400000,0.62353,24428.86546707
2024-02-07,0.62175,0.63308,0.60144,1707264000000,0.60872,133868.7535689
2024-02-06,0.60853,0.62578,0.60447,1707177600000,0.61859,410115.82030782
2024-02-05,0.61783,0.63075,0.60162,1707091200000,0.61578,19013.0080242
2024-02-04,0.6165,0.63699,0.61567,1707004800000,0.63596,6372.00565501
2024-02-03,0.63803,0.649,0.63108,1706918400000,0.64572,30888.94927152
2024-02-02,0.64421,0.64468,0.63117,1706832000000,0.63622,16517.89461566
2024-02-01,0.63661,0.63805,0.61634,1706745600000,0.62865,62003.13411834
2024-01-31,0.62781,0.65466,0.62181,1706659200000,0.65391,60885.27152915
2024-01-30,0.65204,0.67373,0.65042,1706572800000,0.66825,10603.05915546
2024-01-29,0.66863,0.67257,0.65066,1706486400000,0.65532,8936.04165746
2024-01-28,0.65437,0.67683,0.64874,1706400000000,0.66758,109830.13607086
2024-01-27,0.66826,0.67224,0.65771,1706313600000,0.66446,11622.00323624
2024-01-26,0.66188,0.66695,0.62464,1706227200000,0.63051,23965.10845592
2024-01-25,0.63111,0.64493,0.61771,1706140800000,0.64232,574182.03001193
2024-01-24,0.64229,0.659,0.62932,1706054400000,0.649,834484.72920054
2024-01-23,0.64802,0.6878,0.60732,1705968000000,0.66835,41494.92043471
2024-01-22,0.66767,0.76899,0.65,1705881600000,0.74716,125840.92199798
2024-01-21,0.75246,0.8285,0.69187,1705795200000,0.69619,251628.55940529
2024-01-20,0.69491,0.73367,0.67261,1705708800000,0.68008,81321.97089104
2024-01-19,0.68192,0.72158,0.62195,1705622400000,0.65828,38700.96566263
2024-01-18,0.65849,0.69779,0.6501,1705536000000,0.69366,13467.29645301
2024-01-17,0.69312,0.70504,0.6691,1705449600000,0.70353,93114.94932488
2024-01-16,0.70067,0.74184,0.679,1705363200000,0.69726,35767.6408704
2024-01-15,0.69705,0.71223,0.68478,1705276800000,0.68878,17748.61629371
2024-01-14,0.68633,0.72355,0.68633,1705190400000,0.7201,73411.48821205
2024-01-13,0.72208,0.73213,0.69001,1705104000000,0.72352,20124.93274842
2024-01-12,0.72135,0.77367,0.69757,1705017600000,0.76404,36842.22386191
2024-01-11,0.76426,0.77986,0.73586,1704931200000,0.74776,43136.63445307
2024-01-10,0.74571,0.76029,0.67766,1704844800000,0.68534,46802.13291175
2024-01-09,0.68501,0.71722,0.6501,1704758400000,0.70454,76313.69495381
2024-01-08,0.70462,0.70747,0.60557,1704672000000,0.66189,136823.3218644
2024-01-07,0.6619,0.72341,0.65616,1704585600000,0.70844,25232.36216789
2024-01-06,0.71051,0.74047,0.6826,1704499200000,0.74047,46859.40809315
2024-01-05,0.73984,0.77892,0.71448,1704412800000,0.77379,27029.10358064
2024-01-04,0.77514,0.78975,0.7401,1704326400000,0.75104,60016.04562572
2024-01-03,0.74964,0.89663,0.6666,1704240000000,0.869,192872.98176028
2024-01-02,0.86271,0.889,0.85388,1704153600000,0.86557,39294.62561122
2024-01-01,0.8628,0.86574,0.808,1704067200000,0.83508,13934.15517237
2023-12-31,0.82995,0.86621,0.80903,1703980800000,0.83523,14042.5471679
2023-12-30,0.83783,0.8608,0.82414,1703894400000,0.84774,12538.87815592
2023-12-29,0.84804,0.88152,0.83001,1703808000000,0.86503,40377.95622796
2023-12-28,0.86402,0.93357,0.85696,1703721600000,0.9208,48329.04951592
2023-12-27,0.92101,0.93628,0.84001,1703635200000,0.86786,63856.736861030004
2023-12-26,0.86473,0.93399,0.8208,1703548800000,0.9244,61556.49032632
2023-12-25,0.92472,0.9443,0.87381,1703462400000,0.88605,63011.5390118
2023-12-24,0.89023,0.96321,0.85515,1703376000000,0.85986,158972.84298378
2023-12-23,0.86287,0.86961,0.814,1703289600000,0.86961,48441.16070252
2023-12-22,0.87079,0.87109,0.80985,1703203200000,0.82544,112165.15459789
2023-12-21,0.8239,0.82986,0.80217,1703116800000,0.80388,61380.79619904
2023-12-20,0.80698,0.83801,0.79353,1703030400000,0.80775,23720.45549356
2023-12-19,0.81006,0.84682,0.80484,1702944000000,0.81375,49281.91266504
2023-12-18,0.81847,0.82773,0.73821,1702857600000,0.79464,142916.15734613
2023-12-17,0.79217,0.86258,0.78688,1702771200000,0.839,65540.8100428
2023-12-16,0.83806,0.84574,0.79594,1702684800000,0.82859,81322.0180222
2023-12-15,0.82606,0.94,0.82042,1702598400000,0.91907,266182.68406954
2023-12-14,0.93579,1.0245,0.70548,1702512000000,0.72882,278307.53229642
2023-12-13,0.72564,0.73017,0.67493,1702425600000,0.72294,72828.83759911
2023-12-12,0.72527,0.75123,0.67616,1702339200000,0.67714,78758.01790955
2023-12-11,0.67886,0.75743,0.65447,1702252800000,0.75436,72729.96823511
2023-12-10,0.75245,0.76272,0.70327,1702166400000,0.73643,25906.48299818
2023-12-09,0.73287,0.75748,0.72348,1702080000000,0.72843,42965.42920593
2023-12-08,0.72729,0.73098,0.69384,1701993600000,0.69445,23509.64164855
2023-12-07,0.69507,0.70031,0.66924,1701907200000,0.68105,127237.7664778
2023-12-06,0.68408,0.70924,0.6573,1701820800000,0.689,51666.88795488
2023-12-05,0.68772,0.68772,0.6577,1701734400000,0.6699,41770.04367153
2023-12-04,0.66928,0.70039,0.63001,1701648000000,0.65007,208549.91353786
2023-12-03,0.64994,0.66845,0.64181,1701561600000,0.65876,111036.46666445
2023-12-02,0.65781,0.66084,0.63784,1701475200000,0.64395,23089.5862117
2023-12-01,0.64211,0.64864,0.6286,1701388800000,0.62982,67963.87314091
2023-11-30,0.6314,0.64394,0.62542,1701302400000,0.6313,192969.42496593
2023-11-29,0.6313,0.645,0.6255,1701216000000,0.64226,165214.66406306
2023-11-28,0.64206,0.64542,0.6039,1701129600000,0.62581,64876.23301887
2023-11-27,0.62218,0.657,0.60932,1701043200000,0.64826,51541.07311059
2023-11-26,0.64613,0.65497,0.62001,1700956800000,0.64328,137318.97428804
2023-11-25,0.64337,0.64517,0.6271,1700870400000,0.6316,39796.9196234
2023-11-24,0.63273,0.63876,0.60387,1700784000000,0.60758,114901.11164465
2023-11-23,0.60741,0.62002,0.59949,1700697600000,0.60909,251849.68044944
2023-11-22,0.60656,0.61471,0.56171,1700611200000,0.56171,62850.38208052
2023-11-21,0.56182,0.65559,0.56111,1700524800000,0.64815,176190.82089819
2023-11-20,0.64371,0.66728,0.63501,1700438400000,0.65234,25068.31124438
2023-11-19,0.65342,0.65342,0.6331,1700352000000,0.64587,19999.959848989998
2023-11-18,0.64767,0.65902,0.62001,1700265600000,0.65902,51020.18678024
2023-11-17,0.65825,0.67921,0.62528,1700179200000,0.66077,246143.93712484
2023-11-16,0.65915,0.74209,0.63808,1700092800000,0.71258,461779.69018896
2023-11-15,0.71303,0.7325,0.66128,1700006400000,0.67711,163308.54986789
2023-11-14,0.67785,0.8,0.59417,1699920000000,0.62553,661639.07958249
2023-11-13,0.62491,0.70918,0.62491,1699833600000,0.68494,130969.17980326
2023-11-12,0.68447,0.69622,0.63007,1699747200000,0.65987,88139.22807722
2023-11-11,0.66344,0.67664,0.64101,1699660800000,0.67373,99273.33189945
2023-11-10,0.67244,0.67719,0.61215,1699574400000,0.61521,160643.78063648
2023-11-09,0.61553,0.67,0.5601,1699488000000,0.63972,134091.83475689
2023-11-08,0.63927,0.64892,0.62724,1699401600000,0.63172,25703.69183555
2023-11-07,0.63088,0.649,0.60743,1699315200000,0.6381,25649.97334727
2023-11-06,0.6384,0.6408,0.61271,1699228800000,0.62131,57221.5341821
2023-11-05,0.62526,0.6444,0.60865,1699142400000,0.61793,91635.11988593
2023-11-04,0.62085,0.62779,0.56714,1699056000000,0.56772,349680.07982
2023-11-03,0.56435,0.57191,0.54478,1698969600000,0.57191,84563.22952085
2023-11-02,0.57737,0.59516,0.55857,1698883200000,0.58284,140706.79019711
2023-11-01,0.58166,0.58658,0.53748,1698796800000,0.5636,104415.49607341
2023-10-31,0.56302,0.58599,0.54459,1698710400000,0.57882,83189.26940018
2023-10-30,0.57765,0.58022,0.54638,1698624000000,0.5604,15365.85840285
2023-10-29,0.55935,0.56396,0.54459,1698537600000,0.55915,26296.33402193
2023-10-28,0.55857,0.58274,0.52996,1698451200000,0.53034,40170.57086909
