date,close,high,low,mts,open,volume
2024-02-27,2.47,2.47,2.45,1708992000000,2.45,69.42438
2024-02-26,1.4421,2.47,1.4421,1708905600000,2.47,55.502541640000004
2024-02-25,2.49,2.49,2.48,1708819200000,2.48,5.0
2024-02-23,1.67,2.49,1.67,1708646400000,2.49,1.41641
2024-02-22,1.67,1.79,1.67,1708560000000,1.79,4.56543
2024-02-14,2.49,2.49,2.49,1707868800000,2.49,6.0
2024-02-11,2.5,2.5,1.7877,1707609600000,1.7877,215.97197115
2024-02-09,1.6501,1.8,1.4344,1707436800000,1.4344,270.47391037
2024-02-08,1.4344,1.4344,1.4344,1707350400000,1.4344,36.678588
2024-02-05,1.4277,1.4277,1.4277,1707091200000,1.4277,223.776
2024-01-31,1.4123,1.4123,1.4123,1706659200000,1.4123,4.77454496
2024-01-30,1.3944,1.3944,1.3944,1706572800000,1.3944,0.992
2024-01-29,1.98,1.98,1.98,1706486400000,1.98,4.0
2024-01-26,2.0,2.0,1.3712,1706227200000,1.852,265.95209219000003
2024-01-25,1.88,2.0,1.3511,1706140800000,1.3511,21.302476
2024-01-24,1.3447,1.4611,1.3447,1706054400000,1.4611,92.99825626
2024-01-22,1.42,1.42,1.42,1705881600000,1.42,4.52545504
2024-01-21,1.42,1.42,1.42,1705795200000,1.42,5.47454496
2024-01-18,1.3511,2.232,1.3245,1705536000000,1.36,313.17382399999997
2024-01-17,2.32,2.32,1.7,1705449600000,1.7,35.17765664
2024-01-11,1.7,1.7,1.7,1704931200000,1.7,0.6
2024-01-10,1.75,1.75,1.6,1704844800000,1.6,5.29929336
2024-01-09,1.3132,1.32,1.3132,1704758400000,1.3132,111.811564
2024-01-05,1.64,1.64,1.64,1704412800000,1.64,4.935435
2024-01-04,1.3132,1.75,1.3132,1704326400000,1.75,13.79525088
2024-01-03,1.75,1.75,1.59,1704240000000,1.59,16.743744120000002
2024-01-02,1.4665,1.4665,1.4665,1704153600000,1.4665,16.99025121
2024-01-01,1.4665,1.4665,1.3132,1704067200000,1.3132,19.29
2023-12-31,1.3132,1.3132,1.3132,1703980800000,1.3132,4.0
2023-12-30,1.3132,1.6999,1.3132,1703894400000,1.6888,486.43822306
2023-12-29,1.4101,1.8849,1.4101,1703808000000,1.75,610.1112084
2023-12-28,1.3801,1.91,1.3801,1703721600000,1.7558,484.807377
2023-12-27,2.3733,2.68,1.7345,1703635200000,2.68,17.52268051
2023-12-26,2.74,2.74,2.74,1703548800000,2.74,18.114203
2023-12-24,1.7226,1.7698,1.7226,1703376000000,1.7698,52.894
2023-12-23,3.4024,3.4874,1.63,1703289600000,3.4874,159.71067408
2023-12-22,2.4275,2.4275,2.4275,1703203200000,2.4275,45.65251
2023-12-21,2.4275,3.699,1.52,1703116800000,3.699,393.28133086
2023-12-20,3.1,3.7,1.5,1703030400000,1.5,2813.82677425
2023-12-19,1.5,1.5,1.5,1702944000000,1.5,234.318186
2023-12-13,1.5,1.5,1.46,1702425600000,1.46,36.532491
2023-12-12,1.2,1.2,1.18,1702339200000,1.18,390.77130272
2023-12-10,1.18,1.18,1.12,1702166400000,1.12,11.776708
2023-12-09,0.85001,0.85001,0.85001,1702080000000,0.85001,0.6
2023-12-07,1.12,1.12,1.12,1701907200000,1.12,0.6
2023-12-05,0.80834,0.80834,0.80834,1701734400000,0.80834,5.4948
2023-12-03,0.821,0.821,0.821,1701561600000,0.821,5.267692
2023-12-02,0.82,1.1999,0.801,1701475200000,1.13,72.097494
2023-11-29,1.15,1.15,1.15,1701216000000,1.15,1.0
2023-11-28,0.801,1.15,0.801,1701129600000,1.15,16.77579
2023-11-23,1.2,1.2,1.2,1700697600000,1.2,190.97281900000002
2023-11-17,1.2001,1.48,1.2001,1700179200000,1.48,145.311409
2023-11-14,1.2001,1.21,1.2001,1699920000000,1.21,50.0
2023-11-13,1.4999,1.4999,1.4267,1699833600000,1.4267,137.884234
2023-11-04,1.2001,1.2002,1.2001,1699056000000,1.2002,21.956
2023-11-01,1.2011,1.2011,1.2011,1698796800000,1.2011,2.93121
2023-10-30,1.4378,1.4378,1.4378,1698624000000,1.4378,7.0
2023-10-26,1.2001,1.251,1.2001,1698278400000,1.251,81.164377
2023-10-23,1.2,1.4489,1.2,1698019200000,1.4489,9.627181
