date,close,high,low,mts,open,volume
2024-02-28,3.692,3.7377,3.692,1709078400000,3.7024,342.73143634
2024-02-27,3.7024,3.9307,3.6546,1708992000000,3.8251,9913.59340637
2024-02-26,3.8251,3.8794,3.6343,1708905600000,3.8772,3167.3401782
2024-02-25,3.8772,3.8851,3.6159,1708819200000,3.6716,4238.70614518
2024-02-24,3.6716,3.726,3.4308,1708732800000,3.5106,6943.9694997199995
2024-02-23,3.5106,3.696,3.4848,1708646400000,3.6409,3746.34072492
2024-02-22,3.6409,3.8394,3.6157,1708560000000,3.7631,7246.09249595
2024-02-21,3.7631,4.0679,3.5642,1708473600000,4.0589,6267.29983931
2024-02-20,4.0589,4.1885,3.7167,1708387200000,3.9585,9330.3404035
2024-02-19,3.9585,4.0197,3.7228,1708300800000,3.784,7194.63279084
2024-02-18,3.7842,3.8225,3.5507,1708214400000,3.5787,5914.64921851
2024-02-17,3.5787,3.6631,3.461,1708128000000,3.639,1973.35542487
2024-02-16,3.639,3.8916,3.5821,1708041600000,3.857,5983.72056255
2024-02-15,3.857,3.9918,3.8074,1707955200000,3.8192,7638.0584437200005
2024-02-14,3.8192,3.8719,3.6791,1707868800000,3.7343,3987.5985839
2024-02-13,3.7343,3.8479,3.6423,1707782400000,3.8233,6754.8301414
2024-02-12,3.8233,3.9207,3.4619,1707696000000,3.5358,9095.5780132
2024-02-11,3.5358,3.675,3.3636,1707609600000,3.367,5516.12883673
2024-02-10,3.3656,3.4957,3.3461,1707523200000,3.4618,1765.38306615
2024-02-09,3.4618,3.5157,3.302,1707436800000,3.302,5688.39132879
2024-02-08,3.302,3.4478,3.302,1707350400000,3.3595,4691.43618461
2024-02-07,3.3595,3.4844,3.198,1707264000000,3.322,3920.09226321
2024-02-06,3.3202,3.4111,3.0773,1707177600000,3.0939,8912.64144578
2024-02-05,3.0944,3.1243,2.9247,1707091200000,2.9911,5423.10383207
2024-02-04,2.9911,3.0653,2.9152,1707004800000,2.9644,3173.33731009
2024-02-03,2.9657,3.0457,2.9546,1706918400000,3.012,1106.28116477
2024-02-02,3.012,3.0447,2.9388,1706832000000,2.9745,2160.90340922
2024-02-01,2.9745,3.0205,2.8273,1706745600000,2.8985,3747.9440234
2024-01-31,2.8985,3.2175,2.871,1706659200000,3.1552,7188.44815373
2024-01-30,3.1594,3.2997,3.0794,1706572800000,3.1677,5488.94516392
2024-01-29,3.1677,3.1891,2.9849,1706486400000,3.0271,5854.74413717
2024-01-28,3.0271,3.1805,3.011,1706400000000,3.0673,3422.64231818
2024-01-27,3.0674,3.1186,3.0195,1706313600000,3.0687,2652.27282867
2024-01-26,3.0687,3.15,2.9162,1706227200000,2.939,5920.68606406
2024-01-25,2.939,2.9821,2.7249,1706140800000,2.8618,4925.97309978
2024-01-24,2.8618,2.8893,2.7842,1706054400000,2.8215,5040.26118273
2024-01-23,2.8215,3.0168,2.6196,1705968000000,2.9835,7767.14940248
2024-01-22,2.9794,3.159,2.9133,1705881600000,3.1222,11626.02751869
2024-01-21,3.1226,3.2634,3.1128,1705795200000,3.2005,2904.3377462099998
2024-01-20,3.2005,3.2329,3.1141,1705708800000,3.2061,2033.2422245
2024-01-19,3.2061,3.3129,2.978,1705622400000,3.2152,9121.26190225
2024-01-18,3.2152,3.4818,3.0598,1705536000000,3.4587,4587.04937927
2024-01-17,3.4587,3.635,3.1652,1705449600000,3.6066,8745.68812452
2024-01-16,3.6044,3.6697,3.405,1705363200000,3.4522,5096.9999382
2024-01-15,3.4522,3.6871,3.4,1705276800000,3.4747,11480.3026837
2024-01-14,3.445,3.8562,3.4035,1705190400000,3.8046,14178.5387285
2024-01-13,3.8046,3.9554,3.6667,1705104000000,3.9443,9241.91566321
2024-01-12,3.9153,4.3811,3.7426,1705017600000,3.9649,19469.98775585
2024-01-11,3.9669,4.0941,3.6307,1704931200000,3.8529,16476.45621698
2024-01-10,3.9166,4.0742,3.494,1704844800000,3.6706,16747.44362947
2024-01-09,3.6722,3.7242,3.0335,1704758400000,3.4168,12992.22659082
2024-01-08,3.4168,3.4886,2.9205,1704672000000,3.1696,8228.40912079
2024-01-07,3.1696,3.4574,3.1595,1704585600000,3.2269,4147.70123192
2024-01-06,3.2269,3.448,2.98,1704499200000,3.4466,17635.37439083
2024-01-05,3.4422,3.8372,3.2697,1704412800000,3.7192,5251.80794211
2024-01-04,3.7192,3.9206,3.3803,1704326400000,3.4762,5372.92372862
2024-01-03,3.4762,4.05,2.8,1704240000000,3.7894,10927.59289116
2024-01-02,3.6908,4.1096,3.6173,1704153600000,3.9817,18393.64185948
2024-01-01,3.9817,4.1113,3.5,1704067200000,3.7593,9709.81353736
2023-12-31,3.7594,3.9763,3.6005,1703980800000,3.6023,18678.09456145
2023-12-30,3.6005,3.9774,3.5715,1703894400000,3.9105,7897.25382671
2023-12-29,3.9105,3.9821,3.32,1703808000000,3.5734,9287.6457119
2023-12-28,3.5871,4.3471,3.5,1703721600000,3.9295,16229.24160035
2023-12-27,3.9295,4.4,3.1712,1703635200000,3.4662,18093.10558964
2023-12-26,3.4662,3.7449,2.6505,1703548800000,3.3801,18432.51887246
2023-12-25,3.3797,3.9443,3.3589,1703462400000,3.5429,16710.04696418
2023-12-24,3.5418,4.0711,3.1505,1703376000000,3.4576,14602.6580015
2023-12-23,3.461,4.0782,3.0744,1703289600000,3.4026,15669.9346283
2023-12-22,3.4175,3.9,2.4793,1703203200000,2.5254,22271.23609093
2023-12-21,2.5254,2.549,2.1881,1703116800000,2.2501,16757.74790916
2023-12-20,2.2501,2.2708,2.1079,1703030400000,2.1079,5524.7540465
2023-12-19,2.1079,2.2713,2.0217,1702944000000,2.2366,3908.7261451599998
2023-12-18,2.2369,2.261,1.9449,1702857600000,2.0944,10055.58181177
2023-12-17,2.0947,2.2266,2.057,1702771200000,2.1945,10991.29757316
2023-12-16,2.1922,2.2988,2.0928,1702684800000,2.0961,9021.93468985
2023-12-15,2.0961,2.3053,2.0874,1702598400000,2.2653,5712.11655202
2023-12-14,2.2653,2.3937,2.0989,1702512000000,2.2492,7716.01594595
2023-12-13,2.2478,2.4497,2.0006,1702425600000,2.3425,11846.14524779
2023-12-12,2.3425,2.5472,2.1569,1702339200000,2.2927,12950.30264895
2023-12-11,2.2918,2.4127,1.8942,1702252800000,2.1662,22081.7592164
2023-12-10,2.166,2.499,2.0446,1702166400000,2.0446,29595.75577111
2023-12-09,2.0446,2.5199,2.0113,1702080000000,2.106,14560.83637559
2023-12-08,2.106,2.6194,2.0006,1701993600000,2.1765,14393.87364326
2023-12-07,2.1765,2.29,1.701,1701907200000,1.7144,22790.35220812
2023-12-06,1.7144,1.8493,1.7092,1701820800000,1.8037,8318.34489646
2023-12-05,1.8037,1.8447,1.6875,1701734400000,1.7934,12238.37363147
2023-12-04,1.795,1.9207,1.6511,1701648000000,1.7178,106265.85590088
2023-12-03,1.7161,1.91,1.62,1701561600000,1.758,32425.20373314
2023-12-02,1.758,1.7614,1.6022,1701475200000,1.6583,6347.84962179
2023-12-01,1.6583,1.7755,1.602,1701388800000,1.6722,30585.60730148
2023-11-30,1.6722,1.729,1.5959,1701302400000,1.6871,11200.21614548
2023-11-29,1.687,1.801,1.622,1701216000000,1.7149,15660.4459406
2023-11-28,1.7149,1.8056,1.6347,1701129600000,1.7238,9290.86106914
2023-11-27,1.7238,1.8141,1.6019,1701043200000,1.814,6054.3973621000005
2023-11-26,1.814,1.9668,1.7346,1700956800000,1.7829,18275.89281985
2023-11-25,1.7829,1.8691,1.7643,1700870400000,1.7977,3564.07019717
2023-11-24,1.7977,1.91,1.765,1700784000000,1.8228,3806.6395898
2023-11-23,1.8228,1.8756,1.6837,1700697600000,1.7369,13060.21191003
2023-11-22,1.7369,1.8999,1.5611,1700611200000,1.5822,23392.88810874
2023-11-21,1.5933,1.9674,1.559,1700524800000,1.7263,11146.79107109
2023-11-20,1.7269,1.9688,1.6959,1700438400000,1.7816,8869.65939316
2023-11-19,1.7802,1.9799,1.6862,1700352000000,1.7387,11110.14183223
2023-11-18,1.7381,1.8616,1.6,1700265600000,1.7127,13400.08217
2023-11-17,1.7135,1.8517,1.5776,1700179200000,1.8068,30661.60710215
2023-11-16,1.8068,1.974,1.75,1700092800000,1.8617,10713.60243294
2023-11-15,1.8617,1.98,1.7511,1700006400000,1.7943,12140.14095528
2023-11-14,1.7927,1.9289,1.65,1699920000000,1.7402,29015.075928
2023-11-13,1.8163,1.98,1.5811,1699833600000,1.8298,17855.71967428
2023-11-12,1.84,1.95,1.5775,1699747200000,1.6262,2496.14909908
2023-11-11,1.6261,1.7799,1.6261,1699660800000,1.73,25.81954412
2023-11-10,1.634,1.7639,1.6261,1699574400000,1.7383,2178.41528367
2023-11-09,1.68,1.8206,1.296,1699488000000,1.5637,457.6575977
2023-11-08,1.5422,1.5476,1.502,1699401600000,1.5026,77.55100369
2023-11-07,1.526,1.5575,1.4797,1699315200000,1.5575,526.85764751
2023-11-06,1.5598,1.5707,1.5278,1699228800000,1.5533,851.98079331
2023-11-05,1.553,1.553,1.5005,1699142400000,1.5511,580.41338595
2023-11-04,1.4965,1.5051,1.4235,1699056000000,1.4249,625.21319345
2023-11-03,1.416,1.4258,1.3285,1698969600000,1.338,4120.03811052
2023-11-02,1.3672,1.385,1.3493,1698883200000,1.3814,2047.96784869
2023-11-01,1.4374,1.4453,1.2961,1698796800000,1.358,32.009688940000004
2023-10-31,1.2961,1.3878,1.2961,1698710400000,1.3876,1006.23664263
2023-10-30,1.4143,1.419,1.2961,1698624000000,1.4157,237.48026083
2023-10-29,1.4183,1.4183,1.3691,1698537600000,1.3691,5.48911176
2023-10-28,1.3828,1.3828,1.3828,1698451200000,1.3828,0.55
2023-10-27,1.3678,1.392,1.3473,1698364800000,1.3513,2578.21098388
2023-10-26,1.4129,1.4787,1.368,1698278400000,1.4376,7375.0762183
2023-10-25,1.371,2.4,1.3634,1698192000000,1.4047,977.65297957
2023-10-24,1.3716,1.4203,1.365,1698105600000,1.365,193.23069975
2023-10-23,1.299,1.4239,1.2863,1698019200000,1.4239,11.02448638
2023-10-22,1.2832,1.2832,1.2431,1697932800000,1.2708,179.37171388
2023-10-20,1.2448,1.2448,1.2179,1697760000000,1.2179,8.78873882
2023-10-19,1.1784,1.1844,1.156,1697673600000,1.156,7.12018097
2023-10-17,1.2134,1.2339,1.2134,1697500800000,1.2339,64.71964271
2023-10-16,1.2138,1.2175,1.2109,1697414400000,1.2121,1.03782571
2023-10-15,1.2126,1.2135,1.2022,1697328000000,1.2059,27.62103122
2023-10-14,1.202,1.2075,1.11,1697241600000,1.2059,13.90121179
2023-10-13,1.2035,1.2076,1.2011,1697155200000,1.2011,10.63713607
2023-10-12,1.1864,1.2053,1.1795,1697068800000,1.2053,346.57096176
2023-10-11,1.2421,1.4236,1.2336,1696982400000,1.2407,36.49276149
2023-10-10,1.2473,1.2491,1.2222,1696896000000,1.2222,464.67589123
2023-10-09,1.2245,1.2245,1.2147,1696809600000,1.2182,5.8242069999999995
2023-10-08,1.2715,1.2715,1.2715,1696723200000,1.2715,0.63
2023-10-07,1.2837,1.312,1.2621,1696636800000,1.3101,901.02286064
2023-10-06,1.2777,1.3251,1.2777,1696550400000,1.3251,8.86201909
2023-10-05,1.3108,1.3108,1.3108,1696464000000,1.3108,0.59
2023-10-04,1.3359,1.3369,1.3105,1696377600000,1.3105,13.69198396
2023-10-02,1.4175,1.845,1.4092,1696204800000,1.4554,893.2631956399999
2023-09-30,1.3367,1.3449,1.3367,1696032000000,1.3449,1.9971188
2023-09-29,1.3251,1.3251,1.323,1695945600000,1.323,0.7153147
2023-09-28,1.3184,1.3274,1.3153,1695859200000,1.3176,1004.9602323299999
2023-09-27,1.2781,1.2781,1.2781,1695772800000,1.2781,0.55
2023-09-26,1.2746,1.2762,1.2691,1695686400000,1.2762,2.9836861100000003
2023-09-25,1.2575,1.2615,1.2512,1695600000000,1.2601,3.44189662
2023-09-24,1.2805,1.2943,1.2805,1695513600000,1.2913,3.5115278
2023-09-23,1.2951,1.2951,1.2943,1695427200000,1.2943,0.99142287
2023-09-22,1.2767,1.2879,1.2767,1695340800000,1.2862,4.04891295
2023-09-21,1.3139,1.3432,1.309,1695254400000,1.3412,1235.17270815
2023-09-19,1.3933,1.3933,1.3931,1695081600000,1.3931,150.0
2023-09-18,1.3902,1.3925,1.269,1694995200000,1.3834,1260.5148994
2023-09-17,1.3725,1.3798,1.2809,1694908800000,1.3594,1025.63713765
2023-09-16,1.3927,1.3927,1.3927,1694822400000,1.3927,2.648621
2023-09-15,1.4001,1.4001,1.3536,1694736000000,1.3541,1788.95036392
2023-09-14,1.2427,1.3682,1.2427,1694649600000,1.3587,1141.60154011
2023-09-12,1.3417,1.3417,1.3084,1694476800000,1.325,88.14180036
2023-09-11,1.2779,1.2779,1.2779,1694390400000,1.2779,390.0
2023-09-10,1.252,1.2521,1.2346,1694304000000,1.2346,33.93018665
2023-09-08,1.3041,1.3044,1.3036,1694131200000,1.3044,5.4318188
2023-09-06,1.3558,1.3562,1.3401,1693958400000,1.3503,2.06687289
2023-09-05,1.3439,1.3443,1.338,1693872000000,1.338,341.63576385
2023-09-04,1.337,1.337,1.3275,1693785600000,1.3275,2.55919901
