date,close,high,low,mts,open,volume
2024-02-28,5.196,5.6446,5.196,1709078400000,5.6112,24.01503021
2024-02-27,5.6114,6.236,5.1959,1708992000000,6.1279,1912.90364841
2024-02-26,6.2237,8.5041,4.6155,1708905600000,4.6155,3452.27923885
2024-02-25,4.6155,5.0967,4.3138,1708819200000,4.4135,164.81635576
2024-02-24,4.4358,4.5947,4.1,1708732800000,4.3787,597.73088717
2024-02-23,4.3835,5.1676,4.2378,1708646400000,4.4301,559.58901307
2024-02-22,4.4458,4.6162,4.0242,1708560000000,4.2073,410.34447506
2024-02-21,4.2073,4.3733,4.1575,1708473600000,4.346,185.55818241
2024-02-20,4.3074,4.4814,4.2795,1708387200000,4.452,189.07464005
2024-02-19,4.4431,4.7382,4.3098,1708300800000,4.5346,248.06156083
2024-02-18,4.5346,4.8381,3.5025,1708214400000,4.4491,2987.6352035
2024-02-17,4.4541,4.5795,4.4293,1708128000000,4.5199,121.36905955
2024-02-16,4.57,4.7261,4.4566,1708041600000,4.6796,281.81650731
2024-02-15,4.6623,4.8341,4.537,1707955200000,4.7017,459.01067302
2024-02-14,4.6912,4.818,4.6699,1707868800000,4.7964,453.28302163
2024-02-13,4.7746,4.9061,4.7746,1707782400000,4.8295,178.53339121
2024-02-12,4.805,4.8358,4.75,1707696000000,4.75,110.54932185
2024-02-11,4.75,4.85,4.75,1707609600000,4.8236,58.67080611
2024-02-10,4.8348,4.8507,4.7084,1707523200000,4.7426,135.91292336
2024-02-09,4.7476,4.8594,4.6574,1707436800000,4.8224,322.41538618
2024-02-08,4.7904,4.97,4.62,1707350400000,4.777,338.48000113
2024-02-07,4.7158,4.9699,4.5185,1707264000000,4.8957,366.78749441
2024-02-06,4.8956,4.9699,4.8278,1707177600000,4.895,257.05271452
2024-02-05,4.8884,5.0052,4.8715,1707091200000,4.989,341.70184217
2024-02-04,4.9874,4.99,4.9155,1707004800000,4.971,518.98142837
2024-02-03,4.9737,4.9817,4.9112,1706918400000,4.9473,297.81459617
2024-02-02,4.9233,5.3,4.9096,1706832000000,4.9799,341.2811276
2024-02-01,4.9799,5.3179,4.5678,1706745600000,4.9667,282.03091302
2024-01-31,4.9667,5.15,4.65,1706659200000,5.0695,138.76536994
2024-01-30,5.1494,5.3199,4.7474,1706572800000,5.0978,68.82175634
2024-01-29,4.7475,5.3199,4.7152,1706486400000,4.9634,378.27425661
2024-01-28,4.9634,5.346,4.5865,1706400000000,4.9061,165.55568584
2024-01-27,4.9061,5.2626,4.5,1706313600000,4.8498,207.95607108000002
2024-01-26,5.0416,5.0957,4.5217,1706227200000,4.8066,71.86823552
2024-01-25,4.8197,5.3242,4.5,1706140800000,4.8226,278.66613786
2024-01-24,4.7813,5.2942,4.65,1706054400000,4.7397,281.71904326
2024-01-23,4.742,4.9905,4.5999,1705968000000,4.8215,699.99710533
2024-01-22,4.7003,5.1085,4.7003,1705881600000,5.0486,364.17527341
2024-01-21,5.0463,5.1025,4.8151,1705795200000,5.1025,128.04087696
2024-01-20,5.1027,5.544,4.8655,1705708800000,5.3425,488.05086825
2024-01-19,4.9359,5.3449,4.9335,1705622400000,5.0105,64.85812042
2024-01-18,5.2907,5.4837,4.7459,1705536000000,5.2998,195.98244209
2024-01-17,5.2999,5.331,5.0505,1705449600000,5.331,92.71155841
2024-01-16,5.3017,5.4602,5.2946,1705363200000,5.413,164.19470542
2024-01-15,5.3892,5.4455,5.2107,1705276800000,5.3287,68.1787232
2024-01-14,5.3536,5.4053,5.1022,1705190400000,5.1676,66.91162087000001
2024-01-13,5.1676,5.4053,5.0505,1705104000000,5.1285,124.05678246
2024-01-12,5.0971,5.4838,5.0505,1705017600000,5.236,79.45680698
2024-01-11,5.236,5.4838,5.0505,1704931200000,5.23,764.19223384
2024-01-10,5.23,5.4838,5.075,1704844800000,5.1191,141.83237256
2024-01-09,5.1602,5.327,5.1191,1704758400000,5.2848,235.40061959000002
2024-01-08,5.2848,5.544,5.1959,1704672000000,5.2467,161.13259223
