date,close,high,low,mts,open,volume
2024-02-27,7.9879,8.0358,7.8479,1708992000000,7.8479,1213.74711032
2024-02-26,7.8479,7.8479,7.6172,1708905600000,7.7092,1775.9693
2024-02-25,7.7092,7.7554,7.7092,1708819200000,7.7325,38.65753526
2024-02-24,7.7325,7.7325,7.6864,1708732800000,7.6864,125.53015132
2024-02-23,7.6864,7.7554,7.6,1708646400000,7.6181,1222.75045009
2024-02-22,7.6181,7.6181,7.5724,1708560000000,7.5724,197.13988491
2024-02-21,7.5724,7.5953,7.5267,1708473600000,7.5952,645.07594115
2024-02-20,7.641,7.6867,7.5724,1708387200000,7.6181,1379.56013353
2024-02-19,7.6639,7.7097,7.6001,1708300800000,7.6182,796.21848188
2024-02-18,7.6182,7.6182,7.2873,1708214400000,7.2873,2413.3146995399998
2024-02-17,7.3307,7.3521,7.2873,1708128000000,7.3521,834.54712276
2024-02-16,7.3521,7.5353,7.3087,1708041600000,7.5353,2123.42455389
2024-02-15,7.4908,7.6707,7.4908,1707955200000,7.648,1895.07934524
2024-02-14,7.61,7.6252,7.0609,1707868800000,7.061,7202.49099766
2024-02-13,7.103,7.103,6.8552,1707782400000,6.9163,1923.99163076
2024-02-12,6.8754,6.9163,6.775,1707696000000,6.7951,1168.57424759
2024-02-11,6.775,6.775,6.5382,1707609600000,6.5384,2412.9752733
2024-02-10,6.5193,6.5193,6.4807,1707523200000,6.4807,140.32684108
2024-02-09,6.4807,6.5384,6.406,1707436800000,6.406,1409.86929947
2024-02-08,6.424,6.424,6.055,1707350400000,6.0733,3633.12114364
2024-02-07,6.0733,6.0733,5.9655,1707264000000,5.9655,984.40876258
2024-02-06,5.9835,5.9835,5.9657,1707177600000,5.9657,261.36855282
2024-02-05,5.9657,6.0363,5.9303,1707091200000,6.0187,904.30045759
2024-02-04,5.9831,6.04,5.9831,1707004800000,6.04,323.64867131
2024-02-03,6.054,6.054,6.0006,1706918400000,6.0006,137.28804025
2024-02-02,6.0006,6.0364,5.9831,1706832000000,6.0012,770.32428752
2024-02-01,6.0012,6.0012,5.9128,1706745600000,5.9303,725.32392623
2024-01-31,5.9303,5.9835,5.9303,1706659200000,5.9303,500.94484758
2024-01-30,5.9303,5.9835,5.9303,1706572800000,5.9483,425.27376051
2024-01-29,5.9483,5.9483,5.8429,1706486400000,5.8953,1012.26818507
2024-01-28,5.86,5.913,5.86,1706400000000,5.8954,374.34505626
2024-01-27,5.8777,5.8777,5.8429,1706313600000,5.86,215.04256753
2024-01-26,5.868,5.8777,5.6893,1706227200000,5.7237,1582.01017902
2024-01-25,5.6893,5.7237,5.6893,1706140800000,5.7065,153.9271884
2024-01-24,5.6723,5.7065,5.6239,1706054400000,5.6366,480.03462831
