date,close,high,low,mts,open,volume
2024-02-27,0.77,0.77,0.77,1708992000000,0.77,36.376123
2024-02-21,0.77,0.77,0.77,1708473600000,0.77,90.007924
2024-02-19,0.8,0.8,0.8,1708300800000,0.8,1226.0
2024-02-16,0.8,0.84798,0.8,1708041600000,0.84797,90.65144899
2024-02-15,0.8,0.8,0.8,1707955200000,0.8,50.098157
2024-02-14,0.8,0.80001,0.8,1707868800000,0.80001,2322.90050646
2024-02-12,0.8,0.80001,0.8,1707696000000,0.80001,11.255084499999999
2024-02-11,0.8,0.80001,0.8,1707609600000,0.80001,396.603199
2024-02-10,0.8,0.82442,0.8,1707523200000,0.82442,1875.810392
2024-02-09,0.84,0.84,0.84,1707436800000,0.84,10.0
2024-02-08,0.8,0.8,0.8,1707350400000,0.8,24.94233226
2024-02-07,0.8,0.8,0.8,1707264000000,0.8,22.5101695
2024-02-03,0.8,0.80002,0.8,1706918400000,0.80002,150.74310361
2024-02-01,0.80001,0.84792,0.80001,1706745600000,0.84792,28.41158
2024-01-31,0.8,0.80001,0.8,1706659200000,0.80001,714.922686
2024-01-30,0.799,0.799,0.79,1706572800000,0.79,2862.4198
2024-01-27,0.77,0.77,0.77,1706313600000,0.77,25.1850456
2024-01-23,0.77,0.77,0.77,1705968000000,0.77,2039.6503813699999
2024-01-21,0.77,0.77,0.77,1705795200000,0.77,97.63537608
2024-01-20,0.77,0.77,0.77,1705708800000,0.77,80.0
2024-01-19,0.77,0.77,0.77,1705622400000,0.77,216.750535
2024-01-18,0.77,0.77001,0.77,1705536000000,0.77001,135.608542
2024-01-17,0.77,0.77001,0.77,1705449600000,0.77,98.52
2024-01-13,0.77,0.77,0.77,1705104000000,0.77,2518.50452931
2024-01-11,0.77,0.77,0.77,1704931200000,0.77,262.119824
2024-01-10,0.77,0.77,0.77,1704844800000,0.77,105.821508
2024-01-09,0.77,0.77,0.77,1704758400000,0.77,457.88591
2024-01-05,0.77,0.77011,0.77,1704412800000,0.77011,9900.0
2024-01-04,0.77,0.81,0.77,1704326400000,0.8,9199.250719
2024-01-03,0.87999,0.88,0.8,1704240000000,0.88,256.88030332
2024-01-02,0.8,0.8,0.8,1704153600000,0.8,611.67037952
2024-01-01,0.8,0.8,0.8,1704067200000,0.8,90.65676026
2023-12-31,0.8,0.8,0.8,1703980800000,0.8,151.87725192
2023-12-25,0.8,0.8,0.8,1703462400000,0.8,1174.7053695
2023-12-24,0.8988,0.8988,0.89879,1703376000000,0.89879,30.34730184
2023-12-22,0.8,0.89888,0.8,1703203200000,0.89888,23.976
2023-12-20,0.77,0.77,0.77,1703030400000,0.77,1200.0
2023-12-14,0.77,0.77,0.77,1702512000000,0.77,1269.0626470000002
2023-12-13,0.77,0.7705,0.77,1702425600000,0.7705,197.04594027000002
2023-12-12,0.7705,0.7705,0.7705,1702339200000,0.7705,147.660502
2023-12-11,0.77,0.89898,0.77,1702252800000,0.89898,15.968015990000001
2023-12-07,0.77,0.77,0.77,1701907200000,0.77,91.71092300000001
2023-12-06,0.77,0.77,0.77,1701820800000,0.77,473.6299949
2023-12-03,0.77,0.77,0.77,1701561600000,0.77,8338.121122
2023-12-02,0.77,0.77,0.77,1701475200000,0.77,295.864776
2023-11-29,0.8,0.8,0.8,1701216000000,0.8,197.91228949
2023-11-27,0.8,0.8,0.8,1701043200000,0.8,2759.516471
2023-11-26,0.8,0.8,0.8,1700956800000,0.8,97.63537608
2023-11-25,0.8,0.8,0.8,1700870400000,0.8,18.158903
2023-11-24,0.8,0.8,0.8,1700784000000,0.8,22143.151234
2023-11-23,0.8,0.8,0.8,1700697600000,0.8,71.007546
2023-11-22,0.8,0.8,0.8,1700611200000,0.8,324.468046
2023-11-21,0.8,0.8,0.8,1700524800000,0.8,500.0
2023-11-20,0.8,0.8,0.8,1700438400000,0.8,132.152933
2023-11-17,0.8,0.8,0.8,1700179200000,0.8,3940.91882238
2023-11-15,0.8,0.8,0.8,1700006400000,0.8,5.0
2023-11-14,0.8,0.8,0.8,1699920000000,0.8,857.02163435
2023-11-10,0.8,0.8,0.8,1699574400000,0.8,1147.93609708
2023-11-09,0.8,0.8,0.8,1699488000000,0.8,69.890446
2023-11-08,0.8,0.8,0.8,1699401600000,0.8,80.030508
2023-11-07,0.8,0.8,0.8,1699315200000,0.8,197.2431843
2023-11-06,0.8,0.8,0.8,1699228800000,0.8,258.34591
2023-11-02,0.80002,0.80002,0.80002,1698883200000,0.80002,70.030508
2023-10-29,0.8,0.8,0.8,1698537600000,0.8,602.163919
2023-10-27,0.8,0.8,0.8,1698364800000,0.8,71.007546
2023-10-26,0.835,0.835,0.835,1698278400000,0.835,100.0
2023-10-19,0.8,0.8,0.8,1697673600000,0.8,439.49
2023-10-17,0.8,0.80001,0.8,1697500800000,0.80001,1566.273826
2023-10-16,0.846,0.846,0.75,1697414400000,0.75,56565.43462837
2023-10-12,0.70733,0.70733,0.70733,1697068800000,0.70733,41.0
2023-10-11,0.75,0.75,0.75,1696982400000,0.75,6901.35192
2023-10-07,0.75,0.75,0.75,1696636800000,0.75,70.865531
2023-09-22,0.75,0.75,0.75,1695340800000,0.75,78.897273
2023-09-17,0.75,0.7505,0.75,1694908800000,0.7505,15938.640452
2023-09-14,0.7505,0.8,0.7505,1694649600000,0.8,50.08083322
2023-09-13,0.7501,0.8,0.7501,1694563200000,0.8,48.34149
2023-09-11,0.7501,0.7501,0.7501,1694390400000,0.7501,43.860158
2023-09-01,0.7501,0.7501,0.7501,1693526400000,0.7501,1533.6001962
2023-08-24,0.7501,0.7501,0.7501,1692835200000,0.7501,97.44010452
2023-08-19,0.7501,0.7501,0.7501,1692403200000,0.7501,199.929624
2023-08-17,0.7501,0.8,0.7501,1692230400000,0.8,51.854038
2023-08-15,0.7501,0.753,0.7501,1692057600000,0.753,219.6238408
2023-08-10,0.7501,0.7501,0.7501,1691625600000,0.7501,107.00626304
2023-08-08,0.7501,0.7501,0.7501,1691452800000,0.7501,197.912291
2023-08-02,0.75,0.75,0.75,1690934400000,0.75,1885.48
2023-07-30,0.75,0.75,0.75,1690675200000,0.75,3881.402406
2023-07-29,0.75,0.75,0.75,1690588800000,0.75,394.0
2023-07-28,0.75,0.75,0.75,1690502400000,0.75,171.68858935
2023-07-27,0.75,0.75,0.75,1690416000000,0.75,493.10796076
2023-07-26,0.75,0.75,0.75,1690329600000,0.75,582.97700675
2023-07-25,0.76,0.76,0.76,1690243200000,0.76,39.421993
2023-07-24,0.76,0.76,0.76,1690156800000,0.76,70.0
2023-07-21,0.76,0.76,0.76,1689897600000,0.76,10.0
2023-07-20,0.76,0.76,0.76,1689811200000,0.76,12.578007
2023-07-18,0.8,0.8,0.77,1689638400000,0.77,4615.84041325
2023-07-13,0.76,0.76001,0.76,1689206400000,0.76,258.57142081999996
2023-07-12,0.76,0.76,0.76,1689120000000,0.76,4305.32211451
2023-07-10,0.76,0.76,0.76,1688947200000,0.76,323.347902
2023-07-09,0.8,0.8,0.8,1688860800000,0.8,100.0
2023-07-07,0.75,0.7513,0.75,1688688000000,0.7513,300.275978
2023-07-06,0.75,0.9,0.738,1688601600000,0.74197,20384.81093859
2023-07-05,0.69999,0.74197,0.69999,1688515200000,0.74197,8.12997675
2023-07-03,0.69999,0.7,0.69999,1688342400000,0.7,4.996185
2023-07-02,0.69999,0.74197,0.69999,1688256000000,0.74197,8.0
2023-07-01,0.69999,0.69999,0.69999,1688169600000,0.69999,134.27860256999998
2023-06-30,0.69999,0.7356,0.69999,1688083200000,0.7356,8.0
2023-06-27,0.69999,0.69999,0.69999,1687824000000,0.69999,1014.870146
2023-06-23,0.69999,0.69999,0.69999,1687478400000,0.69999,1689.755502
2023-06-22,0.6,0.6,0.6,1687392000000,0.6,33.46733669
2023-06-21,0.6,0.6,0.6,1687305600000,0.6,13.938715
2023-06-20,0.6,0.6,0.6,1687219200000,0.6,6358.25906268
2023-06-18,0.5538,0.689,0.55015,1687046400000,0.66,315365.68300592
2023-06-17,0.66,0.66,0.66,1686960000000,0.66,50.0
2023-06-15,0.66,0.66,0.66,1686787200000,0.66,488.40185977
2023-06-14,0.66,0.66,0.66,1686700800000,0.66,77.37581074
2023-06-12,0.66,0.66,0.66,1686528000000,0.66,29.01430022
2023-06-10,0.66,0.66,0.66,1686355200000,0.66,940.2681709999999
2023-06-09,0.66,0.66,0.66,1686268800000,0.66,9648.631181019999
2023-06-07,0.66,0.7285,0.66,1686096000000,0.66549,4209.213572
2023-06-06,0.66549,0.66549,0.66549,1686009600000,0.66549,217.63256099999998
2023-06-05,0.75,0.75,0.75,1685923200000,0.75,4.44
2023-06-04,0.7618,0.7618,0.7618,1685836800000,0.7618,80.014599
2023-06-03,0.764,0.764,0.66432,1685750400000,0.66432,198.588163
2023-06-02,0.66432,0.66432,0.66432,1685664000000,0.66432,84.71
2023-06-01,0.66432,0.66432,0.66432,1685577600000,0.66432,71.62
2023-05-31,0.66362,0.6828,0.66362,1685491200000,0.6828,823.420344
2023-05-29,0.782,0.78201,0.782,1685318400000,0.78201,1317.08654788
2023-05-28,0.78201,0.8445,0.78201,1685232000000,0.808,1035.18591962
2023-05-27,0.782,0.782,0.76543,1685145600000,0.76543,5210.09061782
2023-05-26,0.66022,0.661,0.6601,1685059200000,0.661,755.96945856
2023-05-25,0.661,0.661,0.661,1684972800000,0.661,68.17148917
2023-05-24,0.6601,0.6601,0.6601,1684886400000,0.6601,100.0
2023-05-23,0.77613,0.77613,0.77613,1684800000000,0.77613,4.0
2023-05-21,0.66066,0.6665,0.66066,1684627200000,0.6665,482.88542724
2023-05-19,0.6601,0.66649,0.6601,1684454400000,0.66649,800.0
2023-05-18,0.66013,0.66013,0.66013,1684368000000,0.66013,20.0
2023-05-16,0.66013,0.6665,0.66013,1684195200000,0.6665,408.532401
2023-05-14,0.66066,0.66066,0.66066,1684022400000,0.66066,34.881671
2023-05-12,0.66066,0.66066,0.66066,1683849600000,0.66066,20.0
2023-05-10,0.66013,0.66123,0.6601,1683676800000,0.6601,129.853999
2023-05-09,0.77915,0.77915,0.77915,1683590400000,0.77915,100.0
2023-05-08,0.77915,0.78,0.6601,1683504000000,0.66359,3774.41327333
2023-05-03,0.66359,0.66359,0.66359,1683072000000,0.66359,50.0
2023-05-02,0.66359,0.66359,0.66359,1682985600000,0.66359,203.831342
2023-05-01,0.66359,0.66359,0.66359,1682899200000,0.66359,209.704007
2023-04-30,0.6601,0.666,0.6601,1682812800000,0.666,1467.0
2023-04-29,0.807,0.807,0.666,1682726400000,0.666,77.08418
2023-04-27,0.666,0.66711,0.666,1682553600000,0.66711,491.29076310000005
2023-04-26,0.66711,0.66711,0.66711,1682467200000,0.66711,19.93
2023-04-23,0.66711,0.66711,0.66711,1682208000000,0.66711,250.609051
2023-04-22,0.75,0.75,0.75,1682121600000,0.75,1031.6129048
2023-04-18,0.75,0.75,0.75,1681776000000,0.75,100.0
2023-04-15,0.75,0.75,0.75,1681516800000,0.75,49.571838
2023-04-14,0.75,0.80799,0.75,1681430400000,0.80799,88.27665540000001
2023-04-13,0.75,0.75,0.75,1681344000000,0.75,71.756581
2023-04-11,0.75,0.75001,0.75,1681171200000,0.75001,1241.429947
2023-04-10,0.75001,0.80799,0.75,1681084800000,0.75,366.13178453
2023-04-09,0.75,0.75,0.75,1680998400000,0.75,26.8
2023-04-07,0.75,0.75,0.75,1680825600000,0.75,139.0
2023-04-06,0.75,0.75001,0.75,1680739200000,0.75001,305.47083088
2023-04-05,0.79,0.79,0.6616,1680652800000,0.6616,688.08574987
2023-04-03,0.66152,0.66152,0.66152,1680480000000,0.66152,98.64720425
2023-04-02,0.6712,0.75,0.6712,1680393600000,0.75,292.12318551
2023-04-01,0.75,0.75,0.75,1680307200000,0.75,708.827512
2023-03-31,0.75,0.75,0.75,1680220800000,0.75,380.766062
2023-03-29,0.75,0.75,0.75,1680048000000,0.75,2072.42360202
2023-03-28,0.75,0.75,0.75,1679961600000,0.75,100.0
2023-03-27,0.75,0.75,0.75,1679875200000,0.75,10.0
2023-03-26,0.75,0.75,0.75,1679788800000,0.75,2512.64
2023-03-25,0.75,0.75,0.75,1679702400000,0.75,1390.66321963
2023-03-24,0.75,0.83329,0.75,1679616000000,0.82,48.932458
2023-03-23,0.75,0.75,0.75,1679529600000,0.75,1589.40891717
2023-03-22,0.75,0.75,0.75,1679443200000,0.75,216.923604
2023-03-21,0.75,0.75,0.75,1679356800000,0.75,10.0
2023-03-19,0.75,0.75,0.75,1679184000000,0.75,193.38838221999998
2023-03-18,0.75,0.75,0.75,1679097600000,0.75,97.6686
2023-03-17,0.75,0.75,0.75,1679011200000,0.75,11.14
2023-03-13,0.75,0.75001,0.75,1678665600000,0.75001,12.824300000000001
2023-03-11,0.75,0.75,0.75,1678492800000,0.75,74.0
2023-03-09,0.75,0.84449,0.75,1678320000000,0.84449,81.746581
2023-03-08,0.75,0.75,0.75,1678233600000,0.75,15.103553
2023-03-07,0.75,0.75,0.75,1678147200000,0.75,54.0
2023-03-05,0.75,0.75,0.75,1677974400000,0.75,75.0
2023-03-04,0.75,0.75001,0.75,1677888000000,0.75001,176.71652698
2023-03-03,0.75,0.84898,0.75,1677801600000,0.75,62.47557364
2023-03-02,0.75,0.75,0.75,1677715200000,0.75,36.07390709
2023-03-01,0.75,0.75,0.75,1677628800000,0.75,11.0
2023-02-28,0.75,0.75001,0.75,1677542400000,0.75001,2561.4598608399997
2023-02-26,0.75001,0.84898,0.75001,1677369600000,0.84898,32.053993
2023-02-24,0.75,0.75,0.75,1677196800000,0.75,1014.120873
2023-02-22,0.75,0.75,0.75,1677024000000,0.75,4949.146581190001
2023-02-20,0.75,0.75,0.75,1676851200000,0.75,398.34868751
2023-02-17,0.75,0.78,0.74231,1676592000000,0.74231,139973.74057
2023-02-16,0.6601,0.76849,0.66,1676505600000,0.66,301022.027546
2023-02-15,0.66,0.77999,0.66,1676419200000,0.68123,25401.16973378
2023-02-14,0.76,0.76,0.76,1676332800000,0.76,739.622265
2023-02-13,0.79,0.79,0.789,1676246400000,0.79,1014.0
2023-02-12,0.67989,0.67989,0.67989,1676160000000,0.67989,18.527247
2023-02-11,0.67989,0.67989,0.67989,1676073600000,0.67989,74.671692
2023-02-10,0.67989,0.67989,0.67989,1675987200000,0.67989,509.947201
2023-02-08,0.6762,0.867,0.66,1675814400000,0.86499,2038.73833247
2023-02-05,0.869,0.869,0.86891,1675555200000,0.86891,137.77
2023-02-03,0.86983,0.86983,0.66,1675382400000,0.66001,365.541567
2023-02-01,0.7999,0.7999,0.7999,1675209600000,0.7999,292.420027
2023-01-31,0.7999,0.80661,0.7999,1675123200000,0.80661,1000.58212998
2023-01-29,0.7999,0.7999,0.71,1674950400000,0.71,12817.187144000001
2023-01-28,0.68,0.68,0.68,1674864000000,0.68,101.22588912
2023-01-27,0.68,0.68,0.68,1674777600000,0.68,516.859233
2023-01-26,0.68,0.68,0.68,1674691200000,0.68,4.22121108
2023-01-25,0.65,0.7,0.63,1674604800000,0.7,249547.83600356
2023-01-24,0.7,0.74989,0.7,1674518400000,0.74989,606.95854144
2023-01-23,0.73956,0.73956,0.63,1674432000000,0.65,50134.282175
2023-01-22,0.64,0.64001,0.64,1674345600000,0.64001,298.01763
2023-01-21,0.725,0.725,0.64,1674259200000,0.72,150429.58671032
2023-01-20,0.72,0.75,0.71999,1674172800000,0.71999,100581.38493047
2023-01-19,0.8,0.82,0.63136,1674086400000,0.8,1204488.9137708
2023-01-18,0.8,0.8,0.8,1674000000000,0.8,342.402448
2023-01-17,0.8,0.8,0.8,1673913600000,0.8,2950.0
2023-01-16,0.8,0.8,0.8,1673827200000,0.8,1031.01469848
2023-01-15,0.8,0.801,0.8,1673740800000,0.801,314.77101500000003
2023-01-14,0.801,0.801,0.801,1673654400000,0.801,248.502
2023-01-10,0.8,0.8,0.8,1673308800000,0.8,43.1256969
2023-01-09,0.8,0.8,0.8,1673222400000,0.8,119.594301
2023-01-06,0.8,0.8,0.8,1672963200000,0.8,1911.28676926
2023-01-05,0.8,0.80833,0.8,1672876800000,0.80833,180.905148
2023-01-04,0.80833,0.80833,0.80833,1672790400000,0.80833,16.0
2023-01-03,0.80833,0.816,0.80833,1672704000000,0.816,2486.56356476
2022-12-31,0.82,0.82,0.82,1672444800000,0.82,8000.0
2022-12-29,0.80833,0.8175,0.80833,1672272000000,0.8175,550.67
2022-12-28,0.8175,0.8175,0.8175,1672185600000,0.8175,100.0
2022-12-26,0.8175,0.8175,0.8175,1672012800000,0.8175,103.722497
2022-12-25,0.8175,0.81751,0.8175,1671926400000,0.81751,474.418317
2022-12-21,0.81751,0.82666,0.8175,1671580800000,0.82666,347.1813962
2022-12-20,0.82666,0.82666,0.82666,1671494400000,0.82666,285.652114
2022-12-18,0.82666,0.83583,0.82666,1671321600000,0.83583,1407.28226817
2022-12-15,0.83583,0.83583,0.83583,1671062400000,0.83583,262.15479500000004
2022-12-14,0.83583,0.83583,0.83583,1670976000000,0.83583,10.0
2022-12-13,0.83583,0.85,0.83583,1670889600000,0.85,73.55786978
2022-12-12,0.84,0.84,0.84,1670803200000,0.84,4.0
2022-12-11,0.84,0.84499,0.83999,1670716800000,0.84499,16459.37752345
2022-12-10,0.84499,0.84999,0.84499,1670630400000,0.84999,208.57655963
2022-12-08,0.84499,0.84499,0.84499,1670457600000,0.84499,98.81236614
2022-12-07,0.85,0.85,0.85,1670371200000,0.85,697.633428
2022-12-05,0.85,0.85,0.85,1670198400000,0.85,12398.365194
2022-12-04,0.85,0.85,0.84499,1670112000000,0.85,1691.9389219999998
2022-12-02,0.85,0.85,0.85,1669939200000,0.85,85.5
2022-12-01,0.85,0.85,0.85,1669852800000,0.85,51.858822
2022-11-30,0.85,0.85,0.78461,1669766400000,0.78461,1176.730232
2022-11-29,0.78461,0.78461,0.78461,1669680000000,0.78461,1061.855453
2022-11-28,0.78461,0.78461,0.78461,1669593600000,0.78461,4.9
2022-11-27,0.78461,0.78461,0.78461,1669507200000,0.78461,199.323836
2022-11-26,0.78461,0.78461,0.78461,1669420800000,0.78461,6.976334
2022-11-24,0.78461,0.78461,0.78461,1669248000000,0.78461,190.0
2022-11-23,0.78461,0.78554,0.78461,1669161600000,0.78554,6254.71644274
2022-11-22,0.78554,0.78554,0.78554,1669075200000,0.78554,142.0
2022-11-21,0.78554,0.78554,0.78554,1668988800000,0.78554,9200.0
2022-11-19,0.791,0.791,0.791,1668816000000,0.791,3002.6065799999997
2022-11-18,0.791,0.79521,0.791,1668729600000,0.79521,12650.0
2022-11-17,0.79521,0.79725,0.79521,1668643200000,0.79725,5923.59714357
