date,close,high,low,mts,open,volume
2024-02-28,107.72,109.19,107.26,1709078400000,108.45,593.23423466
2024-02-27,108.34,112.15,105.17,1708992000000,109.9,36347.4751008
2024-02-26,109.72,110.55,100.36,1708905600000,103.15,24415.39674684
2024-02-25,103.41,104.54,102.12,1708819200000,104.09,9878.02228736
2024-02-24,104.17,104.92,98.5,1708732800000,99.889,11313.11593453
2024-02-23,99.847,103.04,98.516,1708646400000,101.7,13403.06494333
2024-02-22,101.69,106.99,101.51,1708560000000,104.87,10603.43121515
2024-02-21,105.06,108.22,100.22,1708473600000,108.02,12534.83387811
2024-02-20,108.2,111.93,103.0,1708387200000,111.53,20643.2191423
2024-02-19,111.4,114.78,110.81,1708300800000,112.12,14223.71047651
2024-02-18,112.05,114.05,107.53,1708214400000,108.79,18269.56844806
2024-02-17,109.08,111.03,105.6,1708128000000,110.18,6160.92235766
2024-02-16,110.39,114.0,108.01,1708041600000,113.19,9890.96458902
2024-02-15,113.61,118.11,111.52,1707955200000,117.06,26080.29681794
2024-02-14,116.74,118.72,110.86,1707868800000,112.46,22334.49317426
2024-02-13,112.73,115.25,108.36,1707782400000,111.99,26071.55712951
2024-02-12,111.97,112.22,103.53,1707696000000,107.47,26923.9109299
2024-02-11,107.56,110.77,107.38,1707609600000,109.18,9663.0481209
2024-02-10,109.22,110.86,107.16,1707523200000,107.16,14196.18756755
2024-02-09,107.0,109.19,102.78,1707436800000,102.78,23172.49511216
2024-02-08,102.72,104.94,100.47,1707350400000,101.09,10993.92265473
2024-02-07,100.75,101.5,94.624,1707264000000,96.891,8439.0793324
2024-02-06,96.84,97.831,93.106,1707177600000,95.501,18829.47467413
2024-02-05,95.753,98.623,94.153,1707091200000,95.452,9326.70202477
2024-02-04,95.47,98.548,95.051,1707004800000,97.81,4594.82988654
2024-02-03,97.865,101.16,96.627,1706918400000,100.3,5481.24439382
2024-02-02,100.52,102.56,97.46,1706832000000,97.635,15302.36641416
2024-02-01,97.885,98.054,93.153,1706745600000,97.305,21001.91079393
2024-01-31,96.963,102.72,96.0,1706659200000,101.6,24857.79945966
2024-01-30,101.39,106.46,101.05,1706572800000,101.76,23432.95364354
2024-01-29,101.65,102.0,95.1,1706486400000,95.74,12527.4835878
2024-01-28,95.839,99.387,93.44,1706400000000,94.007,25769.53120931
2024-01-27,94.243,94.486,90.72,1706313600000,92.299,5235.9195769
2024-01-26,92.228,93.7,86.123,1706227200000,86.886,8996.35528733
2024-01-25,87.015,89.701,85.109,1706140800000,88.698,5620.98580671
2024-01-24,88.932,89.467,83.376,1706054400000,84.5,15496.19646656
2024-01-23,84.386,86.027,78.99,1705968000000,83.851,28530.78965519
2024-01-22,83.892,92.088,82.172,1705881600000,91.166,30867.60356977
2024-01-21,91.28,94.093,90.95,1705795200000,92.974,3851.86754981
2024-01-20,92.995,94.379,90.415,1705708800000,93.466,7798.48728197
2024-01-19,93.734,95.5,87.16,1705622400000,94.327,23028.73252489
2024-01-18,94.446,103.56,91.39,1705536000000,102.13,18615.27314154
2024-01-17,102.18,102.86,96.672,1705449600000,97.822,16813.41648613
2024-01-16,97.659,98.748,94.274,1705363200000,94.524,6778.43191751
2024-01-15,94.4,96.928,93.001,1705276800000,93.769,9058.06056035
2024-01-14,94.039,102.95,93.7,1705190400000,95.959,18526.48530389
2024-01-13,95.828,97.08,89.561,1705104000000,92.066,9185.2008952
2024-01-12,92.094,100.41,86.372,1705017600000,99.843,37182.6740914
2024-01-11,99.837,106.92,97.58,1704931200000,101.98,37334.01497695
2024-01-10,102.16,105.37,92.2,1704844800000,99.348,51753.12080062
2024-01-09,99.31,105.48,95.5,1704758400000,97.866,42186.95884462
2024-01-08,97.619,99.94,85.348,1704672000000,89.201,30109.16637732
2024-01-07,89.5,96.844,87.87,1704585600000,93.774,18233.86114329
2024-01-06,93.924,100.39,91.602,1704499200000,100.04,17884.86877289
2024-01-05,99.818,105.47,95.35,1704412800000,105.1,33758.22954664
2024-01-04,105.22,108.26,96.67,1704326400000,98.6,30619.21322566
2024-01-03,98.726,110.0,85.0,1704240000000,106.81,74586.82040802
2024-01-02,106.83,117.03,106.19,1704153600000,109.96,31434.36129768
2024-01-01,109.99,109.99,101.61,1704067200000,101.9,16717.59778335
2023-12-31,101.84,105.28,99.63,1703980800000,102.04,15182.66543135
2023-12-30,101.98,107.59,100.87,1703894400000,106.26,11765.0463331
2023-12-29,106.33,110.0,99.616,1703808000000,101.96,34680.85789829
2023-12-28,101.94,109.63,97.371,1703721600000,106.74,37021.60394403
2023-12-27,106.86,115.42,104.83,1703635200000,112.71,34563.09668653
2023-12-26,112.59,121.44,102.02,1703548800000,121.15,74843.79952002
2023-12-25,120.99,126.66,108.13,1703462400000,112.76,54709.08029041
2023-12-24,112.62,118.34,107.51,1703376000000,108.05,74697.40074092
2023-12-23,108.05,110.19,92.98,1703289600000,98.29,57520.65249969
2023-12-22,98.242,99.5,90.5,1703203200000,94.099,53668.69609394
