date,close,high,low,mts,open,volume
2024-02-28,1.6103,1.6132,1.6103,1709078400000,1.6132,30.04811452
2024-02-27,1.6132,1.7016,1.5825,1708992000000,1.6695,42307.69611734
2024-02-26,1.6682,1.7101,1.5815,1708905600000,1.643,18464.79044845
2024-02-25,1.64,1.6432,1.621,1708819200000,1.6349,2465.17394972
2024-02-24,1.6356,1.6641,1.5566,1708732800000,1.5996,32455.13831754
2024-02-23,1.5975,1.7447,1.57,1708646400000,1.7183,256062.42835614
2024-02-22,1.7192,1.769,1.6405,1708560000000,1.6815,116256.35373986
2024-02-21,1.692,1.7189,1.6192,1708473600000,1.7141,340820.69270355
2024-02-20,1.7213,1.7751,1.6225,1708387200000,1.7716,58869.44659611
2024-02-19,1.7731,1.8311,1.7401,1708300800000,1.7983,19871.19589231
2024-02-18,1.7999,1.8142,1.7338,1708214400000,1.7666,142311.3076365
2024-02-17,1.765,1.8128,1.7034,1708128000000,1.8068,21750.14315735
2024-02-16,1.8102,1.878,1.7457,1708041600000,1.8623,82358.92122012
2024-02-15,1.8642,1.9424,1.8203,1707955200000,1.9047,153134.40663528
2024-02-14,1.9063,1.9748,1.8165,1707868800000,1.8592,75751.24441005
2024-02-13,1.858,1.8786,1.7282,1707782400000,1.7634,95491.92524235
2024-02-12,1.7665,1.8316,1.6912,1707696000000,1.6956,416295.19664843
2024-02-11,1.6952,1.7982,1.6794,1707609600000,1.7334,362606.22015097
2024-02-10,1.7352,1.8132,1.6991,1707523200000,1.7631,463565.55505857
2024-02-09,1.7629,1.807,1.5197,1707436800000,1.5258,129005.84217109
2024-02-08,1.5299,1.5845,1.5059,1707350400000,1.5401,72880.71416056
2024-02-07,1.5389,1.5587,1.488,1707264000000,1.5188,75593.15322878
2024-02-06,1.5171,1.6141,1.5115,1707177600000,1.5747,41907.10718546
2024-02-05,1.5759,1.6569,1.434,1707091200000,1.4649,97536.04032768
2024-02-04,1.4665,1.5384,1.4255,1707004800000,1.4367,251405.81594713
2024-02-03,1.4341,1.4839,1.3882,1706918400000,1.4612,43583.48293649
2024-02-02,1.46,1.5436,1.4461,1706832000000,1.5264,35582.22304077
2024-02-01,1.5272,1.5687,1.4347,1706745600000,1.5198,138813.45787544
2024-01-31,1.5186,1.6367,1.4856,1706659200000,1.5396,97799.88969532
2024-01-30,1.5427,1.6485,1.5152,1706572800000,1.5641,115309.0211665
2024-01-29,1.5617,1.5842,1.3279,1706486400000,1.3324,177661.14051325
2024-01-28,1.3339,1.4865,1.3124,1706400000000,1.3938,121742.50002953
2024-01-27,1.3933,1.4917,1.3735,1706313600000,1.4586,108505.19536207
2024-01-26,1.4581,1.47,1.1585,1706227200000,1.179,253215.02122288
2024-01-25,1.1791,1.2935,1.1642,1706140800000,1.2935,227377.5329063
2024-01-24,1.2945,1.3174,1.1447,1706054400000,1.1859,274992.44778164
2024-01-23,1.1863,1.227,1.019,1705968000000,1.0722,321948.43238849
2024-01-22,1.0735,1.1295,1.0133,1705881600000,1.0601,335476.48180367
2024-01-21,1.0625,1.1303,1.0592,1705795200000,1.1032,156836.63262076
2024-01-20,1.1033,1.1672,1.0589,1705708800000,1.1672,319979.92973215
2024-01-19,1.1673,1.191,1.0889,1705622400000,1.159,197662.2383945
2024-01-18,1.1587,1.3475,1.1465,1705536000000,1.2932,198879.57042316
2024-01-17,1.2953,1.3291,1.2037,1705449600000,1.2708,138249.96681434
2024-01-16,1.271,1.3983,1.2411,1705363200000,1.3716,138602.99297585
2024-01-15,1.3727,1.4554,1.2512,1705276800000,1.2519,331030.63607631
2024-01-14,1.2547,1.35,1.233,1705190400000,1.2881,162740.9712381
2024-01-13,1.2881,1.3588,1.1222,1705104000000,1.1683,235584.4557046
2024-01-12,1.1678,1.2247,1.0453,1705017600000,1.0917,381305.31401692
