date,close,high,low,mts,open,volume
2024-02-28,0.01012,0.010151,0.01012,1709078400000,0.010151,3515.11006469
2024-02-27,0.01012,0.010186,0.0099762,1708992000000,0.010068,726454.27535544
2024-02-26,0.01003,0.010068,0.0096806,1708905600000,0.0097528,1981647.71954383
2024-02-25,0.00977,0.0098838,0.0096616,1708819200000,0.00974,707378.91798291
2024-02-24,0.009713,0.0098215,0.00955,1708732800000,0.00962,848863.74460528
2024-02-23,0.0096053,0.00991,0.0096025,1708646400000,0.00976,1344179.30405812
2024-02-22,0.0097528,0.010347,0.0097528,1708560000000,0.0103,1832127.44016823
2024-02-21,0.0103,0.011095,0.0099609,1708473600000,0.01108,7936389.25751742
2024-02-20,0.011082,0.011596,0.010655,1708387200000,0.010802,3367530.90745316
2024-02-19,0.01078,0.010921,0.010596,1708300800000,0.010596,1582941.1307959
2024-02-18,0.010596,0.010877,0.010555,1708214400000,0.010877,1590794.69005373
2024-02-17,0.010877,0.011136,0.010563,1708128000000,0.01063,2281718.985418
2024-02-16,0.01063,0.011087,0.01054,1708041600000,0.010882,1919093.61621883
2024-02-15,0.01087,0.010933,0.010456,1707955200000,0.010512,740315.87365694
2024-02-14,0.01052,0.010545,0.010229,1707868800000,0.01028,759265.42964616
2024-02-13,0.01028,0.01044,0.010192,1707782400000,0.010416,394059.94241089997
2024-02-12,0.01035,0.010426,0.010148,1707696000000,0.010356,1763715.99394415
2024-02-11,0.010364,0.010463,0.01036,1707609600000,0.01036,241835.92837054998
2024-02-10,0.01037,0.01045,0.010279,1707523200000,0.010426,292270.07154068997
2024-02-09,0.010364,0.010417,0.010192,1707436800000,0.010242,655832.61997975
2024-02-08,0.01023,0.010242,0.010087,1707350400000,0.010135,332147.48717524
2024-02-07,0.01012,0.01019,0.0098681,1707264000000,0.0099154,1340385.36872228
2024-02-06,0.009945,0.010358,0.0099154,1707177600000,0.010358,951268.11550722
2024-02-05,0.010304,0.010607,0.010304,1707091200000,0.010545,459440.03230998
2024-02-04,0.010599,0.010756,0.010512,1707004800000,0.010676,262010.97772597
2024-02-03,0.010676,0.010779,0.010675,1706918400000,0.010701,27918.36510381
2024-02-02,0.010701,0.010774,0.01017,1706832000000,0.010416,1342203.19887982
2024-02-01,0.010478,0.010606,0.010074,1706745600000,0.010336,2303100.60178782
2024-01-31,0.010393,0.010624,0.010336,1706659200000,0.010624,795173.6347024
2024-01-30,0.010626,0.010777,0.010593,1706572800000,0.010721,499591.24910506
2024-01-29,0.010648,0.010711,0.010512,1706486400000,0.010626,399014.14228186
2024-01-28,0.010626,0.010852,0.010613,1706400000000,0.010756,499684.41898862
2024-01-27,0.010739,0.010978,0.010666,1706313600000,0.010928,685155.00926453
2024-01-26,0.010853,0.011023,0.010782,1706227200000,0.01085,395015.02709548
2024-01-25,0.010837,0.010882,0.010495,1706140800000,0.010868,1644681.65407497
2024-01-24,0.010863,0.011053,0.010162,1706054400000,0.010231,2377329.533852
2024-01-23,0.010162,0.010727,0.0095014,1705968000000,0.010317,1136023.48829115
2024-01-22,0.010243,0.011467,0.010026,1705881600000,0.011467,251436.10677317
2024-01-20,0.0125,0.0125,0.008,1705708800000,0.0109,304142.76447571
2024-01-19,0.0097192,0.0098683,0.00901,1705622400000,0.0093487,611847.32285298
2024-01-18,0.0094119,0.0099658,0.0092801,1705536000000,0.0097003,1081951.45012323
2024-01-17,0.0096376,0.0098917,0.0095079,1705449600000,0.0098917,718018.49904304
2024-01-16,0.0098393,0.0099549,0.0097611,1705363200000,0.0099392,141068.99456353
2024-01-15,0.0099451,0.010077,0.0099392,1705276800000,0.010013,129619.96903333
2024-01-14,0.010013,0.010869,0.009954,1705190400000,0.010855,1014611.0647425799
2024-01-13,0.010855,0.011185,0.010692,1705104000000,0.011068,1394864.9475373
2024-01-12,0.011068,0.011546,0.010178,1705017600000,0.010484,2969885.27925496
2024-01-11,0.010423,0.010592,0.01019,1704931200000,0.010239,770227.58756479
