date,close,high,low,mts,open,volume
2024-02-28,9.9373,9.9949,9.916,1709078400000,9.9511,129.91718645
2024-02-27,9.9467,10.277,9.7733,1708992000000,10.117,16993.53385896
2024-02-26,10.087,10.358,9.332,1708905600000,9.6303,28315.70120496
2024-02-25,9.6278,9.7039,9.3241,1708819200000,9.4903,6886.89596359
2024-02-24,9.4801,9.491,9.0359,1708732800000,9.1374,22173.92529625
2024-02-23,9.1164,9.3305,8.9667,1708646400000,9.2357,20706.18744555
2024-02-22,9.2257,9.4638,8.9536,1708560000000,9.1488,5467.36554727
2024-02-21,9.2357,9.8046,8.8733,1708473600000,9.7593,20360.43649009
2024-02-20,9.6668,10.063,9.094,1708387200000,10.054,39273.1290945
2024-02-19,10.086,10.241,9.6836,1708300800000,9.6836,32931.834699
2024-02-18,9.6813,9.7918,9.5168,1708214400000,9.6883,46903.13793925
2024-02-17,9.7093,9.7814,9.2257,1708128000000,9.7767,8521.95002901
2024-02-16,9.7958,10.326,9.6358,1708041600000,10.157,9006.64572605
2024-02-15,10.225,10.756,9.4125,1707955200000,9.4411,67724.6850664
2024-02-14,9.4385,9.5445,9.0697,1707868800000,9.1535,12417.48827496
2024-02-13,9.2082,9.2864,8.884,1707782400000,9.1654,7649.87236908
2024-02-12,9.171,9.2812,8.7747,1707696000000,9.038,13569.19125154
2024-02-11,9.03,9.2605,8.9875,1707609600000,9.0777,19678.11274692
2024-02-10,9.0889,9.2562,9.0028,1707523200000,9.115,5142.33444032
2024-02-09,9.1159,9.1469,8.7301,1707436800000,8.7647,6685.90036661
2024-02-08,8.7611,8.9121,8.7329,1707350400000,8.8074,6506.0411548600005
2024-02-07,8.7834,8.8532,8.4953,1707264000000,8.6113,10097.98062033
2024-02-06,8.5983,8.7123,8.525,1707177600000,8.6528,16236.3307445
2024-02-05,8.6763,9.0465,8.5486,1707091200000,8.8438,8872.05316883
2024-02-04,8.8329,9.0637,8.8251,1707004800000,9.0637,5412.74675157
2024-02-03,9.164,9.7148,9.1507,1706918400000,9.4385,17003.290520939998
2024-02-02,9.4201,9.4927,9.1606,1706832000000,9.2693,20178.57942429
2024-02-01,9.1971,9.2347,8.6249,1706745600000,8.8824,8757.11664762
2024-01-31,8.8528,9.1867,8.7491,1706659200000,9.052,6365.89628302
2024-01-30,9.0541,9.4866,9.0268,1706572800000,9.174,16295.09614489
2024-01-29,9.2375,9.4243,8.8981,1706486400000,8.8981,25718.78679175
2024-01-28,8.8098,9.2069,8.7331,1706400000000,9.1256,5580.82274487
2024-01-27,9.1319,9.3437,8.6884,1706313600000,8.8068,43982.370867569996
2024-01-26,8.6785,8.8717,8.2556,1706227200000,8.3318,8630.14571201
2024-01-25,8.3443,8.5881,8.2202,1706140800000,8.579,10649.64371826
2024-01-24,8.5946,8.7485,8.4223,1706054400000,8.7485,17543.2193224
2024-01-23,8.7582,8.8187,7.5262,1705968000000,8.0753,17837.59674713
2024-01-22,8.0419,8.5349,7.9115,1705881600000,8.5349,17589.78036719
2024-01-21,8.4669,8.6697,8.4669,1705795200000,8.6697,2096.28783058
2024-01-20,8.5814,8.5869,8.3571,1705708800000,8.3571,574.25471293
2024-01-19,8.6606,8.7464,8.4142,1705622400000,8.7066,1589.63194829
2024-01-18,8.7442,9.5113,8.6477,1705536000000,9.3214,16554.62086908
2024-01-17,9.3289,9.4711,9.1634,1705449600000,9.4484,8014.9679881
2024-01-16,9.4299,9.6046,9.1629,1705363200000,9.5287,7535.81639174
2024-01-15,9.4777,9.894,9.4132,1705276800000,9.7195,9479.66936671
2024-01-12,9.5226,9.5226,9.5226,1705017600000,9.5226,240.874
2024-01-11,9.466,9.6117,8.7578,1704931200000,8.8824,1741638.71032561
2024-01-10,8.8662,9.0793,8.0255,1704844800000,8.249,4545131.06303307
2024-01-09,8.2729,8.8096,7.9703,1704758400000,8.8096,8915371.34530159
2024-01-08,8.8001,8.8536,7.8108,1704672000000,8.4347,20595.79490064
2024-01-07,8.487,9.2637,8.4031,1704585600000,9.0302,14912.89414416
2024-01-06,9.0519,9.6965,8.9,1704499200000,9.5912,10246.09161074
2024-01-05,9.65,10.967,9.4479,1704412800000,10.295,29734.78403129
2024-01-04,10.336,11.063,8.8081,1704326400000,9.0828,94916.79196584
