date,close,high,low,mts,open,volume
2024-02-28,39.133,39.553,39.133,1709078400000,39.253,425.60932758
2024-02-27,39.266,39.815,38.35,1708992000000,39.351,13025.32017987
2024-02-26,39.295,39.295,36.356,1708905600000,37.328,68149.74255271
2024-02-25,37.467,37.467,36.509,1708819200000,36.82,18296.54883973
2024-02-24,36.737,36.954,35.209,1708732800000,35.758,10156.330075099999
2024-02-23,35.967,36.929,35.2,1708646400000,36.867,19910.49957181
2024-02-22,36.722,38.133,36.563,1708560000000,37.554,2239.27056245
2024-02-21,37.683,38.418,35.881,1708473600000,38.418,1816.04160828
2024-02-20,38.531,39.608,36.831,1708387200000,39.492,3331.01771332
2024-02-19,39.426,40.586,39.112,1708300800000,40.205,1364.91047155
2024-02-18,40.188,40.711,39.02,1708214400000,39.827,9004.704192160001
2024-02-17,39.689,40.397,38.4,1708128000000,40.185,2723.85265767
2024-02-16,40.301,41.674,39.548,1708041600000,41.53,1387.8804675
2024-02-15,41.556,43.58,40.987,1707955200000,42.388,2094.85618308
2024-02-14,42.347,42.391,39.228,1707868800000,39.651,4628.74956871
2024-02-13,39.791,41.663,38.939,1707782400000,40.951,3381.21681633
2024-02-12,41.156,41.156,38.438,1707696000000,39.646,1788.54036817
2024-02-11,39.747,41.207,39.447,1707609600000,40.343,27823.63591666
2024-02-10,40.253,41.166,38.182,1707523200000,38.23,2730.97666506
2024-02-09,38.139,38.613,35.446,1707436800000,35.446,2519.27791771
2024-02-08,35.407,36.094,35.114,1707350400000,35.375,1816.63898918
2024-02-07,35.257,35.469,33.885,1707264000000,34.25,3265.31488263
2024-02-06,34.183,34.699,33.764,1707177600000,34.429,725.88892523
2024-02-05,34.476,35.855,34.167,1707091200000,34.872,1475.62996123
2024-02-04,34.847,36.446,34.728,1707004800000,36.004,10432.29053111
2024-02-03,35.96,37.58,35.469,1706918400000,36.787,1995.18736764
2024-02-02,36.754,36.919,33.967,1706832000000,33.97,2785.90454829
2024-02-01,33.848,33.913,32.337,1706745600000,33.185,1984.49448838
2024-01-31,33.182,35.455,33.182,1706659200000,35.224,1570.6676774
2024-01-30,35.141,37.05,35.031,1706572800000,36.079,3681.61591556
2024-01-29,36.101,36.471,34.404,1706486400000,34.716,7557.05758305
2024-01-28,34.821,36.672,33.237,1706400000000,33.237,13830.89827866
2024-01-27,33.257,33.288,32.062,1706313600000,32.212,17260.03915129
2024-01-26,32.285,33.096,30.179,1706227200000,30.367,2573.4124836
2024-01-25,30.51,31.374,29.646,1706140800000,31.219,1539.77143415
2024-01-24,31.203,31.898,29.573,1706054400000,30.659,3687.94179728
2024-01-23,30.674,30.7,27.355,1705968000000,29.553,14707.92449011
2024-01-22,29.516,32.698,29.439,1705881600000,32.691,2513.62972106
2024-01-21,32.635,33.381,32.596,1705795200000,33.083,172.71475082
2024-01-20,32.872,32.99,32.246,1705708800000,32.429,334.87758349
2024-01-19,33.64,33.736,32.624,1705622400000,33.39,4311.73540407
2024-01-18,33.6,35.987,32.725,1705536000000,35.987,949.61298609
2024-01-17,36.095,36.425,35.419,1705449600000,35.626,2087.54636535
2024-01-16,35.678,36.455,34.804,1705363200000,35.888,1942.40299344
2024-01-15,35.535,39.404,35.516,1705276800000,39.404,418.15302083
2024-01-11,39.419,41.686,37.586,1704931200000,38.532,539128.13426095
2024-01-10,38.36,39.467,33.384,1704844800000,34.56,477095.76331974
2024-01-09,34.69,37.591,33.81,1704758400000,36.024,3603444.02345737
2024-01-08,36.045,36.407,31.224,1704672000000,33.401,8285.04818242
2024-01-07,33.668,35.788,33.19,1704585600000,34.618,22088.56272307
2024-01-06,34.631,36.464,33.559,1704499200000,36.351,1375.57264602
2024-01-05,36.355,38.849,35.072,1704412800000,38.839,3017.47605229
2024-01-04,38.691,39.472,36.184,1704326400000,36.834,3184.13431687
2024-01-03,36.75,41.458,31.992,1704240000000,40.927,1416811.27844578
2024-01-02,40.667,43.413,40.513,1704153600000,41.919,1870.71377629
