date,close,high,low,mts,open,volume
2024-02-28,8.3519,8.4409,8.3057,1709078400000,8.3057,200.0
2024-02-27,8.3597,8.44,7.9866,1708992000000,8.1061,31594.6962351
2024-02-26,8.09,8.09,7.5921,1708905600000,7.895,16890.61924608
2024-02-25,7.9282,7.9403,7.6782,1708819200000,7.8163,15652.80160046
2024-02-24,7.822,7.8965,7.4389,1708732800000,7.6187,69164.65939747
2024-02-23,7.5638,7.6418,7.2939,1708646400000,7.5139,86368.9388514
2024-02-22,7.4796,7.6472,7.3045,1708560000000,7.4507,5342.69134657
2024-02-21,7.4864,7.6891,7.222,1708473600000,7.6891,16165.43748435
2024-02-20,7.7258,8.0724,7.4173,1708387200000,8.0229,15419.5935593
2024-02-19,8.0099,8.1406,7.6756,1708300800000,7.8456,23986.77068013
2024-02-18,7.899,7.899,7.6876,1708214400000,7.717,30207.969554170002
2024-02-17,5.6,7.6917,5.6,1708128000000,7.6762,6472.64098194
2024-02-16,7.6513,7.8469,7.5415,1708041600000,7.752,5771.16183064
2024-02-15,7.7623,7.9375,7.5361,1707955200000,7.6662,9272.03185261
2024-02-14,7.6477,7.7125,7.3003,1707868800000,7.3652,44069.79367393
2024-02-13,7.3688,7.4404,7.1728,1707782400000,7.358,11302.27486581
2024-02-12,7.3261,7.3713,7.0,1707696000000,7.1015,20158.47936632
2024-02-11,7.0972,7.3242,7.086,1707609600000,7.1952,21620.16364429
2024-02-10,7.2083,7.2825,7.0696,1707523200000,7.2333,4331.89075209
2024-02-09,7.2006,7.3235,6.9688,1707436800000,7.029,21174.16393261
2024-02-08,7.0177,7.0988,6.8703,1707350400000,6.9456,7312.20292415
2024-02-07,6.9377,6.9549,6.6768,1707264000000,6.7964,4401.98706809
2024-02-06,6.8073,6.8183,6.6337,1707177600000,6.7206,2976.80220736
2024-02-05,6.7287,6.959,6.5914,1707091200000,6.663,8146.81430154
2024-02-04,6.663,6.818,6.6626,1707004800000,6.8115,41513.03642278
2024-02-03,6.8283,6.9985,6.82,1706918400000,6.9394,2830.09446524
2024-02-02,6.9585,7.0238,6.7655,1706832000000,6.7844,3048.98758004
2024-02-01,6.7831,6.8149,6.5423,1706745600000,6.6789,4542.50892034
2024-01-31,6.6526,6.88,6.5864,1706659200000,6.8299,8097.6968001
2024-01-30,6.836,7.0671,6.8276,1706572800000,7.0284,8503.75638678
2024-01-29,7.0338,7.2985,6.714,1706486400000,6.8219,26446.293638
2024-01-28,6.853,6.853,6.5728,1706400000000,6.667,23412.78307979
2024-01-27,6.6742,6.755,6.5803,1706313600000,6.6761,57103.080946
2024-01-26,6.6675,6.7217,6.3748,1706227200000,6.4225,4507.01532449
2024-01-25,6.4378,6.5628,6.3641,1706140800000,6.4638,4802.84539506
2024-01-24,6.4737,6.5336,6.2769,1706054400000,6.367,11802.87607644
2024-01-23,6.3454,6.4552,5.9961,1705968000000,6.3567,12975.04247593
2024-01-22,6.3307,6.8561,6.3023,1705881600000,6.8561,24188.53430245
2024-01-21,6.8369,6.9545,6.8369,1705795200000,6.9462,1638.27789798
2024-01-20,6.9175,6.9342,6.8074,1705708800000,6.8553,23694.10611797
2024-01-19,7.0204,7.0557,6.8413,1705622400000,7.0356,8615.31476871
2024-01-18,7.0431,7.3915,6.8532,1705536000000,7.3522,13510.49117732
2024-01-17,7.3194,7.5837,7.2712,1705449600000,7.5016,8171.57727212
2024-01-16,7.4984,7.6807,7.36,1705363200000,7.5153,5700.44639081
2024-01-15,7.4986,45.01,7.4672,1705276800000,45.01,868.66520329
2024-01-12,8.1831,8.1831,8.1701,1705017600000,8.1701,106.03308581
2024-01-11,8.164,8.5674,7.8866,1704931200000,7.9933,846229.64347229
2024-01-10,7.9623,8.0464,6.8319,1704844800000,7.1267,601966.6516359
2024-01-09,7.1179,7.5286,6.9249,1704758400000,7.4917,2595995.07065402
2024-01-08,7.4891,7.4972,6.5296,1704672000000,6.9449,25819.77317842
2024-01-07,6.8529,7.3201,6.8367,1704585600000,7.1419,7937.23628069
2024-01-06,7.1352,7.452,6.9733,1704499200000,7.4474,8630.574395
2024-01-05,7.4084,7.9597,7.2,1704412800000,7.8891,27229.85089342
2024-01-04,7.8757,8.0,7.4898,1704326400000,7.6482,22778.87852798
2024-01-03,7.6222,8.5932,6.5353,1704240000000,8.4671,147529.33086446
2024-01-02,8.3951,8.7943,8.3573,1704153600000,8.575,32294.23600131
2024-01-01,8.6083,8.6372,8.1003,1704067200000,8.2183,10459.398961679999
2023-12-31,8.2021,8.6579,8.0467,1703980800000,8.3428,44632.051576779995
2023-12-30,8.3564,8.4919,8.1049,1703894400000,8.2998,8166.97663008
2023-12-29,8.2998,8.6822,8.0699,1703808000000,8.4706,11857.4872366
2023-12-28,8.5132,8.915,8.2887,1703721600000,8.6827,53030.05936603
2023-12-27,8.7137,9.0206,8.4221,1703635200000,8.794,42561.35471046
2023-12-26,8.8334,9.5849,8.3495,1703548800000,9.2577,62375.23135307
2023-12-25,9.2073,9.4049,8.5249,1703462400000,8.6909,89889.86999041
2023-12-24,8.6211,9.2226,8.334,1703376000000,8.4666,614574.23923858
2023-12-23,8.3503,8.4564,7.5997,1703289600000,7.9674,60226.19393858
2023-12-22,7.9647,8.5498,7.8548,1703203200000,8.4516,35920.92051895
2023-12-21,8.4438,8.4438,7.2335,1703116800000,7.2335,113764.47424313
2023-12-20,6.9514,7.137,6.6717,1703030400000,6.7177,7282.3870508
2023-12-19,6.7122,7.0423,6.6111,1702944000000,6.8741,4564.2564599
2023-12-18,6.888,6.888,6.3737,1702857600000,6.7926,20377.53777192
2023-12-17,6.7934,7.1564,6.756,1702771200000,7.1224,34950.1719852
2023-12-16,7.0824,7.3576,6.895,1702684800000,6.9689,20242.00335809
2023-12-15,6.9434,7.5635,6.943,1702598400000,7.5132,47373.18529369
2023-12-14,7.5377,7.7806,6.9484,1702512000000,7.5521,452501.07808956
2023-12-13,7.6182,7.6367,6.6552,1702425600000,7.1491,41616.38722286
2023-12-12,7.1261,7.3197,6.7278,1702339200000,6.7278,64646.70888386
2023-12-11,6.713,7.3334,6.24,1702252800000,7.3334,252411.37664075
2023-12-10,7.3564,7.3564,6.9295,1702166400000,7.1036,46675.12626915
