date,close,high,low,mts,open,volume
2024-02-28,0.83526,0.84003,0.8325,1709078400000,0.8325,37790.86976869
2024-02-27,0.83359,0.83646,0.80705,1708992000000,0.81202,799643.05670971
2024-02-26,0.81263,0.81263,0.776,1708905600000,0.79924,541682.18853647
2024-02-25,0.79806,0.80349,0.78745,1708819200000,0.80349,72076.00484106
2024-02-24,0.80429,0.8243,0.781,1708732800000,0.80251,137555.89305233
2024-02-23,0.80215,0.87888,0.762,1708646400000,0.77777,640099.47991122
2024-02-22,0.77099,0.78236,0.75072,1708560000000,0.76321,147496.18554181
2024-02-21,0.76411,0.7956,0.73842,1708473600000,0.7956,196305.6643743
2024-02-20,0.79999,0.80483,0.75299,1708387200000,0.79165,204163.764877
2024-02-19,0.79165,0.79187,0.7746,1708300800000,0.77755,189487.67372431
2024-02-18,0.77513,0.78408,0.76275,1708214400000,0.76689,168629.05719617
2024-02-17,0.76805,0.77279,0.74385,1708128000000,0.76599,21273.85700934
2024-02-16,0.7669,0.78255,0.74894,1708041600000,0.77157,150220.08445021
2024-02-15,0.77221,0.78023,0.75556,1707955200000,0.75691,257880.20983776
2024-02-14,0.7567,0.76109,0.7314,1707868800000,0.73745,119824.72664179
2024-02-13,0.73684,0.7573,0.73009,1707782400000,0.75694,228231.78373204
2024-02-12,0.75368,0.75916,0.72049,1707696000000,0.7358,194748.83819895
2024-02-11,0.73471,0.7481,0.73043,1707609600000,0.73476,98813.12057832
2024-02-10,0.7347,0.74364,0.72585,1707523200000,0.74306,31802.80870208
2024-02-09,0.74215,0.7523,0.72019,1707436800000,0.72019,475244.92416652
2024-02-08,0.71891,0.72605,0.71401,1707350400000,0.72041,119412.64275042
2024-02-07,0.71911,0.7237,0.70411,1707264000000,0.71398,45058.30917064
2024-02-06,0.7123,0.723,0.71129,1707177600000,0.71281,130105.45834285
2024-02-05,0.7093,0.7103,0.68954,1707091200000,0.69701,51639.76465225
2024-02-04,0.69665,0.71965,0.69406,1707004800000,0.71965,98999.0567774
2024-02-03,0.7236,0.73222,0.7098,1706918400000,0.71373,173412.9992575
2024-02-02,0.71508,0.71508,0.6996,1706832000000,0.70296,106369.50860799
2024-02-01,0.703,0.70426,0.67617,1706745600000,0.6922,211230.41003587
2024-01-31,0.6892,0.70534,0.67995,1706659200000,0.70429,162889.64577259
2024-01-30,0.70085,0.725,0.70085,1706572800000,0.7137,69274.44107899
2024-01-29,0.71836,0.72,0.69594,1706486400000,0.70622,43627.94898972
