date,close,high,low,mts,open,volume
2024-02-28,3232.5,3252.6,3232.5,1709078400000,3240.5,62.55147602
2024-02-27,3240.4,3273.0,3161.6,1708992000000,3174.0,16243.92347843
2024-02-26,3173.0,3188.0,3036.5,1708905600000,3112.0,13663.11299168
2024-02-25,3112.5,3113.2,2988.7,1708819200000,2996.6,15075.05951289
2024-02-24,2994.4,3007.2,2907.4,1708732800000,2921.7,2336.3618831
2024-02-23,2922.0,2992.5,2905.9,1708646400000,2969.7,2377.01064142
2024-02-22,2969.0,3032.7,2907.0,1708560000000,2968.6,9484.39805679
2024-02-21,2970.0,3011.5,2870.0,1708473600000,3009.7,7723.74984647
2024-02-20,3009.8,3022.1,2874.3,1708387200000,2943.0,12386.43379155
2024-02-19,2941.5,2976.6,2856.4,1708300800000,2877.1,11476.6978038
2024-02-18,2877.1,2893.2,2764.0,1708214400000,2783.5,8668.68165733
2024-02-17,2785.3,2803.4,2717.4,1708128000000,2800.1,2133.98687449
2024-02-16,2801.8,2851.2,2742.0,1708041600000,2821.9,7225.56241511
2024-02-15,2822.7,2858.8,2757.5,1707955200000,2774.8,15283.3497955
2024-02-14,2775.0,2785.5,2623.0,1707868800000,2643.7,10110.66904535
2024-02-13,2645.0,2688.0,2592.3,1707782400000,2662.7,6716.14151447
2024-02-12,2659.8,2665.3,2474.6,1707696000000,2508.6,9795.93120433
2024-02-11,2507.2,2541.1,2496.3,1707609600000,2502.8,1799.272736
2024-02-10,2503.3,2518.3,2473.8,1707523200000,2488.1,19302.73046319
2024-02-09,2487.6,2528.2,2397.8,1707436800000,2420.6,165542.4250967
2024-02-08,2419.2,2460.5,2411.8,1707350400000,2424.7,1715.66451928
2024-02-07,2424.3,2444.1,2354.8,1707264000000,2374.0,1813.96851961
2024-02-06,2374.3,2391.0,2299.1,1707177600000,2299.1,2080.60000073
2024-02-05,2301.1,2338.1,2269.9,1707091200000,2289.2,24493052.3804962
2024-02-04,2289.4,2310.0,2267.3,1707004800000,2295.8,1925985.6159987
2024-02-03,2295.6,2329.0,2293.3,1706918400000,2307.4,14870714.62070656
2024-02-02,2308.2,2324.3,2282.3,1706832000000,2304.9,1608.0263385
2024-02-01,2304.7,2311.1,2240.9,1706745600000,2283.0,2871089.235196
2024-01-31,2285.0,2351.0,2264.4,1706659200000,2348.0,1686.61205977
2024-01-30,2344.3,2470.0,2297.8,1706572800000,2312.3,199476.16090096
2024-01-29,2317.0,2322.2,2235.0,1706486400000,2257.5,1476.58226255
2024-01-28,2257.5,2305.5,2239.0,1706400000000,2266.0,1427.79772549
2024-01-27,2268.7,2282.8,2252.2,1706313600000,2268.1,623.39258713
2024-01-26,2266.9,2287.4,2197.5,1706227200000,2220.5,8302212.50983382
2024-01-25,2222.7,2244.6,2172.0,1706140800000,2236.5,2681.11248312
2024-01-24,2237.1,2267.0,2195.9,1706054400000,2245.0,2914.56796034
2024-01-23,2246.3,2353.5,2168.4,1705968000000,2315.0,3022175.55228698
2024-01-22,2315.0,2468.2,2305.0,1705881600000,2462.5,400945.77768464
2024-01-21,2458.0,44444000.0,2450.0,1705795200000,44444000.0,2050359.66621182
2024-01-20,2473.3,2478.2,2458.4,1705708800000,2469.5,399.94301572
2024-01-19,2495.1,2495.1,2446.0,1705622400000,2470.9,583.49819467
2024-01-18,2471.0,2548.6,2428.8,1705536000000,2530.5,3159.25473228
2024-01-17,2530.8,2593.9,1e-05,1705449600000,2588.6,11132558.74816631
2024-01-16,2589.4,2616.7,1e-05,1705363200000,2512.2,11993808.77474473
2024-01-15,2514.6,694310.0,0.299,1705276800000,2540.0,891.20428162
2024-01-14,2530.0,11290.0,0.25,1705190400000,11290.0,18279.96384637
2024-01-12,2290.0,44444000.0,1290.0,1705017600000,2618.5,211.3460512
2024-01-11,2620.0,2685.7,2564.8,1704931200000,2584.2,63705.93110132
2024-01-10,2580.4,2635.1,2340.5,1704844800000,2344.5,153117.92695187
2024-01-09,2344.5,2371.5,2228.0,1704758400000,2333.0,211959.54092203
2024-01-08,2333.0,2359.6,2168.8,1704672000000,2222.9,4667.06335852
2024-01-07,2224.1,2260.0,2207.3,1704585600000,2240.9,1138.89751187
2024-01-06,2242.0,2272.9,2218.5,1704499200000,2271.6,2138.91465317
2024-01-05,2270.1,2279.5,2209.5,1704412800000,2271.0,2807.71377851
2024-01-04,2270.8,2298.2,2204.8,1704326400000,2211.3,3691.29707071
2024-01-03,2212.0,2387.1,2097.4,1704240000000,2360.0,31116.00059581
2024-01-02,2356.7,2431.9,2340.0,1704153600000,2352.7,8957.07918784
2024-01-01,2352.5,2352.6,2269.5,1704067200000,2286.5,3736.65147316
2023-12-31,2283.3,2323.7,2260.0,1703980800000,2293.8,1053.43747109
2023-12-30,2294.8,2324.6,2271.3,1703894400000,2300.2,1731.63905876
2023-12-29,2302.7,2388.5,2258.5,1703808000000,2346.5,3885.84837867
2023-12-28,2348.0,2447.1,2337.3,1703721600000,2380.7,13216.05083385
2023-12-27,2379.6,2393.5,2215.3,1703635200000,2232.9,10650.67784255
2023-12-26,2234.0,2277.0,2182.0,1703548800000,2273.5,3538.37080546
2023-12-25,2275.0,2308.3,2257.3,1703462400000,2268.7,1133.73027559
2023-12-24,2267.1,2323.5,2248.1,1703376000000,2312.6,3339.09812252
2023-12-23,2312.0,2337.1,2269.8,1703289600000,2329.7,1249.15435122
2023-12-22,2330.0,2345.9,2233.4,1703203200000,2243.6,4110.35218768
2023-12-21,2241.5,2280.8,2192.1,1703116800000,2195.0,2899.71912473
2023-12-20,2194.5,2268.0,2160.2,1703030400000,2179.8,3092.23503626
2023-12-19,2180.5,2257.2,2138.0,1702944000000,2220.7,2499.37541719
2023-12-18,2218.1,2224.7,2119.4,1702857600000,2197.5,3254.01287475
2023-12-17,2197.8,2250.0,2192.0,1702771200000,2232.3,1572.37157276
2023-12-16,2229.5,2265.6,2213.5,1702684800000,2224.5,1444.86225945
2023-12-15,2219.6,2319.3,2201.8,1702598400000,2317.5,3729.0331153
2023-12-14,2319.1,2334.1,2230.7,1702512000000,2262.1,9241.18801314
2023-12-13,2262.5,2285.1,2147.8,1702425600000,2204.5,45147.10317691
2023-12-12,2204.4,2245.0,2166.8,1702339200000,2226.3,3046.53399703
2023-12-11,2227.2,2356.4,2137.8,1702252800000,2353.6,13346.98837491
2023-12-10,2354.6,2378.8,2324.5,1702166400000,2342.4,1348.49419029
2023-12-09,2341.9,2404.1,2330.5,1702080000000,2359.7,4607.86196104
2023-12-08,2358.3,2377.7,2147.9,1701993600000,2150.0,9340.62022718
2023-12-07,2150.0,2150.0,2147.9,1701907200000,2150.0,4.93606806
2023-12-06,2150.0,2288.7,2150.0,1701820800000,2283.5,1237.62526044
2023-12-05,2296.5,2299.5,2187.3,1701734400000,2248.8,1.503666
2023-12-04,2231.8,2269.0,2191.0,1701648000000,2192.1,10348.03303368
2023-12-03,2191.5,2214.3,2146.8,1701561600000,2164.1,6830.76246274
2023-12-02,2163.7,2184.0,2087.2,1701475200000,2087.2,7256.35870297
2023-12-01,2087.1,2109.5,2046.4,1701388800000,2052.7,1036148.21832717
2023-11-30,2052.0,2054.9,2021.5,1701302400000,2027.5,875.63293859
2023-11-29,2028.5,2074.9,2018.4,1701216000000,2045.4,3316.95225315
2023-11-28,2046.0,2074.5,1996.5,1701129600000,2027.4,8988.03447478
2023-11-27,2029.3,2070.4,1987.7,1701043200000,2062.5,9658.62540234
2023-11-26,2061.7,2094.1,2036.9,1700956800000,2083.3,3817.77643767
2023-11-25,2084.5,2090.0,2065.4,1700870400000,2080.4,1178.70154609
2023-11-24,2079.7,2132.8,2059.9,1700784000000,2059.9,9472.27988596
2023-11-23,2062.5,2089.2,2040.4,1700697600000,2064.2,1941.8269268
2023-11-22,2063.9,2092.2,1930.5,1700611200000,1933.2,4855.69680939
2023-11-21,1934.2,2034.9,1931.4,1700524800000,2021.6,4467.59338009
2023-11-20,2021.6,2066.0,1991.5,1700438400000,2013.1,3188.03475073
2023-11-19,2014.0,2015.6,1945.2,1700352000000,1962.7,1781.23935824
2023-11-18,1962.9,1973.0,1919.5,1700265600000,1961.5,3019.33197658
2023-11-17,1961.8,1990.8,1906.2,1700179200000,1963.3,4167.58161439
2023-11-16,1962.0,2090.6,1940.0,1700092800000,2060.6,4596.41216294
2023-11-15,2059.5,2063.2,1968.2,1700006400000,1980.0,3538.03748773
2023-11-14,1980.0,2065.2,1933.0,1699920000000,2054.9,6588.52699154
