date,close,high,low,mts,open,volume
2024-02-28,1.0283,1.0361,1.0236,1709078400000,1.0284,8777.89652343
2024-02-27,1.0282,1.077,1.0157,1708992000000,1.0596,337213.71025311
2024-02-26,1.0579,1.0714,0.97324,1708905600000,0.99811,540588.76917007
2024-02-25,0.99829,1.0025,0.96399,1708819200000,0.99291,502875.7754749
2024-02-24,0.99508,1.0307,0.9734,1708732800000,0.98644,171081.20305837
2024-02-23,0.99034,1.003,0.94352,1708646400000,0.99489,336089.25697581
2024-02-22,0.99226,1.0568,0.92157,1708560000000,0.94668,242642.41053611
2024-02-21,0.95139,1.0317,0.90785,1708473600000,1.0257,328333.26769939
2024-02-20,1.0236,1.0308,0.94211,1708387200000,0.99643,153625.52783725
2024-02-19,0.99632,1.0104,0.97474,1708300800000,0.99976,248526.88336198
2024-02-18,0.99363,0.99923,0.92116,1708214400000,0.92749,450669.00267497
2024-02-17,0.92778,0.95868,0.90503,1708128000000,0.95143,55142.45203627
2024-02-16,0.95183,0.95491,0.88664,1708041600000,0.89068,270283.64928137
2024-02-15,0.88901,0.90891,0.87317,1707955200000,0.89046,159579.61074444
2024-02-14,0.891,0.89218,0.84458,1707868800000,0.85054,66235.02554729
2024-02-13,0.85239,0.88257,0.84434,1707782400000,0.88038,37792.07904336
2024-02-12,0.87943,0.88337,0.81886,1707696000000,0.83774,657540.6916076799
2024-02-11,0.83383,0.86316,0.83157,1707609600000,0.84804,181517.29630118
2024-02-10,0.84878,0.86778,0.83838,1707523200000,0.8542,133378.45366326
2024-02-09,0.85262,0.85773,0.83288,1707436800000,0.83647,201477.27068665
2024-02-08,0.83387,0.84727,0.82553,1707350400000,0.835,276489.43356334
2024-02-07,0.83409,0.83758,0.78777,1707264000000,0.80679,114932.13497174
2024-02-06,0.80591,0.81667,0.77899,1707177600000,0.78031,83891.47770884
2024-02-05,0.78007,0.79511,0.76392,1707091200000,0.77451,109205.86264978
2024-02-04,0.77581,0.78571,0.77066,1707004800000,0.78139,215439.40704716
2024-02-03,0.78487,0.80629,0.78139,1706918400000,0.79877,17437.63388907
2024-02-02,0.79916,0.82074,0.79534,1706832000000,0.81259,43293.51552738
2024-02-01,0.81082,0.81631,0.76592,1706745600000,0.7908,798760.91683571
2024-01-31,0.78701,0.83327,0.77991,1706659200000,0.80061,210763.21140615
2024-01-30,0.7989,0.82061,0.796,1706572800000,0.80922,106424.15463422
2024-01-29,0.81276,0.81622,0.77453,1706486400000,0.78573,842610.12105144
2024-01-28,0.78928,0.80988,0.78161,1706400000000,0.78656,465359.58779444
2024-01-27,0.78771,0.78774,0.75692,1706313600000,0.75731,334860.43296779
2024-01-26,0.75906,0.76176,0.72717,1706227200000,0.73165,45531.75727093
2024-01-25,0.73222,0.73897,0.71772,1706140800000,0.73868,65578.61191965999
2024-01-24,0.73821,0.74548,0.71673,1706054400000,0.72435,76834.17744099
2024-01-23,0.72228,0.7636,0.69268,1705968000000,0.7503,84745.10885902
2024-01-22,0.74582,0.7908,0.73192,1705881600000,0.78476,117726.65012754
2024-01-21,0.78483,0.80677,0.78251,1705795200000,0.80677,13952.09920816
2024-01-20,0.78403,0.78403,0.76622,1705708800000,0.77224,29587.47625503
2024-01-19,0.78672,0.78858,0.76592,1705622400000,0.78628,13315.81539194
2024-01-18,0.78521,0.8195,0.77626,1705536000000,0.81231,36235.02132482
2024-01-17,0.81082,0.85239,0.80564,1705449600000,0.84499,122351.04355072
2024-01-16,0.84754,0.85627,0.82947,1705363200000,0.84365,26131.59812291
2024-01-15,0.84515,0.85717,0.83742,1705276800000,0.83742,107467.2650921
2024-01-12,0.2,0.9272,0.2,1705017600000,0.9272,10318.9433
2024-01-11,0.92632,0.95458,0.88311,1704931200000,0.90201,3295508.55362585
2024-01-10,0.90021,0.91034,0.80633,1704844800000,0.80633,9886768.59514814
2024-01-09,0.8026,0.84382,0.78,1704758400000,0.84091,358808.49587422
