date,close,high,low,mts,open,volume
2024-02-28,1.1596,1.17,1.1433,1709078400000,1.1433,21974.068634580002
2024-02-27,1.1416,1.16,1.1125,1708992000000,1.146,61433.20832227
2024-02-26,1.1453,1.1489,1.0854,1708905600000,1.1204,75614.42589727
2024-02-25,1.1174,1.1338,1.1049,1708819200000,1.1222,18716.8503038
2024-02-24,1.1281,1.1314,1.0527,1708732800000,1.0834,98158.34226335
2024-02-23,1.0894,1.1158,1.0663,1708646400000,1.1109,85109.62797249001
2024-02-22,1.1064,1.1402,1.0629,1708560000000,1.0842,27142.49386174
2024-02-21,1.0858,1.1094,1.0436,1708473600000,1.1054,28702.81387947
2024-02-20,1.1044,1.1359,1.0522,1708387200000,1.0963,60708.88485823
2024-02-19,1.0928,1.0944,1.0703,1708300800000,1.0744,18977.09083407
2024-02-18,1.0726,1.0829,1.0583,1708214400000,1.0651,44852.50883958
2024-02-17,1.0625,1.0849,1.035,1708128000000,1.0779,9952.87267768
2024-02-16,1.078,1.0934,1.0449,1708041600000,1.0793,27184.42732622
2024-02-15,1.0774,1.0965,1.0564,1707955200000,1.0694,79301.32679663
2024-02-14,1.069,1.069,1.0338,1707868800000,1.0442,113029.09173164
2024-02-13,1.0439,1.0598,1.0209,1707782400000,1.0509,35964.38904163
2024-02-12,1.046,1.0549,1.0115,1707696000000,1.0346,71990.19465616
2024-02-11,1.0336,1.0451,1.0276,1707609600000,1.0383,6292.02292912
2024-02-10,1.0408,1.0482,1.0194,1707523200000,1.0428,16006.4105598
2024-02-09,1.038,1.0484,1.0151,1707436800000,1.0154,38271.71819287
2024-02-08,1.0129,1.0146,0.99672,1707350400000,1.009,9741.89949057
2024-02-07,1.005,1.0084,0.96506,1707264000000,0.98349,9135.94095457
2024-02-06,0.98389,0.98947,0.96617,1707177600000,0.96617,5507.98824539
2024-02-05,0.96175,0.98861,0.94457,1707091200000,0.95684,26684.224935449998
2024-02-04,0.95808,0.99822,0.95808,1707004800000,0.99822,13172.62874659
2024-02-03,0.99672,1.0313,0.99268,1706918400000,1.0207,18912.852432480002
2024-02-02,1.0182,1.0251,0.9808,1706832000000,0.9808,24234.53647711
2024-02-01,0.98378,0.98378,0.9401,1706745600000,0.96789,19411.88261504
2024-01-31,0.96369,0.9904,0.95364,1706659200000,0.98269,43984.86235832
2024-01-30,0.97872,1.0278,0.97872,1706572800000,1.0084,41299.6693491
2024-01-29,1.0084,1.0084,0.96277,1706486400000,0.97582,19675.20684359
2024-01-28,0.97882,1.0131,0.96696,1706400000000,1.003,61446.00490972
2024-01-27,1.0029,1.003,0.973,1706313600000,0.973,31807.44812841
2024-01-26,0.973,0.973,0.92435,1706227200000,0.92542,10287.70423882
2024-01-25,0.93442,0.95006,0.91224,1706140800000,0.95006,20942.52876801
2024-01-24,0.94586,0.96158,0.93447,1706054400000,0.943,32368.73884281
2024-01-23,0.94106,0.97921,0.89753,1705968000000,0.96588,91584.06441414
2024-01-22,0.95869,1.0316,0.94166,1705881600000,1.0243,125596.51404089
2024-01-21,1.0223,1.0483,1.0223,1705795200000,1.0474,30916242.71416047
2024-01-20,1.0358,1.0458,1.0293,1705708800000,1.04,3924.50950779
2024-01-19,1.0331,1.0469,1.0197,1705622400000,1.0469,31450.3273128
2024-01-18,1.044,1.1014,1.0214,1705536000000,1.0945,82568.06910054
2024-01-17,1.1005,1.1427,1.0756,1705449600000,1.1267,51215.44672296
2024-01-16,1.1238,1.1908,1.1101,1705363200000,1.1633,49127.445322730004
2024-01-15,1.1639,1.2441,1.1582,1705276800000,1.1977,64029.36977437
2024-01-12,1.0691,1.0786,1.0682,1705017600000,1.0786,2222.58837733
2024-01-11,1.0794,1.1844,0.95007,1704931200000,0.95404,16447490.12009589
2024-01-10,0.943,0.96428,0.85469,1704844800000,0.88796,645933.21554415
2024-01-09,0.88532,0.93858,0.8624,1704758400000,0.93575,495736.894759
2024-01-08,0.93599,0.94268,0.81642,1704672000000,0.86835,152283.28675169
2024-01-07,0.87202,0.939,0.8658,1704585600000,0.92231,38545.95243867
2024-01-06,0.92248,0.93645,0.88661,1704499200000,0.93645,16071.667240230001
2024-01-05,0.94035,0.98164,0.9087,1704412800000,0.97573,152859.52465676
2024-01-04,0.97871,0.98699,0.95232,1704326400000,0.97669,28907.62862403
2024-01-03,0.98805,1.1254,0.85514,1704240000000,1.0709,2140664.43186081
2024-01-02,1.07,1.1095,1.0563,1704153600000,1.0982,34293.98843461
2024-01-01,1.0998,1.1117,1.0119,1704067200000,1.0119,98976.56083462
2023-12-31,1.0087,1.0418,0.99185,1703980800000,1.0203,14240.28136663
2023-12-30,1.021,1.056,1.011,1703894400000,1.028,27701.04426398
2023-12-29,1.0344,1.0691,1.0077,1703808000000,1.0589,42486.34304278
2023-12-28,1.0539,1.1256,1.0417,1703721600000,1.1087,49406.99561466
2023-12-27,1.1142,1.132,1.0119,1703635200000,1.0398,166032.43528583
2023-12-26,1.0506,1.0686,0.9735,1703548800000,1.0381,114313.37060691
2023-12-25,1.0421,1.049,0.98253,1703462400000,0.98895,137785.73789091
2023-12-24,0.98271,1.0113,0.96909,1703376000000,0.98263,377905.29401223
2023-12-23,0.98957,1.0376,0.95231,1703289600000,0.99148,69141.32598003
2023-12-22,0.98523,1.0102,0.93127,1703203200000,0.93127,133459.98732143998
2023-12-21,0.92874,0.93255,0.90425,1703116800000,0.90425,20128.16135723
2023-12-20,0.87874,0.9071,0.85982,1703030400000,0.86396,86992.06437723999
2023-12-19,0.86258,0.91002,0.86102,1702944000000,0.89302,46636.11161042
2023-12-18,0.89259,0.91513,0.83769,1702857600000,0.91012,139904.80206422
2023-12-17,0.91135,0.94286,0.908,1702771200000,0.94076,15315.83610105
2023-12-16,0.94274,0.95076,0.90359,1702684800000,0.91919,27133.23901903
2023-12-15,0.91567,0.97522,0.91377,1702598400000,0.97522,38028.17860129
2023-12-14,0.97917,0.9793,0.90951,1702512000000,0.92421,67841.28368845
2023-12-13,0.91896,0.93455,0.87731,1702425600000,0.93108,73308.7097482
2023-12-12,0.93073,0.93106,0.87318,1702339200000,0.87318,65683.12446688
2023-12-11,0.87302,0.9678,0.82795,1702252800000,0.9678,295081.37864288
2023-12-10,0.96338,0.98684,0.94595,1702166400000,0.97409,21890.45843784
2023-12-09,0.96982,0.99708,0.94795,1702080000000,0.94795,70141.42673916
2023-12-08,0.94605,0.94605,0.90359,1701993600000,0.91155,20704.8179014
2023-12-07,0.9065,0.92503,0.88742,1701907200000,0.88758,4833.97279884
2023-12-06,0.88145,0.90154,0.87129,1701820800000,0.90154,4020.3697846
2023-12-05,0.89532,0.89532,0.85759,1701734400000,0.88215,5944.283147
2023-12-04,0.87805,0.87805,0.8396,1701648000000,0.85274,76594.02252788
2023-12-03,0.85363,0.87073,0.83613,1701561600000,0.87034,36649.4332604
2023-12-02,0.86711,0.87363,0.84174,1701475200000,0.84193,53598.47264488
2023-12-01,0.84258,0.84361,0.8265,1701388800000,0.83262,12537.29401457
2023-11-30,0.83375,0.83375,0.81213,1701302400000,0.82246,19903.31375351
2023-11-29,0.82539,0.84203,0.81375,1701216000000,0.81375,36351.40736433
2023-11-28,0.81273,0.82165,0.78757,1701129600000,0.808,67799.28642581
2023-11-27,0.80733,0.84033,0.7877,1701043200000,0.84033,39720.85127097
2023-11-26,0.84475,0.84728,0.82012,1700956800000,0.84728,32729.9652573
2023-11-25,0.84874,0.85055,0.81864,1700870400000,0.82115,23061.36023968
2023-11-24,0.82204,0.82789,0.81219,1700784000000,0.81323,14074.08361131
2023-11-23,0.8148,0.81768,0.7984,1700697600000,0.8069,14459.37149283
2023-11-22,0.80767,0.8108,0.76501,1700611200000,0.76501,47521.73934925
2023-11-21,0.76737,0.85169,0.76244,1700524800000,0.83991,143911.91454555
2023-11-20,0.84216,0.86534,0.83634,1700438400000,0.86001,23944.80851306
2023-11-19,0.86012,0.86012,0.82287,1700352000000,0.83838,29550.0335301
2023-11-18,0.8397,0.85076,0.80349,1700265600000,0.84876,72662.11893931
2023-11-17,0.84986,0.85678,0.81218,1700179200000,0.83892,107826.80329926
2023-11-16,0.83753,0.90141,0.83045,1700092800000,0.88616,92417.80604985
2023-11-15,0.88636,0.88655,0.84058,1700006400000,0.85303,48814.56604787
2023-11-14,0.85112,0.93791,0.81045,1699920000000,0.88876,220017.80997521
2023-11-13,0.89573,0.94553,0.88728,1699833600000,0.92907,72333.54138166
2023-11-12,0.93119,0.93955,0.89181,1699747200000,0.91202,65282.17435677
2023-11-11,0.91392,0.91699,0.86172,1699660800000,0.89808,46932.573768
2023-11-10,0.89663,0.89971,0.84411,1699574400000,0.85576,60454.52963446
2023-11-09,0.85568,0.88855,0.76473,1699488000000,0.86797,136397.30011028
2023-11-08,0.87318,0.90217,0.84,1699401600000,0.84,129120.1536906
2023-11-07,0.83881,0.85007,0.81347,1699315200000,0.82959,99815.0610451
2023-11-06,0.83148,0.83148,0.79605,1699228800000,0.80731,40264.73092275
2023-11-05,0.81006,0.82629,0.7868,1699142400000,0.78819,90460.59864907
2023-11-04,0.78962,0.78979,0.77045,1699056000000,0.78095,9398.08296757
2023-11-03,0.78266,0.79866,0.76473,1698969600000,0.79866,33883.63497225
2023-11-02,0.80048,0.80467,0.77347,1698883200000,0.7894,84570.05936301
2023-11-01,0.78481,0.79445,0.73994,1698796800000,0.7557,83556.39427254
2023-10-31,0.75607,0.76195,0.72417,1698710400000,0.7552,47249.48114537
2023-10-30,0.75409,0.76131,0.7306,1698624000000,0.74579,75124.85192641
2023-10-29,0.74516,0.75208,0.72151,1698537600000,0.72762,56848.48512561
2023-10-28,0.73093,0.73656,0.70856,1698451200000,0.70856,52622.82983821
2023-10-27,0.70909,0.71432,0.68932,1698364800000,0.70921,47914.574676
2023-10-26,0.70979,0.73073,0.69003,1698278400000,0.71348,163779.16043205
2023-10-25,0.71149,0.72378,0.69362,1698192000000,0.70955,84785.37169135
2023-10-24,0.71177,0.72421,0.69001,1698105600000,0.70777,130587.71879281
2023-10-23,0.707,0.70966,0.66874,1698019200000,0.67658,173094.91044549
2023-10-22,0.67522,0.68129,0.6539,1697932800000,0.66845,34215.01008237
2023-10-21,0.59392,0.6474,0.59392,1697846400000,0.6474,6000.0
2023-10-19,0.62342,0.62342,0.62342,1697673600000,0.62342,2.182e-05
2023-10-18,0.63819,0.65648,0.63787,1697587200000,0.65067,0.00217733
2023-10-17,0.65304,0.66228,0.64356,1697500800000,0.66016,10.00289277
2023-10-16,0.65917,0.66201,0.65095,1697414400000,0.65275,0.00203522
2023-10-15,0.65316,0.6601,0.64799,1697328000000,0.65629,0.00145937
2023-10-14,0.65735,0.66716,0.64946,1697241600000,0.65267,0.00231636
2023-10-13,0.65209,0.66079,0.64312,1697155200000,0.64317,0.00258536
2023-10-12,0.64181,0.65928,0.63449,1697068800000,0.65662,10.00392997
2023-10-11,0.65662,0.67538,0.65315,1696982400000,0.67222,0.00367402
2023-10-09,0.6463,0.67566,0.6009,1696809600000,0.67398,90759.35336424
2023-10-08,0.67504,0.68006,0.67247,1696723200000,0.67704,404.65460459999997
2023-10-07,0.67699,0.68451,0.67252,1696636800000,0.67873,7453.90560087
2023-10-06,0.67917,0.68151,0.66404,1696550400000,0.66823,13521.9347585
2023-10-05,0.66926,0.68577,0.66837,1696464000000,0.68114,17444.02938931
2023-10-04,0.68222,0.68434,0.65468,1696377600000,0.67058,38209.91805067
2023-10-03,0.67079,0.68884,0.66761,1696291200000,0.67769,71367.78846377
2023-10-02,0.6784,0.7131,0.66773,1696204800000,0.70774,46329.61366328
2023-10-01,0.7069,0.71056,0.68096,1696118400000,0.68256,203597.3918234
2023-09-30,0.68292,0.69148,0.67832,1696032000000,0.68211,91827.81413365
2023-09-29,0.68185,0.68185,0.66692,1695945600000,0.66952,41057.49839735
2023-09-28,0.66822,0.66852,0.65187,1695859200000,0.65646,24079.21289159
2023-09-27,0.65345,0.66733,0.648,1695772800000,0.65677,51717.85218548
2023-09-26,0.6567,0.66248,0.64832,1695686400000,0.65868,38892.20681896
2023-09-25,0.65908,0.66536,0.64819,1695600000000,0.6482,31172.04477865
2023-09-24,0.65134,0.66717,0.65075,1695513600000,0.66608,9716.6496676
2023-09-23,0.66624,0.67194,0.65683,1695427200000,0.67194,25002.34094204
2023-09-22,0.66706,0.66706,0.65487,1695340800000,0.66006,8901.52591013
2023-09-21,0.65903,0.6813,0.65508,1695254400000,0.67985,11483.08878335
2023-09-20,0.67551,0.68564,0.66871,1695168000000,0.68181,4885.36887743
2023-09-19,0.6815,0.6815,0.66912,1695081600000,0.67015,2856.62680621
2023-09-18,0.67097,0.68246,0.65832,1694995200000,0.65832,18038.52190886
2023-09-17,0.65751,0.68026,0.65,1694908800000,0.67794,27235.65101286
2023-09-16,0.68217,0.69363,0.67729,1694822400000,0.67745,35468.75833713
2023-09-15,0.67573,0.67935,0.65319,1694736000000,0.65463,9262.06221448
2023-09-14,0.65281,0.657,0.63863,1694649600000,0.64695,27614.88105668
2023-09-13,0.64419,0.65106,0.63055,1694563200000,0.64001,58079.25106293
2023-09-12,0.63664,0.65774,0.63421,1694476800000,0.64051,187334.79060601
2023-09-11,0.64252,0.67722,0.639,1694390400000,0.67722,80769.26544447
2023-09-10,0.67618,0.69423,0.67045,1694304000000,0.69423,174105.09645647
2023-09-09,0.69644,0.69844,0.68998,1694217600000,0.69493,5796.80731527
2023-09-08,0.69513,0.70199,0.68662,1694131200000,0.70199,18134.61413844
2023-09-07,0.69788,0.69895,0.68437,1694044800000,0.69293,9833.15613384
2023-09-06,0.69267,0.70128,0.68801,1693958400000,0.69965,23168.52431963
2023-09-05,0.69895,0.70889,0.68613,1693872000000,0.69488,35040.09682462
2023-09-04,0.69633,0.70222,0.68761,1693785600000,0.68761,2590.120096
2023-09-03,0.68861,0.6966,0.68223,1693699200000,0.68896,1780.16444764
2023-09-02,0.69058,0.69263,0.6801,1693612800000,0.68446,4029.70921847
2023-09-01,0.68291,0.69229,0.66892,1693526400000,0.69229,8434.44472636
2023-08-31,0.68703,0.71833,0.67916,1693440000000,0.71272,18003.89730868
2023-08-30,0.71564,0.73181,0.7138,1693353600000,0.73181,6330.21700803
2023-08-29,0.73364,0.73913,0.69096,1693267200000,0.70445,128857.00685148
2023-08-28,0.70643,0.70871,0.69337,1693180800000,0.69963,13670.55784594
2023-08-27,0.69862,0.70058,0.67859,1693094400000,0.68126,7116.02406795
2023-08-26,0.6817,0.71402,0.67943,1693008000000,0.69735,55979.05003007
2023-08-25,0.69703,0.69881,0.68649,1692921600000,0.6932,6022.65008495
2023-08-24,0.6947,0.71078,0.69067,1692835200000,0.70839,7356.34805569
2023-08-23,0.70852,0.7138,0.69043,1692748800000,0.69043,7635.8147185
2023-08-22,0.68874,0.70052,0.66776,1692662400000,0.70052,29393.41117296
2023-08-21,0.69995,0.71316,0.67867,1692576000000,0.71136,56540.497305849996
2023-08-20,0.71162,0.71335,0.70072,1692489600000,0.70746,5766.12837837
2023-08-19,0.70621,0.71223,0.69496,1692403200000,0.70099,23265.09214088
2023-08-18,0.70188,0.70457,0.68834,1692316800000,0.69098,66581.22998713
2023-08-17,0.6859,0.73672,0.62089,1692230400000,0.73218,117117.5170148
2023-08-16,0.72872,0.76625,0.72462,1692144000000,0.76224,78220.15032155
2023-08-15,0.76328,0.79791,0.73675,1692057600000,0.79791,82783.91557923
2023-08-14,0.80024,0.8027,0.7892,1691971200000,0.79329,3512.10915961
2023-08-13,0.79447,0.80243,0.79012,1691884800000,0.79398,3350.76447152
2023-08-12,0.796,0.80253,0.78954,1691798400000,0.79505,3026.51860907
2023-08-11,0.79603,0.79712,0.78619,1691712000000,0.79165,1559.645244
2023-08-10,0.7914,0.79755,0.78518,1691625600000,0.79361,3151.58892206
2023-08-09,0.79564,0.80749,0.78898,1691539200000,0.80066,13624.02945421
2023-08-08,0.80076,0.80552,0.79054,1691452800000,0.79215,21286.81143883
2023-08-07,0.79396,0.81017,0.77492,1691366400000,0.80617,142770.65681552
2023-08-06,0.80196,0.8157,0.80183,1691280000000,0.80621,13838.13566832
2023-08-05,0.80824,0.81027,0.7992,1691193600000,0.8072,12872.19973869
2023-08-04,0.8082,0.81953,0.8,1691107200000,0.8154,14433.30095618
2023-08-03,0.81664,0.84562,0.81344,1691020800000,0.83641,114012.43920297
2023-08-02,0.84042,0.85699,0.83165,1690934400000,0.84378,18611.31710348
2023-08-01,0.84109,0.84109,0.80919,1690848000000,0.82674,60625.51434199
2023-07-31,0.82658,0.84889,0.81789,1690761600000,0.83809,25482.70556994
2023-07-30,0.83665,0.84621,0.81789,1690675200000,0.84221,23446.15431979
2023-07-29,0.84404,0.84404,0.82782,1690588800000,0.82782,49135.24737045
2023-07-28,0.82911,0.83011,0.80937,1690502400000,0.8114,21162.68525156
2023-07-27,0.81002,0.82885,0.80003,1690416000000,0.81484,15720.42895196
2023-07-26,0.81511,0.82441,0.80342,1690329600000,0.81536,9382.66817315
2023-07-25,0.81425,0.81615,0.80436,1690243200000,0.80936,3007.0082395199997
2023-07-24,0.8105,0.89288,0.79813,1690156800000,0.87606,246802.92878844
2023-07-23,0.87938,0.8862,0.83719,1690070400000,0.83731,40199.2907062
2023-07-22,0.83531,0.85707,0.8327,1689984000000,0.84914,61360.06020038
2023-07-21,0.85091,0.86757,0.84349,1689897600000,0.86757,62469.89189828
2023-07-20,0.86681,0.92406,0.83926,1689811200000,0.84336,172014.5891557
2023-07-19,0.83926,0.85101,0.8238,1689724800000,0.82472,12696.58847353
2023-07-18,0.82509,0.87016,0.82102,1689638400000,0.86634,688056.5224494099
