date,close,high,low,mts,open,volume
2024-02-28,1.9637,1.9637,1.8998,1709078400000,1.8998,27.74799417
2024-02-27,1.8582,2.2604,1.767,1708992000000,1.805,55664.23361646
2024-02-26,1.7999,1.8,1.3827,1708905600000,1.3884,10048.6219764
2024-02-25,1.4018,1.403,1.2706,1708819200000,1.3211,1761.30188581
2024-02-24,1.3273,1.4113,1.15,1708732800000,1.2009,3007.88012591
2024-02-23,1.202,1.25,1.1676,1708646400000,1.2158,661.3806844
2024-02-22,1.2179,1.2462,1.1526,1708560000000,1.1683,2743.3504428
2024-02-21,1.1749,1.2078,1.1223,1708473600000,1.1936,593.1650123
2024-02-20,1.2014,1.2643,1.15,1708387200000,1.2643,1721.44870941
2024-02-19,1.2705,1.3217,1.1637,1708300800000,1.1669,1852.47243567
2024-02-18,1.159,1.1874,1.1479,1708214400000,1.1775,1242.6764019
2024-02-17,1.1772,1.1794,1.0988,1708128000000,1.1283,1642.34089394
2024-02-16,1.1232,1.1459,1.1012,1708041600000,1.1164,3420.80424067
2024-02-15,1.1138,1.1402,1.0833,1707955200000,1.0905,12955.80076447
2024-02-14,1.088,1.1148,1.0627,1707868800000,1.0676,1243.99344367
2024-02-13,1.0743,1.0888,1.057,1707782400000,1.0779,724.72047567
2024-02-12,1.08,1.08,1.0099,1707696000000,1.0214,1055.15713512
2024-02-11,1.0185,1.0441,1.016,1707609600000,1.0296,1228.81917819
2024-02-10,1.0252,1.0427,1.0159,1707523200000,1.0374,264.84500012
2024-02-09,1.0364,1.048,0.9953,1707436800000,0.9953,800.27844204
2024-02-08,0.99203,1.0122,0.98886,1707350400000,0.99188,1654.1859297600001
2024-02-07,0.99123,0.99457,0.942,1707264000000,0.94704,659.57712913
2024-02-06,0.95154,0.96748,0.93628,1707177600000,0.96748,1134.40184398
2024-02-05,0.96172,0.97041,0.9353,1707091200000,0.9544,5691.06570746
2024-02-04,0.95251,0.98883,0.95251,1707004800000,0.98162,273.76563207
2024-02-03,0.99141,1.0117,0.98862,1706918400000,1.0026,277.55885543
2024-02-02,1.0,1.0016,0.98097,1706832000000,0.98097,1000.50558155
2024-02-01,0.97814,0.98699,0.95973,1706745600000,0.98321,802.44626334
2024-01-31,0.97488,1.007,0.96117,1706659200000,1.0012,928.52319878
2024-01-30,1.005,1.05,1.003,1706572800000,1.0307,657.760764
2024-01-29,1.0356,1.0363,0.98569,1706486400000,1.0187,4869.5112152599995
2024-01-28,1.0205,1.0221,0.99161,1706400000000,1.0122,2068.83831017
2024-01-27,1.0029,1.019,0.98333,1706313600000,0.98578,1102.95275314
2024-01-26,0.98248,0.98749,0.92917,1706227200000,0.93402,608.08648055
2024-01-25,0.9407,0.96978,0.93177,1706140800000,0.96498,825.41207427
2024-01-24,0.9674,0.9674,0.93222,1706054400000,0.93714,337.16921695
2024-01-23,0.93929,0.96473,0.88704,1705968000000,0.95106,1271.87833884
2024-01-22,0.94476,1.0206,0.94,1705881600000,1.0184,5281.9329258
2024-01-21,1.0131,1.048,1.0131,1705795200000,1.0247,6987.3579755
2024-01-20,1.0297,1.0335,0.9981,1705708800000,1.001,1441.34886606
2024-01-19,1.0079,1.0079,0.93561,1705622400000,0.98748,4126.87052991
2024-01-18,0.98387,1.0834,0.98387,1705536000000,1.0617,8552.21434821
2024-01-17,1.0576,1.088,1.0485,1705449600000,1.0759,8485.21176677
2024-01-16,1.0822,1.0848,1.0335,1705363200000,1.0392,1359.11009351
2024-01-15,1.0442,1.0587,1.0191,1705276800000,1.0222,977.07222227
2024-01-14,1.0195,1.0639,1.0141,1705190400000,1.0636,34166.22607535
2024-01-13,1.0582,1.0689,1.0318,1705104000000,1.0452,2332.03347849
2024-01-12,1.0455,1.1605,1.01,1705017600000,1.1435,512.66127456
2024-01-11,1.1325,1.1778,1.0816,1704931200000,1.0816,2405.19655229
2024-01-10,1.085,1.113,1.0,1704844800000,1.0249,6872.56022822
2024-01-09,1.0173,1.1004,0.98,1704758400000,1.1004,3288.94149364
2024-01-08,1.0943,1.1,0.98395,1704672000000,1.0473,1735.55750773
2024-01-07,1.042,1.1298,1.0385,1704585600000,1.1086,1429.09310684
2024-01-06,1.1113,1.1456,1.0717,1704499200000,1.1456,345.55185794
2024-01-05,1.1507,1.2372,1.1,1704412800000,1.2255,2241.35577827
2024-01-04,1.2137,1.2342,1.1559,1704326400000,1.178,35757.47878071
2024-01-03,1.1806,1.4261,1.006,1704240000000,1.3697,3473.72470775
2024-01-02,1.3579,1.4432,1.3311,1704153600000,1.34,4157.30055673
2024-01-01,1.3409,1.3409,1.2353,1704067200000,1.2639,737.34183891
2023-12-31,1.2544,1.3,1.235,1703980800000,1.257,4674.24388499
2023-12-30,1.257,1.3638,1.257,1703894400000,1.2701,4506.12636241
2023-12-29,1.2763,1.3242,1.25,1703808000000,1.3242,22368.93221867
2023-12-28,1.3438,1.4214,1.287,1703721600000,1.3482,4099.42210166
2023-12-27,1.3487,1.45,1.2936,1703635200000,1.4109,2352.2272636400003
2023-12-26,1.4168,1.4195,1.25,1703548800000,1.4184,2235.89066763
2023-12-25,1.4169,1.4169,1.2364,1703462400000,1.2652,14668.84687309
2023-12-24,1.2713,1.3,1.1392,1703376000000,1.1442,13407.18684324
2023-12-23,1.1482,1.2,1.1149,1703289600000,1.1674,2070.5205727000002
2023-12-22,1.1625,1.2,1.1367,1703203200000,1.1562,22567.37599338
2023-12-21,1.1632,1.1697,1.0696,1703116800000,1.0798,5211.10846772
2023-12-20,1.0833,1.1,1.0138,1703030400000,1.0254,1059.72090321
2023-12-19,1.0192,1.0321,1.0044,1702944000000,1.0213,2902.04676645
2023-12-18,1.0184,1.0515,0.9529,1702857600000,1.0481,4724.52888028
2023-12-17,1.0456,1.109,1.0456,1702771200000,1.0911,578.5536620400001
2023-12-16,1.0923,1.113,1.0339,1702684800000,1.0471,2537.409983
2023-12-15,1.0418,1.1144,1.0418,1702598400000,1.1109,2553.90749529
2023-12-14,1.1157,1.1401,1.0752,1702512000000,1.1155,3366.33340399
2023-12-13,1.1094,1.118,1.0043,1702425600000,1.0602,1608.49180361
2023-12-12,1.0602,1.072,1.0281,1702339200000,1.0486,4941.4775134599995
2023-12-11,1.0429,1.1443,1.0051,1702252800000,1.1443,3279.96854365
2023-12-10,1.1389,1.1905,1.1156,1702166400000,1.1624,819.17357078
2023-12-09,1.1627,1.1937,1.1476,1702080000000,1.1642,3310.27058548
2023-12-08,1.1553,1.1617,1.0621,1701993600000,1.0664,4721.93255817
