date,close,high,low,mts,open,volume
2024-02-28,16.799,17.103,16.799,1709078400000,16.987,110.60984516
2024-02-27,16.974,17.784,16.713,1708992000000,17.349,4482.38339321
2024-02-26,17.34,17.53,16.176,1708905600000,16.737,7969.25708278
2024-02-25,16.758,17.496,16.758,1708819200000,17.024,4319.4251946
2024-02-24,17.051,17.086,16.186,1708732800000,16.339,1973.37001123
2024-02-23,16.426,17.192,15.815,1708646400000,17.08,3149.69147808
2024-02-22,16.933,17.718,16.809,1708560000000,17.31,1997.55463996
2024-02-21,17.368,17.952,16.623,1708473600000,17.952,4066.31691016
2024-02-20,17.943,18.757,17.174,1708387200000,18.73,3212.33590934
2024-02-19,18.732,19.106,18.421,1708300800000,18.652,3505.60361209
2024-02-18,18.627,19.288,18.269,1708214400000,18.569,2702.11252417
2024-02-17,18.491,19.225,18.053,1708128000000,18.595,4653.82113074
2024-02-16,18.594,18.669,17.633,1708041600000,18.253,1783.72380642
2024-02-15,18.225,19.433,17.836,1707955200000,19.231,18356.88511079
2024-02-14,19.162,19.678,18.678,1707868800000,18.972,6339.99239732
2024-02-13,19.075,19.895,18.742,1707782400000,19.657,10130.40428353
2024-02-12,19.678,19.992,18.767,1707696000000,19.342,4986.7270902
2024-02-11,19.408,20.122,19.264,1707609600000,19.903,7413.02457435
2024-02-10,19.833,21.134,19.704,1707523200000,19.704,6860.55171806
2024-02-09,19.737,20.886,19.438,1707436800000,20.274,6503.92428315
2024-02-08,20.201,20.579,18.8,1707350400000,18.82,10839.86754781
2024-02-07,18.815,18.815,17.15,1707264000000,17.438,4725.54473032
2024-02-06,17.391,17.989,17.062,1707177600000,17.733,6277.60736715
2024-02-05,17.735,18.314,17.223,1707091200000,17.348,4171.18326699
2024-02-04,17.435,17.969,16.826,1707004800000,17.691,3568.45099292
2024-02-03,17.741,18.489,17.511,1706918400000,17.754,3187.73402227
2024-02-02,17.615,17.971,16.857,1706832000000,16.958,4032.3277658
2024-02-01,16.921,17.267,15.617,1706745600000,16.22,6226.24542113
2024-01-31,16.207,17.916,15.92,1706659200000,17.916,7785.69451138
2024-01-30,17.851,18.524,17.494,1706572800000,17.936,7371.16541815
2024-01-29,17.938,18.125,16.899,1706486400000,16.953,9626.51080719
2024-01-28,17.034,17.601,16.723,1706400000000,17.019,9307.76872081
2024-01-27,16.995,17.465,16.49,1706313600000,16.526,8157.93898311
2024-01-26,16.54,16.869,15.06,1706227200000,15.085,11255.00375114
2024-01-25,15.161,16.351,14.833,1706140800000,16.256,5106.62332556
2024-01-24,16.396,16.988,15.758,1706054400000,16.495,7379.20020385
2024-01-23,16.438,16.438,13.905,1705968000000,15.345,21717.266844
2024-01-22,15.286,17.161,15.18,1705881600000,16.882,7775.21217612
2024-01-21,16.872,17.746,16.872,1705795200000,17.736,3802.26471948
2024-01-20,17.692,17.85,17.055,1705708800000,17.768,4579.71342862
2024-01-19,17.767,18.502,16.391,1705622400000,17.117,13040.99216447
2024-01-18,16.905,18.52,16.76,1705536000000,18.285,10814.17801425
2024-01-17,18.219,19.214,17.891,1705449600000,18.96,4133.71733343
2024-01-16,18.784,19.622,18.699,1705363200000,19.024,9388.15488836
2024-01-15,19.0,20.35,18.117,1705276800000,18.117,14313.06586515
2024-01-14,18.123,19.879,17.92,1705190400000,18.553,32962.78138176
2024-01-13,18.488,18.5,15.491,1705104000000,16.434,26307.63632616
2024-01-12,16.443,17.236,15.376,1705017600000,15.984,52459.75795067
2024-01-11,15.969,17.35,14.145,1704931200000,16.305,50957.01625565
2024-01-10,16.305,16.848,13.977,1704844800000,14.928,74387.33053595
2024-01-09,14.949,16.623,14.186,1704758400000,14.22,52229.86211869
2024-01-08,14.248,14.338,12.539,1704672000000,14.277,26085.06051921
2024-01-07,14.406,15.373,14.073,1704585600000,14.373,4576.90146233
2024-01-06,14.345,16.454,13.957,1704499200000,15.638,5529.27472881
2024-01-05,15.56,17.247,14.565,1704412800000,15.641,13791.21150397
2024-01-04,15.641,17.228,11.96,1704326400000,12.146,15153.99179891
2024-01-03,12.145,13.062,10.274,1704240000000,12.808,5676.39287467
2024-01-02,12.8,14.123,12.56,1704153600000,13.86,9127.13623041
2024-01-01,14.002,14.002,11.843,1704067200000,11.917,4316.54125838
2023-12-31,11.877,12.48,11.563,1703980800000,11.94,866.29372568
2023-12-30,11.943,12.6,11.66,1703894400000,12.398,1574.37974059
2023-12-29,12.404,12.843,11.439,1703808000000,11.868,4406.37118791
2023-12-28,11.956,13.177,11.692,1703721600000,12.668,1181.79571557
2023-12-27,12.671,13.033,12.052,1703635200000,12.671,6253.27156142
2023-12-26,12.778,13.944,11.921,1703548800000,13.753,2102.87097314
2023-12-25,13.741,14.691,13.543,1703462400000,14.185,3559.04058111
2023-12-24,14.15,14.899,11.976,1703376000000,12.325,4344.04002792
2023-12-23,12.332,12.422,11.679,1703289600000,12.42,2758.51014836
2023-12-22,12.475,13.322,11.882,1703203200000,12.878,2617.27900163
2023-12-21,12.873,13.087,12.178,1703116800000,12.925,6031.05045076
2023-12-20,13.032,13.716,11.66,1703030400000,11.806,6520.26969767
2023-12-19,11.617,13.426,11.617,1702944000000,12.949,5171.30876365
2023-12-18,12.834,13.059,10.986,1702857600000,12.696,7737.34461577
2023-12-17,12.89,14.174,12.686,1702771200000,13.153,4247.33201707
2023-12-16,13.05,14.618,12.724,1702684800000,13.152,5376.3959313
2023-12-15,13.089,14.47,12.928,1702598400000,13.942,7089.48335099
2023-12-14,13.953,14.595,12.027,1702512000000,12.105,10222.79494331
2023-12-13,12.156,12.893,10.858,1702425600000,12.103,7440.85687257
2023-12-12,12.089,13.091,10.775,1702339200000,10.887,9089.71677064
2023-12-11,10.919,11.061,8.7359,1702252800000,9.8339,11104.48036348
2023-12-10,9.9001,9.9001,9.0527,1702166400000,9.3629,1623.5098377
2023-12-09,9.3449,10.2,9.2714,1702080000000,9.3134,1893.10582592
2023-12-08,9.35,9.97,8.8148,1701993600000,9.529,4480.59810735
2023-12-07,9.5062,10.414,9.4235,1701907200000,9.6516,5421.02520836
2023-12-06,9.6295,11.486,9.2702,1701820800000,10.139,15892.67610852
2023-12-05,10.172,10.506,8.3203,1701734400000,8.8846,66614.24487958
2023-12-04,8.8049,9.7428,8.0629,1701648000000,8.6313,18337.39009933
2023-12-03,8.5633,9.2802,8.0471,1701561600000,8.8024,21667.32554194
2023-12-02,8.9135,9.1391,7.1301,1701475200000,7.1301,22391.61252702
2023-12-01,7.0734,7.2267,6.3067,1701388800000,6.3067,2781.31263226
2023-11-30,6.3379,6.4731,5.946,1701302400000,6.0105,2532.06103203
2023-11-29,6.0506,6.6176,5.9806,1701216000000,6.2551,9625.17781741
2023-11-28,6.3004,6.4627,5.5163,1701129600000,5.8997,4688.77918331
2023-11-27,5.9101,6.1936,5.1633,1701043200000,5.4381,53290.19014044
2023-11-26,5.4511,5.948,5.3676,1700956800000,5.948,4181.56317302
2023-11-25,5.9478,5.9536,5.485,1700870400000,5.4863,5316.5876256
2023-11-24,5.5327,5.8214,5.425,1700784000000,5.6781,3123.25729218
2023-11-23,5.6629,6.3147,5.6629,1700697600000,6.1011,2188.41627777
2023-11-22,6.1367,6.2547,5.0345,1700611200000,5.0345,11347.58152014
2023-11-21,5.0165,6.1401,5.0165,1700524800000,5.9092,7847.64128673
2023-11-20,6.0509,6.9845,5.9053,1700438400000,6.7211,6938.34875281
2023-11-19,6.701,10.0,6.701,1700352000000,6.9857,6068.72902756
2023-11-18,7.1874,8.7076,6.4215,1700265600000,7.6,8281.17440387
2023-11-17,6.5126,44.0,5.75,1700179200000,5.75,8262.09584547
2023-11-16,5.6915,6.2774,5.58,1700092800000,5.8,656.56200911
