date,close,high,low,mts,open,volume
2024-02-28,0.53911,0.54996,0.53911,1709078400000,0.5496,5629.28803684
2024-02-27,0.55085,0.56152,0.49476,1708992000000,0.52113,43366.04081831
2024-02-26,0.5205,0.5205,0.4455,1708905600000,0.45077,64359.53289945
2024-02-25,0.45077,0.45077,0.39303,1708819200000,0.39303,21662.443889269998
2024-02-24,0.39307,0.39307,0.34891,1708732800000,0.34891,16845.97377506
2024-02-23,0.34873,0.36527,0.34241,1708646400000,0.35576,20754.11418124
2024-02-22,0.35514,0.35745,0.33376,1708560000000,0.33723,47332.51296412
2024-02-21,0.3375,0.34548,0.33452,1708473600000,0.34292,30849.98650393
2024-02-20,0.34274,0.37463,0.001,1708387200000,0.36821,146767.00670567
2024-02-19,0.36854,0.38659,0.36854,1708300800000,0.38306,40389.3499238
2024-02-18,0.38342,0.38924,0.32869,1708214400000,0.3319,48110.92131285
2024-02-17,0.33192,0.33192,0.2921,1708128000000,0.29647,102573.19323795
2024-02-16,0.29612,0.29612,0.2505,1708041600000,0.2505,32711.42063228
2024-02-15,0.2505,0.25057,0.23589,1707955200000,0.23589,22773.556373569998
2024-02-14,0.23601,0.23601,0.22277,1707868800000,0.22337,17037.39321014
2024-02-13,0.22396,0.22396,0.21392,1707782400000,0.21392,12018.684269880001
2024-02-12,0.21377,0.21377,0.20446,1707696000000,0.20482,10552.35709458
2024-02-11,0.20586,0.20627,0.1983,1707609600000,0.19951,21200.30506584
2024-02-10,0.20053,0.20053,0.19605,1707523200000,0.19645,14929.59964253
2024-02-09,0.19735,0.19745,0.19561,1707436800000,0.19618,10809.40933754
2024-02-08,0.1959,0.19718,0.19491,1707350400000,0.1957,5466.30311188
2024-02-07,0.19553,0.19553,0.19295,1707264000000,0.19496,7280.89260244
2024-02-06,0.19472,0.19588,0.19309,1707177600000,0.19588,13788.67985702
2024-02-05,0.19582,0.19847,0.19486,1707091200000,0.19847,14439.89715206
2024-02-04,0.19863,0.20111,0.19863,1707004800000,0.19949,6826.829268699999
2024-02-03,0.19961,0.2016,0.19956,1706918400000,0.2016,3316.90988557
2024-02-02,0.2025,0.2025,0.19975,1706832000000,0.19982,2192.6494744
2024-02-01,0.20082,0.20082,0.19827,1706745600000,0.19962,3380.72447574
2024-01-31,0.19962,0.20305,0.19787,1706659200000,0.20305,9393.34287408
2024-01-30,0.20334,0.20813,0.20226,1706572800000,0.20738,8123.92865412
2024-01-29,0.20693,0.20796,0.20644,1706486400000,0.20796,21427.28424192
2024-01-28,0.2087,0.20901,0.20595,1706400000000,0.20595,3815.83773667
2024-01-27,0.20576,0.20576,0.2005,1706313600000,0.2005,5377.73949659
2024-01-26,0.20046,0.20046,0.19317,1706227200000,0.19317,6578.81201878
2024-01-25,0.19317,0.1955,0.19317,1706140800000,0.1955,2514.11243615
2024-01-24,0.19577,0.19649,0.19044,1706054400000,0.19044,6509.77965742
2024-01-23,0.19029,0.19214,0.18677,1705968000000,0.19214,7675.62148863
2024-01-22,0.19223,0.20362,0.19223,1705881600000,0.20362,13085.57530915
2024-01-21,0.20465,0.2048,0.20243,1705795200000,0.2048,12353.82790858
2024-01-20,0.20403,0.20506,0.20403,1705708800000,0.20431,1676.3605573099999
2024-01-19,0.20408,0.20643,0.20192,1705622400000,0.20643,14792.15077306
2024-01-18,0.20661,0.2119,0.20661,1705536000000,0.2119,10692.10407858
2024-01-17,0.21213,0.22403,0.21213,1705449600000,0.22403,21548.86670307
2024-01-16,0.22415,0.22615,0.22403,1705363200000,0.22615,3945.92665731
2024-01-15,0.22645,0.23345,0.22626,1705276800000,0.23119,29294.31975301
2024-01-14,0.2313,0.23509,0.22606,1705190400000,0.22606,20104.73694092
2024-01-13,0.22492,0.2336,0.22492,1705104000000,0.2336,14105.799605
2024-01-12,0.23362,0.2463,0.23362,1705017600000,0.24256,28612.10805763
2024-01-11,0.24235,0.24235,0.23281,1704931200000,0.23327,34790.13803596
2024-01-10,0.23333,0.24238,0.23206,1704844800000,0.24225,30490.64648823
2024-01-09,0.24189,0.2471,0.22962,1704758400000,0.22962,74912.93605525
2024-01-08,0.22921,0.23099,0.21514,1704672000000,0.23099,57358.81644018
2024-01-07,0.23136,0.2391,0.22228,1704585600000,0.2297,43814.09313802
2024-01-06,0.22937,1.3054,0.22506,1704499200000,0.24424,76837.95264994
2024-01-05,0.23971,0.24503,0.19655,1704412800000,0.19655,134393.05990085
2024-01-04,0.19744,0.19744,0.17776,1704326400000,0.17869,84201.40793105
2024-01-03,0.17869,0.1816,0.1666,1704240000000,0.17914,68283.96806787
2024-01-02,0.17893,0.19261,0.1774,1704153600000,0.18573,73174.28738596
2024-01-01,0.18603,0.19142,0.15344,1704067200000,0.15406,104097.05191536
2023-12-31,0.15414,0.15422,0.14384,1703980800000,0.14384,41613.84233331
2023-12-30,0.1437,0.1437,0.13948,1703894400000,0.14053,10280.60121131
2023-12-29,0.1401,0.1425,0.13997,1703808000000,0.14064,6004.8282661
2023-12-28,0.14092,0.14683,0.14092,1703721600000,0.14112,28644.77264551
2023-12-27,0.14112,0.14112,0.12952,1703635200000,0.13045,42339.23686493
2023-12-26,0.13038,0.13283,0.12971,1703548800000,0.13237,10911.23508632
2023-12-25,0.13181,0.1348,0.12987,1703462400000,0.12987,28523.87910274
2023-12-24,0.1298,0.13026,0.12404,1703376000000,0.12454,23910.50395946
2023-12-23,0.12451,0.1249,0.12426,1703289600000,0.1248,3721.37785729
2023-12-22,0.12426,0.12719,0.12426,1703203200000,0.12525,14297.23121516
2023-12-21,0.12437,0.12539,0.1222,1703116800000,0.12232,11510.20286865
2023-12-20,0.12272,0.12288,0.12176,1703030400000,0.12176,9607.32922385
2023-12-19,0.12187,0.12581,0.11798,1702944000000,0.11798,129827.51511348
2023-12-18,0.11739,0.12329,0.11739,1702857600000,0.12329,72138.31165824
2023-12-17,0.12392,0.12392,0.11888,1702771200000,0.11993,22397.34076812
2023-12-16,0.11948,0.1208,0.11948,1702684800000,0.1208,5194.44943502
2023-12-15,0.1208,0.12623,0.11923,1702598400000,0.12558,59983.74517934
2023-12-14,0.12557,0.12596,0.1244,1702512000000,0.12513,6571.28821524
2023-12-13,0.12449,0.12449,0.12287,1702425600000,0.12449,1986.53207531
2023-12-12,0.12449,0.1285,0.12449,1702339200000,0.1285,425.14038298
2023-12-11,0.129,0.1302,0.129,1702252800000,0.1302,99885.11066717
2023-12-10,0.13033,0.13058,0.12913,1702166400000,0.13058,1454.69149689
2023-12-09,0.12845,0.12845,0.12641,1702080000000,0.1265,406.20141204000004
2023-12-08,0.13058,0.13376,0.12642,1701993600000,0.13376,8563.31830148
2023-12-07,0.13346,0.13346,0.12677,1701907200000,0.12781,19544.97003231
2023-12-06,0.12656,0.13291,0.12635,1701820800000,0.13284,7632.81978575
2023-12-05,0.13277,0.13298,0.12762,1701734400000,0.12762,8007.87676719
2023-12-04,0.12823,0.1356,0.12823,1701648000000,0.13551,9300.75337202
2023-12-03,0.13,0.13639,0.107,1701561600000,0.13047,1775.75679676
2023-12-02,0.13501,0.13508,0.12651,1701475200000,0.12706,2714.18626119
2023-12-01,0.12357,0.126,0.11479,1701388800000,0.11479,10592.72258388
2023-11-30,0.11319,0.11319,0.103,1701302400000,0.10437,5463.71361792
2023-11-29,0.10446,0.10503,0.10256,1701216000000,0.10328,5110.93516695
2023-11-28,0.082579,0.10246,0.082579,1701129600000,0.10023,6202.371843
2023-11-27,0.099267,0.10301,0.082579,1701043200000,0.10149,7213.9
2023-11-26,0.10173,0.10189,0.094393,1700956800000,0.094393,51026.38622128
2023-11-25,0.094393,0.095421,0.094345,1700870400000,0.0949,17851.8582
2023-11-24,0.0949,0.094993,0.0949,1700784000000,0.094993,713.39227525
2023-11-23,0.095372,0.095372,0.093414,1700697600000,0.093528,9933.19046181
2023-11-22,0.093749,0.094452,0.092931,1700611200000,0.094452,31610.22234062
2023-11-21,0.093978,0.098214,0.093978,1700524800000,0.097802,30280.237245559998
2023-11-20,0.097802,0.097802,0.096783,1700438400000,0.09727,5470.00827443
2023-11-19,0.09727,0.09727,0.095958,1700352000000,0.096492,3188.41675592
2023-11-18,0.096119,0.096603,0.093375,1700265600000,0.093885,24782.94317134
2023-11-17,0.093509,0.094785,0.093184,1700179200000,0.093683,51058.75195269
2023-11-16,0.0935,0.095533,0.08484,1700092800000,0.08484,199166.22957747
2023-11-15,0.084723,0.084723,0.082022,1700006400000,0.082022,22324.37467576
2023-11-14,0.081834,0.084457,0.080612,1699920000000,0.083851,45981.844638149996
2023-11-13,0.083903,0.085106,0.083851,1699833600000,0.0851,8376.15680483
2023-11-12,0.085106,0.088232,0.084457,1699747200000,0.085378,55477.367965389996
2023-11-11,0.086047,0.086047,0.079912,1699660800000,0.080804,70432.97440749
2023-11-10,0.081252,0.081252,0.079952,1699574400000,0.080579,15704.445889530001
2023-11-09,0.080579,0.081018,0.079313,1699488000000,0.080072,30813.1046125
