date,close,high,low,mts,open,volume
2024-02-28,0.99863,0.99905,0.99795,1709078400000,0.99905,15868.64185729
2024-02-27,0.99893,0.99901,0.992,1708992000000,0.99779,3973759.52116365
2024-02-26,0.99847,1.0009,0.991,1708905600000,0.99979,2159410.92622111
2024-02-25,0.99962,1.0014,0.99884,1708819200000,1.001,690707.22640403
2024-02-24,1.001,1.0011,0.99934,1708732800000,1.0,631517.3074913
2024-02-23,1.0,1.0007,0.99951,1708646400000,1.0003,539486.06172279
2024-02-22,1.0,1.0004,0.99891,1708560000000,0.99989,822241.60935702
2024-02-21,1.0001,1.0002,0.99736,1708473600000,0.99814,821474.26074398
2024-02-20,0.99814,0.9995,0.98643,1708387200000,0.99879,1562847.40292673
2024-02-19,0.99877,0.9995,0.99653,1708300800000,0.99851,984417.75846024
2024-02-18,0.99865,1.0004,0.99855,1708214400000,0.999,1194986.4881149
2024-02-17,0.999,1.0,0.99864,1708128000000,0.99921,2196245.76224681
2024-02-16,0.99927,0.9999,0.99359,1708041600000,0.99889,421728.70772964
2024-02-15,0.99904,0.99938,0.99124,1707955200000,0.99914,2129136.81763419
2024-02-14,0.99916,1.0007,0.99916,1707868800000,1.0007,667585.06599522
2024-02-13,1.0007,1.0013,0.99934,1707782400000,0.99991,574260.18508566
2024-02-12,0.99995,1.0008,0.99959,1707696000000,1.0004,1218638.72711902
2024-02-11,1.0003,1.0005,0.9987,1707609600000,1.0005,580558.16392325
2024-02-10,1.0004,1.0005,0.99967,1707523200000,1.0,330503.17071233
2024-02-09,1.0001,1.0005,0.99854,1707436800000,0.99958,996846.59876566
2024-02-08,0.9994,0.99994,0.99729,1707350400000,0.99974,554133.7598522
2024-02-07,0.9998,1.0014,0.99957,1707264000000,1.0003,1344239.29444012
2024-02-06,1.0003,1.001,1.0001,1707177600000,1.001,314057.10686795
2024-02-05,1.001,1.0012,1.0002,1707091200000,1.0002,378913.67544975
2024-02-04,1.0002,1.0005,1.0,1707004800000,1.0001,192073.82888671
2024-02-03,1.0003,1.0005,1.0001,1706918400000,1.0003,57002.09423163
2024-02-02,1.0005,1.0012,1.0,1706832000000,1.0006,1474949.99852066
2024-02-01,1.0006,1.0011,1.0,1706745600000,1.0007,290728.40997352
2024-01-31,1.0009,1.0507,0.9979,1706659200000,1.0,3773315.70951689
2024-01-30,1.0001,1.0004,0.99975,1706572800000,1.0003,628364.31260341
2024-01-29,1.0003,1.0007,0.99989,1706486400000,1.0003,212200.4289377
2024-01-28,1.0001,1.0004,0.99896,1706400000000,1.0004,413063.80446
2024-01-27,1.0004,1.0007,0.99987,1706313600000,1.0006,139022.85041253
2024-01-26,1.0001,1.0017,0.9998,1706227200000,1.0015,564765.23034679
2024-01-25,1.0013,1.0018,1.0006,1706140800000,1.0016,271831.16441846
2024-01-24,1.0016,1.002,1.001,1706054400000,1.0017,379512.38195644
2024-01-23,1.0017,1.0022,1.0012,1705968000000,1.0019,717742.04013984
2024-01-22,1.0018,1.0027,1.0007,1705881600000,1.0025,928396.93822765
2024-01-21,1.0025,1.0026,1.002,1705795200000,1.0025,1334178.23653088
2024-01-20,1.0025,1.0028,1.0017,1705708800000,1.0019,928047.63940962
2024-01-19,1.0019,1.0028,1.0014,1705622400000,1.0017,807996.91439506
2024-01-18,1.0018,1.0021,1.001,1705536000000,1.0011,954424.45431979
2024-01-17,1.0011,1.0017,1.0004,1705449600000,1.0006,80534.03320701
2024-01-16,1.0006,1.0014,1.0003,1705363200000,1.0012,109383.10326953
2024-01-15,1.0008,1.0012,1.0001,1705276800000,1.0003,271380.38291693
2024-01-14,1.0002,1.0009,1.0001,1705190400000,1.0001,146019.76892318
2024-01-13,1.0002,1.0009,0.99969,1705104000000,1.0,287025.19182491
2024-01-12,1.0006,1.0012,0.99902,1705017600000,0.9996,770506.0561551
2024-01-11,0.99958,1.0,0.99271,1704931200000,0.99875,3383714.31751317
