date,close,high,low,mts,open,volume
2024-02-28,11.065,11.166,10.874,1709078400000,10.874,2041.57861963
2024-02-27,10.868,11.192,10.413,1708992000000,10.556,30268.67859666
2024-02-26,10.594,11.56,10.366,1708905600000,11.128,64090.04487841
2024-02-25,11.159,11.635,10.125,1708819200000,11.277,87838.03706742
2024-02-24,11.275,12.856,10.933,1708732800000,11.397,149588.96679184
2024-02-23,11.411,12.546,7.0454,1708646400000,7.381,230158.98087519
2024-02-22,7.3415,7.5079,7.3051,1708560000000,7.3792,1573.27304108
2024-02-21,7.388,7.5347,7.089,1708473600000,7.5301,6304.66743452
2024-02-20,7.5435,7.6946,7.2427,1708387200000,7.6946,5951.4607301
2024-02-19,7.6879,7.7512,7.5372,1708300800000,7.6107,1316.64806805
2024-02-18,7.6325,7.9501,7.5631,1708214400000,7.8,5344.75130631
2024-02-17,7.7496,7.8,7.3942,1708128000000,7.4388,5136.08936806
2024-02-16,7.4493,7.6658,7.3058,1708041600000,7.5702,4897.24227611
2024-02-15,7.4885,7.5,6.9039,1707955200000,6.9277,11186.95063536
2024-02-14,6.8753,6.8995,6.6457,1707868800000,6.6728,10231.40831859
2024-02-13,6.694,6.8613,6.5453,1707782400000,6.8421,15396.05317349
2024-02-12,6.8405,6.8557,6.4791,1707696000000,6.6843,12612.94787412
2024-02-11,6.669,6.8111,6.5778,1707609600000,6.6308,5960.13490191
2024-02-10,6.6318,6.7433,6.5496,1707523200000,6.6847,2215.38899515
2024-02-09,6.6541,6.6975,6.3112,1707436800000,6.3112,19259.65171363
2024-02-08,6.3204,6.4228,6.3198,1707350400000,6.4075,1348.78026877
2024-02-07,6.3921,6.4575,6.2258,1707264000000,6.2942,1975.87994576
2024-02-06,6.2848,6.433,6.0026,1707177600000,6.0033,22625.39261673
2024-02-05,5.9996,6.0876,5.9285,1707091200000,6.0068,10299.86587808
2024-02-04,5.9823,6.125,5.9653,1707004800000,6.0823,2195.22192422
2024-02-03,6.1078,6.2787,6.0753,1706918400000,6.1402,3400.64727068
2024-02-02,6.135,6.2578,6.0414,1706832000000,6.0414,3083.16206021
2024-02-01,6.0482,6.0822,5.9064,1706745600000,6.0319,2868.8052827
2024-01-31,6.0044,6.3231,5.936,1706659200000,6.2619,26001.21023806
2024-01-30,6.2554,6.3306,6.1281,1706572800000,6.1376,40712.05647167
2024-01-29,6.1398,6.1414,5.8916,1706486400000,5.9419,2443.43609929
2024-01-28,5.9463,6.0655,5.8959,1706400000000,5.9896,4395.77421544
2024-01-27,5.9877,5.9996,5.8444,1706313600000,5.9523,489.21134707
2024-01-26,5.9464,5.9614,5.7072,1706227200000,5.739,2608.70628595
2024-01-25,5.7555,5.8672,5.6322,1706140800000,5.8622,3047.14520307
2024-01-24,5.8828,5.9123,5.7324,1706054400000,5.8319,4582.20472505
2024-01-23,5.8484,6.1338,5.5414,1705968000000,6.048,11292.86280209
2024-01-22,6.0469,6.3963,5.9807,1705881600000,6.3963,11552.52881264
2024-01-21,6.3895,6.5229,6.3754,1705795200000,6.4721,1721.2705872
2024-01-20,6.5025,6.6205,6.311,1705708800000,6.3312,6082.39105588
2024-01-19,6.3559,6.381,6.0633,1705622400000,6.3391,14033.59199735
2024-01-18,6.3168,6.8411,6.2478,1705536000000,6.7741,2868.39011302
2024-01-17,6.7657,6.8823,6.6666,1705449600000,6.8445,7781.68840989
2024-01-16,6.8291,6.9254,6.6607,1705363200000,6.6607,3248.26826988
2024-01-15,6.6803,6.7261,6.3149,1705276800000,6.3149,5074.53700457
2024-01-14,6.3462,6.6622,6.3311,1705190400000,6.6262,2857.9826413
2024-01-13,6.6403,6.6952,6.42,1705104000000,6.6117,13715.4093516
2024-01-12,6.6226,6.9526,6.3235,1705017600000,6.8138,11136.80190548
2024-01-11,6.8155,6.9395,6.5295,1704931200000,6.5296,17888.21058041
2024-01-10,6.563,6.7153,5.9717,1704844800000,6.0251,6948.72402795
2024-01-09,6.0099,6.2668,5.7205,1704758400000,6.2668,7026.94368308
2024-01-08,6.2278,6.2302,5.671,1704672000000,6.0311,14396.29240353
2024-01-07,5.9863,6.4402,5.9461,1704585600000,6.2908,8094.28492688
2024-01-06,6.3101,6.4333,6.0435,1704499200000,6.4298,1037.62146051
2024-01-05,6.4161,6.6295,6.1921,1704412800000,6.5493,8824.54842777
2024-01-04,6.5346,6.7169,6.3909,1704326400000,6.4445,7396.40954073
2024-01-03,6.4089,7.3685,5.8327,1704240000000,7.1822,21618.46876824
2024-01-02,7.1634,7.7273,7.1634,1704153600000,7.5723,4411.17583404
2024-01-01,7.6038,7.6479,7.1532,1704067200000,7.2351,2299.08746577
2023-12-31,7.2379,7.6975,7.1652,1703980800000,7.3606,6393.25618133
2023-12-30,7.3828,7.8056,7.3467,1703894400000,7.5718,4212.49152606
2023-12-29,7.5553,7.8273,7.4027,1703808000000,7.8094,14697.67779759
2023-12-28,7.8374,8.2589,7.247,1703721600000,7.247,46052.6966766
2023-12-27,7.2634,7.4319,6.9929,1703635200000,7.3005,32912.6794562
2023-12-26,7.3788,7.8005,6.6606,1703548800000,6.9815,26766.02978644
2023-12-25,6.9803,7.1194,6.6804,1703462400000,6.8616,10012.46413516
2023-12-24,6.8604,7.1583,6.3407,1703376000000,6.358,26233.5113624
2023-12-23,6.3459,6.4194,6.1199,1703289600000,6.4056,8367.11162949
2023-12-22,6.4134,6.4906,6.1517,1703203200000,6.1856,20274.81735724
2023-12-21,6.1895,6.2004,5.8815,1703116800000,5.9289,12319.04078542
2023-12-20,5.9174,6.1003,5.7962,1703030400000,5.8412,1681.47031935
2023-12-19,5.8379,6.0389,5.7604,1702944000000,5.9243,5124.5379375
2023-12-18,5.9417,6.1055,5.6138,1702857600000,6.084,14825.519613
2023-12-17,6.0654,6.27,6.0654,1702771200000,6.1772,4693.5127419
2023-12-16,6.1785,6.2484,5.9479,1702684800000,6.0668,3075.11139672
2023-12-15,6.0333,6.3585,6.0016,1702598400000,6.3585,12599.3044794
2023-12-14,6.3683,6.4689,6.1266,1702512000000,6.3151,4187.1926432
2023-12-13,6.3033,6.3341,5.9566,1702425600000,6.2469,10061.39426335
2023-12-12,6.2403,6.335,6.0992,1702339200000,6.0992,12958.30922972
2023-12-11,6.1022,6.59,5.9088,1702252800000,6.5757,31246.79206689
2023-12-10,6.6098,6.8792,6.422,1702166400000,6.8493,18435.91892509
2023-12-09,6.8126,7.1029,6.5289,1702080000000,6.5289,28169.94347895
2023-12-08,6.5402,6.5416,6.2966,1701993600000,6.3018,8680.65413078
2023-12-07,6.292,6.3292,5.9814,1701907200000,6.0081,3843.21578893
2023-12-06,6.0026,6.2918,5.9711,1701820800000,6.2897,9625.86725963
2023-12-05,6.2591,6.3028,5.9822,1701734400000,6.113,4784.70129038
2023-12-04,6.0791,6.2782,5.8684,1701648000000,6.051,25201.22788946
2023-12-03,6.0619,6.24,5.9397,1701561600000,6.1702,5275.05093693
