date,close,high,low,mts,open,volume
2024-02-28,0.99931,0.99945,0.99931,1709078400000,0.99941,5059651.5248102
2024-02-27,0.99944,1.0001,0.9987,1708992000000,0.99925,107090882.69220626
2024-02-26,0.99925,1.0007,0.9986,1708905600000,0.99975,118141528.08746772
2024-02-25,0.99974,1.0016,0.9997,1708819200000,1.0008,72210725.46969903
2024-02-24,1.0009,1.001,0.9998,1708732800000,0.9999,37523166.06875565
2024-02-23,0.9999,1.0,0.99943,1708646400000,0.99953,33911674.25850751
2024-02-22,0.99957,1.0,0.99927,1708560000000,0.99998,63969514.96042801
2024-02-21,0.99998,0.99999,0.9986,1708473600000,0.9986,60528229.55421204
2024-02-20,0.9986,0.99998,0.99803,1708387200000,0.9991,99712576.23056442
2024-02-19,0.9991,1.0,0.99892,1708300800000,0.9998,105177039.04540148
2024-02-18,0.9998,1.0005,0.99971,1708214400000,0.99981,47053138.83498753
2024-02-17,0.99981,1.0006,0.99954,1708128000000,0.99999,33369907.49888096
2024-02-16,0.99999,1.0002,0.99905,1708041600000,0.99993,70394594.28276715
2024-02-15,0.99992,1.0002,0.99786,1707955200000,1.0,80642471.95256245
2024-02-14,1.0,1.0015,0.99999,1707868800000,1.0014,43946058.81663659
2024-02-13,1.0013,1.0017,1.0,1707782400000,1.0004,57680354.79586655
2024-02-12,1.0004,1.0016,1.0,1707696000000,1.0009,84882994.29241847
2024-02-11,1.0008,1.001,0.99964,1707609600000,1.0007,27649476.24384816
2024-02-10,1.0007,1.001,1.0005,1707523200000,1.0006,15607211.90843316
2024-02-09,1.0005,1.0009,0.9991,1707436800000,0.99967,175344608.47534534
2024-02-08,0.99966,0.99975,0.9991,1707350400000,0.99955,65640650.98053087
2024-02-07,0.99955,1.0008,0.99935,1707264000000,0.99996,71256992.21154031
2024-02-06,0.99995,1.0002,0.99961,1707177600000,0.99979,65826240.15604085
2024-02-05,0.99979,1.0002,0.99961,1707091200000,0.99987,49177974.86090944
2024-02-04,0.99989,1.0001,0.99982,1707004800000,0.99992,23608761.47985298
2024-02-03,0.99993,0.99994,0.99977,1706918400000,0.99984,6801219.66966171
2024-02-02,0.99985,1.0003,0.99974,1706832000000,1.0002,30384182.17272763
2024-02-01,1.0001,1.0002,0.9999,1706745600000,1.0001,22752264.470136188
2024-01-31,1.0,1.0004,0.99976,1706659200000,1.0,27295976.27815006
2024-01-30,1.0,1.0002,0.99971,1706572800000,1.0001,20672972.36961571
2024-01-29,1.0001,1.0003,0.99977,1706486400000,0.99998,49128631.5242373
2024-01-28,0.99999,1.0001,0.99951,1706400000000,0.99989,31091494.64677176
2024-01-27,0.99989,1.0003,0.99971,1706313600000,1.0,13054686.60802176
2024-01-26,1.0,1.001,0.9996,1706227200000,1.0008,29368462.56754132
2024-01-25,1.0008,1.0011,0.99987,1706140800000,1.001,61099236.4028273
2024-01-24,1.001,1.0012,1.0006,1706054400000,1.0008,49503774.59899012
2024-01-23,1.0008,1.0012,1.0,1705968000000,1.0002,73867541.15035334
2024-01-22,1.0003,1.0018,0.9997,1705881600000,1.0018,94096143.71523912
2024-01-21,1.0018,1.002,1.0016,1705795200000,1.0017,23364540.61550382
2024-01-20,1.0017,1.0024,1.0009,1705708800000,1.001,32666598.03005994
