date,close,high,low,mts,open,volume
2024-02-28,0.63902,0.6563,0.63902,1709078400000,0.65564,121.93384331
2024-02-27,0.60569,0.67113,0.43001,1708992000000,0.5,40870.64587802
2024-02-26,0.46,0.5,0.34727,1708905600000,0.35302,46607.69584802
2024-02-25,0.35005,0.35302,0.33,1708819200000,0.3513,594.27463535
2024-02-24,0.33282,0.33282,0.2916,1708732800000,0.30022,592.12079122
2024-02-23,0.30065,0.35301,0.29,1708646400000,0.34866,9867.99440694
2024-02-22,0.32409,0.34866,0.32409,1708560000000,0.34865,19602.37487551
2024-02-21,0.35582,0.36029,0.31647,1708473600000,0.3481,2525.39265541
2024-02-20,0.3968,0.3968,0.3459,1708387200000,0.35721,2651.6816544
2024-02-19,0.38242,0.39529,0.35684,1708300800000,0.38533,3320.645542
2024-02-18,0.42527,0.42527,0.38549,1708214400000,0.38549,19254.50363767
2024-02-16,0.38549,0.39892,0.37337,1708041600000,0.39862,244.57930341
2024-02-15,0.41622,0.46416,0.4048,1707955200000,0.43891,2942.29521798
2024-02-14,0.45731,0.47108,0.44019,1707868800000,0.44019,1225.8212675300001
2024-02-13,0.38493,0.39514,0.36963,1707782400000,0.37099,479.50246644
2024-02-12,0.36767,0.37142,0.28342,1707696000000,0.2898,479.00449931
2024-02-11,0.32502,0.32841,0.31,1707609600000,0.32487,1140.01891061
2024-02-10,0.32983,0.32983,0.26446,1707523200000,0.26446,163.60631172
2024-02-09,0.24824,0.25629,0.21382,1707436800000,0.22548,42606.16984853
2024-02-08,0.22548,0.249,0.22492,1707350400000,0.249,9246.01753149
