date,close,high,low,mts,open,volume
2024-02-28,0.38127,0.38835,0.38127,1709078400000,0.38835,4638.53225136
2024-02-27,0.38517,0.40636,0.36756,1708992000000,0.36886,57836.06782678
2024-02-26,0.36926,0.38985,0.36926,1708905600000,0.38725,44309.85326664
2024-02-25,0.38627,0.38743,0.36448,1708819200000,0.38288,45352.909301910004
2024-02-24,0.38213,0.39115,0.38009,1708732800000,0.38405,34931.42065498
2024-02-23,0.38387,0.39131,0.37997,1708646400000,0.38805,32658.22493303
2024-02-22,0.38805,0.40572,0.38074,1708560000000,0.40572,43531.73698497
2024-02-21,0.40773,0.41845,0.39799,1708473600000,0.40961,44069.08558142
2024-02-20,0.40935,0.41008,0.38108,1708387200000,0.3985,49398.53747521
2024-02-19,0.39876,0.41307,0.35153,1708300800000,0.35255,77475.32573593
2024-02-18,0.35256,0.35541,0.33455,1708214400000,0.34113,36933.11827289
2024-02-17,0.34064,0.34444,0.33012,1708128000000,0.3444,26071.76041145
2024-02-16,0.3437,0.36086,0.3437,1708041600000,0.35768,43335.20432804
2024-02-15,0.35791,0.3688,0.35262,1707955200000,0.36161,59809.61619826
2024-02-14,0.36171,0.37232,0.34798,1707868800000,0.35284,38495.81807127
2024-02-13,0.35179,0.37277,0.34614,1707782400000,0.36865,31047.82267042
2024-02-12,0.36843,0.3702,0.33269,1707696000000,0.33477,55189.82384474
2024-02-11,0.33482,0.34554,0.3343,1707609600000,0.33667,20644.45544478
2024-02-10,0.33754,0.34435,0.33609,1707523200000,0.3412,21494.98877374
2024-02-09,0.33983,0.34333,0.32861,1707436800000,0.32861,34820.72690581
2024-02-08,0.32841,0.33479,0.32775,1707350400000,0.33166,16507.24695594
2024-02-07,0.33154,0.33392,0.32393,1707264000000,0.3282,23705.49896923
2024-02-06,0.3282,0.33036,0.32184,1707177600000,0.3267,33059.54256051
2024-02-05,0.32639,0.32849,0.31965,1707091200000,0.32105,28198.09781592
2024-02-04,0.32144,0.34503,0.31994,1707004800000,0.34318,28602.13627227
2024-02-03,0.34273,0.3428,0.33138,1706918400000,0.33441,19138.90822253
2024-02-02,0.33422,0.35231,0.33218,1706832000000,0.33694,31598.12144623
2024-02-01,0.33705,0.34718,0.33555,1706745600000,0.34268,26153.43917862
2024-01-31,0.34313,0.36388,0.34105,1706659200000,0.36385,25991.4377619
2024-01-30,0.36385,0.37537,0.36356,1706572800000,0.37497,22006.5078632
2024-01-29,0.3742,0.3761,0.34352,1706486400000,0.34369,39947.88891086
2024-01-28,0.34399,0.34864,0.34154,1706400000000,0.34323,23843.2021827
2024-01-27,0.34323,0.35828,0.33397,1706313600000,0.33634,17703.64579515
2024-01-26,0.33608,0.33765,0.32196,1706227200000,0.32651,29525.01592519
2024-01-25,0.32696,0.33724,0.31643,1706140800000,0.33722,34965.43844439
2024-01-24,0.33841,0.34291,0.33072,1706054400000,0.3362,51219.49798874
2024-01-23,0.33636,0.33837,0.31801,1705968000000,0.33467,74424.58718528
2024-01-22,0.33583,0.35949,0.33474,1705881600000,0.35742,51479.85959741
2024-01-21,0.35731,0.36262,0.35562,1705795200000,0.35857,30378.31200785
2024-01-20,0.35961,0.35974,0.35003,1705708800000,0.3527,30513.45221093
2024-01-19,0.35434,0.37677,0.34776,1705622400000,0.37485,71717.85598514
2024-01-18,0.37483,0.40275,0.37139,1705536000000,0.40188,35160.55347988
2024-01-17,0.40188,0.42123,0.40182,1705449600000,0.41252,22619.48939785
2024-01-16,0.41335,0.4248,0.40071,1705363200000,0.40107,57854.795405
2024-01-15,0.40135,0.40168,0.38135,1705276800000,0.38359,44486.89643642
2024-01-14,0.38502,0.39409,0.37704,1705190400000,0.3891,37247.64951989
2024-01-13,0.38999,0.40568,0.37785,1705104000000,0.40568,38380.93501558
2024-01-12,0.40569,0.4395,0.39828,1705017600000,0.43192,53819.11616939
2024-01-11,0.43136,0.45102,0.4264,1704931200000,0.44166,51288.70403297
2024-01-10,0.44035,0.44653,0.4029,1704844800000,0.4029,56989.41218173
2024-01-09,0.40294,0.41696,0.39104,1704758400000,0.41576,31935.14811081
2024-01-08,0.41662,0.42627,0.40141,1704672000000,0.42627,115727.58271472
2024-01-07,0.42504,0.43359,0.42503,1704585600000,0.43163,134387.97100656
2024-01-06,0.43206,0.44496,0.42479,1704499200000,0.44496,116999.08549364
2024-01-05,0.44489,0.47135,0.44065,1704412800000,0.47133,56766.66607314
2024-01-04,0.47088,0.47583,0.44962,1704326400000,0.45105,50703.91228202
2024-01-03,0.44997,0.49865,0.4402,1704240000000,0.49527,49582.44132803
2024-01-02,0.49527,0.52258,0.4945,1704153600000,0.50662,42027.21958925
2024-01-01,0.50662,0.51349,0.4789,1704067200000,0.4789,39036.7696994
2023-12-31,0.47752,0.48214,0.45031,1703980800000,0.45031,34277.80180635
2023-12-30,0.45013,0.45638,0.44007,1703894400000,0.45638,21178.63027835
2023-12-29,0.45432,0.47069,0.44507,1703808000000,0.44966,42839.17977266
2023-12-28,0.44965,0.47568,0.44544,1703721600000,0.46222,48847.79893599
2023-12-27,0.46221,0.46414,0.44213,1703635200000,0.45448,34400.14974419
2023-12-26,0.45478,0.49196,0.453,1703548800000,0.45734,56929.40106016
2023-12-25,0.45865,0.48671,0.45414,1703462400000,0.45578,44919.305
2023-12-24,0.45578,0.47253,0.45335,1703376000000,0.46978,32314.8223737
2023-12-23,0.47081,0.48377,0.46309,1703289600000,0.48361,26602.3460393
2023-12-22,0.48362,0.5041,0.47895,1703203200000,0.48351,32439.29086814
2023-12-21,0.48278,0.49987,0.43078,1703116800000,0.43094,70941.18781136
2023-12-20,0.43093,0.47959,0.42724,1703030400000,0.47598,65617.2189159
2023-12-19,0.47594,0.50229,0.42208,1702944000000,0.42389,67018.61401944
2023-12-18,0.4245,0.43244,0.40195,1702857600000,0.43206,48420.51021198
2023-12-17,0.43223,0.44268,0.43223,1702771200000,0.43696,48644.62512948
2023-12-16,0.43594,0.47487,0.43243,1702684800000,0.46934,44311.62804124
2023-12-15,0.46934,0.49616,0.46934,1702598400000,0.49603,27493.23035645
2023-12-14,0.49602,0.52435,0.4897,1702512000000,0.4897,82157.17948341
2023-12-13,0.49031,0.49326,0.43538,1702425600000,0.47045,75534.25793719
2023-12-12,0.47074,0.51457,0.4617,1702339200000,0.49879,61959.38337977
2023-12-11,0.49992,0.584,0.48656,1702252800000,0.58052,73838.76661579
2023-12-10,0.58052,0.61515,0.54703,1702166400000,0.56637,44560.76156793
2023-12-09,0.56613,0.6391,0.56613,1702080000000,0.63845,54879.73909304
2023-12-08,0.64126,0.64626,0.5545,1701993600000,0.5545,97515.39684225
2023-12-07,0.55323,0.55432,0.5129,1701907200000,0.54343,67048.159375
2023-12-06,0.54339,0.5639,0.52302,1701820800000,0.5276,69013.11454689
2023-12-05,0.52823,0.57912,0.52366,1701734400000,0.57488,69173.88753221
2023-12-04,0.57384,0.57435,0.46055,1701648000000,0.50676,92615.88770014
2023-12-03,0.50513,0.5347,0.50233,1701561600000,0.50556,68687.1534226
2023-12-02,0.50556,0.53969,0.42214,1701475200000,0.42224,78691.54983294
2023-12-01,0.42237,0.42939,0.4112,1701388800000,0.41276,37409.87058917
2023-11-30,0.41158,0.43076,0.40327,1701302400000,0.40551,37056.19140414
2023-11-29,0.40676,0.42735,0.40622,1701216000000,0.41895,17817.57284462
2023-11-28,0.41938,0.42334,0.38081,1701129600000,0.38157,63604.04237293
2023-11-27,0.38156,0.4112,0.36221,1701043200000,0.3765,104330.67931826
2023-11-26,0.37634,0.37681,0.31788,1700956800000,0.3196,62091.63523333
2023-11-25,0.31965,0.32068,0.30876,1700870400000,0.30894,21742.6434649
2023-11-24,0.30887,0.32026,0.30643,1700784000000,0.30643,44755.25839002
2023-11-23,0.30683,0.314,0.30122,1700697600000,0.3121,28346.06023691
2023-11-22,0.3124,0.31591,0.28204,1700611200000,0.28246,51662.8528038
2023-11-21,0.28304,0.30139,0.28236,1700524800000,0.29594,40951.03332259
2023-11-20,0.29593,0.3113,0.29499,1700438400000,0.29942,59048.14145557
2023-11-19,0.29997,0.29997,0.28778,1700352000000,0.28814,35361.73138592
2023-11-18,0.28882,0.2918,0.28277,1700265600000,0.2918,30597.03936265
2023-11-17,0.29157,0.29694,0.28387,1700179200000,0.29406,17927.97309207
2023-11-16,0.29359,0.31321,0.29283,1700092800000,0.30928,49296.86058873
2023-11-15,0.30872,0.30928,0.2907,1700006400000,0.29334,36269.27724543
2023-11-14,0.29342,0.30943,0.29113,1699920000000,0.30165,42892.33399701
2023-11-13,0.3034,0.32655,0.30039,1699833600000,0.32385,44760.29206228
2023-11-12,0.32429,0.34087,0.32429,1699747200000,0.34035,38264.95154224
2023-11-11,0.3402,0.34131,0.32589,1699660800000,0.33065,41467.58770537
2023-11-10,0.33141,0.33499,0.30829,1699574400000,0.31445,58475.03042026
2023-11-09,0.31443,0.31443,0.2801,1699488000000,0.2801,55347.21998791
2023-11-08,0.28086,0.28787,0.27866,1699401600000,0.28295,28109.7826766
2023-11-07,0.2819,0.29499,0.28031,1699315200000,0.29472,37570.52683173
2023-11-06,0.29462,0.29554,0.2848,1699228800000,0.28898,41608.47152627
2023-11-05,0.2891,0.29817,0.27312,1699142400000,0.27437,40495.1326548
2023-11-04,0.27434,0.27548,0.26984,1699056000000,0.27057,18137.21549966
2023-11-03,0.27034,0.27551,0.26809,1698969600000,0.27551,30284.69548217
2023-11-02,0.27629,0.28941,0.27375,1698883200000,0.27957,46353.68062455
2023-11-01,0.27962,0.28188,0.2643,1698796800000,0.26946,47832.43612178
