date,close,high,low,mts,open,volume
2024-02-28,0.58595,0.58979,0.58017,1709078400000,0.586,202627.43169317
2024-02-27,0.586,0.59578,0.54738,1708992000000,0.55043,7515644.0226311
2024-02-26,0.55052,0.55245,0.52897,1708905600000,0.54239,3113855.94223288
2024-02-25,0.54257,0.54869,0.5421,1708819200000,0.54549,1163153.57563769
2024-02-24,0.54567,0.54792,0.53134,1708732800000,0.534,1332005.16969442
2024-02-23,0.53411,0.54332,0.52549,1708646400000,0.54087,1764640.12169115
2024-02-22,0.54111,0.55142,0.53629,1708560000000,0.5489,2058553.04584451
2024-02-21,0.54901,0.56185,0.53299,1708473600000,0.56143,1922975.96845247
2024-02-20,0.56157,0.57461,0.543,1708387200000,0.56179,4630323.0754732
2024-02-19,0.56196,0.5668,0.55357,1708300800000,0.55654,3082767.70588354
2024-02-18,0.55642,0.56267,0.54715,1708214400000,0.5496,1167204.29117959
2024-02-17,0.5496,0.5654,0.53896,1708128000000,0.56403,1333157.73384406
2024-02-16,0.56406,0.57864,0.5522,1708041600000,0.56231,3260312.31680134
2024-02-15,0.56231,0.57588,0.53564,1707955200000,0.53798,6494591.45851941
2024-02-14,0.53778,0.54187,0.52108,1707868800000,0.52511,3398339.14053995
2024-02-13,0.52509,0.53393,0.514,1707782400000,0.53191,2657182.01682867
2024-02-12,0.53167,0.53848,0.51464,1707696000000,0.52631,5580425.16972097
2024-02-11,0.52662,0.53645,0.52188,1707609600000,0.52412,1886708.44276138
2024-02-10,0.52419,0.52825,0.51875,1707523200000,0.52616,667085.32335746
2024-02-09,0.52614,0.52829,0.514,1707436800000,0.51465,2165031.12492961
2024-02-08,0.51464,0.51896,0.50997,1707350400000,0.5137,2493340.16725625
2024-02-07,0.51352,0.51524,0.49953,1707264000000,0.5051,3081022.17187272
2024-02-06,0.50511,0.51091,0.49819,1707177600000,0.50643,2361163.12290054
2024-02-05,0.50654,0.5143,0.49664,1707091200000,0.50313,2464325.02020397
2024-02-04,0.50332,0.51908,0.50039,1707004800000,0.51852,1278718.00296205
2024-02-03,0.51874,0.52684,0.50602,1706918400000,0.51051,1504600.52457705
2024-02-02,0.51041,0.51403,0.49798,1706832000000,0.50605,2122352.4342906
2024-02-01,0.50609,0.5105,0.49016,1706745600000,0.50304,2130414.25895943
2024-01-31,0.50299,0.51437,0.48571,1706659200000,0.51062,2747013.40031724
2024-01-30,0.51099,0.53895,0.50695,1706572800000,0.53475,2929367.79964149
2024-01-29,0.53492,0.53978,0.51922,1706486400000,0.52451,2128797.59096586
2024-01-28,0.52414,0.5353,0.52125,1706400000000,0.5305,852598.20436754
2024-01-27,0.53009,0.53466,0.52606,1706313600000,0.53224,1085260.08587272
2024-01-26,0.53195,0.5363,0.50896,1706227200000,0.51392,1685545.24001266
2024-01-25,0.51403,0.51835,0.504,1706140800000,0.51835,1470072.72080868
