date,close,high,low,mts,open,volume
2024-02-28,0.006428,0.0065644,0.0063443,1709078400000,0.0064253,74288.45802506
2024-02-27,0.0064903,0.00825,0.0063709,1708992000000,0.0073713,1528494.59227442
2024-02-26,0.0074275,0.008,0.0060138,1708905600000,0.0061059,4335084.63898588
2024-02-25,0.0060307,0.00618,0.00395,1708819200000,0.0039813,3356619.37114663
2024-02-24,0.0039729,0.0039913,0.0037827,1708732800000,0.0038501,160484.15223039
2024-02-23,0.0038792,0.0039135,0.0037295,1708646400000,0.0038599,747803.36155299
2024-02-22,0.0038463,0.0039858,0.0036244,1708560000000,0.003682,195444.28863558001
2024-02-21,0.0036927,0.0037956,0.0035101,1708473600000,0.0037759,425672.56939208
2024-02-20,0.0037513,0.003966,0.0036276,1708387200000,0.0039483,226545.59593508
2024-02-19,0.0039618,0.0039887,0.0038243,1708300800000,0.0039203,114208.29053181
2024-02-18,0.0039205,0.0039734,0.0038241,1708214400000,0.0038648,287603.47511498
2024-02-17,0.0038567,0.0038707,0.0036858,1708128000000,0.0037924,904086.34259408
2024-02-16,0.0037836,0.0042958,0.0036402,1708041600000,0.0037173,3012897.04530555
2024-02-15,0.0037135,0.003741,0.0035495,1707955200000,0.0035617,257848.01410221
2024-02-14,0.0035515,0.0035871,0.0034384,1707868800000,0.0034567,117610.61749496999
2024-02-13,0.0034524,0.0035165,0.0033889,1707782400000,0.0034622,571632.82380925
2024-02-12,0.0034427,0.0034557,0.0032569,1707696000000,0.0033051,332550.16178735
2024-02-11,0.0032997,0.003393,0.0032903,1707609600000,0.0032988,1094774.29725109
2024-02-10,0.0033058,0.0033616,0.0032721,1707523200000,0.0033348,489776.60276761
2024-02-09,0.0033222,0.0033379,0.003238,1707436800000,0.003238,115695.7873046
2024-02-08,0.0032317,0.0032936,0.0032012,1707350400000,0.0032535,333273.37207927
2024-02-07,0.0032568,0.0032608,0.0031112,1707264000000,0.003122,191466.46118976
2024-02-06,0.0031016,0.0031793,0.0031016,1707177600000,0.0031519,60870.335044550004
2024-02-05,0.0031418,0.0031797,0.0030411,1707091200000,0.0030647,68504.33857132
2024-02-04,0.0030551,0.0031447,0.0030551,1707004800000,0.0031447,68777.18317247
2024-02-03,0.0031308,0.003204,0.0031119,1706918400000,0.0031902,130920.44395213001
2024-02-02,0.0031865,0.0032027,0.0031339,1706832000000,0.0031585,159296.32687137
2024-02-01,0.0031741,0.0031919,0.0030743,1706745600000,0.003133,217797.43399900998
2024-01-31,0.0031249,0.0032646,0.0031084,1706659200000,0.0032444,164404.86408674
2024-01-30,0.003236,0.0033309,0.0032138,1706572800000,0.0032664,66096.65792535
2024-01-29,0.0032649,0.0032688,0.0031323,1706486400000,0.0031453,2330341.33185063
2024-01-28,0.0031611,0.0032315,0.0031189,1706400000000,0.0032108,63072.89448917
2024-01-27,0.003197,0.0032329,0.0031172,1706313600000,0.0031923,66824.32949696
2024-01-26,0.0031823,0.0032011,0.0030774,1706227200000,0.003085,62898.50900522
2024-01-25,0.0031064,0.0031349,0.002998,1706140800000,0.0031117,168058.85160462
2024-01-24,0.0031123,0.0031443,0.0030459,1706054400000,0.0030865,63733.67738074
2024-01-23,0.0031039,0.0032244,0.0029413,1705968000000,0.0031963,170970.30831189
2024-01-22,0.003162,0.0034282,0.003162,1705881600000,0.0033961,151449.30440065
2024-01-21,0.0034058,0.0036018,0.003353,1705795200000,0.0033602,71304.25056459
2024-01-20,0.0033824,0.0034448,0.0032273,1705708800000,0.003268,311413.01894301
2024-01-19,0.0032654,0.0033495,0.0031144,1705622400000,0.0033495,62216.52622314
2024-01-18,0.0033258,0.0036351,0.0032778,1705536000000,0.0035991,84820.81836218
2024-01-17,0.0036006,0.0036942,0.0035557,1705449600000,0.003678,93690.70401536
2024-01-16,0.0036469,0.0037017,0.0034712,1705363200000,0.0035077,73738.72210497
2024-01-15,0.0034966,0.0035874,0.0034336,1705276800000,0.003445,72490.4524554
2024-01-14,0.0033987,0.0036435,0.0033987,1705190400000,0.0036435,65459.47355845
2024-01-13,0.0036563,0.0036758,0.0034361,1705104000000,0.0034361,95191.82503681
2024-01-12,0.0035635,0.0038389,0.0034902,1705017600000,0.0037758,71591.42390912
