date,close,high,low,mts,open,volume
2024-02-28,8353.0,8462.3,8345.7,1709078400000,8374.6,0.11262037
2024-02-27,8365.8,8604.3,8238.0,1708992000000,8403.2,15.34126347
2024-02-26,8385.7,8430.7,8028.7,1708905600000,8236.2,11.25204449
2024-02-25,8260.9,8490.0,8113.8,1708819200000,8284.4,7.49294877
2024-02-24,8267.9,9428.0,7540.5,1708732800000,7631.7,33.84103322
2024-02-23,7655.6,7693.2,7320.0,1708646400000,7539.9,1.92148716
2024-02-22,7523.6,7658.1,7330.8,1708560000000,7444.5,0.72508877
2024-02-21,7460.0,7681.8,7200.0,1708473600000,7681.8,6.22358632
2024-02-20,7661.1,7834.6,7338.4,1708387200000,7818.8,3.00065823
2024-02-19,7822.3,7924.4,7720.6,1708300800000,7736.4,0.98499375
2024-02-18,7706.2,7780.0,7649.4,1708214400000,7713.1,1.12802102
2024-02-17,7712.1,7802.2,7500.0,1708128000000,7779.4,0.71787247
2024-02-16,7795.5,7920.0,7580.0,1708041600000,7820.9,7.84857929
2024-02-15,7807.4,7960.0,7673.3,1707955200000,7757.2,4.88067679
2024-02-14,7740.5,7784.9,7479.0,1707868800000,7497.0,3.23863316
2024-02-13,7558.5,7820.0,7400.0,1707782400000,7650.3,2.95922101
2024-02-12,7641.6,7648.8,7304.8,1707696000000,7434.7,7.3274047300000005
2024-02-11,7407.3,7493.1,7338.6,1707609600000,7413.8,1.5851936
2024-02-10,7412.8,7511.1,7340.9,1707523200000,7471.9,8.52871163
2024-02-09,7460.9,7486.2,7279.2,1707436800000,7295.9,5.43950399
2024-02-08,7286.0,7362.7,7200.0,1707350400000,7200.0,2.47805234
2024-02-07,7191.5,7196.9,7061.5,1707264000000,7079.8,1.19566715
2024-02-06,7081.1,7124.9,7027.2,1707177600000,7032.7,0.71330385
2024-02-05,7056.0,7142.7,6980.0,1707091200000,7056.1,1.0141234
2024-02-04,7064.3,7176.8,7014.8,1707004800000,7176.8,0.74923194
2024-02-03,7165.2,7240.0,7161.2,1706918400000,7208.9,0.25803537
2024-02-02,7197.8,7208.3,7099.8,1706832000000,7138.0,1.52042049
2024-02-01,7154.3,7214.6,6991.0,1706745600000,7073.2,0.40044144
2024-01-31,7074.4,7334.1,7000.0,1706659200000,7320.9,1.3180269
2024-01-30,7267.9,7451.2,7259.2,1706572800000,7318.6,0.88545885
2024-01-29,7324.3,7340.5,7132.8,1706486400000,7212.1,0.27624226
2024-01-28,7209.2,7379.9,7180.2,1706400000000,7275.8,1.64524842
2024-01-27,7286.7,7316.2,7193.3,1706313600000,7260.2,0.36191024
2024-01-26,7251.5,7278.5,6957.9,1706227200000,7059.7,2.22908261
2024-01-25,7049.6,7100.0,6907.7,1706140800000,7016.2,1.21107465
2024-01-24,7036.5,7190.3,6828.3,1706054400000,6880.6,0.69411939
2024-01-23,6890.3,7178.1,6542.9,1705968000000,7024.7,6.58450925
2024-01-22,7002.9,7434.9,6990.3,1705881600000,7403.2,6.34291775
2024-01-21,7411.4,7520.2,7404.1,1705795200000,7486.4,1.10385697
2024-01-20,7482.1,7516.0,7343.0,1705708800000,7458.8,2.6391122
2024-01-19,7461.4,7559.8,7152.9,1705622400000,7478.1,1.23680085
2024-01-18,7494.5,7900.0,7353.2,1705536000000,7886.7,3.02519258
2024-01-17,7878.6,7921.2,7760.0,1705449600000,7909.3,0.48708859
2024-01-16,7884.8,7960.0,7758.1,1705363200000,7790.6,6.77529968
2024-01-15,7811.4,8019.4,7740.0,1705276800000,7805.0,1.32549638
2024-01-14,7842.1,8131.3,7800.0,1705190400000,8046.3,5.7115056300000004
2024-01-13,8073.1,8187.7,7690.5,1705104000000,7869.9,2.64126335
2024-01-12,7841.4,8389.2,7560.0,1705017600000,8167.8,2.45177715
2024-01-11,8170.1,8375.5,7944.7,1704931200000,8007.1,3.79015205
2024-01-10,8057.8,8193.7,7360.0,1704844800000,7620.0,6.75695663
2024-01-09,7599.5,7787.1,7335.7,1704758400000,7718.0,2.0372007
2024-01-08,7747.2,7838.2,6990.1,1704672000000,7377.5,4.11882304
2024-01-07,7384.1,8123.3,7300.0,1704585600000,7956.1,6.04785273
2024-01-06,7981.4,8360.0,7029.4,1704499200000,7426.2,7.82399816
2024-01-05,7450.3,7755.1,7160.0,1704412800000,7709.2,4.66110298
2024-01-04,7729.2,7911.7,7468.1,1704326400000,7525.4,4.60403447
2024-01-03,7516.6,8325.8,6972.3,1704240000000,8196.2,9.23550752
2024-01-02,8206.3,8430.0,8120.0,1704153600000,8280.0,5.57054777
2024-01-01,8277.0,8278.1,7962.1,1704067200000,8141.9,2.0967435
2023-12-31,8096.4,8305.5,7920.8,1703980800000,8204.9,7.05978249
2023-12-30,8193.4,8278.9,8111.1,1703894400000,8213.5,4.8450155
2023-12-29,8219.8,8459.5,8118.1,1703808000000,8329.4,3.85350189
2023-12-28,8340.6,8654.0,8180.8,1703721600000,8413.3,3.78338535
2023-12-27,8400.9,8474.3,7944.2,1703635200000,8173.3,8.6128083
2023-12-26,8147.4,8519.6,7740.0,1703548800000,8519.6,8.94875603
2023-12-25,8523.7,8647.1,8221.7,1703462400000,8308.2,12.4180843
2023-12-24,8310.5,8499.8,8120.0,1703376000000,8468.4,8.0327098
2023-12-23,8462.5,8533.5,8302.0,1703289600000,8527.1,0.76662004
2023-12-22,8525.2,8542.6,8309.4,1703203200000,8411.4,4.18018264
2023-12-21,8391.6,8452.8,8282.1,1703116800000,8319.8,8.985407649999999
2023-12-20,8311.6,8526.5,8234.0,1703030400000,8302.7,4.10335817
2023-12-19,8285.5,8455.3,8155.2,1702944000000,8240.0,1.81346448
2023-12-18,8230.3,8284.0,7630.4,1702857600000,8263.9,4.41165988
2023-12-17,8218.7,8679.3,8200.0,1702771200000,8643.9,3.31126457
2023-12-16,8612.3,8709.4,8118.6,1702684800000,8164.1,3.17046309
2023-12-15,8146.8,8541.8,8117.4,1702598400000,8541.8,3.67880455
2023-12-14,8536.9,8610.7,8309.9,1702512000000,8568.4,7.21974145
2023-12-13,8575.0,8652.3,8168.8,1702425600000,8463.7,7.37974246
2023-12-12,8463.9,8584.2,8205.2,1702339200000,8435.3,4.06226967
2023-12-11,8460.3,9353.4,7579.9,1702252800000,9297.5,17.0684906
2023-12-10,9301.5,9345.8,8925.0,1702166400000,9025.5,2.88409873
2023-12-09,8968.4,9537.7,8940.2,1702080000000,9170.7,6.36720781
2023-12-08,9176.1,9588.2,8467.7,1701993600000,8512.2,7.58948445
2023-12-07,8518.9,8663.1,8403.3,1701907200000,8462.1,2.28621422
2023-12-06,8482.8,8691.7,8422.5,1701820800000,8599.7,7.02997092
2023-12-05,8591.6,8780.8,8360.1,1701734400000,8727.0,4.87293035
2023-12-04,8709.2,8922.2,8072.3,1701648000000,8688.7,14.07307202
2023-12-03,8690.4,8746.5,8478.3,1701561600000,8684.3,2.50969386
2023-12-02,8659.7,8880.7,8456.3,1701475200000,8478.7,6.36754654
2023-12-01,8474.3,8474.3,8246.6,1701388800000,8265.8,2.11897925
2023-11-30,8264.1,8324.5,8225.4,1701302400000,8267.1,0.28457443
2023-11-29,8287.8,8441.0,8192.6,1701216000000,8441.0,2.47970027
2023-11-28,8513.7,8656.9,8289.7,1701129600000,8381.5,14.5640883
2023-11-27,8393.7,8569.3,8198.2,1701043200000,8567.2,0.39571327
