date,close,high,low,mts,open,volume
2024-02-28,0.38202,0.3821,0.37796,1709078400000,0.37871,208810.70463981
2024-02-27,0.37918,0.38121,0.36871,1708992000000,0.37179,585758.65187364
2024-02-26,0.37228,0.38387,0.3521,1708905600000,0.37127,117723.0668649
2024-02-25,0.37002,0.37074,0.35512,1708819200000,0.36271,124897.56861419001
2024-02-24,0.36208,0.37666,0.3443,1708732800000,0.35194,487277.8099426
2024-02-23,0.35147,0.36267,0.34433,1708646400000,0.35339,637869.3793503
2024-02-22,0.35238,0.36109,0.34252,1708560000000,0.35207,224696.43379176
2024-02-21,0.35126,0.36731,0.3346,1708473600000,0.36731,40623.33604408
2024-02-20,0.36742,0.37271,0.34692,1708387200000,0.36499,94022.05830276
2024-02-19,0.36423,0.36704,0.35309,1708300800000,0.35639,30124.0724817
2024-02-18,0.35406,0.35711,0.33922,1708214400000,0.34216,74460.54304877
2024-02-17,0.34374,0.34732,0.32789,1708128000000,0.34282,256950.2029764
2024-02-16,0.34342,0.35063,0.33575,1708041600000,0.33979,102746.94979289
2024-02-15,0.34048,0.34165,0.33042,1707955200000,0.33385,340801.58013508
2024-02-14,0.33199,0.33634,0.32229,1707868800000,0.32465,752974.17062055
2024-02-13,0.32559,0.33025,0.3175,1707782400000,0.32955,242440.3375618
2024-02-12,0.32869,0.32869,0.31275,1707696000000,0.31886,186363.30571248
2024-02-11,0.31987,0.32693,0.31698,1707609600000,0.31914,99643.69989137
2024-02-10,0.31863,0.32515,0.31722,1707523200000,0.32463,61512.48281889
2024-02-09,0.3239,0.32546,0.31649,1707436800000,0.31649,74786.45471816
2024-02-08,0.31583,0.3206,0.31431,1707350400000,0.31995,192652.40051403
2024-02-07,0.31941,0.3208,0.31047,1707264000000,0.31621,33874.50726836
2024-02-06,0.31576,0.31652,0.31068,1707177600000,0.31222,44446.831306629996
2024-02-05,0.31347,0.3159,0.305,1707091200000,0.31172,17702.92600661
2024-02-04,0.31135,0.3181,0.31081,1707004800000,0.31776,18059.44264699
