date,close,high,low,mts,open,volume
2024-02-25,0.49235,0.49719,0.47773,1708819200000,0.49416,12393.444930059999
2024-02-24,0.49458,0.55557,0.4651,1708732800000,0.47028,603065.02507561
2024-02-23,0.4718,0.49445,0.43274,1708646400000,0.4439,49148.01969424
2024-02-22,0.44303,0.45214,0.42935,1708560000000,0.43447,8231.89846334
2024-02-21,0.4352,0.44614,0.41997,1708473600000,0.44598,13402.88683386
2024-02-20,0.44515,0.46674,0.42424,1708387200000,0.46294,34957.96701277
2024-02-19,0.46118,0.46697,0.45052,1708300800000,0.45382,16576.17903884
2024-02-18,0.45157,0.4608,0.43748,1708214400000,0.44323,26027.89195939
2024-02-17,0.44225,0.4596,0.42888,1708128000000,0.45268,14552.89003244
2024-02-16,0.45306,0.46329,0.44017,1708041600000,0.45229,26007.99428185
2024-02-15,0.45141,0.46391,0.44217,1707955200000,0.44923,27981.56979694
2024-02-14,0.4488,0.44942,0.4293,1707868800000,0.43367,5019.77284496
2024-02-13,0.43432,0.44063,0.42026,1707782400000,0.43551,15570.71396633
2024-02-12,0.43422,0.44022,0.41519,1707696000000,0.422,5258.7338479
2024-02-11,0.42093,0.43848,0.41929,1707609600000,0.42096,5221.65389586
2024-02-10,0.42063,0.43395,0.41848,1707523200000,0.42598,6734.4377868
2024-02-09,0.42647,0.42933,0.40883,1707436800000,0.40883,25113.2185731
2024-02-08,0.40741,0.41279,0.40063,1707350400000,0.41052,16724.58094715
2024-02-07,0.40921,0.41275,0.3873,1707264000000,0.39045,8870.63672713
2024-02-06,0.3914,0.39995,0.38951,1707177600000,0.39354,8395.65922633
2024-02-05,0.39418,0.40726,0.38564,1707091200000,0.38977,21284.62128402
2024-02-04,0.38884,0.40945,0.38848,1707004800000,0.40523,9228.05663644
2024-02-03,0.40995,0.41428,0.39372,1706918400000,0.40866,21015.339942399998
2024-02-02,0.40994,0.41084,0.38178,1706832000000,0.38178,41499.20481529
2024-02-01,0.38248,0.39077,0.37303,1706745600000,0.39045,8892.49357428
2024-01-31,0.39137,0.42553,0.38888,1706659200000,0.4109,31213.42070477
2024-01-30,0.40988,0.42898,0.40593,1706572800000,0.40831,23285.22231482
2024-01-29,0.41161,0.41573,0.38343,1706486400000,0.38343,6297.75668637
2024-01-28,0.3851,0.40638,0.38227,1706400000000,0.40071,17368.71392956
2024-01-27,0.39942,0.4036,0.38317,1706313600000,0.39355,13916.71494615
2024-01-26,0.39269,0.39488,0.37306,1706227200000,0.37534,17002.09816124
2024-01-25,0.37788,0.38112,0.36757,1706140800000,0.3803,13536.635681669999
2024-01-24,0.3819,0.38291,0.36729,1706054400000,0.37213,26399.36268231
2024-01-23,0.37221,0.38905,0.35221,1705968000000,0.38212,19355.16202492
2024-01-22,0.38183,0.41957,0.38017,1705881600000,0.41766,27781.4888608
2024-01-21,0.41881,0.43026,0.41881,1705795200000,0.4215,5268.6121564800005
2024-01-20,0.42547,0.42622,0.40932,1705708800000,0.4142,9979.43504657
2024-01-19,0.41468,0.42616,0.3957,1705622400000,0.42599,10580.97263884
2024-01-18,0.42493,0.46025,0.4207,1705536000000,0.45594,14181.02348669
2024-01-17,0.45739,0.47822,0.44922,1705449600000,0.47751,33572.71423542
2024-01-16,0.4745,0.47769,0.44501,1705363200000,0.46286,26107.48833132
2024-01-15,0.46378,0.48173,0.45138,1705276800000,0.46074,87899.07067626
2024-01-14,0.46049,0.50382,0.45928,1705190400000,0.49075,17371.68599568
2024-01-13,0.48912,0.50316,0.46532,1705104000000,0.4833,10194.69017185
2024-01-12,0.48127,0.5121,0.45524,1705017600000,0.51093,13310.95061057
2024-01-11,0.5151,0.52448,0.44819,1704931200000,0.45803,104438.01678019
2024-01-10,0.45509,0.4587,0.40969,1704844800000,0.41286,55597.46911274
2024-01-09,0.41217,0.45421,0.40084,1704758400000,0.44454,115451.99184557
2024-01-08,0.444,0.444,0.38427,1704672000000,0.41966,97520.36213046
2024-01-07,0.41975,0.51736,0.41526,1704585600000,0.46617,118735.38230122
2024-01-06,0.46479,0.48743,0.42626,1704499200000,0.4847,51445.22448562
2024-01-05,0.48284,0.49741,0.45201,1704412800000,0.45711,88872.50966747
2024-01-04,0.45571,0.4827,0.41556,1704326400000,0.4237,93685.93092075
2024-01-03,0.42269,0.48625,0.36933,1704240000000,0.47595,62507.07487214
2024-01-02,0.47141,0.49559,0.4668,1704153600000,0.48258,62416.36108437
2024-01-01,0.48875,0.54459,0.42937,1704067200000,0.42937,199413.08061164
2023-12-31,0.42709,0.43588,0.4164,1703980800000,0.41962,27796.22677246
2023-12-30,0.42057,0.43584,0.41805,1703894400000,0.42876,8209.42017421
2023-12-29,0.43204,0.44797,0.41331,1703808000000,0.42779,17783.04777913
2023-12-28,0.42989,0.45874,0.42162,1703721600000,0.44697,27765.92910404
2023-12-27,0.4469,0.4581,0.43562,1703635200000,0.4581,41138.50956514
2023-12-26,0.45896,0.45896,0.4033,1703548800000,0.45162,49826.18484086
2023-12-25,0.44845,0.45016,0.41522,1703462400000,0.42207,32099.990999229998
2023-12-24,0.42141,0.44444,0.41077,1703376000000,0.42493,37362.8754311
2023-12-23,0.42358,0.42358,0.39247,1703289600000,0.40965,11208.94032023
2023-12-22,0.41094,0.41235,0.39074,1703203200000,0.3926,25891.83069324
2023-12-21,0.39138,0.39608,0.36711,1703116800000,0.37053,20969.27258586
2023-12-20,0.36978,0.37598,0.35537,1703030400000,0.35679,18763.12485336
2023-12-19,0.3562,0.36955,0.35282,1702944000000,0.35997,60534.95275004
2023-12-18,0.36073,0.36797,0.33777,1702857600000,0.36622,21864.27319029
2023-12-17,0.36643,0.37851,0.36517,1702771200000,0.37795,14273.31348202
2023-12-16,0.37696,0.38179,0.35871,1702684800000,0.36424,21621.84080793
2023-12-15,0.36218,0.38354,0.36136,1702598400000,0.3828,28470.9136215
2023-12-14,0.38222,0.38359,0.35856,1702512000000,0.37501,24434.70762739
2023-12-13,0.37497,0.37589,0.35281,1702425600000,0.37154,113630.19660742
2023-12-12,0.37098,0.37457,0.36026,1702339200000,0.36483,125138.28992724999
2023-12-11,0.36428,0.40239,0.33854,1702252800000,0.40239,57939.24379291
2023-12-10,0.40179,0.41469,0.38707,1702166400000,0.40482,68684.95986661
2023-12-09,0.40422,0.42277,0.40099,1702080000000,0.41217,80358.44908869
2023-12-08,0.41109,0.41344,0.38891,1701993600000,0.39483,143200.90590968
2023-12-07,0.38765,0.38765,0.36629,1701907200000,0.37506,35267.39860667
2023-12-06,0.37454,0.3832,0.36291,1701820800000,0.37709,32293.64964988
2023-12-05,0.37485,0.38055,0.36038,1701734400000,0.36618,102541.00961433
2023-12-04,0.36611,0.37305,0.34418,1701648000000,0.35542,75444.16726054
2023-12-03,0.35505,0.35857,0.34889,1701561600000,0.35631,15560.51582913
2023-12-02,0.35669,0.35858,0.3462,1701475200000,0.35117,42692.48738154
2023-12-01,0.35117,0.35117,0.33935,1701388800000,0.34064,25353.15401601
2023-11-30,0.33963,0.35947,0.33944,1701302400000,0.34575,32815.20070564
2023-11-29,0.3414,0.34419,0.33716,1701216000000,0.34419,21987.111735540002
2023-11-28,0.34298,0.34801,0.33526,1701129600000,0.34389,20444.15738221
2023-11-27,0.33706,0.35628,0.33675,1701043200000,0.35628,21470.62241298
2023-11-26,0.35772,0.37013,0.35187,1700956800000,0.37013,10063.20280381
2023-11-25,0.37177,0.37598,0.36393,1700870400000,0.36418,11521.48257242
2023-11-24,0.35794,0.36463,0.35581,1700784000000,0.35837,25496.99989453
2023-11-23,0.36186,0.36651,0.3495,1700697600000,0.35041,28976.6244306
2023-11-22,0.35043,0.35586,0.32742,1700611200000,0.32746,39655.79123141
2023-11-21,0.32771,0.36325,0.32366,1700524800000,0.35655,49811.63818394
2023-11-20,0.35818,0.36511,0.3528,1700438400000,0.36511,61374.80319458
2023-11-19,0.36511,0.36679,0.34342,1700352000000,0.34853,36815.42113713
2023-11-18,0.35045,0.35399,0.32917,1700265600000,0.35374,36432.01942956
2023-11-17,0.35481,0.37601,0.34319,1700179200000,0.36495,43060.03480591
2023-11-16,0.35503,0.37707,0.35438,1700092800000,0.37121,8392.13397521
2023-11-15,0.36707,0.37172,0.34838,1700006400000,0.34896,36786.85766921
2023-11-14,0.34952,0.36204,0.33906,1699920000000,0.35726,71976.65306257
2023-11-13,0.35873,0.38734,0.35658,1699833600000,0.38053,15791.36079713
2023-11-12,0.38214,0.38711,0.37039,1699747200000,0.37988,11378.74051047
2023-11-11,0.38229,0.39526,0.3686,1699660800000,0.38636,26758.7205124
2023-11-10,0.38452,0.38452,0.36687,1699574400000,0.37251,54366.24343007
2023-11-09,0.37052,0.383,0.32378,1699488000000,0.36519,79516.95209706
2023-11-08,0.36876,0.41316,0.34268,1699401600000,0.3442,58813.09467665
