date,close,high,low,mts,open,volume
2024-02-25,4.4e-07,4.4e-07,4.4e-07,1708819200000,4.4e-07,5263277.97777777
2024-02-24,4.4e-07,4.6e-07,4.4e-07,1708732800000,4.4e-07,165363669.3193521
2024-02-23,4.5e-07,4.5e-07,4.4e-07,1708646400000,4.5e-07,21299047.57311132
2024-02-21,4.5e-07,4.6e-07,4.3e-07,1708473600000,4.5e-07,77174653.32595402
2024-02-20,4.5e-07,4.5e-07,4.5e-07,1708387200000,4.5e-07,1000000.0
2024-02-19,4.5e-07,4.5e-07,4.5e-07,1708300800000,4.5e-07,11712949.3859555
2024-02-18,4.5e-07,4.5e-07,4.5e-07,1708214400000,4.5e-07,26200715.43105778
2024-02-15,4.5e-07,4.6e-07,4.5e-07,1707955200000,4.6e-07,112745869.71925627
2024-02-14,4.5e-07,4.5e-07,4.5e-07,1707868800000,4.5e-07,6968704.9347541
2024-02-13,4.5e-07,4.5e-07,4.4e-07,1707782400000,4.4e-07,2008153675.976473
2024-02-10,4.4e-07,4.5e-07,4.4e-07,1707523200000,4.4e-07,107758480.9307034
2024-02-09,4.4e-07,4.4e-07,4.2e-07,1707436800000,4.4e-07,244455780.5643163
2024-02-08,4.3e-07,4.4e-07,4.3e-07,1707350400000,4.4e-07,9785176.07300916
2024-02-07,4.3e-07,4.4e-07,4.1e-07,1707264000000,4.1e-07,12679505.95443156
2024-02-06,4.2e-07,4.2e-07,4.1e-07,1707177600000,4.1e-07,12283718.10781319
2024-02-02,4.1e-07,4.1e-07,4.1e-07,1706832000000,4.1e-07,1996000.0
2024-01-31,4e-07,4.1e-07,4e-07,1706659200000,4e-07,30144710.76192866
2024-01-30,4.1e-07,4.1e-07,4.1e-07,1706572800000,4.1e-07,67574095.13212718
2024-01-28,4e-07,4.1e-07,4e-07,1706400000000,4e-07,19704501.58322732
2024-01-27,4.3e-07,4.3e-07,4e-07,1706313600000,4.3e-07,29851228.570307698
2024-01-25,3.9e-07,4.1e-07,3.9e-07,1706140800000,4e-07,32618903.76107741
2024-01-24,3.9e-07,4e-07,3.8e-07,1706054400000,3.8e-07,3593401125.100614
2024-01-23,3.9e-07,4.2e-07,3.8e-07,1705968000000,4e-07,139839929.07012442
2024-01-22,4e-07,4.2e-07,4e-07,1705881600000,4.2e-07,98942127.69520792
2024-01-21,4.3e-07,4.4e-07,4.2e-07,1705795200000,4.4e-07,1610534845.2122889
2024-01-20,4.3e-07,4.4e-07,4.2e-07,1705708800000,4.4e-07,16810599163.001637
2024-01-19,4.3e-07,4.5e-07,4.1e-07,1705622400000,4.4e-07,1614058551.5602508
2024-01-18,4.3e-07,4.5e-07,4.2e-07,1705536000000,4.4e-07,1261645163.2994103
2024-01-17,4.3e-07,4.4e-07,4.3e-07,1705449600000,4.3e-07,131942392.21088795
2024-01-15,4.3e-07,4.5e-07,4.2e-07,1705276800000,4.3e-07,120221452.10121988
2024-01-14,4.4e-07,4.5e-07,4.3e-07,1705190400000,4.4e-07,1307087410.49759
2024-01-13,4.4e-07,4.5e-07,4.2e-07,1705104000000,4.3e-07,2739698237.29665
2024-01-12,4.4e-07,4.4e-07,4.1e-07,1705017600000,4.2e-07,2167007974.078173
2024-01-11,4.3e-07,4.4e-07,4.1e-07,1704931200000,4.2e-07,194545689.95669898
2024-01-10,4.3e-07,4.3e-07,4.1e-07,1704844800000,4.1e-07,1289599326.9195292
2024-01-09,4.2e-07,4.3e-07,4.1e-07,1704758400000,4.2e-07,171610517.06096348
2024-01-08,4.1e-07,4.1e-07,3.9e-07,1704672000000,4.1e-07,6837512.93444366
2024-01-07,4e-07,4.3e-07,4e-07,1704585600000,4.2e-07,360767364.4754165
2024-01-06,4.1e-07,4.3e-07,4.1e-07,1704499200000,4.1e-07,1814504669.8077316
2024-01-05,4.2e-07,4.5e-07,4.2e-07,1704412800000,4.4e-07,135635880.09246978
2024-01-04,4.3e-07,4.6e-07,4.3e-07,1704326400000,4.4e-07,1852081907.2292767
2024-01-03,4.3e-07,4.8e-07,4.2e-07,1704240000000,4.6e-07,1920743625.7867045
2024-01-02,4.7e-07,4.8e-07,4.4e-07,1704153600000,4.6e-07,1074912881.8121047
2024-01-01,4.4e-07,4.6e-07,4.4e-07,1704067200000,4.5e-07,67150664.09435253
2023-12-31,4.3e-07,4.6e-07,4.3e-07,1703980800000,4.4e-07,32382075.10335767
2023-12-30,4.5e-07,4.5e-07,4.3e-07,1703894400000,4.4e-07,25085023.40444854
2023-12-29,4.4e-07,4.6e-07,4.4e-07,1703808000000,4.5e-07,961388654.7472022
2023-12-28,4.5e-07,4.6e-07,4.5e-07,1703721600000,4.6e-07,964620227.6729394
2023-12-27,4.4e-07,4.5e-07,4.4e-07,1703635200000,4.4e-07,806621823.7089471
2023-12-26,4.3e-07,4.6e-07,4.3e-07,1703548800000,4.6e-07,2053342315.726516
2023-12-25,4.8e-07,4.8e-07,4.5e-07,1703462400000,4.5e-07,300970521.2687436
2023-12-24,4.5e-07,4.6e-07,4.4e-07,1703376000000,4.5e-07,275118288.95536166
2023-12-23,4.6e-07,4.6e-07,4.3e-07,1703289600000,4.4e-07,1196419185.416288
2023-12-22,4.4e-07,4.6e-07,4.4e-07,1703203200000,4.4e-07,583190134.7577527
2023-12-21,4.8e-07,4.8e-07,4.4e-07,1703116800000,4.4e-07,80791728.51253013
2023-12-20,4.4e-07,4.4e-07,4.4e-07,1703030400000,4.4e-07,17363403.45070017
2023-12-19,4.4e-07,4.6e-07,4.3e-07,1702944000000,4.4e-07,579498290.5848749
2023-12-18,4.5e-07,4.5e-07,4.3e-07,1702857600000,4.5e-07,77.90531819
