date,close,high,low,mts,open,volume
2024-02-25,1.8309,1.8383,1.7546,1708819200000,1.7654,8289.50756757
2024-02-24,1.7663,1.7711,1.6324,1708732800000,1.6736,6674.08308561
2024-02-23,1.6621,1.7053,1.6322,1708646400000,1.6874,3751.27135639
2024-02-22,1.69,1.7432,1.6454,1708560000000,1.7208,3885.17818887
2024-02-21,1.7167,1.8359,1.6467,1708473600000,1.8337,11446.76960697
2024-02-20,1.8406,1.9117,1.6939,1708387200000,1.7259,20949.92164302
2024-02-19,1.7207,1.7699,1.6929,1708300800000,1.729,6489.23667815
2024-02-18,1.7309,1.7418,1.6277,1708214400000,1.6596,10397.06406925
2024-02-17,1.6496,1.6876,1.5612,1708128000000,1.6876,14656.69370913
2024-02-16,1.6916,1.6916,1.5861,1708041600000,1.6064,9124.175749
2024-02-15,1.6008,1.6731,1.5339,1707955200000,1.5676,13473.15226806
2024-02-14,1.562,1.596,1.5061,1707868800000,1.5313,14354.777283290001
2024-02-13,1.5279,1.5279,1.4485,1707782400000,1.4791,17768.21837785
2024-02-12,1.4748,1.4878,1.4216,1707696000000,1.4311,7424.91688658
2024-02-11,1.4284,1.4712,1.42,1707609600000,1.4344,21426.03078701
2024-02-10,1.4336,1.4471,1.4111,1707523200000,1.4282,7894.97680278
2024-02-09,1.4216,1.4454,1.3915,1707436800000,1.4022,23883.41226697
2024-02-08,1.4002,1.4063,1.3781,1707350400000,1.3971,10776.41062905
2024-02-07,1.3956,1.3975,1.3426,1707264000000,1.3625,12001.55364089
2024-02-06,1.3577,1.3868,1.3577,1707177600000,1.3788,3207.28884937
2024-02-05,1.3744,1.3863,1.3381,1707091200000,1.3617,1457.3241620000001
2024-02-04,1.3582,1.3957,1.3484,1707004800000,1.3848,762.09130232
2024-02-03,1.3975,1.443,1.3951,1706918400000,1.4195,2848.96866806
2024-02-02,1.424,1.5206,1.4086,1706832000000,1.4966,45629.70945878
2024-02-01,1.5033,1.5344,1.3814,1706745600000,1.395,31952.9731059
2024-01-31,1.3977,1.4482,1.3686,1706659200000,1.418,2490.58158556
2024-01-30,1.4318,1.4453,1.4011,1706572800000,1.4269,2406.75365088
2024-01-29,1.4343,1.4677,1.3826,1706486400000,1.3839,20441.86467626
2024-01-28,1.3874,1.4418,1.3725,1706400000000,1.4188,9494.67790515
2024-01-27,1.4122,1.4537,1.3957,1706313600000,1.3981,4617.58005019
2024-01-26,1.3969,1.3976,1.3074,1706227200000,1.3118,7850.24752134
2024-01-25,1.3156,1.3412,1.2779,1706140800000,1.3335,6112.857156380001
2024-01-24,1.3296,1.3319,1.2862,1706054400000,1.2955,8485.08216699
2024-01-23,1.3073,1.341,1.236,1705968000000,1.3159,12271.93406389
2024-01-22,1.3137,1.4119,1.307,1705881600000,1.3979,5691.16198153
2024-01-21,1.4081,1.4361,1.3882,1705795200000,1.3936,89.93241221
2024-01-20,1.3952,1.4179,1.3766,1705708800000,1.388,1919.66445581
2024-01-19,1.3935,1.403,1.3151,1705622400000,1.3822,23592.53278694
2024-01-18,1.3885,1.5491,1.372,1705536000000,1.5491,26206.89565462
2024-01-17,1.5435,1.6672,1.4501,1705449600000,1.4607,78768.90570497
2024-01-16,1.4572,1.4697,1.4175,1705363200000,1.4404,1100.16674914
2024-01-15,1.4398,1.4539,1.3909,1705276800000,1.3909,21096.85745071
2024-01-14,1.3784,1.4551,1.3784,1705190400000,1.4539,1575.87251983
2024-01-13,1.4563,1.4674,1.4098,1705104000000,1.4591,2620.30854872
2024-01-12,1.4442,1.5264,1.3864,1705017600000,1.4538,10893.52147431
2024-01-11,1.457,1.4907,1.4089,1704931200000,1.4171,51746.6808257
2024-01-10,1.4126,1.4352,1.285,1704844800000,1.3171,21689.11706438
2024-01-09,1.3154,1.414,1.2626,1704758400000,1.4059,16313.67973473
2024-01-08,1.4056,1.4081,1.2649,1704672000000,1.3756,6396.89259956
2024-01-07,1.3632,1.4789,1.3539,1704585600000,1.4025,19633.35914672
2024-01-06,1.407,1.4361,1.3426,1704499200000,1.436,4382.07935296
2024-01-05,1.4401,1.5327,1.3971,1704412800000,1.5203,6716.46479379
2024-01-04,1.5179,1.5308,1.4441,1704326400000,1.4575,6885.52209902
2024-01-03,1.4607,1.7544,1.2077,1704240000000,1.6948,41019.16980796
2024-01-02,1.6917,1.762,1.6663,1704153600000,1.6898,15852.87195953
2024-01-01,1.6968,1.7037,1.5899,1704067200000,1.624,6227.01433026
2023-12-31,1.6169,1.6706,1.61,1703980800000,1.6442,3015.81859638
2023-12-30,1.6524,1.6827,1.6336,1703894400000,1.6621,9010.07715362
2023-12-29,1.6717,1.7601,1.6431,1703808000000,1.6977,4259.68336557
2023-12-28,1.7095,1.8106,1.6906,1703721600000,1.7834,10155.90149293
2023-12-27,1.7698,1.7834,1.6608,1703635200000,1.7152,8604.96756388
2023-12-26,1.705,1.8246,1.582,1703548800000,1.7963,14141.57074108
2023-12-25,1.8025,1.836,1.6967,1703462400000,1.7053,8965.40897283
2023-12-24,1.7119,1.736,1.6628,1703376000000,1.6989,9942.40555642
2023-12-23,1.7053,1.7269,1.6616,1703289600000,1.7195,3579.07357208
2023-12-22,1.7236,1.7236,1.6474,1703203200000,1.6755,10587.35807152
