date,close,high,low,mts,open,volume
2024-02-25,9.6341,9.6847,9.3241,1708819200000,9.4801,7665.51222286
2024-02-24,9.4801,9.496,9.0358,1708732800000,9.1374,8359.81224019
2024-02-23,9.1217,9.3305,8.9137,1708646400000,9.2206,4645.71878907
2024-02-22,9.2257,9.4638,8.9338,1708560000000,9.2046,11750.87482669
2024-02-21,9.2357,9.8284,8.8733,1708473600000,9.7535,21346.69204864
2024-02-20,9.6309,10.12,9.0848,1708387200000,10.099,62949.81879191
2024-02-19,10.086,10.243,9.6836,1708300800000,9.6836,67151.00878619
2024-02-18,9.6813,9.7935,9.5155,1708214400000,9.6774,34227.81244806
2024-02-17,9.694,9.788,9.2257,1708128000000,9.7767,15598.9756906
2024-02-16,9.7958,10.326,9.6358,1708041600000,10.157,16271.59199177
2024-02-15,10.174,10.757,9.4125,1707955200000,9.4411,93711.70273341
2024-02-14,9.4385,9.56,9.0697,1707868800000,9.1772,25810.30634466
2024-02-13,9.2126,9.2901,8.884,1707782400000,9.1594,14961.77183232
2024-02-12,9.1734,9.2814,8.7714,1707696000000,9.038,26347.77610423
2024-02-11,9.05,9.2732,8.9875,1707609600000,9.0806,3869.76629343
2024-02-10,9.0889,9.2562,9.0028,1707523200000,9.1043,8658.63948266
2024-02-09,9.1036,9.1469,8.7301,1707436800000,8.7647,16059.66564494
2024-02-08,8.7536,8.9121,8.7305,1707350400000,8.8074,12519.40159934
2024-02-07,8.7834,8.8532,8.4953,1707264000000,8.6113,16140.99860444
2024-02-06,8.5983,8.7233,8.525,1707177600000,8.6656,11313.79958529
2024-02-05,8.6655,9.0583,8.5465,1707091200000,8.8357,21732.47385385
2024-02-04,8.8329,9.1034,8.805,1707004800000,9.1021,11312.89489241
2024-02-03,9.164,9.7148,9.1507,1706918400000,9.4385,21751.45494285
2024-02-02,9.3951,9.503,9.16,1706832000000,9.2693,39208.00044038
2024-02-01,9.216,9.2347,8.6193,1706745600000,8.8739,17105.46883533
2024-01-31,8.8528,9.1867,8.7,1706659200000,9.0684,15964.08503934
2024-01-30,9.059,9.4867,9.0087,1706572800000,9.1719,15002.67947296
2024-01-29,9.2295,9.4243,8.8981,1706486400000,8.8981,52277.24039791
2024-01-28,8.8694,9.2216,8.7331,1706400000000,9.1256,10949.6028185
2024-01-27,9.1236,9.3481,8.6745,1706313600000,8.7687,16166.45354263
2024-01-26,8.7197,8.8785,8.2556,1706227200000,8.3318,19581.29239497
2024-01-25,8.3443,8.604,8.2089,1706140800000,8.59,22296.48506752
2024-01-24,8.5793,8.7547,8.4223,1706054400000,8.7179,35920.51928033
2024-01-23,8.7582,8.8281,7.5221,1705968000000,8.0741,37444.48643555
2024-01-22,8.0491,8.5349,7.9115,1705881600000,8.4729,35744.05023661
2024-01-21,8.4549,8.6921,8.452,1705795200000,8.5801,10194.98999733
2024-01-20,8.5814,8.5968,8.3517,1705708800000,8.5794,5942.24066557
2024-01-19,8.5904,8.7464,8.1159,1705622400000,8.7066,21499.04439187
2024-01-18,8.7442,9.5113,8.6477,1705536000000,9.327,33303.2618503
2024-01-17,9.3182,9.4711,9.1634,1705449600000,9.4484,17388.07838071
2024-01-16,9.4299,9.6046,9.1628,1705363200000,9.5287,15150.698188370001
2024-01-15,9.5304,10.4,9.4131,1705276800000,9.7894,92106.42565322
2024-01-14,9.685,10.04,9.5443,1705190400000,10.004,69819.11860121
