date,close,high,low,mts,open,volume
2024-02-25,1.8645,1.8855,1.8338,1708819200000,1.8398,18316.51713092
2024-02-24,1.8459,1.8519,1.7541,1708732800000,1.7999,257494.34566263
2024-02-23,1.8004,1.8253,1.7427,1708646400000,1.808,47817.115250150004
2024-02-22,1.811,1.8899,1.7943,1708560000000,1.8666,35619.15577002
2024-02-21,1.8783,2.0081,1.8063,1708473600000,2.0025,58815.29060933
2024-02-20,2.0067,2.0837,1.9,1708387200000,2.0558,71931.46009253
2024-02-19,2.0474,2.0946,2.0207,1708300800000,2.0364,31815.01709318
2024-02-18,2.0334,2.046,1.9441,1708214400000,1.9697,37981.41627396
2024-02-17,1.9673,2.0174,1.9061,1708128000000,2.0089,9908.25498661
2024-02-16,2.0128,2.0881,1.9606,1708041600000,2.0753,20310.16747983
2024-02-15,2.0714,2.1688,2.0384,1707955200000,2.1174,139928.78234118
2024-02-14,2.1132,2.1254,2.018,1707868800000,2.0459,14845.04966334
2024-02-13,2.048,2.0998,1.9906,1707782400000,2.0787,29847.85502101
2024-02-12,2.0781,2.0794,1.915,1707696000000,1.9415,48654.59492705
2024-02-11,1.9395,2.0052,1.9356,1707609600000,1.9608,2859.25197335
2024-02-10,1.9635,2.0196,1.9462,1707523200000,1.9842,3478.98739758
2024-02-09,1.9815,1.9972,1.865,1707436800000,1.865,42981.55429908
2024-02-08,1.8671,1.9259,1.8598,1707350400000,1.9008,19937.190098080002
2024-02-07,1.8964,1.9309,1.8138,1707264000000,1.8395,58005.01770277
2024-02-06,1.8309,1.872,1.7305,1707177600000,1.7328,54020.40621812
2024-02-05,1.7364,1.7827,1.7066,1707091200000,1.7349,7543.53185301
2024-02-04,1.7326,1.7752,1.7251,1707004800000,1.7583,10833.02878767
2024-02-03,1.7649,1.836,1.7649,1706918400000,1.7898,23931.26043304
2024-02-02,1.7917,1.8268,1.7632,1706832000000,1.7846,129103.83670925
2024-02-01,1.7859,1.7859,1.695,1706745600000,1.7661,23714.76462886
2024-01-31,1.7635,1.8867,1.7451,1706659200000,1.8867,30523.11585775
2024-01-30,1.8833,1.9663,1.8382,1706572800000,1.8436,33523.22987703
2024-01-29,1.8533,1.856,1.7727,1706486400000,1.7912,24143.74764754
2024-01-28,1.7974,1.8927,1.7878,1706400000000,1.8013,139194.61581419
2024-01-27,1.7966,1.8405,1.775,1706313600000,1.8101,13043.7502277
2024-01-26,1.8134,1.822,1.7175,1706227200000,1.7363,90534.61447888
2024-01-25,1.7328,1.7736,1.6453,1706140800000,1.7293,18058.08186593
2024-01-24,1.7405,1.7434,1.6361,1706054400000,1.6907,50669.95954223
2024-01-23,1.6929,1.7367,1.5492,1705968000000,1.6908,245442.97285614
2024-01-22,1.6882,1.8341,1.6571,1705881600000,1.8215,144656.64889896
2024-01-21,1.8163,1.9037,1.7888,1705795200000,1.8118,26880.89998592
2024-01-20,1.8192,1.8544,1.7626,1705708800000,1.8489,27982.44601257
2024-01-19,1.8549,1.8997,1.7273,1705622400000,1.8965,170481.46130399
2024-01-18,1.8911,2.0386,1.8449,1705536000000,2.0386,142857.47689683
2024-01-17,2.0391,2.1636,2.0048,1705449600000,2.1526,38086.89480823
2024-01-16,2.1533,2.2,2.0463,1705363200000,2.1163,39727.49379918
2024-01-15,2.1118,2.1729,2.0334,1705276800000,2.0363,33593.05374884
2024-01-14,2.0322,2.1924,2.02,1705190400000,2.1664,81885.537312
2024-01-13,2.18,2.2164,2.0861,1705104000000,2.2081,59623.89996708
2024-01-12,2.2068,2.4027,2.111,1705017600000,2.261,151610.4128883
2024-01-11,2.2586,2.395,2.1333,1704931200000,2.2274,250653.11133617
2024-01-10,2.2209,2.2654,1.8332,1704844800000,1.842,643907.24621866
2024-01-09,1.8406,1.8462,1.6253,1704758400000,1.8234,216434.73467521
2024-01-08,1.8202,1.8633,1.5722,1704672000000,1.7214,138462.90797259
2024-01-07,1.723,1.8858,1.6782,1704585600000,1.753,95528.13882183
2024-01-06,1.7478,1.9598,1.6948,1704499200000,1.9598,118765.45200821
2024-01-05,1.9525,2.0176,1.827,1704412800000,2.0031,139660.11419508
2024-01-04,2.0099,2.1195,1.8146,1704326400000,1.9126,158434.10111618
2024-01-03,1.9118,2.0886,1.4238,1704240000000,1.7794,501241.40260624
2024-01-02,1.776,1.8367,1.7054,1704153600000,1.7357,120746.79741813
2024-01-01,1.7353,1.7457,1.5211,1704067200000,1.5733,51036.44837209
2023-12-31,1.5617,1.6637,1.4837,1703980800000,1.4837,141913.0494009
2023-12-30,1.4837,1.531,1.4345,1703894400000,1.5123,160742.30413973
2023-12-29,1.5137,1.5481,1.4212,1703808000000,1.4706,198696.31112394
2023-12-28,1.4677,1.6637,1.4677,1703721600000,1.5041,82179.95704202
2023-12-27,1.5025,1.5381,1.2741,1703635200000,1.3274,252893.81869365
2023-12-26,1.3281,1.4058,1.2389,1703548800000,1.389,107929.7536504
2023-12-25,1.396,1.402,1.3433,1703462400000,1.3542,68374.92809953
2023-12-24,1.3578,1.4573,1.3428,1703376000000,1.3935,79873.7388024
2023-12-23,1.394,1.4503,1.3131,1703289600000,1.4359,172428.56424371
2023-12-22,1.4276,1.4407,1.1461,1703203200000,1.1509,273238.55597175
2023-12-21,1.1591,1.1591,1.0984,1703116800000,1.1059,16397.90650518
2023-12-20,1.104,1.1307,1.0704,1703030400000,1.0791,42904.30764992
2023-12-19,1.0745,1.1234,1.0657,1702944000000,1.0987,49261.59598464
2023-12-18,1.1019,1.1127,1.0358,1702857600000,1.111,39548.13156285
