date,close,high,low,mts,open,volume
2024-02-25,10.298,10.44,10.223,1708819200000,10.417,1423.597246
2024-02-24,10.431,10.565,9.7777,1708732800000,9.9845,3475.88388319
2024-02-23,9.9857,10.038,9.6825,1708646400000,9.8063,4100.4568956
2024-02-22,9.7966,10.04,9.7093,1708560000000,9.9393,5448.3444836
2024-02-21,9.9955,10.347,9.7329,1708473600000,10.347,4703.60500021
2024-02-20,10.359,10.739,10.005,1708387200000,10.726,3544.03374629
2024-02-19,10.738,10.773,10.484,1708300800000,10.613,4565.90316496
2024-02-18,10.565,10.631,10.204,1708214400000,10.292,29133.23431081
2024-02-17,10.273,10.319,9.8912,1708128000000,10.235,9297.38031379
2024-02-16,10.243,10.462,10.01,1708041600000,10.326,15683.53853363
2024-02-15,10.327,10.479,10.081,1707955200000,10.25,16339.21094929
2024-02-14,10.232,10.439,10.089,1707868800000,10.303,3456.61660124
2024-02-13,10.294,10.385,9.8697,1707782400000,9.9095,11469.98955141
2024-02-12,9.9299,10.02,9.5203,1707696000000,9.746,14232.9959089
2024-02-11,9.7504,10.258,9.6661,1707609600000,9.9656,85634.32488273
2024-02-10,9.9644,10.106,9.9023,1707523200000,10.037,81355.87278151
2024-02-09,10.025,10.189,9.6082,1707436800000,9.6151,7363.79362983
2024-02-08,9.6398,9.7217,9.461,1707350400000,9.5962,1879.7756469199999
2024-02-07,9.5881,9.6523,9.1212,1707264000000,9.1311,3662.91940494
2024-02-06,9.1377,9.235,9.041,1707177600000,9.0552,4612.61095158
2024-02-05,9.0523,9.1728,8.8586,1707091200000,8.9823,2845.71253838
2024-02-04,8.9675,9.1058,8.9532,1707004800000,9.0422,2440.79713695
2024-02-03,9.0572,9.2195,9.047,1706918400000,9.1533,945.75146979
2024-02-02,9.1614,9.2698,9.0933,1706832000000,9.127,3186.58295055
2024-02-01,9.1414,9.2292,8.9829,1706745600000,9.1117,2611.0151382
2024-01-31,9.1132,9.4363,9.0361,1706659200000,9.4241,8028.21764597
2024-01-30,9.4037,9.7285,9.3319,1706572800000,9.6344,5553.91774122
2024-01-29,9.6795,9.6851,9.3912,1706486400000,9.3912,3053.90738161
2024-01-28,9.436,9.7454,9.3467,1706400000000,9.6719,1327.27962785
2024-01-27,9.6736,9.7175,9.4465,1706313600000,9.6432,2031.9481579600001
2024-01-26,9.6251,9.7349,9.1875,1706227200000,9.2129,4193.36910417
2024-01-25,9.2418,9.3553,9.0659,1706140800000,9.3331,1216.68668574
2024-01-24,9.3568,9.3711,9.1631,1706054400000,9.197,966.48462076
2024-01-23,9.2201,9.3321,8.7127,1705968000000,9.1641,6385.70359536
2024-01-22,9.1812,9.6813,9.0562,1705881600000,9.6764,3338.40000259
2024-01-21,9.6515,9.9642,9.6485,1705795200000,9.8564,1312.5863350299999
2024-01-20,9.8509,9.8645,9.6172,1705708800000,9.7231,7151.27072198
2024-01-19,9.7197,9.8848,9.2757,1705622400000,9.702,4997.29537965
2024-01-18,9.703,10.255,9.5532,1705536000000,10.147,5452.4355418
2024-01-17,10.147,10.341,10.049,1705449600000,10.306,37462.79899355
2024-01-16,10.288,10.585,10.075,1705363200000,10.183,60348.27891437
2024-01-15,10.179,10.32,9.9912,1705276800000,10.052,13721.43799234
2024-01-14,9.9814,10.549,9.9663,1705190400000,10.18,14252.22293829
2024-01-13,10.203,10.334,9.6681,1705104000000,9.9681,4406.90087066
2024-01-12,9.9648,10.936,9.6516,1705017600000,10.671,17155.48008348
2024-01-11,10.667,10.889,10.252,1704931200000,10.326,25584.6465273
2024-01-10,10.376,10.599,9.3898,1704844800000,9.7177,9377.1641072
2024-01-09,9.6598,10.056,9.4027,1704758400000,9.9179,6403.02622924
2024-01-08,9.9647,9.9891,8.94,1704672000000,9.4667,15554.47037897
2024-01-07,9.3821,9.9186,9.333,1704585600000,9.8174,10115.42849255
2024-01-06,9.8322,10.409,9.5278,1704499200000,10.326,10086.94206475
2024-01-05,10.337,10.752,9.799,1704412800000,10.246,17118.29366645
2024-01-04,10.281,10.332,9.7654,1704326400000,9.9239,10390.33837203
2024-01-03,9.9386,11.383,8.6306,1704240000000,11.03,35903.15224729
2024-01-02,10.959,11.43,10.959,1704153600000,11.188,16790.26645745
2024-01-01,11.2,11.2,10.49,1704067200000,10.597,3202.01587089
2023-12-31,10.6,10.988,10.34,1703980800000,10.755,9972.31021096
2023-12-30,10.79,11.049,10.593,1703894400000,10.989,2901.59487975
2023-12-29,10.983,11.529,10.725,1703808000000,11.422,5619.67164891
2023-12-28,11.5,12.217,11.33,1703721600000,11.961,11625.09228149
2023-12-27,11.959,12.1,11.156,1703635200000,11.635,73979.39676346
2023-12-26,11.635,12.595,11.057,1703548800000,11.902,178096.33383719999
2023-12-25,11.931,12.062,11.043,1703462400000,11.234,185241.0377781
2023-12-24,11.233,11.754,11.06,1703376000000,11.332,76077.96958515
