date,close,high,low,mts,open,volume
2024-02-25,8.0813,8.1043,8.0284,1708819200000,8.097,23.34566497
2024-02-24,8.0918,8.3753,7.7057,1708732800000,7.7057,960.23870595
2024-02-23,7.8561,7.8561,7.6344,1708646400000,7.7986,440.4024386
2024-02-22,7.7757,7.8981,7.6536,1708560000000,7.8594,304.08062196000003
2024-02-21,7.776,8.0428,7.5,1708473600000,8.0166,586.98816071
2024-02-20,8.1211,8.489,7.876,1708387200000,8.4702,1627.84386872
2024-02-19,8.53,8.53,8.1698,1708300800000,8.1698,1475.35999753
2024-02-18,8.2583,8.3014,7.9109,1708214400000,7.9538,411.37882464
2024-02-17,7.9828,8.2168,7.6787,1708128000000,8.2135,1020.74285693
2024-02-16,8.101,8.2308,7.949,1708041600000,8.1819,754.90186054
2024-02-15,8.0272,8.1543,7.8703,1707955200000,7.89,2702.77284408
2024-02-14,7.9077,7.9077,7.6654,1707868800000,7.6657,282.14677174
2024-02-13,7.6746,7.7984,7.4621,1707782400000,7.7868,72.79627308
2024-02-12,7.8443,7.8959,7.5326,1707696000000,7.6476,5119.83975936
2024-02-11,7.547,7.7227,7.5155,1707609600000,7.6008,97.57104982
2024-02-10,7.4748,7.6042,7.3655,1707523200000,7.4881,1796.55274409
2024-02-09,7.4141,7.4367,7.3165,1707436800000,7.3165,45.48881426
2024-02-08,7.2789,7.2909,7.1415,1707350400000,7.1559,145.9306199
2024-02-07,7.1484,7.1484,6.8802,1707264000000,6.985,166.62250128
2024-02-06,6.9549,6.9839,6.8217,1707177600000,6.8217,136.25046654
2024-02-05,7.0601,7.1074,6.869,1707091200000,6.869,112.0501704
2024-02-04,7.0063,7.0898,7.0018,1707004800000,7.0898,158.5528061
2024-02-03,7.1775,7.2764,7.1592,1706918400000,7.1908,491.142848
2024-02-02,7.1175,7.1175,7.0169,1706832000000,7.0169,90.24970022
2024-02-01,7.0243,7.0291,6.821,1706745600000,6.9935,460.51682664000003
2024-01-31,6.8868,7.386,6.8868,1706659200000,7.386,815.49621265
2024-01-30,7.4598,7.6641,7.4245,1706572800000,7.5381,1185.29134293
2024-01-29,7.4713,7.4737,7.306,1706486400000,7.3172,158.23286646
2024-01-28,7.3459,7.4296,7.3458,1706400000000,7.4258,108.2135063
2024-01-27,7.4069,7.4069,7.2354,1706313600000,7.3377,40.95047956
2024-01-26,7.3335,7.3758,7.0853,1706227200000,7.1109,309.98458244
2024-01-25,7.1073,7.1772,7.0129,1706140800000,7.1772,177.3835825
2024-01-24,7.1174,7.3204,7.052,1706054400000,7.052,1612.1552717499999
2024-01-23,7.0339,7.428,6.74,1705968000000,7.28,4468.58634565
2024-01-22,7.28,7.9298,7.28,1705881600000,7.9298,134.85285472
2024-01-21,7.8521,8.0172,7.774,1705795200000,7.774,88.81055353
2024-01-20,7.8544,7.9329,7.6467,1705708800000,7.6467,325.12290493
2024-01-19,7.6255,7.797,7.2247,1705622400000,7.6519,560.87633864
2024-01-18,7.6429,8.0827,7.5882,1705536000000,8.0827,325.96333751
2024-01-17,8.15,8.3844,7.9862,1705449600000,8.3844,599.0558672
2024-01-16,8.4322,8.4363,7.8297,1705363200000,8.0007,613.83662918
2024-01-15,7.9111,8.0055,7.789,1705276800000,7.8289,398.23206295
2024-01-14,7.7902,8.2006,7.7902,1705190400000,8.2006,217.07519428
2024-01-13,8.2189,8.4781,7.8368,1705104000000,7.9713,727.56195587
2024-01-12,7.9398,8.9346,7.69,1705017600000,8.7702,647.23634588
2024-01-11,8.5327,8.7404,8.1279,1704931200000,8.1279,2048.29846067
2024-01-10,8.2041,8.2101,7.3344,1704844800000,7.4852,630.61527139
2024-01-09,7.4797,7.8797,7.2342,1704758400000,7.7768,320.11710463000003
2024-01-08,7.9167,7.9473,6.8868,1704672000000,7.3896,1639.69125927
2024-01-07,7.4446,8.1797,7.4274,1704585600000,8.1655,340.294694
2024-01-06,8.0748,8.1862,7.4619,1704499200000,7.9733,4190.55450553
2024-01-05,7.9707,8.4006,7.7567,1704412800000,8.3946,3635.6736962200002
2024-01-04,8.4192,8.5013,7.8125,1704326400000,8.007,658.06192499
2024-01-03,7.9537,9.1302,7.2576,1704240000000,8.9712,2511.21313262
2024-01-02,8.9666,9.5537,8.8553,1704153600000,9.306,2486.83675344
2024-01-01,9.2947,9.2982,8.6945,1704067200000,8.9133,3243.29018183
2023-12-31,8.9371,9.2745,8.9371,1703980800000,9.205,414.50003287
2023-12-30,9.1512,9.3077,8.863,1703894400000,9.1882,739.58058193
2023-12-29,9.1084,9.7052,9.0259,1703808000000,9.2143,2438.97559971
2023-12-28,8.995,9.8525,8.8782,1703721600000,9.8525,1395.28737781
2023-12-27,9.7367,9.8501,9.4115,1703635200000,9.6062,1407.2702371999999
2023-12-26,9.8441,10.529,9.3656,1703548800000,10.35,3447.19966593
2023-12-25,10.238,11.179,8.9634,1703462400000,9.1158,8107.63671113
