date,close,high,low,mts,open,volume
2024-02-24,0.0094514,0.0094757,0.0094028,1708732800000,0.0094757,2954.32264769
2024-02-23,0.0095,0.0095,0.0093542,1708646400000,0.0094271,8057.27166817
2024-02-22,0.0093785,0.0095729,0.0093785,1708560000000,0.0094514,9559.72833183
2024-02-21,0.0094271,0.0095729,0.0093763,1708473600000,0.0095486,21680.99909013
2024-02-20,0.0095729,0.0096701,0.0095729,1708387200000,0.0096215,3589.743924
2024-02-19,0.0095729,0.00975,0.0094757,1708300800000,0.0096944,430825.60876955
2024-02-18,0.0096945,0.0096945,0.0096945,1708214400000,0.0096945,10315.23353689
2024-02-16,0.009743,0.009743,0.0096944,1708041600000,0.0096944,2410.1951261
2024-02-13,0.0096944,0.0096944,0.0096458,1707782400000,0.0096944,10010.102109630001
2024-02-11,0.0096944,0.009743,0.0096944,1707609600000,0.009743,2531.04793185
2024-02-10,0.0097431,0.0097431,0.0097431,1707523200000,0.0097431,1689.0
2024-02-09,0.0097673,0.0097673,0.0097417,1707436800000,0.009743,1531.93743716
2024-02-07,0.0097916,0.0098645,0.009743,1707264000000,0.00981,173679.91823948
2024-02-06,0.00981,0.0099374,0.00981,1707177600000,0.00981,99813.5647334
2024-02-05,0.00981,0.0099617,0.00981,1707091200000,0.0099617,156922.59458268998
2024-02-04,0.010011,0.010011,0.0098403,1707004800000,0.0098888,19762.99635187
2024-02-03,0.0098645,0.0099867,0.00981,1706918400000,0.0099867,22390.7668886
2024-02-02,0.01003,0.01003,0.00981,1706832000000,0.00984,217604.93664057
2024-02-01,0.00984,0.01001,0.00984,1706745600000,0.0099373,302067.71363393
2024-01-31,0.009913,0.0102,0.009913,1706659200000,0.010136,423440.31449164
2024-01-30,0.010161,0.010313,0.010018,1706572800000,0.010241,35061.409873720004
2024-01-29,0.010217,0.010437,0.010071,1706486400000,0.010086,86043.75794293
2024-01-28,0.010061,0.010061,0.0098415,1706400000000,0.0098901,328935.15777366
2024-01-27,0.00989,0.00993,0.0097686,1706313600000,0.0098658,481651.46159265
2024-01-26,0.0098172,0.0098657,0.0096957,1706227200000,0.0097452,21358.35088715
2024-01-25,0.0097686,0.0099387,0.0097443,1706140800000,0.0099387,25677.55434539
2024-01-24,0.0099403,0.009963,0.0095499,1706054400000,0.0096227,69172.26678585
2024-01-23,0.0095985,0.0099631,0.00945,1705968000000,0.0099631,511723.50221855997
2024-01-22,0.0099874,0.01005,0.00971,1705881600000,0.0098648,422256.09262508
2024-01-21,0.0099133,0.010084,0.00983,1705795200000,0.0099377,139540.6826139
2024-01-20,0.009962,0.01006,0.009962,1705708800000,0.010036,4996.71713218
2024-01-19,0.010012,0.01021,0.009918,1705622400000,0.010209,23010.71891652
2024-01-18,0.010186,0.01036,0.0099771,1705536000000,0.010172,89936.63005384999
2024-01-17,0.010197,0.010224,0.010007,1705449600000,0.010058,20300.63642074
2024-01-16,0.010058,0.010232,0.009986,1705363200000,0.010232,127833.74424013
2024-01-15,0.01028,0.010431,0.01016,1705276800000,0.010431,17491.98007661
2024-01-14,0.01048,0.010507,0.010194,1705190400000,0.010271,90484.31324893
2024-01-13,0.010271,0.010666,0.010105,1705104000000,0.010435,144600.27763333
2024-01-12,0.010459,0.011161,0.01015,1705017600000,0.010213,1542051.07461591
2024-01-11,0.010164,0.010922,0.009889,1704931200000,0.010778,301534.73583275
2024-01-10,0.010754,0.011507,0.010033,1704844800000,0.011196,138278.08568238
2024-01-09,0.011196,0.011499,0.011196,1704758400000,0.01143,37421.24107788
2024-01-08,0.011455,0.012011,0.011371,1704672000000,0.012011,149311.22224485
2024-01-07,0.012011,0.012141,0.011263,1704585600000,0.011386,287983.90120572
2024-01-06,0.011425,0.011425,0.011223,1704499200000,0.011353,675156.90484515
2024-01-05,0.011304,0.011389,0.01095,1704412800000,0.011267,609137.0329303
2024-01-04,0.011292,0.011497,0.011034,1704326400000,0.011351,459422.32171942
2024-01-03,0.011327,0.011839,0.011091,1704240000000,0.011647,88542.80280886
2024-01-02,0.011598,0.011949,0.010971,1704153600000,0.010996,183160.124018
2024-01-01,0.010996,0.011799,0.010297,1704067200000,0.010297,161474.75551491
2023-12-31,0.010248,0.010899,0.0095463,1703980800000,0.010498,266266.84988246
2023-12-30,0.010547,0.011719,0.0094895,1703894400000,0.0094895,655031.78277759
2023-12-29,0.0094895,0.0096238,0.0084446,1703808000000,0.0087362,364688.20407753
2023-12-28,0.0087119,0.0087362,0.008396,1703721600000,0.0085175,44887.40913923
2023-12-27,0.0085175,0.0085418,0.0082016,1703635200000,0.0082259,138828.06798874
2023-12-26,0.0081773,0.0082259,0.0074223,1703548800000,0.0078372,1441252.63132833
2023-12-25,0.0078614,0.0086147,0.0074942,1703462400000,0.0078614,6543752.47282204
2023-12-24,0.0078614,0.0080801,0.0074969,1703376000000,0.007667,342038.38895693
2023-12-23,0.0076913,0.008153,0.0074241,1703289600000,0.008153,1938330.98315937
2023-12-22,0.0081044,0.0081287,0.0074693,1703203200000,0.0077414,77693.05931983
2023-12-21,0.007681,0.0078322,0.00756,1703116800000,0.0076507,31330.82240782
2023-12-20,0.0076507,0.0076507,0.0074693,1703030400000,0.0074693,8878.01942004
2023-12-19,0.007439,0.0078019,0.0073786,1702944000000,0.0076205,41832.47368534
2023-12-18,0.00756,0.0080438,0.0075298,1702857600000,0.0080136,38257.4916984
2023-12-17,0.0079531,0.0083502,0.0075298,1702771200000,0.0076205,90498.2740376
2023-12-16,0.007681,0.0078926,0.0075902,1702684800000,0.0078322,37307.23986018
2023-12-15,0.0078019,0.0081259,0.0077717,1702598400000,0.0078926,52713.82853632
2023-12-14,0.0079531,0.0079834,0.0076205,1702512000000,0.0076205,125270.49111512
2023-12-13,0.00756,0.0078624,0.0074693,1702425600000,0.0076059,85423.23097384
2023-12-12,0.0076059,0.0077801,0.0073113,1702339200000,0.007485,27836.2147037
2023-12-11,0.0072446,0.0072688,0.0070331,1702252800000,0.0071124,76563.17270705
2023-12-10,0.0071388,0.007259,0.0069802,1702166400000,0.0071652,28719.95907351
2023-12-09,0.0071125,0.0071652,0.0068215,1702080000000,0.0068215,35572.70417731
2023-12-08,0.0067686,0.0069802,0.0067686,1701993600000,0.0067951,11601.92152534
2023-12-07,0.0067422,0.0068215,0.0066067,1701907200000,0.0067687,24456.53801673
2023-12-06,0.0068215,0.006848,0.0065571,1701820800000,0.0067422,40227.49857063
2023-12-05,0.0066893,0.0067158,0.0063751,1701734400000,0.0063751,86060.27791568
2023-12-04,0.0063751,0.0067866,0.0063075,1701648000000,0.0063509,82771.97400165
2023-12-03,0.0063509,0.0064721,0.0061992,1701561600000,0.0063024,75608.78211186
2023-12-02,0.0063024,0.0063994,0.0063024,1701475200000,0.0063509,4050.84922878
2023-12-01,0.0063266,0.006371,0.0063024,1701388800000,0.0063509,15292.481191019999
2023-11-30,0.0063509,0.006381,0.0062782,1701302400000,0.0063024,44738.16971202
2023-11-29,0.0062539,0.0062782,0.0062539,1701216000000,0.0062782,1580.95999999
2023-11-28,0.0062297,0.0063024,0.0061812,1701129600000,0.0062297,14926.62838548
2023-11-27,0.0062297,0.0063592,0.0061327,1701043200000,0.0062054,30093.27015215
2023-11-26,0.0061571,0.0062054,0.0060842,1700956800000,0.006157,12410.62034954
2023-11-25,0.0061086,0.0063509,0.00606,1700870400000,0.006157,54275.77678223
2023-11-24,0.0061812,0.0063024,0.0059873,1700784000000,0.00606,54784.30157338
2023-11-23,0.0060358,0.0065448,0.0060358,1700697600000,0.0060842,164527.80548521
2023-11-22,0.0060358,0.00606,0.0059873,1700611200000,0.0060115,6920.8
2023-11-21,0.0059873,0.0062297,0.0059388,1700524800000,0.0060707,56563.95666297
2023-11-20,0.0060889,0.0062596,0.0059267,1700438400000,0.0061626,156377.85092098
2023-11-19,0.0061626,0.0064657,0.0061626,1700352000000,0.0064059,87914.04768348
2023-11-18,0.0063694,0.0064658,0.0063125,1700265600000,0.0063505,43747.86668335
2023-11-17,0.0063505,0.0064125,0.0062937,1700179200000,0.0063889,33892.92688831
2023-11-16,0.0063506,0.0065642,0.0063316,1700092800000,0.0065642,200329.30746035
2023-11-15,0.0065839,0.0067844,0.0063778,1700006400000,0.0067439,73835.6111199
2023-11-14,0.0067439,0.0067845,0.0064474,1699920000000,0.0065253,59334.67183449
2023-11-13,0.0065057,0.0066437,0.0062418,1699833600000,0.0062789,102127.96247473
2023-11-12,0.0062789,0.0063901,0.0062011,1699747200000,0.0063137,66513.66319298
2023-11-11,0.0063137,0.0064272,0.0061058,1699660800000,0.0062789,119585.52644687
2023-11-10,0.0062789,0.0063352,0.0059109,1699574400000,0.0061429,279467.71629594
2023-11-09,0.0061429,0.0063778,0.0060655,1699488000000,0.0060655,108593.94915821
2023-11-08,0.0060416,0.0061491,0.0059581,1699401600000,0.0060655,79493.12546385
2023-11-07,0.0060655,0.0061477,0.0059485,1699315200000,0.0060655,147604.66262728
2023-11-06,0.0060894,0.0061968,0.0060205,1699228800000,0.006173,90741.51616688
2023-11-05,0.0061664,0.006204,0.0060536,1699142400000,0.006173,66411.51035354
2023-11-04,0.0061666,0.0062088,0.0060933,1699056000000,0.0061668,50953.77831528
2023-11-03,0.0061667,0.0064508,0.0061116,1698969600000,0.006161,90406.04481577
2023-11-02,0.006161,0.0065093,0.0057854,1698883200000,0.0058936,151273.54284441
2023-11-01,0.005876,0.0059863,0.0058584,1698796800000,0.0059677,26154.79181476
2023-10-31,0.0059312,0.0059864,0.0058584,1698710400000,0.0059302,14171.54418832
2023-10-30,0.0059302,0.0060628,0.0058937,1698624000000,0.0060628,8800.24224401
2023-10-29,0.0060628,0.0060811,0.00595,1698537600000,0.0060431,121258.007056
2023-10-28,0.0060063,0.0060811,0.0059125,1698451200000,0.0059125,16831.03771661
2023-10-27,0.0059491,0.0060621,0.0058234,1698364800000,0.0059876,34322.01945197
2023-10-26,0.0059876,0.0061375,0.0059501,1698278400000,0.0060066,32882.84638763
2023-10-25,0.0060435,0.0062699,0.0058938,1698192000000,0.0062512,229496.98380424
2023-10-24,0.0062386,0.0065309,0.0057562,1698105600000,0.0063571,532312.83181206
2023-10-23,0.0063633,0.0064531,0.0062185,1698019200000,0.0063252,217428.32714267
2023-10-22,0.0063189,0.0064921,0.0062622,1697932800000,0.0064274,106142.36158903
2023-10-21,0.006421,0.0065246,0.0063954,1697846400000,0.0063954,31216.34837367
2023-10-20,0.0063826,0.0065442,0.0062,1697760000000,0.0063127,130743.64373398
2023-10-19,0.0063127,0.0064727,0.0062186,1697673600000,0.0063891,124004.93111302
2023-10-18,0.0063763,0.0066568,0.0063763,1697587200000,0.0066236,80708.91336381
2023-10-17,0.006617,0.006617,0.0064533,1697500800000,0.006551,135304.88745104
2023-10-16,0.0065576,0.0066368,0.0065118,1697414400000,0.0066037,67904.00740498
